rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:31,11754.0,1,0,A,1,發長球,,1.0,2.0,,,,1.0,3,829.0,634.0,,,,,8,630.0,381.0,8,747.0,557.0,0
1,2.0,00:06:32,11788.0,1,0,B,2,點扣,,,1.0,3,829.0,634.0,2.0,6,779.0,363.0,,,,,9,788.0,622.0,8,632.0,359.0,0
1,3.0,00:06:34,11825.0,1,0,A,2,擋小球,,1.0,2.0,6,779.0,363.0,2.0,1,782.0,482.0,,,,,8,662.0,367.0,8,775.0,614.0,0
1,4.0,00:06:34,11830.0,1,0,B,2,放小球,,,2.0,1,782.0,482.0,2.0,2,808.0,421.0,,,,,8,735.0,515.0,8,650.0,360.0,0
1,5.0,00:06:35,11854.0,1,0,A,2,放小球,,1.0,2.0,2,808.0,421.0,2.0,7,553.0,467.0,,,,,2,781.0,395.0,8,712.0,524.0,0
1,6.0,00:06:35,11879.0,1,0,B,3,挑球,,1.0,2.0,7,553.0,467.0,2.0,13,760.0,299.0,出界,對手出界,A,,7,582.0,491.0,8,668.0,368.0,0
2,1.0,00:06:53,12400.0,2,0,A,1,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
2,2.0,00:06:54,12434.0,2,0,B,2,長球,,,1.0,,,,1.0,9,536.0,313.0,,,,,8,543.0,603.0,8,594.0,360.0,0
2,3.0,00:06:55,12466.0,2,0,A,2,點扣,,,1.0,9,536.0,313.0,2.0,6,449.0,556.0,,,,,9,571.0,323.0,8,619.0,589.0,0
2,4.0,00:06:55,12478.0,2,0,B,2,擋小球,,1.0,2.0,6,449.0,556.0,2.0,1,463.0,397.0,,,,,8,656.0,575.0,3,523.0,312.0,0
2,5.0,00:06:56,12508.0,2,0,A,2,挑球,,,2.0,1,463.0,397.0,1.0,4,385.0,624.0,,,,,8,532.0,378.0,8,572.0,552.0,0
2,6.0,00:06:58,12541.0,2,0,B,2,過度切球,,1.0,1.0,4,385.0,624.0,2.0,5,475.0,380.0,,,,,4,424.0,621.0,8,565.0,351.0,0
2,7.0,00:06:58,12564.0,2,0,A,2,挑球,,,2.0,5,475.0,380.0,1.0,6,416.0,589.0,,,,,8,522.0,370.0,8,551.0,570.0,0
2,8.0,00:06:59,12588.0,2,0,B,2,點扣,,,1.0,6,416.0,589.0,2.0,6,762.0,356.0,,,,,8,515.0,578.0,8,557.0,359.0,0
2,9.0,00:07:00,12606.0,2,0,A,2,擋小球,,1.0,2.0,6,762.0,356.0,2.0,1,807.0,474.0,,,,,8,557.0,359.0,8,502.0,579.0,0
2,10.0,00:07:01,12635.0,2,0,B,2,放小球,,,2.0,1,807.0,474.0,2.0,2,829.0,434.0,,,,,8,752.0,512.0,8,685.0,359.0,0
2,11.0,00:07:02,12663.0,2,0,A,2,放小球,,1.0,2.0,2,829.0,434.0,2.0,1,848.0,456.0,,,,,2,799.0,412.0,8,739.0,516.0,0
2,12.0,00:07:02,12685.0,2,0,B,3,挑球,,,2.0,1,848.0,456.0,2.0,12,1003.0,323.0,出界,對手出界,A,,1,814.0,463.0,2,765.0,410.0,0
3,1.0,00:07:25,13362.0,3,0,A,1,發短球,,1.0,2.0,,,,2.0,7,698.0,483.0,,,,,8,629.0,381.0,8,746.0,550.0,0
3,2.0,00:07:26,13385.0,3,0,B,2,放小球,,,2.0,7,698.0,483.0,2.0,7,516.0,427.0,,,,,7,688.0,505.0,8,643.0,373.0,0
3,3.0,00:07:27,13411.0,3,0,A,2,挑球,,,2.0,7,516.0,427.0,1.0,9,516.0,634.0,,,,,7,559.0,396.0,8,634.0,514.0,0
3,4.0,00:07:28,13446.0,3,0,B,2,長球,,,1.0,9,516.0,634.0,1.0,9,731.0,315.0,,,,,8,573.0,607.0,8,608.0,352.0,0
3,5.0,00:07:29,13486.0,3,0,A,2,長球,,,1.0,9,731.0,315.0,1.0,4,416.0,620.0,,,,,9,690.0,319.0,8,682.0,559.0,0
3,6.0,00:07:30,13523.0,3,0,B,2,長球,,1.0,1.0,4,416.0,620.0,1.0,9,595.0,324.0,,,,,6,462.0,600.0,8,614.0,345.0,0
3,7.0,00:07:31,13555.0,3,0,A,2,殺球,,,1.0,9,595.0,324.0,2.0,8,639.0,561.0,,,,,8,596.0,339.0,8,629.0,573.0,0
3,8.0,00:07:32,13566.0,3,0,B,3,擋小球,,,2.0,8,639.0,561.0,2.0,7,721.0,482.0,未過網,對手未過網,A,,8,686.0,578.0,8,549.0,336.0,0
4,1.0,00:07:59,14399.0,4,0,A,1,發長球,,1.0,2.0,,,,1.0,9,493.0,628.0,,,,,8,650.0,385.0,8,568.0,555.0,0
4,2.0,00:08:01,14436.0,4,0,B,2,殺球,,,1.0,9,493.0,628.0,2.0,5,507.0,351.0,,,,,8,534.0,606.0,8,585.0,354.0,0
4,3.0,00:08:01,14450.0,4,0,A,2,擋小球,,,2.0,5,507.0,351.0,1.0,7,698.0,504.0,,,,,8,565.0,353.0,9,520.0,620.0,0
4,4.0,00:08:02,14476.0,4,0,B,2,放小球,,,1.0,7,698.0,504.0,2.0,7,764.0,431.0,,,,,8,658.0,519.0,8,601.0,347.0,0
4,5.0,00:08:03,14504.0,4,0,A,2,挑球,,1.0,2.0,7,764.0,431.0,1.0,4,463.0,644.0,,,,,7,732.0,395.0,8,684.0,523.0,0
4,6.0,00:08:04,14549.0,4,0,B,2,殺球,,,1.0,4,463.0,644.0,2.0,5,474.0,350.0,,,,,9,495.0,630.0,8,584.0,356.0,0
4,7.0,00:08:05,14563.0,4,0,A,2,擋小球,,,2.0,5,474.0,350.0,1.0,2,428.0,491.0,,,,,8,561.0,346.0,4,462.0,623.0,0
4,8.0,00:08:06,14584.0,4,0,B,2,放小球,,1.0,1.0,2,428.0,491.0,2.0,1,476.0,399.0,,,,,8,505.0,514.0,5,512.0,355.0,0
4,9.0,00:08:06,14609.0,4,0,A,2,挑球,,,2.0,1,476.0,399.0,1.0,4,387.0,635.0,,,,,8,525.0,383.0,8,558.0,529.0,0
4,10.0,00:08:08,14641.0,4,0,B,2,長球,1.0,,1.0,4,387.0,635.0,1.0,3,461.0,319.0,,,,,8,504.0,600.0,8,572.0,352.0,0
4,11.0,00:08:08,14669.0,4,0,A,2,殺球,,,1.0,3,461.0,319.0,2.0,8,621.0,543.0,,,,,5,501.0,333.0,8,580.0,581.0,0
4,12.0,00:08:09,14680.0,4,0,B,2,擋小球,,,2.0,8,621.0,543.0,1.0,8,692.0,383.0,,,,,8,636.0,576.0,3,448.0,325.0,0
4,13.0,00:08:10,14706.0,4,0,A,2,撲球,,1.0,1.0,8,692.0,383.0,2.0,6,474.0,543.0,,,,,8,672.0,369.0,8,627.0,559.0,0
4,14.0,00:08:10,14721.0,4,0,B,3,擋小球,,1.0,2.0,6,474.0,543.0,2.0,1,414.0,437.0,未過網,對手未過網,A,,8,668.0,541.0,8,645.0,372.0,0
5,1.0,00:08:31,15335.0,5,0,A,1,發短球,,1.0,2.0,,,,2.0,7,686.0,504.0,,,,,8,631.0,380.0,8,747.0,554.0,0
5,2.0,00:08:31,15358.0,5,0,B,2,挑球,,,2.0,7,686.0,504.0,1.0,3,517.0,320.0,,,,,7,666.0,502.0,8,631.0,378.0,0
5,3.0,00:08:32,15385.0,5,0,A,2,後場抽平球,,,1.0,3,517.0,320.0,1.0,6,449.0,546.0,,,,,9,546.0,320.0,8,630.0,528.0,0
5,4.0,00:08:33,15403.0,5,0,B,2,擋小球,,1.0,1.0,6,449.0,546.0,2.0,1,510.0,410.0,,,,,8,556.0,541.0,8,557.0,331.0,0
5,5.0,00:08:34,15430.0,5,0,A,2,挑球,,,2.0,1,510.0,410.0,1.0,6,389.0,612.0,,,,,8,529.0,382.0,8,569.0,542.0,0
5,6.0,00:08:35,15459.0,5,0,B,2,點扣,1.0,,1.0,6,389.0,612.0,2.0,6,760.0,350.0,,,,,8,523.0,589.0,8,580.0,344.0,0
5,7.0,00:08:35,15478.0,5,0,A,2,擋小球,,1.0,2.0,6,760.0,350.0,2.0,1,801.0,472.0,,,,,8,637.0,353.0,8,504.0,589.0,0
5,8.0,00:08:36,15508.0,5,0,B,2,挑球,,,2.0,1,801.0,472.0,1.0,9,593.0,316.0,,,,,7,755.0,490.0,8,705.0,359.0,0
5,9.0,00:08:38,15550.0,5,0,A,2,點扣,,,1.0,9,593.0,316.0,2.0,6,440.0,549.0,,,,,9,618.0,318.0,8,687.0,535.0,0
