rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:33:09,59676.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,697.0,494.0,,,,,8,630.0,368.0,8,731.0,550.0,0
1,2.0,00:33:09,59695.0,0,1,B,2,挑球,,,2.0,7,697.0,494.0,1.0,9,533.0,323.0,,,,,8,688.0,523.0,8,648.0,363.0,0
1,3.0,00:33:10,59725.0,0,1,A,2,殺球,,,1.0,9,533.0,323.0,2.0,6,436.0,554.0,,,,,9,585.0,310.0,8,614.0,554.0,0
1,4.0,00:33:11,59739.0,0,1,B,2,擋小球,,1.0,2.0,6,436.0,554.0,2.0,5,460.0,386.0,,,,,8,584.0,585.0,9,532.0,313.0,0
1,5.0,00:33:12,59767.0,0,1,A,2,勾球,,,2.0,5,460.0,386.0,2.0,7,771.0,455.0,,,,,8,520.0,375.0,8,505.0,559.0,0
1,6.0,00:33:12,59788.0,0,1,B,2,挑球,,,2.0,7,771.0,455.0,1.0,3,489.0,313.0,,,,,8,686.0,519.0,8,585.0,365.0,0
1,7.0,00:33:14,59824.0,0,1,A,2,過度切球,,,1.0,3,489.0,313.0,2.0,1,804.0,475.0,,,,,9,573.0,322.0,8,599.0,539.0,0
1,8.0,00:33:15,59858.0,0,1,B,2,挑球,,,2.0,1,804.0,475.0,1.0,4,785.0,315.0,,,,,8,725.0,526.0,8,652.0,341.0,0
1,9.0,00:33:16,59894.0,0,1,A,2,點扣,1.0,,1.0,4,785.0,315.0,2.0,5,877.0,535.0,,,,,4,774.0,312.0,8,674.0,548.0,0
1,10.0,00:33:17,59912.0,0,1,B,2,擋小球,,,2.0,5,877.0,535.0,2.0,6,816.0,379.0,,,,,8,731.0,552.0,6,763.0,335.0,0
1,11.0,00:33:18,59942.0,0,1,A,2,挑球,,1.0,2.0,6,816.0,379.0,1.0,3,884.0,632.0,,,,,8,758.0,364.0,8,679.0,558.0,0
1,12.0,00:33:19,59979.0,0,1,B,2,長球,,,1.0,3,884.0,632.0,1.0,9,751.0,312.0,,,,,8,786.0,610.0,8,703.0,346.0,0
1,13.0,00:33:20,60028.0,0,1,A,2,點扣,,,1.0,9,751.0,312.0,2.0,8,657.0,546.0,,,,,9,726.0,311.0,8,659.0,559.0,0
1,14.0,00:33:21,60042.0,0,1,B,2,擋小球,,1.0,2.0,8,657.0,546.0,2.0,6,786.0,378.0,,,,,8,661.0,553.0,9,708.0,316.0,0
1,15.0,00:33:22,60064.0,0,1,A,2,勾球,,1.0,2.0,6,786.0,378.0,2.0,2,462.0,489.0,,,,,8,715.0,347.0,8,660.0,561.0,0
1,16.0,00:33:23,60092.0,0,1,B,2,挑球,,1.0,2.0,2,462.0,489.0,1.0,3,484.0,312.0,,,,,8,535.0,512.0,8,638.0,358.0,0
1,17.0,00:33:24,60133.0,0,1,A,2,長球,,,1.0,3,484.0,312.0,1.0,6,422.0,607.0,,,,,9,562.0,314.0,8,573.0,553.0,0
1,18.0,00:33:25,60165.0,0,1,B,2,殺球,1.0,,1.0,6,422.0,607.0,2.0,5,459.0,347.0,,,,,6,426.0,602.0,8,608.0,336.0,0
1,19.0,00:33:26,60180.0,0,1,A,2,擋小球,,,2.0,5,459.0,347.0,1.0,2,435.0,472.0,,,,,8,598.0,340.0,4,404.0,622.0,0
1,20.0,00:33:26,60205.0,0,1,B,2,勾球,,1.0,1.0,2,435.0,472.0,2.0,2,779.0,400.0,,,,,6,446.0,519.0,5,507.0,341.0,0
1,21.0,00:33:27,60231.0,0,1,A,2,挑球,,1.0,2.0,2,779.0,400.0,1.0,5,849.0,604.0,,,,,8,712.0,370.0,8,530.0,523.0,0
1,22.0,00:33:28,60260.0,0,1,B,2,過度切球,,,1.0,5,849.0,604.0,1.0,1,502.0,391.0,,,,,8,730.0,598.0,8,698.0,355.0,0
1,23.0,00:33:29,60279.0,0,1,A,3,撲球,,,1.0,1,502.0,391.0,2.0,13,834.0,673.0,出界,對手出界,B,,8,606.0,374.0,8,749.0,594.0,0
2,1.0,00:33:52,60989.0,0,2,B,3,發長球,,1.0,2.0,,,,,9,712.0,309.0,對手落地致勝,落地致勝,B,,8,622.0,538.0,8,725.0,357.0,0
3,1.0,00:34:11,61537.0,0,3,B,1,發短球,,1.0,2.0,,,,2.0,8,574.0,384.0,,,,,8,671.0,541.0,8,590.0,357.0,0
3,2.0,00:34:12,61563.0,0,3,A,2,挑球,,,2.0,8,574.0,384.0,1.0,6,434.0,586.0,,,,,8,596.0,367.0,8,653.0,548.0,0
3,3.0,00:34:12,61587.0,0,3,B,2,點扣,1.0,,1.0,6,434.0,586.0,2.0,5,496.0,345.0,,,,,8,540.0,580.0,8,617.0,356.0,0
3,4.0,00:34:13,61603.0,0,3,A,2,擋小球,,,2.0,5,496.0,345.0,2.0,2,425.0,490.0,,,,,8,608.0,350.0,8,535.0,594.0,0
3,5.0,00:34:14,61627.0,0,3,B,2,放小球,,1.0,2.0,2,425.0,490.0,2.0,1,444.0,393.0,,,,,8,508.0,552.0,8,612.0,352.0,0
3,6.0,00:34:15,61651.0,0,3,A,3,挑球,,,2.0,1,444.0,393.0,2.0,12,350.0,631.0,出界,對手出界,B,,8,534.0,369.0,8,571.0,546.0,0
4,1.0,00:34:30,62124.0,0,4,B,1,發短球,,1.0,2.0,,,,2.0,7,690.0,390.0,,,,,8,617.0,537.0,8,723.0,356.0,0
4,2.0,00:34:31,62150.0,0,4,A,3,放小球,,,2.0,7,690.0,390.0,2.0,7,522.0,420.0,掛網,對手掛網,B,,8,716.0,361.0,8,653.0,549.0,0
5,1.0,00:34:45,62559.0,0,5,B,1,發長球,,1.0,2.0,,,,1.0,9,537.0,311.0,,,,,8,666.0,532.0,8,581.0,351.0,0
5,2.0,00:34:46,62593.0,0,5,A,2,切球,,,1.0,9,537.0,311.0,2.0,2,428.0,491.0,,,,,9,556.0,321.0,8,625.0,556.0,0
5,3.0,00:34:47,62616.0,0,5,B,2,挑球,,1.0,2.0,2,428.0,491.0,1.0,3,467.0,309.0,,,,,8,509.0,552.0,8,580.0,337.0,0
5,4.0,00:34:48,62650.0,0,5,A,2,後場抽平球,,,1.0,3,467.0,309.0,2.0,6,424.0,558.0,,,,,9,543.0,323.0,8,555.0,557.0,0
5,5.0,00:34:48,62665.0,0,5,B,2,擋小球,,1.0,2.0,6,424.0,558.0,2.0,5,479.0,368.0,,,,,8,563.0,564.0,8,537.0,325.0,0
5,6.0,00:34:49,62689.0,0,5,A,3,挑球,,,2.0,5,479.0,368.0,2.0,14,944.0,639.0,出界,對手出界,B,,8,558.0,360.0,8,553.0,559.0,0
6,1.0,00:35:04,63139.0,1,5,B,1,發短球,,1.0,2.0,,,,2.0,8,692.0,385.0,,,,,8,619.0,537.0,8,719.0,354.0,0
6,2.0,00:35:05,63157.0,1,5,A,2,挑球,,,2.0,8,692.0,385.0,1.0,4,457.0,624.0,,,,,8,716.0,371.0,8,623.0,555.0,0
6,3.0,00:35:06,63200.0,1,5,B,2,長球,1.0,,1.0,4,457.0,624.0,1.0,3,498.0,315.0,,,,,9,485.0,624.0,8,628.0,354.0,0
