rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:15:46,23661.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,555.0,360.0,,,,,8,656.0,499.0,8,580.0,301.0,0
1,2.0,00:15:47,23682.0,1,0,B,2,放小球,,,2.0,7,555.0,360.0,2.0,7,654.0,458.0,,,,,7,592.0,353.0,8,656.0,502.0,0
1,3.0,00:15:48,23703.0,1,0,A,2,挑球,,,2.0,7,654.0,458.0,1.0,8,556.0,275.0,,,,,8,617.0,480.0,8,610.0,340.0,0
1,4.0,00:15:48,23724.0,1,0,B,2,點扣,,,1.0,8,556.0,275.0,2.0,5,442.0,556.0,,,,,8,595.0,301.0,8,624.0,525.0,0
1,5.0,00:15:49,23735.0,1,0,A,2,擋小球,,1.0,2.0,5,442.0,556.0,2.0,1,505.0,347.0,,,,,8,656.0,548.0,5,515.0,290.0,0
1,6.0,00:15:50,23758.0,1,0,B,2,挑球,,,2.0,1,505.0,347.0,1.0,5,420.0,562.0,,,,,8,564.0,342.0,8,587.0,539.0,0
1,7.0,00:15:51,23780.0,1,0,A,2,長球,,1.0,1.0,5,420.0,562.0,1.0,3,526.0,263.0,,,,,5,473.0,573.0,8,609.0,317.0,0
1,8.0,00:15:52,23806.0,1,0,B,2,過度切球,,,1.0,3,526.0,263.0,2.0,6,807.0,486.0,,,,,8,572.0,286.0,8,611.0,556.0,0
1,9.0,00:15:53,23825.0,1,0,A,2,放小球,,,2.0,6,807.0,486.0,2.0,2,785.0,362.0,,,,,8,776.0,516.0,8,608.0,287.0,0
1,10.0,00:15:53,23847.0,1,0,B,2,勾球,,1.0,2.0,2,785.0,362.0,2.0,1,437.0,438.0,,,,,8,738.0,339.0,8,745.0,530.0,0
1,11.0,00:15:54,23870.0,1,0,A,3,挑球,,1.0,2.0,1,437.0,438.0,2.0,4,797.0,255.0,對手落地致勝,落地致勝,A,,1,506.0,456.0,8,662.0,329.0,0
2,1.0,00:16:14,24371.0,2,0,A,1,發短球,,1.0,2.0,,,,2.0,2,756.0,351.0,,,,,8,621.0,507.0,8,707.0,299.0,0
2,2.0,00:16:15,24388.0,2,0,B,2,放小球,,1.0,2.0,2,756.0,351.0,2.0,7,635.0,435.0,,,,,7,670.0,354.0,8,632.0,501.0,0
2,3.0,00:16:16,24404.0,2,0,A,2,放小球,,1.0,2.0,7,635.0,435.0,2.0,7,749.0,378.0,,,,,7,660.0,453.0,8,644.0,339.0,0
2,4.0,00:16:16,24423.0,2,0,B,2,推球,,1.0,2.0,7,749.0,378.0,1.0,9,501.0,615.0,,,,,7,718.0,365.0,7,672.0,466.0,0
2,5.0,00:16:18,24451.0,2,0,A,2,切球,1.0,,1.0,9,501.0,615.0,2.0,6,772.0,336.0,,,,,8,591.0,579.0,8,605.0,314.0,0
2,6.0,00:16:18,24473.0,2,0,B,2,放小球,,1.0,2.0,6,772.0,336.0,2.0,7,745.0,414.0,,,,,8,735.0,327.0,8,609.0,580.0,0
2,7.0,00:16:19,24496.0,2,0,A,2,挑球,,,2.0,7,745.0,414.0,1.0,4,769.0,263.0,,,,,7,757.0,448.0,8,676.0,321.0,0
2,8.0,00:16:21,24535.0,2,0,B,2,殺球,1.0,,1.0,4,769.0,263.0,2.0,8,755.0,554.0,,,,,9,733.0,269.0,8,695.0,529.0,0
2,9.0,00:16:21,24545.0,2,0,A,2,擋小球,,,2.0,8,755.0,554.0,2.0,8,529.0,322.0,,,,,8,713.0,563.0,9,738.0,266.0,0
