rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:34:45,52136.0,0,1,A,1,發短球,,1.0,2.0,,,,1.0,2,779.0,424.0,,,,,8,626.0,318.0,8,727.0,527.0,0
1,2.0,00:34:46,52163.0,0,1,B,2,推球,,,1.0,2,779.0,424.0,2.0,6,770.0,298.0,,,,,7,695.0,433.0,8,641.0,316.0,0
1,3.0,00:34:46,52174.0,0,1,A,3,平球,,1.0,2.0,6,770.0,298.0,2.0,15,370.0,550.0,出界,對手出界,B,,8,666.0,312.0,7,698.0,454.0,0
2,1.0,00:34:58,52463.0,1,1,B,1,發短球,,1.0,2.0,,,,2.0,7,714.0,365.0,,,,,8,624.0,500.0,8,717.0,299.0,0
2,2.0,00:34:59,52478.0,1,1,A,2,放小球,,,2.0,7,714.0,365.0,2.0,2,797.0,413.0,,,,,8,694.0,338.0,8,661.0,505.0,0
2,3.0,00:34:59,52498.0,1,1,B,2,挑球,,,2.0,2,797.0,413.0,2.0,4,797.0,258.0,,,,,7,732.0,433.0,7,673.0,345.0,0
2,4.0,00:35:01,52527.0,1,1,A,2,後場抽平球,,1.0,2.0,4,797.0,258.0,1.0,6,839.0,533.0,,,,,4,758.0,266.0,8,717.0,522.0,0
2,5.0,00:35:01,52539.0,1,1,B,2,平球,,,1.0,6,839.0,533.0,1.0,8,558.0,298.0,,,,,8,753.0,557.0,8,704.0,274.0,0
2,6.0,00:35:02,52556.0,1,1,A,2,放小球,,,1.0,8,558.0,298.0,2.0,7,552.0,421.0,,,,,8,605.0,289.0,8,738.0,540.0,0
2,7.0,00:35:03,52579.0,1,1,B,2,挑球,,,2.0,7,552.0,421.0,1.0,9,543.0,262.0,,,,,7,555.0,450.0,8,595.0,307.0,0
2,8.0,00:35:04,52624.0,1,1,A,2,點扣,,,1.0,9,543.0,262.0,2.0,5,439.0,517.0,,,,,9,556.0,258.0,8,673.0,538.0,0
2,9.0,00:35:05,52639.0,1,1,B,2,擋小球,,1.0,2.0,5,439.0,517.0,2.0,1,482.0,361.0,,,,,8,537.0,509.0,9,576.0,264.0,0
2,10.0,00:35:06,52660.0,1,1,A,2,推球,,,2.0,1,482.0,361.0,1.0,5,421.0,535.0,,,,,1,526.0,344.0,8,565.0,501.0,0
2,11.0,00:35:06,52671.0,1,1,B,2,平球,,1.0,1.0,5,421.0,535.0,1.0,8,703.0,302.0,,,,,8,580.0,502.0,8,538.0,335.0,0
2,12.0,00:35:07,52682.0,1,1,A,2,擋小球,,1.0,1.0,8,703.0,302.0,2.0,7,695.0,461.0,,,,,8,568.0,318.0,5,492.0,522.0,0
2,13.0,00:35:08,52701.0,1,1,B,2,放小球,,,2.0,7,695.0,461.0,2.0,1,503.0,347.0,,,,,8,676.0,502.0,8,693.0,303.0,0
2,14.0,00:35:09,52726.0,1,1,A,2,挑球,,,2.0,1,503.0,347.0,1.0,6,808.0,596.0,,,,,8,544.0,332.0,8,630.0,504.0,0
2,15.0,00:35:10,52754.0,1,1,B,3,切球,,,1.0,6,808.0,596.0,2.0,2,807.0,399.0,掛網,對手掛網,A,,8,740.0,591.0,8,637.0,307.0,0
3,1.0,00:35:32,53301.0,1,2,A,1,發短球,,1.0,2.0,,,,2.0,7,619.0,442.0,,,,,8,650.0,316.0,8,540.0,531.0,0
3,2.0,00:35:32,53323.0,1,2,B,2,放小球,,,2.0,7,619.0,442.0,2.0,7,575.0,373.0,,,,,7,589.0,462.0,8,650.0,310.0,0
3,3.0,00:35:33,53341.0,1,2,A,3,放小球,,,2.0,7,575.0,373.0,2.0,7,630.0,382.0,掛網,對手掛網,B,,7,626.0,352.0,7,621.0,470.0,0
4,1.0,00:35:45,53638.0,2,2,B,1,發長球,,1.0,2.0,,,,1.0,3,534.0,265.0,,,,,8,659.0,498.0,8,580.0,303.0,0
4,2.0,00:35:46,53667.0,2,2,A,2,殺球,,,1.0,3,534.0,265.0,2.0,6,791.0,524.0,,,,,9,559.0,262.0,8,671.0,525.0,0
4,3.0,00:35:47,53682.0,2,2,B,2,擋小球,,,2.0,6,791.0,524.0,2.0,7,752.0,348.0,,,,,8,689.0,546.0,9,543.0,254.0,0
4,4.0,00:35:48,53706.0,2,2,A,2,放小球,,1.0,2.0,7,752.0,348.0,2.0,2,801.0,415.0,,,,,8,737.0,326.0,8,752.0,524.0,0
4,5.0,00:35:49,53730.0,2,2,B,2,挑球,,,2.0,2,801.0,415.0,1.0,3,536.0,258.0,,,,,7,770.0,436.0,8,714.0,339.0,0
4,6.0,00:35:51,53788.0,2,2,A,2,切球,,,1.0,3,536.0,258.0,2.0,7,526.0,445.0,,,,,9,554.0,254.0,8,663.0,522.0,0
4,7.0,00:35:51,53798.0,2,2,B,2,挑球,,1.0,2.0,7,526.0,445.0,1.0,3,493.0,263.0,,,,,8,588.0,491.0,9,614.0,271.0,0
4,8.0,00:35:53,53825.0,2,2,A,2,過度切球,,,1.0,3,493.0,263.0,2.0,2,787.0,457.0,,,,,9,542.0,260.0,8,622.0,534.0,0
4,9.0,00:35:53,53846.0,2,2,B,2,放小球,,,2.0,2,787.0,457.0,2.0,2,815.0,373.0,,,,,8,684.0,538.0,3,515.0,266.0,0
4,10.0,00:35:54,53872.0,2,2,A,2,挑球,,1.0,2.0,2,815.0,373.0,1.0,3,439.0,615.0,,,,,2,772.0,351.0,2,840.0,469.0,0
4,11.0,00:35:56,53902.0,2,2,B,3,過度切球,,1.0,1.0,3,439.0,615.0,2.0,1,459.0,403.0,掛網,對手掛網,A,,5,472.0,578.0,8,649.0,302.0,0
5,1.0,00:36:29,54739.0,2,3,A,1,發短球,,1.0,2.0,,,,2.0,7,729.0,443.0,,,,,8,628.0,316.0,8,736.0,532.0,0
