rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:58:47,105838.0,0,1,B,1,發短球,,1.0,2.0,,,,1.0,7,725.0,493.0,,,,,8,620.0,364.0,8,714.0,542.0,0
1,2.0,00:58:48,105855.0,0,1,A,2,放小球,,1.0,1.0,7,725.0,493.0,2.0,2,804.0,414.0,,,,,8,714.0,514.0,8,650.0,359.0,0
1,3.0,00:58:49,105882.0,0,1,B,2,放小球,,1.0,2.0,2,804.0,414.0,2.0,1,850.0,475.0,,,,,7,734.0,395.0,8,683.0,519.0,0
1,4.0,00:58:50,105910.0,0,1,A,2,放小球,,,2.0,1,850.0,475.0,2.0,2,840.0,410.0,,,,,7,774.0,488.0,8,705.0,382.0,0
1,5.0,00:58:51,105943.0,0,1,B,2,挑球,,1.0,2.0,2,840.0,410.0,1.0,3,818.0,635.0,,,,,7,739.0,401.0,8,719.0,514.0,0
1,6.0,00:58:53,105995.0,0,1,A,2,殺球,,,1.0,3,818.0,635.0,2.0,5,487.0,342.0,,,,,9,773.0,619.0,8,652.0,356.0,0
1,7.0,00:58:53,106013.0,0,1,B,2,擋小球,,,2.0,5,487.0,342.0,2.0,7,509.0,489.0,,,,,8,633.0,352.0,3,819.0,633.0,0
1,8.0,00:58:54,106043.0,0,1,A,2,推球,,1.0,2.0,7,509.0,489.0,2.0,4,778.0,308.0,,,,,8,556.0,518.0,8,531.0,351.0,0
1,9.0,00:58:56,106081.0,0,1,B,2,過度切球,,1.0,2.0,4,778.0,308.0,2.0,2,484.0,494.0,,,,,8,700.0,332.0,8,643.0,535.0,0
1,10.0,00:58:57,106111.0,0,1,A,3,推球,,1.0,2.0,2,484.0,494.0,2.0,12,845.0,313.0,出界,對手出界,B,,8,576.0,535.0,8,646.0,339.0,0
2,1.0,00:59:27,107028.0,1,1,B,1,發短球,,1.0,2.0,,,,2.0,7,603.0,501.0,,,,,8,654.0,374.0,8,536.0,536.0,0
2,2.0,00:59:28,107051.0,1,1,A,2,推球,,,2.0,7,603.0,501.0,1.0,3,487.0,313.0,,,,,8,536.0,516.0,8,666.0,367.0,0
2,3.0,00:59:30,107100.0,1,1,B,2,過度切球,,,1.0,3,487.0,313.0,1.0,2,488.0,479.0,,,,,9,533.0,318.0,8,526.0,509.0,0
2,4.0,00:59:30,107100.0,1,1,A,3,撲球,,1.0,1.0,2,488.0,479.0,2.0,8,557.0,338.0,對手落地致勝,落地致勝,A,,7,533.0,499.0,8,595.0,331.0,0
3,1.0,00:59:47,107620.0,2,1,A,1,發短球,,1.0,2.0,,,,2.0,6,789.0,385.0,,,,,8,631.0,534.0,8,733.0,354.0,0
3,2.0,00:59:48,107642.0,2,1,B,2,勾球,,1.0,2.0,6,789.0,385.0,2.0,2,454.0,478.0,,,,,8,747.0,386.0,8,625.0,537.0,0
3,3.0,00:59:49,107671.0,2,1,A,3,放小球,,1.0,2.0,2,454.0,478.0,2.0,1,472.0,425.0,對手落地致勝,落地致勝,A,,7,556.0,496.0,8,640.0,353.0,0
4,1.0,01:00:03,108090.0,3,1,A,1,發短球,,1.0,2.0,,,,2.0,8,582.0,387.0,,,,,8,656.0,531.0,8,571.0,351.0,0
4,2.0,01:00:03,108112.0,3,1,B,3,推球,,,2.0,8,582.0,387.0,2.0,13,827.0,661.0,出界,對手出界,A,,8,597.0,379.0,8,639.0,533.0,0
5,1.0,01:00:19,108590.0,4,1,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
5,2.0,01:00:19,108598.0,4,1,B,2,放小球,,,2.0,,,,2.0,7,685.0,487.0,,,,,8,697.0,378.0,8,640.0,515.0,0
5,3.0,01:00:20,108619.0,4,1,A,2,放小球,,,2.0,7,685.0,487.0,2.0,2,807.0,404.0,,,,,8,663.0,517.0,7,655.0,392.0,0
5,4.0,01:00:21,108652.0,4,1,B,2,放小球,,1.0,2.0,2,807.0,404.0,2.0,7,675.0,466.0,,,,,2,768.0,391.0,8,674.0,523.0,0
5,5.0,01:00:22,108679.0,4,1,A,2,挑球,,1.0,2.0,7,675.0,466.0,2.0,4,773.0,316.0,,,,,7,684.0,500.0,7,669.0,395.0,0
5,6.0,01:00:23,108715.0,4,1,B,2,過度切球,,1.0,2.0,4,773.0,316.0,2.0,7,728.0,481.0,,,,,8,718.0,332.0,8,689.0,548.0,0
5,7.0,01:00:24,108740.0,4,1,A,2,放小球,,,2.0,7,728.0,481.0,2.0,2,809.0,428.0,,,,,8,690.0,512.0,8,656.0,348.0,0
5,8.0,01:00:25,108772.0,4,1,B,2,挑球,,1.0,2.0,2,809.0,428.0,1.0,3,862.0,632.0,,,,,7,749.0,403.0,7,702.0,499.0,0
5,9.0,01:00:27,108815.0,4,1,A,2,切球,,,1.0,3,862.0,632.0,2.0,6,805.0,384.0,,,,,3,843.0,637.0,8,664.0,372.0,0
5,10.0,01:00:28,108840.0,4,1,B,2,挑球,,1.0,2.0,6,805.0,384.0,1.0,8,751.0,609.0,,,,,6,782.0,372.0,5,826.0,576.0,0
5,11.0,01:00:29,108872.0,4,1,A,2,殺球,,,1.0,8,751.0,609.0,2.0,6,801.0,327.0,,,,,9,732.0,623.0,8,626.0,362.0,0
5,12.0,01:00:29,108886.0,4,1,B,2,擋小球,,1.0,2.0,6,801.0,327.0,2.0,7,761.0,490.0,,,,,8,595.0,345.0,9,801.0,618.0,0
5,13.0,01:00:30,108911.0,4,1,A,2,推球,,,2.0,7,761.0,490.0,2.0,3,511.0,322.0,,,,,8,697.0,512.0,8,690.0,362.0,0
5,14.0,01:00:31,108944.0,4,1,B,2,過度切球,,,2.0,3,511.0,322.0,1.0,7,718.0,465.0,,,,,9,547.0,320.0,8,628.0,532.0,0
5,15.0,01:00:32,108965.0,4,1,A,2,撲球,,,1.0,7,718.0,465.0,2.0,8,742.0,353.0,,,,,7,607.0,497.0,8,572.0,340.0,0
5,16.0,01:00:32,108976.0,4,1,B,3,擋小球,,1.0,2.0,8,742.0,353.0,2.0,7,592.0,433.0,未過網,對手未過網,A,,8,559.0,343.0,7,682.0,483.0,0
6,1.0,01:00:51,109538.0,5,1,A,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
7,1.0,01:01:11,110139.0,5,2,A,1,發長球,,1.0,2.0,,,,1.0,9,738.0,313.0,,,,,8,622.0,524.0,8,748.0,357.0,0
7,2.0,01:01:12,110172.0,5,2,B,2,殺球,1.0,,1.0,9,738.0,313.0,2.0,8,534.0,550.0,,,,,9,751.0,323.0,8,650.0,544.0,0
7,3.0,01:01:12,110186.0,5,2,A,3,擋小球,,1.0,2.0,8,534.0,550.0,2.0,7,560.0,457.0,未過網,對手未過網,B,,8,646.0,546.0,9,750.0,323.0,0
8,1.0,01:01:33,110794.0,6,2,B,1,發長球,,1.0,2.0,,,,1.0,3,853.0,641.0,,,,,8,624.0,366.0,8,719.0,540.0,0
8,2.0,01:01:34,110838.0,6,2,A,2,長球,,,1.0,3,853.0,641.0,1.0,4,799.0,314.0,,,,,9,770.0,631.0,8,659.0,352.0,0
8,3.0,01:01:35,110866.0,6,2,B,2,切球,1.0,,1.0,4,799.0,314.0,2.0,7,545.0,505.0,,,,,4,775.0,311.0,8,688.0,567.0,0
8,4.0,01:01:36,110889.0,6,2,A,2,放小球,,1.0,2.0,7,545.0,505.0,2.0,7,663.0,396.0,,,,,8,606.0,545.0,6,788.0,325.0,0
8,5.0,01:01:37,110920.0,6,2,B,2,挑球,,,2.0,7,663.0,396.0,1.0,4,460.0,622.0,,,,,7,709.0,391.0,8,650.0,521.0,0
8,6.0,01:01:38,110961.0,6,2,A,2,後場抽平球,,1.0,1.0,4,460.0,622.0,2.0,5,467.0,346.0,,,,,9,513.0,617.0,8,631.0,366.0,0
8,7.0,01:01:39,110982.0,6,2,B,3,擋小球,,,2.0,5,467.0,346.0,2.0,1,498.0,439.0,掛網,對手掛網,A,,8,578.0,350.0,8,578.0,587.0,0
9,1.0,01:01:59,111594.0,6,3,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
9,2.0,01:02:00,111610.0,6,3,B,2,挑球,,,2.0,,,,1.0,4,405.0,621.0,,,,,7,561.0,391.0,8,655.0,525.0,0
9,3.0,01:02:01,111643.0,6,3,A,2,過度切球,,1.0,1.0,4,405.0,621.0,2.0,8,696.0,369.0,,,,,4,452.0,628.0,8,579.0,373.0,0
9,4.0,01:02:02,111663.0,6,3,B,2,放小球,,1.0,2.0,8,696.0,369.0,2.0,7,648.0,465.0,,,,,8,614.0,376.0,8,595.0,606.0,0
9,5.0,01:02:02,111688.0,6,3,A,2,推球,,,2.0,7,648.0,465.0,1.0,5,519.0,341.0,,,,,7,614.0,489.0,8,642.0,385.0,0
9,6.0,01:02:03,111715.0,6,3,B,3,點扣,,,1.0,5,519.0,341.0,2.0,4,415.0,617.0,對手落地致勝,落地致勝,B,,8,582.0,358.0,8,627.0,518.0,0
10,1.0,01:02:24,112337.0,7,3,B,1,發短球,,1.0,2.0,,,,2.0,7,617.0,504.0,,,,,8,659.0,368.0,8,536.0,535.0,0
10,2.0,01:02:25,112366.0,7,3,A,2,勾球,,,2.0,7,617.0,504.0,2.0,2,829.0,411.0,,,,,8,547.0,519.0,8,643.0,346.0,0
10,3.0,01:02:26,112395.0,7,3,B,2,放小球,,1.0,2.0,2,829.0,411.0,2.0,1,857.0,461.0,,,,,7,723.0,393.0,8,626.0,525.0,0
