rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:07:48,11710.0,0,1,A,1,發短球,,1.0,2.0,,,,,7,702.0,518.0,,,,,8,625.0,411.0,8,720.0,573.0,0
1,2.0,00:07:49,11729.0,0,1,B,2,勾球,,,2.0,7,702.0,518.0,,1,461.0,449.0,,,,,8,678.0,530.0,8,625.0,412.0,0
1,3.0,00:07:50,11751.0,0,1,A,2,挑球,,,2.0,1,461.0,449.0,,4,402.0,637.0,,,,,7,520.0,437.0,8,619.0,549.0,0
1,4.0,00:07:51,11783.0,0,1,B,2,點扣,1.0,,1.0,4,402.0,637.0,,5,474.0,395.0,,,,,8,495.0,620.0,8,574.0,396.0,0
1,5.0,00:07:51,11794.0,0,1,A,2,勾球,,,2.0,5,474.0,395.0,,7,739.0,516.0,,,,,8,540.0,390.0,8,511.0,609.0,0
1,6.0,00:07:52,11819.0,0,1,B,2,推球,,,2.0,7,739.0,516.0,,9,740.0,370.0,,,,,8,673.0,536.0,8,612.0,398.0,0
1,7.0,00:07:53,11842.0,0,1,A,2,點扣,1.0,,1.0,9,740.0,370.0,,6,438.0,565.0,,,,,8,669.0,383.0,8,693.0,560.0,0
1,8.0,00:07:54,11861.0,0,1,B,2,擋小球,,1.0,2.0,6,438.0,565.0,,1,498.0,451.0,,,,,8,525.0,553.0,8,668.0,379.0,0
1,9.0,00:07:55,11883.0,0,1,A,2,勾球,,,2.0,1,498.0,451.0,,1,879.0,517.0,,,,,8,540.0,421.0,8,542.0,569.0,0
1,10.0,00:07:56,11910.0,0,1,B,2,挑球,,,2.0,1,879.0,517.0,,9,745.0,366.0,,,,,1,829.0,526.0,8,655.0,410.0,0
1,11.0,00:07:57,11943.0,0,1,A,2,點扣,1.0,,1.0,9,745.0,366.0,,5,845.0,565.0,,,,,9,734.0,372.0,8,755.0,549.0,0
1,12.0,00:07:58,11958.0,0,1,B,2,擋小球,,,2.0,5,845.0,565.0,,2,776.0,447.0,,,,,8,769.0,567.0,9,710.0,372.0,0
1,13.0,00:07:59,11984.0,0,1,A,2,推球,,1.0,2.0,2,776.0,447.0,,4,440.0,647.0,,,,,7,733.0,434.0,8,713.0,552.0,0
1,14.0,00:08:00,12016.0,0,1,B,2,長球,1.0,,1.0,4,440.0,647.0,,3,520.0,369.0,,,,,8,486.0,619.0,8,607.0,401.0,0
1,15.0,00:08:01,12047.0,0,1,A,2,長球,,,1.0,3,520.0,369.0,,4,453.0,646.0,,,,,9,537.0,362.0,8,598.0,579.0,0
1,16.0,00:08:03,12078.0,0,1,B,2,長球,1.0,,1.0,4,453.0,646.0,,3,468.0,366.0,,,,,6,473.0,616.0,8,599.0,384.0,0
1,17.0,00:08:04,12105.0,0,1,A,2,過度切球,,,1.0,3,468.0,366.0,,1,811.0,518.0,,,,,3,506.0,372.0,8,554.0,588.0,0
1,18.0,00:08:05,12129.0,0,1,B,2,放小球,,,2.0,1,811.0,518.0,,2,838.0,452.0,,,,,8,746.0,533.0,8,584.0,387.0,0
1,19.0,00:08:06,12154.0,0,1,A,2,推球,,1.0,2.0,2,838.0,452.0,,9,503.0,640.0,,,,,2,782.0,440.0,8,724.0,542.0,0
1,20.0,00:08:07,12179.0,0,1,B,2,長球,1.0,,1.0,9,503.0,640.0,,5,470.0,374.0,,,,,8,565.0,610.0,8,674.0,420.0,0
1,21.0,00:08:08,12204.0,0,1,A,2,過度切球,,,1.0,5,470.0,374.0,2.0,6,412.0,536.0,,,,,5,513.0,378.0,8,559.0,600.0,0
1,22.0,00:08:09,12225.0,0,1,B,3,勾球,,1.0,2.0,6,412.0,536.0,2.0,2,831.0,447.0,對手落地致勝,落地致勝,B,,6,456.0,562.0,8,541.0,385.0,0
2,1.0,00:08:28,12703.0,0,2,B,1,發短球,,1.0,2.0,,,,,8,676.0,426.0,,,,,8,627.0,546.0,8,692.0,394.0,0
2,2.0,00:08:28,12723.0,0,2,A,2,推球,,1.0,2.0,8,676.0,426.0,,4,462.0,646.0,,,,,8,653.0,417.0,8,643.0,551.0,0
2,3.0,00:08:30,12753.0,0,2,B,2,點扣,1.0,,1.0,4,462.0,646.0,,5,484.0,396.0,,,,,8,529.0,618.0,8,588.0,396.0,0
2,4.0,00:08:30,12769.0,0,2,A,2,擋小球,,,2.0,5,484.0,396.0,,2,438.0,509.0,,,,,8,553.0,388.0,8,544.0,608.0,0
2,5.0,00:08:31,12795.0,0,2,B,2,挑球,,1.0,2.0,2,438.0,509.0,,3,508.0,368.0,,,,,2,479.0,515.0,8,588.0,404.0,0
