rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:27:23,41081.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,8,571.0,364.0,,,,,8,655.0,516.0,8,594.0,326.0,0
1,2.0,00:27:23,41098.0,0,1,A,2,放小球,,,2.0,8,571.0,364.0,2.0,2,783.0,439.0,,,,,7,545.0,374.0,8,646.0,510.0,0
1,3.0,00:27:24,41114.0,0,1,B,3,挑球,,,2.0,2,783.0,439.0,2.0,3,506.0,283.0,對手落地致勝,落地致勝,B,,7,728.0,469.0,8,620.0,349.0,0
2,1.0,00:27:40,41516.0,1,1,B,1,發短球,,1.0,2.0,,,,2.0,7,664.0,372.0,,,,,8,631.0,506.0,8,692.0,354.0,0
2,2.0,00:27:41,41532.0,1,1,A,2,放小球,,1.0,2.0,7,664.0,372.0,2.0,7,643.0,436.0,,,,,7,676.0,369.0,8,671.0,524.0,0
2,3.0,00:27:42,41552.0,1,1,B,3,放小球,,1.0,2.0,7,643.0,436.0,2.0,2,440.0,422.0,未過網,對手未過網,A,,7,663.0,463.0,8,649.0,349.0,0
3,1.0,00:27:54,41872.0,2,1,A,1,發短球,,1.0,2.0,,,,2.0,7,585.0,466.0,,,,,8,620.0,348.0,8,560.0,521.0,0
3,2.0,00:27:55,41883.0,2,1,B,2,放小球,,,2.0,7,585.0,466.0,2.0,1,497.0,390.0,,,,,8,561.0,496.0,8,623.0,348.0,0
3,3.0,00:27:56,41902.0,2,1,A,2,放小球,,,2.0,1,497.0,390.0,2.0,1,470.0,435.0,,,,,1,513.0,369.0,8,600.0,512.0,0
3,4.0,00:27:56,41923.0,2,1,B,2,推球,,1.0,2.0,1,470.0,435.0,2.0,3,479.0,281.0,,,,,1,511.0,455.0,8,558.0,357.0,0
3,5.0,00:27:58,41953.0,2,1,A,2,後場抽平球,,,2.0,3,479.0,281.0,1.0,7,752.0,476.0,,,,,3,538.0,291.0,8,600.0,520.0,0
3,6.0,00:27:58,41968.0,2,1,B,2,放小球,,,1.0,7,752.0,476.0,2.0,2,812.0,364.0,,,,,7,653.0,491.0,8,582.0,300.0,0
3,7.0,00:27:59,41986.0,2,1,A,2,挑球,,1.0,2.0,2,812.0,364.0,1.0,3,478.0,620.0,,,,,6,766.0,359.0,8,742.0,520.0,0
3,8.0,00:28:00,42017.0,2,1,B,2,長球,1.0,,1.0,3,478.0,620.0,1.0,3,527.0,285.0,,,,,9,572.0,620.0,8,608.0,327.0,0
3,9.0,00:28:01,42044.0,2,1,A,2,殺球,,,1.0,3,527.0,285.0,2.0,8,510.0,534.0,,,,,9,544.0,291.0,8,591.0,574.0,0
3,10.0,00:28:02,42054.0,2,1,B,2,防守回挑,,1.0,2.0,8,510.0,534.0,1.0,8,585.0,310.0,,,,,8,663.0,561.0,3,523.0,286.0,0
3,11.0,00:28:02,42069.0,2,1,A,2,殺球,,,1.0,8,585.0,310.0,2.0,5,502.0,533.0,,,,,8,576.0,305.0,8,644.0,541.0,0
3,12.0,00:28:03,42078.0,2,1,B,2,防守回挑,,1.0,2.0,5,502.0,533.0,1.0,8,600.0,334.0,,,,,8,686.0,563.0,8,551.0,336.0,0
3,13.0,00:28:03,42093.0,2,1,A,3,殺球,,,1.0,8,600.0,334.0,2.0,8,512.0,578.0,對手落地致勝,落地致勝,A,,8,598.0,329.0,8,688.0,567.0,0
4,1.0,00:28:25,42640.0,3,1,A,1,發短球,,1.0,2.0,,,,2.0,7,693.0,473.0,,,,,8,616.0,347.0,8,714.0,522.0,0
4,2.0,00:28:26,42657.0,3,1,B,2,平球,,1.0,2.0,7,693.0,473.0,2.0,3,504.0,293.0,,,,,8,709.0,495.0,8,647.0,349.0,0
4,3.0,00:28:27,42686.0,3,1,A,2,後場抽平球,,,2.0,3,504.0,293.0,1.0,5,471.0,497.0,,,,,9,559.0,288.0,8,617.0,520.0,0
4,4.0,00:28:28,42700.0,3,1,B,2,擋小球,,1.0,1.0,5,471.0,497.0,2.0,1,486.0,367.0,,,,,8,515.0,515.0,9,574.0,292.0,0
4,5.0,00:28:28,42721.0,3,1,A,2,放小球,,,2.0,1,486.0,367.0,2.0,1,463.0,433.0,,,,,5,516.0,357.0,8,584.0,519.0,0
4,6.0,00:28:29,42744.0,3,1,B,2,挑球,,1.0,2.0,1,463.0,433.0,1.0,3,534.0,293.0,,,,,1,499.0,453.0,8,573.0,353.0,0
4,7.0,00:28:30,42768.0,3,1,A,2,長球,,,1.0,3,534.0,293.0,1.0,8,780.0,557.0,,,,,9,556.0,289.0,8,600.0,524.0,0
4,8.0,00:28:31,42788.0,3,1,B,2,點扣,,,1.0,8,780.0,557.0,2.0,8,549.0,328.0,,,,,8,699.0,547.0,8,596.0,299.0,0
4,9.0,00:28:32,42801.0,3,1,A,2,擋小球,,,2.0,8,549.0,328.0,2.0,7,543.0,453.0,,,,,8,623.0,320.0,6,838.0,608.0,0
4,10.0,00:28:33,42825.0,3,1,B,2,勾球,,1.0,2.0,7,543.0,453.0,2.0,2,783.0,383.0,,,,,8,577.0,495.0,8,553.0,333.0,0
4,11.0,00:28:33,42846.0,3,1,A,2,平球,,1.0,2.0,2,783.0,383.0,1.0,3,419.0,618.0,,,,,8,740.0,362.0,8,639.0,516.0,0
4,12.0,00:28:35,42876.0,3,1,B,2,長球,1.0,,1.0,3,419.0,618.0,1.0,3,489.0,286.0,,,,,8,575.0,606.0,8,611.0,325.0,0
4,13.0,00:28:36,42900.0,3,1,A,2,殺球,,,1.0,3,489.0,286.0,2.0,5,453.0,539.0,,,,,3,524.0,288.0,8,577.0,575.0,0
4,14.0,00:28:36,42910.0,3,1,B,2,防守回挑,,1.0,2.0,5,453.0,539.0,1.0,5,524.0,327.0,,,,,8,661.0,559.0,15,457.0,306.0,0
