rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:01:14,1874.0,1,0,B,1,發短球,,1.0,2.0,,,,2.0,1,483.0,420.0,,,,,8,657.0,532.0,8,560.0,376.0,0
1,2.0,00:01:15,1891.0,1,0,A,2,勾球,,,2.0,1,483.0,420.0,2.0,7,795.0,476.0,,,,,7,495.0,413.0,8,646.0,528.0,0
1,3.0,00:01:16,1911.0,1,0,B,2,挑球,,,2.0,7,795.0,476.0,1.0,5,492.0,352.0,,,,,7,776.0,501.0,8,631.0,402.0,0
1,4.0,00:01:17,1941.0,1,0,A,2,殺球,,,1.0,5,492.0,352.0,2.0,5,440.0,568.0,,,,,8,535.0,354.0,8,633.0,547.0,0
1,5.0,00:01:18,1951.0,1,0,B,2,擋小球,,1.0,2.0,5,440.0,568.0,2.0,8,593.0,408.0,,,,,8,694.0,573.0,3,438.0,346.0,0
1,6.0,00:01:19,1978.0,1,0,A,2,推球,,1.0,2.0,8,593.0,408.0,1.0,4,902.0,640.0,,,,,8,536.0,397.0,8,608.0,546.0,0
1,7.0,00:01:20,2005.0,1,0,B,3,長球,,,1.0,4,902.0,640.0,2.0,12,903.0,338.0,出界,對手出界,A,,8,804.0,610.0,8,651.0,374.0,0
2,1.0,00:01:33,2342.0,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7,525.0,503.0,,,,,8,646.0,390.0,8,486.0,568.0,0
2,2.0,00:01:34,2358.0,2,0,B,2,勾球,,1.0,2.0,7,525.0,503.0,2.0,2,830.0,433.0,,,,,7,567.0,515.0,8,636.0,385.0,0
2,3.0,00:01:35,2378.0,2,0,A,2,挑球,,1.0,2.0,2,830.0,433.0,1.0,3,380.0,633.0,,,,,8,778.0,408.0,8,653.0,529.0,0
2,4.0,00:01:36,2408.0,2,0,B,2,點扣,1.0,,1.0,3,380.0,633.0,2.0,5,437.0,367.0,,,,,8,516.0,618.0,8,614.0,364.0,0
2,5.0,00:01:36,2421.0,2,0,A,2,勾球,,,2.0,5,437.0,367.0,2.0,7,738.0,504.0,,,,,8,523.0,366.0,5,426.0,604.0,0
2,6.0,00:01:37,2445.0,2,0,B,2,放小球,,,2.0,7,738.0,504.0,2.0,2,826.0,429.0,,,,,8,681.0,525.0,8,596.0,363.0,0
2,7.0,00:01:38,2469.0,2,0,A,2,挑球,,1.0,2.0,2,826.0,429.0,1.0,9,565.0,643.0,,,,,7,768.0,411.0,8,716.0,537.0,0
2,8.0,00:01:40,2503.0,2,0,B,2,切球,,,1.0,9,565.0,643.0,2.0,7,780.0,423.0,,,,,9,562.0,647.0,8,623.0,369.0,0
2,9.0,00:01:41,2525.0,2,0,A,2,挑球,,1.0,2.0,7,780.0,423.0,1.0,4,921.0,645.0,,,,,8,748.0,397.0,8,646.0,607.0,0
2,10.0,00:01:42,2556.0,2,0,B,2,切球,,,1.0,4,921.0,645.0,2.0,7,494.0,412.0,,,,,4,906.0,648.0,8,667.0,378.0,0
2,11.0,00:01:43,2576.0,2,0,A,2,放小球,,,2.0,7,494.0,412.0,2.0,1,368.0,470.0,,,,,8,541.0,393.0,8,750.0,588.0,0
2,12.0,00:01:44,2602.0,2,0,B,2,放小球,,1.0,2.0,1,368.0,470.0,1.0,1,386.0,448.0,,,,,1,428.0,484.0,8,524.0,388.0,0
2,13.0,00:01:44,2617.0,2,0,A,3,勾球,,,1.0,1,386.0,448.0,2.0,2,919.0,471.0,對手落地致勝,落地致勝,A,,1,412.0,416.0,1,435.0,468.0,0
3,1.0,00:02:01,3045.0,2,1,A,1,發短球,,1.0,2.0,,,,2.0,7,714.0,508.0,,,,,8,629.0,389.0,8,745.0,570.0,0
3,2.0,00:02:02,3065.0,2,1,B,2,挑球,,1.0,2.0,7,714.0,508.0,1.0,9,785.0,344.0,,,,,8,777.0,526.0,8,658.0,387.0,0
3,3.0,00:02:03,3098.0,2,1,A,2,長球,,,1.0,9,785.0,344.0,1.0,4,942.0,645.0,,,,,9,770.0,348.0,8,741.0,565.0,0
3,4.0,00:02:05,3132.0,2,1,B,2,長球,,,1.0,4,942.0,645.0,1.0,4,812.0,349.0,,,,,4,914.0,628.0,8,661.0,374.0,0
3,5.0,00:02:06,3164.0,2,1,A,2,長球,1.0,,1.0,4,812.0,349.0,1.0,9,446.0,628.0,,,,,8,775.0,355.0,8,703.0,553.0,0
3,6.0,00:02:07,3194.0,2,1,B,2,點扣,,,1.0,9,446.0,628.0,2.0,8,519.0,376.0,,,,,8,514.0,608.0,8,641.0,362.0,0
3,7.0,00:02:08,3208.0,2,1,A,2,勾球,,,2.0,8,519.0,376.0,2.0,2,849.0,472.0,,,,,8,548.0,374.0,8,456.0,612.0,0
3,8.0,00:02:09,3234.0,2,1,B,2,挑球,,,2.0,2,849.0,472.0,1.0,3,490.0,341.0,,,,,7,795.0,504.0,8,656.0,378.0,0
3,9.0,00:02:10,3272.0,2,1,A,2,長球,,,1.0,3,490.0,341.0,1.0,9,482.0,627.0,,,,,9,558.0,337.0,8,626.0,541.0,0
3,10.0,00:02:11,3298.0,2,1,B,2,切球,,,1.0,9,482.0,627.0,2.0,6,816.0,407.0,,,,,8,513.0,604.0,8,575.0,364.0,0
3,11.0,00:02:12,3320.0,2,1,A,3,放小球,,1.0,2.0,6,816.0,407.0,2.0,7,813.0,460.0,掛網,對手掛網,B,,8,781.0,398.0,8,571.0,572.0,0
4,1.0,00:02:32,3813.0,3,1,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
4,2.0,00:02:33,3846.0,3,1,A,2,挑球,,1.0,2.0,,,,1.0,9,817.0,637.0,,,,,8,667.0,400.0,8,641.0,530.0,0
4,3.0,00:02:34,3872.0,3,1,B,2,殺球,,,1.0,9,817.0,637.0,2.0,6,871.0,360.0,,,,,8,711.0,610.0,8,655.0,373.0,0
4,4.0,00:02:35,3884.0,3,1,A,2,擋小球,,1.0,2.0,6,871.0,360.0,1.0,7,725.0,476.0,,,,,8,622.0,365.0,9,786.0,637.0,0
4,5.0,00:02:36,3904.0,3,1,B,3,勾球,,1.0,1.0,7,725.0,476.0,2.0,10,933.0,416.0,出界,對手出界,A,,8,796.0,520.0,8,674.0,361.0,0
5,1.0,00:02:58,4459.0,4,1,A,1,發短球,,1.0,2.0,,,,2.0,1,452.0,507.0,,,,,8,655.0,394.0,8,484.0,571.0,0
5,2.0,00:02:59,4477.0,4,1,B,2,推球,,1.0,2.0,1,452.0,507.0,1.0,3,464.0,343.0,,,,,7,504.0,514.0,8,622.0,370.0,0
5,3.0,00:02:59,4495.0,4,1,A,3,切球,,,1.0,3,464.0,343.0,2.0,1,364.0,501.0,對手落地致勝,落地致勝,A,,8,559.0,356.0,8,607.0,542.0,0
6,1.0,00:03:14,4851.0,4,2,A,1,發短球,,1.0,2.0,,,,2.0,7,741.0,492.0,,,,,8,623.0,393.0,8,743.0,570.0,0
6,2.0,00:03:14,4868.0,4,2,B,2,放小球,,,2.0,7,741.0,492.0,2.0,1,470.0,432.0,,,,,7,753.0,508.0,8,642.0,395.0,0
6,3.0,00:03:15,4888.0,4,2,A,2,放小球,,,2.0,1,470.0,432.0,2.0,1,425.0,466.0,,,,,7,544.0,418.0,8,638.0,523.0,0
6,4.0,00:03:16,4909.0,4,2,B,2,挑球,,1.0,2.0,1,425.0,466.0,1.0,4,837.0,344.0,,,,,7,482.0,487.0,8,563.0,399.0,0
6,5.0,00:03:17,4944.0,4,2,A,2,長球,,1.0,1.0,4,837.0,344.0,1.0,9,789.0,634.0,,,,,13,778.0,332.0,8,677.0,543.0,0
