rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:02:53,4334.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,7,710.0,512.0,,,,,8,621.0,389.0,8,739.0,558.0,0
1,2.0,00:02:54,4352.0,0,1,A,2,挑球,,,2.0,7,710.0,512.0,1.0,3,482.0,341.0,,,,,7,712.0,512.0,8,623.0,390.0,0
1,3.0,00:02:55,4381.0,0,1,B,2,長球,,,1.0,3,482.0,341.0,1.0,3,372.0,636.0,,,,,9,533.0,345.0,8,580.0,561.0,0
1,4.0,00:02:56,4410.0,0,1,A,2,點扣,1.0,,1.0,3,372.0,636.0,2.0,6,837.0,386.0,,,,,9,446.0,635.0,8,565.0,362.0,0
1,5.0,00:02:57,4425.0,0,1,B,2,擋小球,,1.0,2.0,6,837.0,386.0,2.0,7,810.0,504.0,,,,,8,703.0,381.0,9,424.0,644.0,0
1,6.0,00:02:57,4449.0,0,1,A,2,推球,,,2.0,7,810.0,504.0,1.0,6,846.0,366.0,,,,,8,779.0,524.0,8,722.0,369.0,0
1,7.0,00:02:58,4460.0,0,1,B,2,長球,,1.0,1.0,6,846.0,366.0,1.0,5,417.0,617.0,,,,,8,669.0,377.0,8,785.0,528.0,0
1,8.0,00:02:59,4487.0,0,1,A,2,長球,1.0,,1.0,5,417.0,617.0,1.0,9,723.0,342.0,,,,,8,538.0,599.0,8,608.0,377.0,0
1,9.0,00:03:00,4521.0,0,1,B,2,切球,,,1.0,9,723.0,342.0,2.0,1,362.0,500.0,,,,,8,710.0,354.0,8,644.0,580.0,0
1,10.0,00:03:01,4544.0,0,1,A,2,放小球,,1.0,2.0,1,362.0,500.0,1.0,1,397.0,447.0,,,,,1,425.0,520.0,8,676.0,363.0,0
1,11.0,00:03:02,4568.0,0,1,B,2,撲球,,,1.0,1,397.0,447.0,2.0,5,429.0,553.0,,,,,1,461.0,430.0,8,460.0,529.0,0
1,12.0,00:03:03,4576.0,0,1,A,3,擋小球,,1.0,2.0,5,429.0,553.0,2.0,5,323.0,630.0,未過網,對手未過網,B,,8,544.0,566.0,1,406.0,437.0,0
2,1.0,00:03:13,4843.0,0,2,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
2,2.0,00:03:16,4910.0,0,2,A,2,挑球,,1.0,2.0,,,,1.0,3,477.0,347.0,,,,,8,592.0,530.0,8,631.0,388.0,0
2,3.0,00:03:17,4934.0,0,2,B,2,後場抽平球,,,1.0,3,477.0,347.0,1.0,5,400.0,578.0,,,,,9,524.0,346.0,8,637.0,553.0,0
2,4.0,00:03:17,4945.0,0,2,A,2,防守回挑,,1.0,1.0,5,400.0,578.0,1.0,9,777.0,345.0,,,,,8,647.0,571.0,8,533.0,360.0,0
2,5.0,00:03:18,4971.0,0,2,B,2,長球,1.0,,1.0,9,777.0,345.0,1.0,4,892.0,651.0,,,,,8,732.0,362.0,8,709.0,572.0,0
2,6.0,00:03:19,4998.0,0,2,A,3,點扣,,,1.0,4,892.0,651.0,2.0,15,334.0,382.0,出界,對手出界,B,,9,845.0,641.0,8,676.0,368.0,0
3,1.0,00:03:33,5333.0,0,3,A,1,挑球,,1.0,2.0,,,,1.0,9,789.0,350.0,,,,,7,757.0,515.0,8,627.0,390.0,0
3,2.0,00:03:34,5358.0,0,3,B,2,長球,1.0,,1.0,9,789.0,350.0,1.0,4,917.0,648.0,,,,,8,732.0,356.0,8,722.0,555.0,0
3,3.0,00:03:35,5384.0,0,3,A,2,長球,,,1.0,4,917.0,648.0,1.0,3,473.0,342.0,,,,,9,865.0,639.0,8,680.0,362.0,0
3,4.0,00:03:36,5414.0,0,3,B,2,過度切球,,,1.0,3,473.0,342.0,2.0,1,435.0,489.0,,,,,3,475.0,344.0,8,664.0,582.0,0
3,5.0,00:03:37,5434.0,0,3,A,2,挑球,,1.0,2.0,1,435.0,489.0,1.0,4,802.0,340.0,,,,,8,487.0,522.0,8,546.0,351.0,0
3,6.0,00:03:38,5464.0,0,3,B,2,過度切球,,1.0,1.0,4,802.0,340.0,1.0,7,682.0,497.0,,,,,8,718.0,361.0,8,716.0,565.0,0
3,7.0,00:03:39,5480.0,0,3,A,2,推球,,,1.0,7,682.0,497.0,1.0,8,496.0,373.0,,,,,7,660.0,506.0,8,723.0,359.0,0
3,8.0,00:03:39,5492.0,0,3,B,2,擋小球,,,1.0,8,496.0,373.0,2.0,5,400.0,544.0,,,,,8,593.0,374.0,8,648.0,523.0,0
3,9.0,00:03:40,5511.0,0,3,A,2,挑球,,1.0,2.0,5,400.0,544.0,1.0,4,792.0,348.0,,,,,5,425.0,551.0,8,546.0,373.0,0
