rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:56,12500.0,1,0,A,1,發長球,,,2.0,,,,1.0,9,788.0,641.0,,,,,8,623.0,371.0,8,752.0,556.0,0
1,2.0,00:06:58,12558.0,1,0,B,2,點扣,1.0,,1.0,9,788.0,641.0,2.0,8,538.0,354.0,,,,,9,780.0,637.0,8,647.0,347.0,0
1,3.0,00:06:59,12572.0,1,0,A,2,擋小球,,,2.0,8,538.0,354.0,2.0,7,520.0,489.0,,,,,8,642.0,350.0,8,741.0,607.0,0
1,4.0,00:07:00,12602.0,1,0,B,2,推球,,,2.0,7,520.0,489.0,1.0,4,752.0,309.0,,,,,8,596.0,524.0,8,639.0,348.0,0
1,5.0,00:07:01,12631.0,1,0,A,2,點扣,1.0,,1.0,4,752.0,309.0,2.0,6,448.0,549.0,,,,,9,700.0,312.0,8,656.0,559.0,0
1,6.0,00:07:01,12653.0,1,0,B,2,推球,,,2.0,6,448.0,549.0,1.0,8,529.0,332.0,,,,,8,602.0,542.0,13,709.0,304.0,0
1,7.0,00:07:02,12677.0,1,0,A,2,切球,,,1.0,8,529.0,332.0,2.0,2,493.0,490.0,,,,,8,576.0,336.0,8,570.0,544.0,0
1,8.0,00:07:03,12700.0,1,0,B,2,放小球,,,2.0,2,493.0,490.0,2.0,1,505.0,408.0,,,,,8,519.0,509.0,8,582.0,333.0,0
1,9.0,00:07:04,12726.0,1,0,A,2,推球,,,2.0,1,505.0,408.0,1.0,9,804.0,630.0,,,,,7,557.0,402.0,7,547.0,502.0,0
1,10.0,00:07:05,12760.0,1,0,B,2,長球,,1.0,1.0,9,804.0,630.0,1.0,6,772.0,325.0,,,,,8,718.0,597.0,8,636.0,379.0,0
1,11.0,00:07:06,12793.0,1,0,A,2,點扣,1.0,,1.0,6,772.0,325.0,2.0,5,828.0,545.0,,,,,4,758.0,315.0,8,711.0,585.0,0
1,12.0,00:07:07,12811.0,1,0,B,2,勾球,,1.0,2.0,5,828.0,545.0,2.0,5,492.0,387.0,,,,,8,737.0,550.0,8,734.0,325.0,0
1,13.0,00:07:08,12842.0,1,0,A,2,放小球,,,2.0,5,492.0,387.0,2.0,2,454.0,474.0,,,,,8,576.0,354.0,8,660.0,574.0,0
1,14.0,00:07:09,12870.0,1,0,B,2,推球,,,2.0,2,454.0,474.0,2.0,3,490.0,315.0,,,,,7,539.0,499.0,8,592.0,377.0,0
