rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:07:06,12780.0,1,0,B,1,發短球,,1.0,2.0,,,,2.0,7,704.0,483.0,,,,,8,624.0,373.0,8,753.0,528.0,0
1,2.0,00:07:06,12801.0,1,0,A,2,挑球,,1.0,2.0,7,704.0,483.0,1.0,4,758.0,315.0,,,,,7,660.0,500.0,8,626.0,371.0,0
1,3.0,00:07:07,12832.0,1,0,B,3,殺球,1.0,,1.0,4,758.0,315.0,2.0,2,820.0,442.0,掛網,對手掛網,A,,8,663.0,338.0,8,733.0,543.0,0
2,1.0,00:07:24,13340.0,1,1,A,1,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
2,2.0,00:07:25,13370.0,1,1,B,2,點扣,1.0,,1.0,,,,2.0,8,786.0,539.0,,,,,8,695.0,353.0,8,711.0,553.0,0
2,3.0,00:07:26,13383.0,1,1,A,2,擋小球,,1.0,2.0,8,786.0,539.0,2.0,8,680.0,379.0,,,,,8,636.0,555.0,8,676.0,344.0,0
2,4.0,00:07:26,13406.0,1,1,B,2,放小球,,1.0,2.0,8,680.0,379.0,2.0,7,512.0,465.0,,,,,8,643.0,368.0,8,688.0,553.0,0
2,5.0,00:07:27,13430.0,1,1,A,2,挑球,,,2.0,7,512.0,465.0,1.0,8,713.0,324.0,,,,,7,575.0,503.0,8,611.0,362.0,0
2,6.0,00:07:28,13454.0,1,1,B,2,點扣,1.0,,1.0,8,713.0,324.0,2.0,6,464.0,537.0,,,,,8,651.0,341.0,8,594.0,534.0,0
2,7.0,00:07:29,13472.0,1,1,A,3,擋小球,,,2.0,6,464.0,537.0,2.0,10,353.0,464.0,未過網,對手未過網,B,,8,626.0,547.0,8,659.0,330.0,0
3,1.0,00:07:43,13897.0,2,1,B,1,發短球,,1.0,2.0,,,,2.0,7,597.0,462.0,,,,,8,651.0,373.0,8,559.0,550.0,0
3,2.0,00:07:44,13921.0,2,1,A,2,挑球,,1.0,2.0,7,597.0,462.0,1.0,8,540.0,326.0,,,,,7,562.0,492.0,8,629.0,369.0,0
3,3.0,00:07:44,13939.0,2,1,B,2,點扣,,,1.0,8,540.0,326.0,2.0,6,435.0,544.0,,,,,8,598.0,354.0,8,570.0,509.0,0
3,4.0,00:07:45,13954.0,2,1,A,2,擋小球,,,2.0,6,435.0,544.0,2.0,7,529.0,405.0,,,,,8,568.0,562.0,8,558.0,335.0,0
3,5.0,00:07:46,14008.0,2,1,B,2,放小球,,,2.0,7,529.0,405.0,2.0,7,519.0,455.0,,,,,7,565.0,394.0,8,561.0,551.0,0
3,6.0,00:07:46,14008.0,2,1,A,2,挑球,,,2.0,7,519.0,455.0,1.0,9,750.0,310.0,,,,,7,560.0,480.0,8,594.0,381.0,0
