rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:29,11678.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,5,512.0,379.0,,,,,8,645.0,530.0,8,555.0,351.0,0
1,2.0,00:06:30,11702.0,0,1,B,2,勾球,,,2.0,5,512.0,379.0,2.0,1,804.0,483.0,,,,,8,554.0,381.0,8,669.0,554.0,0
1,3.0,00:06:31,11732.0,0,1,A,3,放小球,,1.0,2.0,1,804.0,483.0,2.0,1,802.0,456.0,掛網,對手掛網,B,,7,756.0,500.0,8,652.0,374.0,0
2,1.0,00:06:47,12210.0,1,1,B,1,發短球,,1.0,2.0,,,,2.0,7,602.0,505.0,,,,,8,639.0,370.0,8,580.0,527.0,0
2,2.0,00:06:47,12235.0,1,1,A,2,推球,,1.0,2.0,7,602.0,505.0,2.0,3,503.0,316.0,,,,,7,567.0,502.0,8,650.0,380.0,0
2,3.0,00:06:48,12266.0,1,1,B,2,長球,,,2.0,3,503.0,316.0,1.0,6,399.0,590.0,,,,,9,580.0,323.0,8,625.0,542.0,0
2,4.0,00:06:49,12295.0,1,1,A,2,長球,,,1.0,6,399.0,590.0,1.0,4,772.0,327.0,,,,,8,494.0,578.0,8,591.0,340.0,0
2,5.0,00:06:50,12329.0,1,1,B,2,切球,1.0,,1.0,4,772.0,327.0,2.0,1,820.0,480.0,,,,,8,680.0,346.0,8,610.0,571.0,0
2,6.0,00:06:51,12355.0,1,1,A,2,放小球,,1.0,2.0,1,820.0,480.0,2.0,2,798.0,413.0,,,,,7,768.0,509.0,8,702.0,336.0,0
2,7.0,00:06:52,12383.0,1,1,B,2,推球,,1.0,2.0,2,798.0,413.0,1.0,8,486.0,578.0,,,,,7,752.0,409.0,8,706.0,518.0,0
2,8.0,00:06:53,12411.0,1,1,A,2,點扣,,,1.0,8,486.0,578.0,2.0,8,609.0,370.0,,,,,8,555.0,592.0,8,657.0,385.0,0
