rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:31:29,56675.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,738.0,496.0,,,,,8,628.0,373.0,8,727.0,569.0,0
1,2.0,00:31:29,56696.0,1,0,B,2,放小球,,1.0,2.0,7,738.0,496.0,2.0,2,848.0,408.0,,,,,7,765.0,504.0,8,644.0,372.0,0
1,3.0,00:31:30,56725.0,1,0,A,2,挑球,,,2.0,2,848.0,408.0,1.0,8,798.0,599.0,,,,,2,794.0,400.0,8,743.0,528.0,0
1,4.0,00:31:32,56761.0,1,0,B,2,殺球,,,1.0,8,798.0,599.0,2.0,6,808.0,353.0,,,,,8,781.0,604.0,8,704.0,358.0,0
1,5.0,00:31:32,56777.0,1,0,A,2,擋小球,,,2.0,6,808.0,353.0,2.0,1,803.0,476.0,,,,,8,747.0,346.0,9,773.0,621.0,0
1,6.0,00:31:33,56804.0,1,0,B,3,推球,,,2.0,1,803.0,476.0,2.0,12,899.0,312.0,出界,對手出界,A,,7,745.0,506.0,8,712.0,345.0,0
2,1.0,00:31:50,57305.0,1,1,A,1,發短球,,1.0,2.0,,,,2.0,7,617.0,498.0,,,,,8,650.0,367.0,8,549.0,562.0,0
2,2.0,00:31:50,57328.0,1,1,B,2,推球,,1.0,2.0,7,617.0,498.0,1.0,8,535.0,339.0,,,,,7,645.0,508.0,8,643.0,362.0,0
2,3.0,00:31:51,57351.0,1,1,A,3,平球,1.0,,1.0,8,535.0,339.0,2.0,7,706.0,450.0,未過網,對手未過網,B,,8,621.0,348.0,8,654.0,542.0,0
3,1.0,00:32:16,58087.0,2,1,B,1,發短球,,1.0,2.0,,,,2.0,7,694.0,395.0,,,,,8,628.0,542.0,8,709.0,357.0,0
3,2.0,00:32:16,58106.0,2,1,A,2,放小球,,1.0,2.0,7,694.0,395.0,2.0,7,769.0,466.0,,,,,7,718.0,393.0,8,654.0,550.0,0
