rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:31:01,55830.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,1,828.0,498.0,,,,,8,631.0,371.0,8,758.0,562.0,0
1,2.0,00:31:01,55852.0,1,0,B,2,放小球,,1.0,2.0,1,828.0,498.0,2.0,7,734.0,409.0,,,,,7,763.0,499.0,8,646.0,361.0,0
1,3.0,00:31:02,55878.0,1,0,A,2,挑球,,,2.0,7,734.0,409.0,1.0,9,805.0,632.0,,,,,7,669.0,400.0,8,687.0,515.0,0
1,4.0,00:31:03,55919.0,1,0,B,2,點扣,1.0,,1.0,9,805.0,632.0,2.0,8,559.0,345.0,,,,,8,719.0,615.0,8,666.0,357.0,0
1,5.0,00:31:04,55934.0,1,0,A,2,擋小球,,1.0,2.0,8,559.0,345.0,2.0,7,503.0,504.0,,,,,8,696.0,357.0,9,740.0,640.0,0
1,6.0,00:31:05,55968.0,1,0,B,2,挑球,,,2.0,7,503.0,504.0,1.0,3,524.0,318.0,,,,,8,528.0,515.0,8,621.0,361.0,0
1,7.0,00:31:06,55999.0,1,0,A,2,點扣,1.0,,1.0,3,524.0,318.0,2.0,8,786.0,562.0,,,,,9,575.0,321.0,8,571.0,546.0,0
1,8.0,00:31:07,56016.0,1,0,B,2,擋小球,,1.0,2.0,8,786.0,562.0,2.0,2,797.0,409.0,,,,,8,581.0,565.0,9,551.0,323.0,0
1,9.0,00:31:08,56047.0,1,0,A,2,放小球,,,2.0,2,797.0,409.0,2.0,1,846.0,460.0,,,,,7,759.0,405.0,8,704.0,535.0,0
1,10.0,00:31:09,56078.0,1,0,B,3,放小球,,1.0,2.0,1,846.0,460.0,2.0,10,889.0,408.0,出界,對手出界,A,,1,781.0,467.0,7,742.0,397.0,0
2,1.0,00:31:26,56596.0,1,1,A,1,發短球,,1.0,2.0,,,,2.0,7,609.0,501.0,,,,,8,646.0,372.0,8,557.0,562.0,0
2,2.0,00:31:27,56616.0,1,1,B,2,推球,,1.0,2.0,7,609.0,501.0,1.0,8,529.0,333.0,,,,,8,538.0,507.0,8,647.0,368.0,0
2,3.0,00:31:27,56634.0,1,1,A,2,擋小球,1.0,,1.0,8,529.0,333.0,2.0,7,598.0,494.0,,,,,8,612.0,343.0,8,564.0,522.0,0
2,4.0,00:31:28,56658.0,1,1,B,2,勾球,,,2.0,7,598.0,494.0,2.0,2,808.0,404.0,,,,,7,614.0,506.0,8,609.0,340.0,0
2,5.0,00:31:29,56684.0,1,1,A,2,挑球,,,2.0,2,808.0,404.0,1.0,4,402.0,636.0,,,,,7,758.0,397.0,8,681.0,525.0,0
2,6.0,00:31:31,56731.0,1,1,B,2,切球,,,1.0,4,402.0,636.0,2.0,5,472.0,373.0,,,,,4,442.0,643.0,8,645.0,356.0,0
2,7.0,00:31:31,56750.0,1,1,A,3,放小球,,1.0,2.0,5,472.0,373.0,2.0,1,440.0,439.0,掛網,對手掛網,B,,8,555.0,363.0,8,529.0,608.0,0
3,1.0,00:31:54,57433.0,2,1,B,1,發長球,,,2.0,,,,1.0,4,792.0,318.0,,,,,8,605.0,525.0,8,707.0,355.0,0
3,2.0,00:31:56,57496.0,2,1,A,2,殺球,,,1.0,4,792.0,318.0,2.0,5,844.0,566.0,,,,,4,770.0,314.0,8,637.0,551.0,0
3,3.0,00:31:57,57511.0,2,1,B,2,擋小球,,1.0,2.0,5,844.0,566.0,2.0,2,784.0,394.0,,,,,8,630.0,562.0,4,765.0,323.0,0
3,4.0,00:31:57,57534.0,2,1,A,2,勾球,,,2.0,2,784.0,394.0,2.0,7,509.0,479.0,,,,,8,748.0,385.0,8,682.0,548.0,0
3,5.0,00:31:58,57559.0,2,1,B,2,挑球,,,2.0,7,509.0,479.0,1.0,9,526.0,320.0,,,,,7,547.0,494.0,8,701.0,366.0,0
3,6.0,00:31:59,57587.0,2,1,A,3,點扣,1.0,,1.0,9,526.0,320.0,2.0,6,458.0,556.0,對手落地致勝,落地致勝,A,,8,585.0,333.0,8,571.0,529.0,0
4,1.0,00:32:22,58271.0,2,2,A,1,發短球,,1.0,2.0,,,,2.0,7,688.0,493.0,,,,,8,631.0,374.0,8,759.0,557.0,0
4,2.0,00:32:23,58294.0,2,2,B,2,挑球,,1.0,2.0,7,688.0,493.0,1.0,3,523.0,317.0,,,,,7,650.0,504.0,8,662.0,366.0,0
4,3.0,00:32:24,58325.0,2,2,A,2,點扣,1.0,,1.0,3,523.0,317.0,2.0,6,467.0,566.0,,,,,8,574.0,326.0,8,586.0,549.0,0
4,4.0,00:32:24,58342.0,2,2,B,2,防守回抽,,,2.0,6,467.0,566.0,1.0,8,545.0,348.0,,,,,8,535.0,568.0,8,553.0,329.0,0
4,5.0,00:32:25,58358.0,2,2,A,2,推球,1.0,,1.0,8,545.0,348.0,2.0,8,714.0,551.0,,,,,8,607.0,343.0,8,575.0,562.0,0
4,6.0,00:32:25,58372.0,2,2,B,2,擋小球,,1.0,2.0,8,714.0,551.0,2.0,7,623.0,395.0,,,,,8,576.0,557.0,8,601.0,358.0,0
4,7.0,00:32:26,58398.0,2,2,A,2,放小球,,1.0,2.0,7,623.0,395.0,2.0,7,537.0,488.0,,,,,8,676.0,385.0,8,637.0,545.0,0
4,8.0,00:32:27,58424.0,2,2,B,2,勾球,,,2.0,7,537.0,488.0,2.0,2,796.0,424.0,,,,,7,565.0,493.0,8,661.0,370.0,0
4,9.0,00:32:28,58452.0,2,2,A,3,挑球,,,2.0,2,796.0,424.0,2.0,7,753.0,438.0,掛網,對手掛網,B,,7,744.0,413.0,8,653.0,512.0,0
5,1.0,00:32:50,59105.0,3,2,B,1,發長球,,,2.0,,,,1.0,9,618.0,314.0,,,,,8,657.0,514.0,8,561.0,350.0,0
5,2.0,00:32:52,59167.0,3,2,A,2,點扣,,,1.0,9,618.0,314.0,2.0,8,501.0,535.0,,,,,9,612.0,312.0,8,594.0,548.0,0
5,3.0,00:32:52,59189.0,3,2,B,2,防守回抽,,,2.0,8,501.0,535.0,1.0,5,515.0,344.0,,,,,8,542.0,553.0,8,637.0,324.0,0
5,4.0,00:32:53,59207.0,3,2,A,2,推球,1.0,,1.0,5,515.0,344.0,2.0,8,603.0,549.0,,,,,8,634.0,347.0,8,561.0,558.0,0
5,5.0,00:32:53,59219.0,3,2,B,2,擋小球,1.0,,2.0,8,603.0,549.0,2.0,8,703.0,387.0,,,,,8,555.0,557.0,8,609.0,352.0,0
5,6.0,00:32:54,59238.0,3,2,A,2,挑球,,,2.0,8,703.0,387.0,1.0,4,476.0,616.0,,,,,8,675.0,371.0,8,617.0,552.0,0
5,7.0,00:32:55,59268.0,3,2,B,2,切球,,,1.0,4,476.0,616.0,2.0,7,532.0,397.0,,,,,9,509.0,615.0,8,632.0,360.0,0
5,8.0,00:32:56,59292.0,3,2,A,2,放小球,,1.0,2.0,7,532.0,397.0,2.0,2,477.0,481.0,,,,,7,586.0,392.0,8,593.0,583.0,0
5,9.0,00:32:57,59320.0,3,2,B,2,挑球,,,2.0,2,477.0,481.0,1.0,9,525.0,315.0,,,,,7,503.0,493.0,8,610.0,365.0,0
5,10.0,00:32:58,59358.0,3,2,A,2,切球,,,1.0,9,525.0,315.0,2.0,2,465.0,503.0,,,,,9,527.0,316.0,8,586.0,534.0,0
5,11.0,00:32:59,59385.0,3,2,B,2,勾球,,,2.0,2,465.0,503.0,2.0,7,752.0,414.0,,,,,6,485.0,522.0,9,590.0,317.0,0
5,12.0,00:33:00,59414.0,3,2,A,2,放小球,,,2.0,7,752.0,414.0,2.0,1,828.0,456.0,,,,,7,723.0,409.0,8,526.0,526.0,0
5,13.0,00:33:01,59440.0,3,2,B,2,挑球,,1.0,2.0,1,828.0,456.0,1.0,9,598.0,321.0,,,,,7,758.0,473.0,7,728.0,407.0,0
5,14.0,00:33:02,59479.0,3,2,A,2,長球,1.0,,1.0,9,598.0,321.0,1.0,6,483.0,570.0,,,,,8,622.0,333.0,8,636.0,521.0,0
5,15.0,00:33:03,59501.0,3,2,B,2,切球,,,1.0,6,483.0,570.0,2.0,1,485.0,393.0,,,,,8,557.0,566.0,8,625.0,335.0,0
5,16.0,00:33:04,59526.0,3,2,A,2,放小球,,1.0,2.0,1,485.0,393.0,2.0,2,474.0,471.0,,,,,8,522.0,387.0,8,552.0,575.0,0
5,17.0,00:33:05,59557.0,3,2,B,3,挑球,,,2.0,2,474.0,471.0,2.0,13,557.0,295.0,出界,對手出界,A,,7,518.0,489.0,8,597.0,361.0,0
6,1.0,00:33:36,60506.0,4,2,A,1,未知球種,,,2.0,,,,2.0,13,557.0,295.0,,,,1,7,518.0,489.0,8,597.0,361.0,0
6,2.0,00:33:37,60521.0,4,2,B,2,放小球,,,2.0,13,557.0,295.0,2.0,1,490.0,406.0,,,,,7,516.0,490.0,8,646.0,369.0,0
6,3.0,00:33:38,60546.0,4,2,A,2,放小球,,1.0,2.0,1,490.0,406.0,2.0,2,447.0,463.0,,,,,7,533.0,402.0,7,579.0,504.0,0
6,4.0,00:33:39,60574.0,4,2,B,2,挑球,,,2.0,2,447.0,463.0,1.0,3,508.0,317.0,,,,,2,492.0,472.0,8,572.0,380.0,0
6,5.0,00:33:40,60604.0,4,2,A,3,點扣,1.0,,1.0,3,508.0,317.0,2.0,5,885.0,547.0,對手落地致勝,落地致勝,A,,8,618.0,333.0,8,562.0,528.0,0
7,1.0,00:34:03,61304.0,4,3,A,1,發長球,,1.0,2.0,,,,1.0,8,771.0,590.0,,,,,8,629.0,375.0,8,754.0,558.0,0
7,2.0,00:34:04,61336.0,4,3,B,2,長球,1.0,,1.0,8,771.0,590.0,1.0,9,562.0,316.0,,,,,8,716.0,574.0,8,678.0,359.0,0
7,3.0,00:34:05,61375.0,4,3,A,3,點扣,1.0,,1.0,9,562.0,316.0,2.0,7,698.0,437.0,掛網,對手掛網,B,,9,578.0,321.0,8,604.0,560.0,0
8,1.0,00:34:26,61991.0,5,3,B,1,發長球,,,2.0,,,,1.0,4,780.0,319.0,,,,,8,609.0,521.0,8,700.0,346.0,0
8,2.0,00:34:28,62055.0,5,3,A,3,殺球,,,1.0,4,780.0,319.0,2.0,5,855.0,583.0,對手落地致勝,落地致勝,A,,4,770.0,319.0,8,619.0,554.0,0
9,1.0,00:34:46,62584.0,6,3,A,1,未知球種,,,2.0,,,,2.0,6,855.0,583.0,,,,1,4,770.0,319.0,8,619.0,554.0,0
9,2.0,00:34:47,62624.0,6,3,B,2,挑球,,1.0,2.0,5,855.0,583.0,1.0,3,523.0,317.0,,,,,8,532.0,511.0,8,640.0,366.0,0
9,3.0,00:34:48,62656.0,6,3,A,2,切球,1.0,,1.0,3,523.0,317.0,2.0,7,769.0,503.0,,,,,9,555.0,321.0,8,592.0,551.0,0
9,4.0,00:34:49,62677.0,6,3,B,2,放小球,,1.0,2.0,7,769.0,503.0,2.0,7,697.0,401.0,,,,,8,733.0,537.0,9,556.0,315.0,0
9,5.0,00:34:50,62704.0,6,3,A,2,放小球,,,2.0,7,697.0,401.0,2.0,7,713.0,470.0,,,,,7,664.0,402.0,8,660.0,536.0,0
9,6.0,00:34:50,62726.0,6,3,B,3,放小球,,1.0,2.0,7,713.0,470.0,2.0,7,679.0,447.0,掛網,對手掛網,A,,7,647.0,478.0,8,671.0,384.0,0
10,1.0,00:35:09,63285.0,7,3,A,1,發短球,,1.0,2.0,,,,2.0,7,715.0,490.0,,,,,8,627.0,376.0,8,760.0,563.0,0
10,2.0,00:35:10,63310.0,7,3,B,2,放小球,,,2.0,7,715.0,490.0,2.0,2,858.0,412.0,,,,,7,739.0,499.0,8,647.0,364.0,0
10,3.0,00:35:11,63336.0,7,3,A,2,挑球,,,2.0,2,858.0,412.0,1.0,3,912.0,636.0,,,,,2,782.0,405.0,8,732.0,523.0,0
10,4.0,00:35:12,63380.0,7,3,B,2,點扣,1.0,,1.0,3,912.0,636.0,2.0,8,531.0,350.0,,,,,3,821.0,622.0,8,716.0,355.0,0
10,5.0,00:35:13,63397.0,7,3,A,2,擋小球,,1.0,2.0,8,531.0,350.0,2.0,7,531.0,493.0,,,,,8,693.0,351.0,3,872.0,621.0,0
10,6.0,00:35:14,63427.0,7,3,B,2,放小球,,,2.0,7,531.0,493.0,2.0,7,666.0,404.0,,,,,8,572.0,509.0,8,588.0,355.0,0
10,7.0,00:35:15,63454.0,7,3,A,2,挑球,,,2.0,7,666.0,404.0,1.0,8,791.0,592.0,,,,,7,633.0,396.0,8,589.0,521.0,0
10,8.0,00:35:16,63482.0,7,3,B,2,點扣,1.0,,1.0,8,791.0,592.0,2.0,6,818.0,358.0,,,,,8,637.0,570.0,8,679.0,369.0,0
10,9.0,00:35:16,63502.0,7,3,A,2,勾球,,,2.0,6,818.0,358.0,2.0,2,409.0,492.0,,,,,6,773.0,361.0,8,658.0,582.0,0
10,10.0,00:35:17,63532.0,7,3,B,2,挑球,,,2.0,2,409.0,492.0,1.0,3,493.0,319.0,,,,,2,476.0,504.0,8,659.0,343.0,0
10,11.0,00:35:18,63560.0,7,3,A,2,點扣,1.0,,1.0,3,493.0,319.0,2.0,6,472.0,555.0,,,,,8,553.0,325.0,8,547.0,534.0,0
