rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:29:42,53461.0,0,1,A,1,發長球,,,2.0,,,,1.0,9,531.0,314.0,,,,,8,670.0,543.0,8,561.0,338.0,0
1,2.0,00:29:44,53522.0,0,1,B,2,長球,,,1.0,9,531.0,314.0,2.0,8,776.0,608.0,,,,,9,530.0,314.0,8,640.0,548.0,0
1,3.0,00:29:45,53559.0,0,1,A,2,過度切球,,,2.0,8,776.0,608.0,1.0,2,830.0,416.0,,,,,9,727.0,626.0,8,697.0,359.0,0
1,4.0,00:29:46,53585.0,0,1,B,2,放小球,,1.0,1.0,2,830.0,416.0,2.0,1,813.0,465.0,,,,,2,790.0,394.0,8,723.0,576.0,0
1,5.0,00:29:47,53616.0,0,1,A,2,放小球,,,2.0,1,813.0,465.0,2.0,2,769.0,408.0,,,,,1,790.0,486.0,8,717.0,372.0,0
1,6.0,00:29:48,53642.0,0,1,B,2,推球,,1.0,2.0,2,769.0,408.0,1.0,6,420.0,602.0,,,,,7,720.0,404.0,7,719.0,503.0,0
1,7.0,00:29:49,53674.0,0,1,A,2,長球,,1.0,1.0,6,420.0,602.0,1.0,9,603.0,322.0,,,,,8,547.0,595.0,8,660.0,375.0,0
1,8.0,00:29:50,53709.0,0,1,B,3,殺球,,,1.0,9,603.0,322.0,2.0,5,821.0,522.0,對手落地致勝,落地致勝,B,,9,601.0,322.0,8,648.0,558.0,0
2,1.0,00:30:06,54191.0,1,1,B,1,發長球,,,2.0,,,,2.0,9,580.0,637.0,,,,,8,643.0,353.0,8,494.0,565.0,0
2,2.0,00:30:08,54258.0,1,1,A,2,過度切球,,,2.0,9,580.0,637.0,2.0,7,743.0,399.0,,,,,9,486.0,655.0,8,622.0,348.0,0
2,3.0,00:30:09,54287.0,1,1,B,2,放小球,,1.0,2.0,7,743.0,399.0,2.0,1,852.0,469.0,,,,,8,701.0,389.0,8,592.0,584.0,0
2,4.0,00:30:10,54323.0,1,1,A,2,挑球,,,2.0,1,852.0,469.0,1.0,9,746.0,323.0,,,,,1,809.0,482.0,8,706.0,371.0,0
2,5.0,00:30:11,54355.0,1,1,B,3,殺球,1.0,,1.0,9,746.0,323.0,2.0,11,366.0,546.0,出界,對手出界,A,,9,714.0,319.0,8,723.0,522.0,0
3,1.0,00:30:25,54774.0,2,1,A,1,發短球,,1.0,2.0,,,,2.0,8,723.0,382.0,,,,,8,633.0,524.0,8,749.0,354.0,0
3,2.0,00:30:26,54794.0,2,1,B,3,推球,,1.0,2.0,8,723.0,382.0,2.0,15,955.0,613.0,出界,對手出界,A,,8,684.0,374.0,8,644.0,520.0,0
4,1.0,00:30:36,55094.0,3,1,A,1,發短球,,1.0,2.0,,,,2.0,8,586.0,384.0,,,,,8,664.0,525.0,8,558.0,343.0,0
4,2.0,00:30:37,55123.0,3,1,B,2,挑球,,1.0,2.0,8,586.0,384.0,1.0,8,515.0,608.0,,,,,8,541.0,370.0,8,655.0,531.0,0
4,3.0,00:30:38,55165.0,3,1,A,3,殺球,1.0,,1.0,8,515.0,608.0,2.0,6,832.0,358.0,對手落地致勝,落地致勝,A,,9,537.0,615.0,8,583.0,358.0,0
5,1.0,00:30:50,55502.0,3,2,A,1,發短球,,1.0,2.0,,,,2.0,8,706.0,386.0,,,,,8,624.0,525.0,8,741.0,354.0,0
5,2.0,00:30:50,55525.0,3,2,B,2,放小球,,1.0,2.0,8,706.0,386.0,2.0,2,450.0,479.0,,,,,8,677.0,376.0,8,631.0,537.0,0
5,3.0,00:30:51,55550.0,3,2,A,2,挑球,,1.0,2.0,2,450.0,479.0,1.0,9,741.0,318.0,,,,,7,512.0,489.0,8,610.0,377.0,0
5,4.0,00:30:53,55605.0,3,2,B,2,長球,1.0,,1.0,9,741.0,318.0,1.0,3,873.0,624.0,,,,,9,736.0,315.0,8,707.0,533.0,0
5,5.0,00:30:54,55645.0,3,2,A,2,長球,,,1.0,3,873.0,624.0,1.0,6,792.0,338.0,,,,,3,840.0,631.0,8,687.0,333.0,0
5,6.0,00:30:55,55672.0,3,2,B,2,長球,1.0,,1.0,6,792.0,338.0,1.0,3,825.0,626.0,,,,,8,730.0,345.0,8,732.0,568.0,0
5,7.0,00:30:57,55726.0,3,2,A,3,殺球,,,1.0,3,825.0,626.0,2.0,12,834.0,324.0,出界,對手出界,B,,9,789.0,635.0,8,679.0,338.0,0
6,1.0,00:31:11,56136.0,4,2,B,1,發長球,,,2.0,,,,1.0,9,749.0,640.0,,,,,8,607.0,352.0,8,750.0,554.0,0
6,2.0,00:31:13,56194.0,4,2,A,2,長球,,,1.0,9,749.0,640.0,1.0,8,741.0,333.0,,,,,9,717.0,651.0,8,647.0,352.0,0
6,3.0,00:31:14,56221.0,4,2,B,2,點扣,1.0,,1.0,8,741.0,333.0,2.0,5,860.0,525.0,,,,,8,699.0,345.0,8,698.0,562.0,0
6,4.0,00:31:14,56241.0,4,2,A,2,擋小球,,,2.0,5,860.0,525.0,2.0,6,781.0,386.0,,,,,8,773.0,538.0,8,696.0,332.0,0
6,5.0,00:31:15,56267.0,4,2,B,2,挑球,,1.0,2.0,6,781.0,386.0,1.0,3,847.0,624.0,,,,,8,712.0,382.0,8,694.0,535.0,0
6,6.0,00:31:16,56307.0,4,2,A,2,後場抽平球,,,1.0,3,847.0,624.0,1.0,6,778.0,350.0,,,,,9,789.0,623.0,8,644.0,355.0,0
6,7.0,00:31:17,56325.0,4,2,B,2,擋小球,,1.0,1.0,6,778.0,350.0,2.0,1,808.0,477.0,,,,,8,648.0,346.0,8,740.0,588.0,0
6,8.0,00:31:18,56353.0,4,2,A,2,放小球,,,2.0,1,808.0,477.0,2.0,2,830.0,418.0,,,,,1,797.0,505.0,8,654.0,354.0,0
6,9.0,00:31:19,56380.0,4,2,B,3,放小球,,1.0,2.0,2,830.0,418.0,2.0,2,838.0,434.0,未過網,對手未過網,A,,2,796.0,402.0,8,741.0,509.0,0
7,1.0,00:31:32,56767.0,5,2,A,1,發短球,,1.0,2.0,,,,2.0,8,515.0,386.0,,,,,8,672.0,526.0,8,562.0,346.0,0
7,2.0,00:31:33,56793.0,5,2,B,2,放小球,,,2.0,8,515.0,386.0,2.0,2,440.0,480.0,,,,,8,534.0,380.0,8,656.0,517.0,0
7,3.0,00:31:34,56823.0,5,2,A,2,挑球,,1.0,2.0,2,440.0,480.0,1.0,9,613.0,319.0,,,,,7,497.0,485.0,8,590.0,363.0,0
7,4.0,00:31:35,56876.0,5,2,B,2,長球,,,1.0,9,613.0,319.0,1.0,8,533.0,571.0,,,,,9,598.0,314.0,8,665.0,523.0,0
7,5.0,00:31:36,56904.0,5,2,A,2,長球,,,1.0,8,533.0,571.0,1.0,9,742.0,323.0,,,,,8,550.0,572.0,9,613.0,323.0,0
7,6.0,00:31:37,56937.0,5,2,B,2,點扣,1.0,,1.0,9,742.0,323.0,2.0,8,519.0,534.0,,,,,8,684.0,339.0,8,642.0,572.0,0
7,7.0,00:31:38,56954.0,5,2,A,2,防守回挑,,1.0,2.0,8,519.0,534.0,1.0,8,581.0,334.0,,,,,8,699.0,554.0,8,685.0,335.0,0
7,8.0,00:31:39,56986.0,5,2,B,2,長球,,,1.0,8,581.0,334.0,1.0,6,475.0,574.0,,,,,9,648.0,323.0,8,613.0,533.0,0
7,9.0,00:31:40,57016.0,5,2,A,2,長球,1.0,,1.0,6,475.0,574.0,1.0,9,550.0,318.0,,,,,8,520.0,579.0,8,611.0,344.0,0
7,10.0,00:31:42,57062.0,5,2,B,2,點扣,,,1.0,9,550.0,318.0,2.0,8,776.0,518.0,,,,,9,563.0,320.0,8,614.0,546.0,0
7,11.0,00:31:42,57082.0,5,2,A,3,擋小球,,,2.0,8,776.0,518.0,2.0,2,797.0,413.0,對手落地致勝,落地致勝,A,,8,710.0,529.0,9,590.0,325.0,0
8,1.0,00:31:56,57492.0,6,2,A,1,發短球,,1.0,2.0,,,,2.0,8,712.0,382.0,,,,,8,634.0,530.0,8,755.0,362.0,0
