rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:36:10,65127.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,594.0,395.0,,,,,8,695.0,533.0,8,584.0,348.0,0
1,2.0,00:36:11,65150.0,1,0,B,2,放小球,,,2.0,7,594.0,395.0,2.0,7,658.0,475.0,,,,,7,622.0,393.0,8,654.0,525.0,0
1,3.0,00:36:12,65174.0,1,0,A,2,放小球,,1.0,2.0,7,658.0,475.0,2.0,1,511.0,407.0,,,,,7,660.0,488.0,8,635.0,375.0,0
1,4.0,00:36:13,65210.0,1,0,B,3,放小球,,,2.0,1,511.0,407.0,2.0,1,499.0,425.0,掛網,對手掛網,A,,7,543.0,401.0,7,616.0,503.0,0
2,1.0,00:36:30,65722.0,2,0,A,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
2,2.0,00:36:30,65722.0,2,0,B,2,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
2,3.0,00:36:32,65772.0,2,0,A,2,長球,,,1.0,,,,1.0,4,795.0,320.0,,,,,9,787.0,653.0,8,636.0,352.0,0
2,4.0,00:36:33,65807.0,2,0,B,2,長球,1.0,,1.0,4,795.0,320.0,1.0,3,837.0,624.0,,,,,8,729.0,328.0,8,735.0,574.0,0
2,5.0,00:36:34,65848.0,2,0,A,2,殺球,,,1.0,3,837.0,624.0,2.0,5,495.0,376.0,,,,,3,818.0,632.0,8,639.0,344.0,0
2,6.0,00:36:35,65868.0,2,0,B,2,放小球,,,2.0,5,495.0,376.0,2.0,2,443.0,494.0,,,,,8,540.0,371.0,8,746.0,611.0,0
2,7.0,00:36:36,65894.0,2,0,A,2,挑球,,1.0,2.0,2,443.0,494.0,1.0,5,465.0,336.0,,,,,8,513.0,515.0,8,577.0,353.0,0
2,8.0,00:36:37,65912.0,2,0,B,2,點扣,,,1.0,5,465.0,336.0,2.0,8,556.0,540.0,,,,,8,564.0,341.0,8,534.0,544.0,0
2,9.0,00:36:37,65921.0,2,0,A,2,擋小球,,1.0,2.0,8,556.0,540.0,2.0,2,829.0,401.0,,,,,8,599.0,561.0,5,457.0,338.0,0
2,10.0,00:36:38,65962.0,2,0,B,2,挑球,,1.0,2.0,2,829.0,401.0,1.0,9,728.0,628.0,,,,,2,775.0,399.0,8,715.0,568.0,0
2,11.0,00:36:40,66020.0,2,0,A,2,長球,,,1.0,9,728.0,628.0,1.0,9,684.0,320.0,,,,,9,649.0,631.0,8,648.0,368.0,0
2,12.0,00:36:42,66070.0,2,0,B,2,長球,,,1.0,9,684.0,320.0,1.0,4,405.0,630.0,,,,,9,657.0,321.0,8,673.0,579.0,0
2,13.0,00:36:43,66103.0,2,0,A,2,長球,1.0,,1.0,4,405.0,630.0,1.0,4,793.0,321.0,,,,,8,524.0,593.0,8,615.0,333.0,0
2,14.0,00:36:44,66148.0,2,0,B,3,切球,1.0,,1.0,4,793.0,321.0,2.0,7,592.0,477.0,未過網,對手未過網,A,,8,721.0,328.0,8,652.0,570.0,0
3,1.0,00:37:11,66931.0,3,0,A,1,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
3,2.0,00:37:11,66959.0,3,0,B,3,點扣,,,1.0,,,,2.0,11,319.0,579.0,出界,對手出界,A,,8,579.0,338.0,8,683.0,556.0,0
4,1.0,00:37:28,67458.0,4,0,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
4,2.0,00:37:29,67477.0,4,0,B,2,放小球,,1.0,2.0,,,,2.0,2,438.0,483.0,,,,,8,663.0,387.0,8,629.0,546.0,0
4,3.0,00:37:30,67504.0,4,0,A,2,挑球,,1.0,2.0,2,438.0,483.0,1.0,9,743.0,319.0,,,,,2,497.0,491.0,8,587.0,381.0,0
4,4.0,00:37:31,67551.0,4,0,B,2,長球,1.0,,1.0,9,743.0,319.0,1.0,3,838.0,621.0,,,,,9,672.0,323.0,8,677.0,547.0,0
4,5.0,00:37:33,67592.0,4,0,A,2,切球,,,1.0,3,838.0,621.0,2.0,2,812.0,407.0,,,,,3,832.0,633.0,8,643.0,348.0,0
4,6.0,00:37:33,67614.0,4,0,B,2,挑球,,1.0,2.0,2,812.0,407.0,1.0,4,406.0,622.0,,,,,8,762.0,385.0,3,815.0,630.0,0
4,7.0,00:37:35,67652.0,4,0,A,2,長球,,1.0,1.0,4,406.0,622.0,1.0,5,475.0,335.0,,,,,9,486.0,633.0,8,594.0,360.0,0
4,8.0,00:37:35,67677.0,4,0,B,2,切球,,,1.0,5,475.0,335.0,2.0,2,443.0,492.0,,,,,5,506.0,349.0,8,619.0,589.0,0
4,9.0,00:37:36,67707.0,4,0,A,2,推球,,1.0,2.0,2,443.0,492.0,1.0,4,762.0,317.0,,,,,2,465.0,508.0,8,524.0,366.0,0
4,10.0,00:37:38,67748.0,4,0,B,2,長球,1.0,,1.0,4,762.0,317.0,1.0,3,873.0,626.0,,,,,9,670.0,320.0,8,661.0,555.0,0
4,11.0,00:37:39,67781.0,4,0,A,3,殺球,,,1.0,3,873.0,626.0,2.0,5,487.0,347.0,對手落地致勝,落地致勝,A,,3,812.0,629.0,8,637.0,339.0,0
5,1.0,00:38:12,68768.0,5,0,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
5,2.0,00:38:12,68788.0,5,0,B,2,放小球,,1.0,2.0,,,,2.0,2,432.0,484.0,,,,,7,577.0,397.0,8,690.0,557.0,0
