rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:37,11922.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,8,706.0,511.0,,,,,8,603.0,366.0,8,753.0,560.0,0
1,2.0,00:06:38,11946.0,0,1,B,2,放小球,,1.0,2.0,8,706.0,511.0,2.0,2,813.0,412.0,,,,,7,718.0,496.0,8,618.0,362.0,0
1,3.0,00:06:39,11972.0,0,1,A,3,放小球,,1.0,2.0,2,813.0,412.0,2.0,1,824.0,445.0,掛網,對手掛網,B,,7,766.0,409.0,8,704.0,532.0,0
2,1.0,00:06:51,12344.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,699.0,398.0,,,,,8,635.0,531.0,8,717.0,343.0,0
2,2.0,00:06:52,12367.0,0,2,A,2,放小球,,,2.0,7,699.0,398.0,2.0,1,810.0,487.0,,,,,7,703.0,392.0,8,653.0,526.0,0
2,3.0,00:06:53,12393.0,0,2,B,2,挑球,,,2.0,1,810.0,487.0,1.0,6,765.0,332.0,,,,,7,780.0,500.0,8,684.0,380.0,0
2,4.0,00:06:54,12425.0,0,2,A,2,殺球,1.0,,1.0,6,765.0,332.0,2.0,5,843.0,557.0,,,,,8,709.0,332.0,8,730.0,547.0,0
2,5.0,00:06:54,12438.0,0,2,B,2,勾球,,,2.0,5,843.0,557.0,2.0,5,469.0,387.0,,,,,8,748.0,559.0,8,726.0,324.0,0
2,6.0,00:06:55,12467.0,0,2,A,2,放小球,,,2.0,5,469.0,387.0,2.0,2,449.0,468.0,,,,,8,539.0,364.0,8,662.0,567.0,0
2,7.0,00:06:56,12493.0,0,2,B,2,挑球,,1.0,2.0,2,449.0,468.0,1.0,4,802.0,320.0,,,,,2,496.0,499.0,8,560.0,347.0,0
2,8.0,00:06:57,12530.0,0,2,A,2,過度切球,,1.0,1.0,4,802.0,320.0,1.0,7,632.0,457.0,,,,,6,768.0,324.0,8,680.0,544.0,0
