rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,0:11:54,17874.0,0,1,A,1,發短球,,1.0,2.0,,,,,7,735.0,485.0,,,,,8,642.0,348.0,8,730.0,543.0,0
1,2.0,0:11:55,17892.0,0,1,B,2,挑球,,1.0,2.0,7,735.0,485.0,,4,760.0,285.0,,,,,7,736.0,484.0,8,663.0,337.0,0
1,3.0,0:11:56,17924.0,0,1,A,2,長球,,,1.0,4,760.0,285.0,,3,874.0,640.0,,,,,4,753.0,285.0,8,707.0,542.0,0
1,4.0,0:11:58,17955.0,0,1,B,2,長球,,,1.0,3,874.0,640.0,,3,553.0,289.0,,,,,3,865.0,640.0,8,707.0,319.0,0
1,5.0,0:11:59,17984.0,0,1,A,3,長球,1.0,,1.0,3,553.0,289.0,,14,319.0,654.0,出界,對手出界,B,,8,601.0,301.0,8,674.0,570.0,0
2,1.0,0:12:13,18340.0,1,1,A,1,挑球,,1.0,2.0,,,,,3,846.0,644.0,,,,,8,726.0,359.0,8,655.0,508.0,0
2,2.0,0:12:14,18372.0,1,1,B,2,後場抽平球,,,1.0,3,846.0,644.0,,6,771.0,334.0,,,,,9,803.0,645.0,8,699.0,324.0,0
2,3.0,0:12:15,18388.0,1,1,A,2,擋小球,,,2.0,6,771.0,334.0,,7,744.0,470.0,,,,,8,717.0,328.0,8,740.0,584.0,0
2,4.0,0:12:16,18404.0,1,1,B,2,放小球,,,2.0,7,744.0,470.0,,7,675.0,362.0,,,,,8,717.0,516.0,8,691.0,329.0,0
2,5.0,0:12:16,18421.0,1,1,A,2,挑球,,1.0,2.0,7,675.0,362.0,,5,865.0,612.0,,,,,8,698.0,354.0,8,706.0,514.0,0
2,6.0,0:12:17,18446.0,1,1,B,2,長球,,,1.0,5,865.0,612.0,,3,533.0,288.0,,,,,9,817.0,628.0,8,695.0,327.0,0
