rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,0:33:11,49796.0,0,1,A,1,發短球,,1.0,2.0,,,,,7,713.0,507.0,,,,,8,630.0,373.0,8,712.0,557.0,0
1,2.0,0:33:12,49813.0,0,1,B,2,挑球,,1.0,2.0,7,713.0,507.0,,3,496.0,307.0,,,,,8,719.0,515.0,8,654.0,363.0,0
1,3.0,0:33:13,49846.0,0,1,A,2,長球,1.0,,1.0,3,496.0,307.0,,9,482.0,636.0,,,,,9,575.0,307.0,8,636.0,545.0,0
1,4.0,0:33:15,49886.0,0,1,B,3,殺球,,,1.0,9,482.0,636.0,1.0,6,813.0,347.0,對手落地致勝,落地致勝,B,,4,477.0,638.0,8,639.0,339.0,0
2,1.0,0:33:27,50198.0,1,1,B,1,發短球,,1.0,2.0,,,,,7,709.0,391.0,,,,,8,626.0,532.0,8,709.0,347.0,0
2,2.0,00:33:28,50215.0,1,1,A,2,放小球,,1.0,2.0,7,709.0,391.0,,2,801.0,485.0,,,,,8,727.0,379.0,8,642.0,530.0,0
2,3.0,0:33:29,50234.0,1,1,B,2,放小球,,1.0,2.0,1,801.0,485.0,,2,829.0,429.0,,,,,1,793.0,491.0,8,706.0,368.0,0
2,4.0,0:33:30,50256.0,1,1,A,2,放小球,,,2.0,2,829.0,429.0,,1,822.0,465.0,,,,,2,790.0,405.0,7,739.0,503.0,0
2,5.0,0:33:31,50280.0,1,1,B,3,放小球,,,2.0,1,822.0,465.0,2.0,1,818.0,450.0,掛網,對手掛網,A,,1,794.0,479.0,7,732.0,388.0,0
3,1.0,0:33:58,50962.0,1,2,A,1,發短球,,1.0,2.0,,,,,7,578.0,512.0,,,,,8,648.0,374.0,8,526.0,556.0,0
3,2.0,0:33:59,50980.0,1,2,B,2,挑球,,1.0,2.0,7,578.0,512.0,,4,781.0,304.0,,,,,7,628.0,504.0,8,641.0,367.0,0
3,3.0,0:34:00,51008.0,1,2,A,2,過度切球,,,1.0,4,781.0,304.0,,1,788.0,503.0,,,,,4,768.0,299.0,8,695.0,564.0,0
3,4.0,0:34:01,51025.0,1,2,B,2,撲球,,,1.0,1,788.0,503.0,,8,527.0,327.0,,,,,8,775.0,521.0,8,742.0,316.0,0
3,5.0,0:34:01,51037.0,1,2,A,2,平球,,1.0,2.0,8,527.0,327.0,,6,477.0,541.0,,,,,8,689.0,327.0,8,733.0,522.0,0
3,6.0,0:34:02,51051.0,1,2,B,2,擋小球,,1.0,1.0,6,477.0,541.0,,5,504.0,385.0,,,,,8,549.0,551.0,8,572.0,342.0,0
3,7.0,0:34:02,51069.0,1,2,A,2,放小球,,1.0,2.0,5,504.0,385.0,,7,608.0,476.0,,,,,8,545.0,368.0,8,560.0,549.0,0
3,8.0,0:34:03,51089.0,1,2,B,2,放小球,,1.0,2.0,7,608.0,476.0,,7,604.0,432.0,,,,,7,613.0,494.0,8,640.0,365.0,0
3,9.0,0:34:04,51109.0,1,2,A,2,挑球,,1.0,2.0,7,604.0,432.0,,9,803.0,654.0,,,,,7,657.0,409.0,7,631.0,494.0,0
3,10.0,0:34:05,51141.0,1,2,B,2,長球,,,1.0,9,803.0,654.0,,8,562.0,341.0,,,,,9,767.0,638.0,8,676.0,350.0,0
3,11.0,0:34:06,51161.0,1,2,A,3,切球,1.0,,1.0,8,562.0,341.0,,16,240.0,393.0,未過網,對手未過網,B,,8,591.0,333.0,8,697.0,608.0,0
4,1.0,0:34:21,51541.0,2,2,B,1,發短球,,1.0,2.0,,,,,7,547.0,394.0,,,,,8,648.0,528.0,8,552.0,344.0,0
4,2.0,0:34:22,51561.0,2,2,A,2,挑球,,1.0,2.0,7,547.0,394.0,,3,849.0,650.0,,,,,8,572.0,382.0,8,659.0,533.0,0
4,3.0,0:34:23,51591.0,2,2,B,2,過度切球,,,1.0,3,849.0,650.0,,6,792.0,369.0,,,,,9,791.0,649.0,8,694.0,350.0,0
4,4.0,0:34:24,51607.0,2,2,A,2,勾球,,,2.0,6,792.0,369.0,,2,484.0,500.0,,,,,8,759.0,360.0,8,732.0,617.0,0
4,5.0,0:34:25,51629.0,2,2,B,2,挑球,,1.0,2.0,2,484.0,500.0,,4,774.0,303.0,,,,,7,525.0,511.0,8,644.0,351.0,0
4,6.0,0:34:26,51661.0,2,2,A,2,切球,,,1.0,4,774.0,303.0,,5,851.0,522.0,,,,,4,761.0,302.0,8,676.0,549.0,0
4,7.0,0:34:27,51678.0,2,2,B,2,放小球,,,2.0,5,851.0,522.0,,2,828.0,386.0,,,,,5,814.0,530.0,8,716.0,321.0,0
4,8.0,0:34:27,51698.0,2,2,A,2,放小球,,,2.0,2,828.0,386.0,,1,832.0,480.0,,,,,6,772.0,378.0,8,763.0,539.0,0
4,9.0,0:34:28,51716.0,2,2,B,2,放小球,,,2.0,1,832.0,480.0,,2,832.0,432.0,,,,,1,821.0,493.0,8,720.0,371.0,0
4,10.0,0:34:29,51737.0,2,2,A,2,挑球,,,2.0,2,832.0,432.0,,3,825.0,639.0,,,,,2,805.0,422.0,7,756.0,507.0,0
4,11.0,0:34:31,51783.0,2,2,B,3,殺球,,,1.0,3,825.0,639.0,2.0,15,428.0,339.0,出界,對手出界,A,,3,811.0,639.0,8,712.0,341.0,0
5,1.0,0:34:53,52346.0,2,3,A,1,發短球,,1.0,2.0,,,,,7,706.0,505.0,,,,,8,629.0,375.0,8,711.0,559.0,0
5,2.0,0:34:54,52362.0,2,3,B,2,放小球,,1.0,2.0,7,706.0,505.0,,2,806.0,415.0,,,,,7,714.0,504.0,8,652.0,362.0,0
