rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,0:07:38,11467.0,0,1,A,1,發短球,,1.0,2.0,,,,,7,701.0,464.0,,,,,8,614.0,345.0,8,715.0,540.0,0
1,2.0,0:07:39,11487.0,0,1,B,2,推球,,1.0,2.0,7,701.0,464.0,,3,511.0,293.0,,,,,8,718.0,494.0,8,623.0,338.0,0
1,3.0,0:07:40,11518.0,0,1,A,2,長球,1.0,,1.0,3,511.0,293.0,,6,414.0,600.0,,,,,3,515.0,296.0,8,643.0,532.0,0
1,4.0,0:07:41,11546.0,0,1,B,3,點扣,,,1.0,6,414.0,600.0,2.0,6,819.0,347.0,對手落地致勝,落地致勝,B,,8,487.0,582.0,8,553.0,310.0,0
2,1.0,0:07:56,11915.0,1,1,B,1,發短球,,1.0,2.0,,,,,7,716.0,379.0,,,,,8,626.0,509.0,8,702.0,351.0,0
2,2.0,0:07:57,11932.0,1,1,A,2,推球,,1.0,2.0,7,716.0,379.0,,3,844.0,620.0,,,,,8,696.0,349.0,8,647.0,510.0,0
2,3.0,0:07:58,11965.0,1,1,B,2,長球,,,1.0,3,844.0,620.0,,9,553.0,297.0,,,,,3,822.0,621.0,8,643.0,337.0,0
2,4.0,0:07:59,11988.0,1,1,A,2,切球,1.0,,1.0,9,553.0,297.0,,6,442.0,503.0,,,,,9,563.0,304.0,8,694.0,574.0,0
2,5.0,0:08:00,12004.0,1,1,B,2,推球,,1.0,2.0,6,442.0,503.0,,3,466.0,293.0,,,,,8,501.0,531.0,8,538.0,305.0,0
2,6.0,0:08:01,12032.0,1,1,A,2,過度切球,,1.0,1.0,3,466.0,293.0,,6,467.0,497.0,,,,,8,550.0,315.0,8,585.0,541.0,0
2,7.0,0:08:01,12048.0,1,1,B,2,勾球,,1.0,2.0,6,467.0,497.0,,7,732.0,381.0,,,,,8,549.0,535.0,8,532.0,313.0,0
2,8.0,0:08:02,12072.0,1,1,A,2,放小球,,,2.0,7,732.0,381.0,,1,829.0,450.0,,,,,8,655.0,342.0,8,635.0,529.0,0
2,9.0,0:08:03,12097.0,1,1,B,2,放小球,,,2.0,1,829.0,450.0,,2,846.0,400.0,,,,,7,784.0,476.0,8,662.0,338.0,0
2,10.0,0:08:04,12123.0,1,1,A,2,挑球,,,2.0,2,846.0,400.0,,3,921.0,623.0,,,,,8,739.0,361.0,8,721.0,493.0,0
2,11.0,0:08:06,12161.0,1,1,B,2,長球,,,1.0,3,921.0,623.0,,9,748.0,300.0,,,,,3,862.0,624.0,8,660.0,334.0,0
2,12.0,0:08:07,12186.0,1,1,A,2,過度切球,,,1.0,9,748.0,300.0,,6,413.0,508.0,,,,,8,698.0,316.0,8,762.0,572.0,0
2,13.0,0:08:08,12206.0,1,1,B,2,放小球,,1.0,2.0,6,413.0,508.0,,1,490.0,378.0,,,,,6,476.0,531.0,8,649.0,314.0,0
2,14.0,0:08:09,12230.0,1,1,A,2,勾球,,1.0,2.0,1,490.0,378.0,,1,804.0,453.0,,,,,8,583.0,347.0,8,581.0,532.0,0
2,15.0,0:08:10,12254.0,1,1,B,2,推球,,,2.0,1,804.0,453.0,,4,809.0,298.0,,,,,7,736.0,483.0,8,604.0,339.0,0
2,16.0,0:08:11,12283.0,1,1,A,2,後場抽平球,,,1.0,4,809.0,298.0,,5,854.0,521.0,,,,,8,687.0,317.0,8,731.0,535.0,0
2,17.0,0:08:11,12295.0,1,1,B,2,平球,,,1.0,5,854.0,521.0,,6,774.0,321.0,,,,,8,783.0,545.0,8,692.0,319.0,0
2,18.0,0:08:12,12308.0,1,1,A,2,擋小球,,,2.0,6,774.0,321.0,,1,824.0,477.0,,,,,8,653.0,325.0,8,740.0,541.0,0
2,19.0,0:08:13,12327.0,1,1,B,2,推球,,,2.0,1,824.0,477.0,,6,789.0,307.0,,,,,8,771.0,517.0,8,641.0,329.0,0
2,20.0,0:08:14,12350.0,1,1,A,2,切球,,,1.0,6,789.0,307.0,,1,793.0,459.0,,,,,8,717.0,324.0,8,738.0,540.0,0
2,21.0,0:08:15,12378.0,1,1,B,2,放小球,,,2.0,1,793.0,459.0,,2,778.0,404.0,,,,,8,762.0,497.0,8,677.0,329.0,0
2,22.0,0:08:16,12403.0,1,1,A,2,挑球,,,2.0,2,778.0,404.0,,5,894.0,609.0,,,,,8,718.0,362.0,8,712.0,500.0,0
2,23.0,0:08:17,12438.0,1,1,B,2,切球,,,1.0,5,894.0,609.0,,5,491.0,353.0,,,,,3,834.0,621.0,8,661.0,341.0,0
2,24.0,0:08:18,12456.0,1,1,A,2,放小球,,1.0,2.0,5,491.0,353.0,,2,451.0,457.0,,,,,8,616.0,328.0,8,801.0,602.0,0
2,25.0,0:08:19,12482.0,1,1,B,2,推球,,1.0,2.0,2,451.0,457.0,,9,734.0,294.0,,,,,7,504.0,484.0,8,553.0,330.0,0
2,26.0,0:08:20,12514.0,1,1,A,2,過度切球,,,1.0,9,734.0,294.0,,1,815.0,484.0,,,,,8,652.0,313.0,8,680.0,520.0,0
2,27.0,0:08:21,12533.0,1,1,B,2,放小球,,,2.0,1,815.0,484.0,,7,757.0,390.0,,,,,8,793.0,519.0,8,660.0,316.0,0
2,28.0,0:08:22,12560.0,1,1,A,2,挑球,,,2.0,7,757.0,390.0,,4,419.0,612.0,,,,,8,687.0,361.0,8,742.0,511.0,0
2,29.0,0:08:24,12605.0,1,1,B,3,殺球,1.0,,1.0,4,419.0,612.0,2.0,15,419.0,333.0,出界,對手出界,A,,6,432.0,607.0,8,577.0,329.0,0
3,1.0,0:08:48,13203.0,1,2,A,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
3,2.0,0:08:48,13211.0,1,2,B,2,推球,,1.0,2.0,,,,,4,770.0,296.0,,,,,7,600.0,488.0,8,630.0,334.0,0
3,3.0,0:08:49,13240.0,1,2,A,2,後場抽平球,,,1.0,4,770.0,296.0,,5,825.0,519.0,,,,,8,682.0,315.0,8,715.0,544.0,0
3,4.0,0:08:50,13253.0,1,2,B,2,擋小球,,,2.0,5,825.0,519.0,,7,566.0,378.0,,,,,8,776.0,546.0,8,690.0,311.0,0
3,5.0,0:08:51,13277.0,1,2,A,2,推球,,1.0,2.0,7,566.0,378.0,,9,821.0,632.0,,,,,8,633.0,346.0,8,654.0,527.0,0
3,6.0,0:08:52,13306.0,1,2,B,2,長球,,,1.0,9,821.0,632.0,,9,745.0,296.0,,,,,9,796.0,632.0,8,627.0,340.0,0
3,7.0,0:08:53,13333.0,1,2,A,2,過度切球,,,1.0,9,745.0,296.0,,1,836.0,490.0,,,,,8,706.0,318.0,8,725.0,562.0,0
3,8.0,0:08:54,13351.0,1,2,B,2,放小球,,,2.0,1,836.0,490.0,,7,757.0,405.0,,,,,8,791.0,519.0,8,684.0,319.0,0
3,9.0,0:08:55,13378.0,1,2,A,2,挑球,,,2.0,7,757.0,405.0,,3,891.0,638.0,,,,,8,710.0,365.0,8,742.0,507.0,0
3,10.0,0:08:57,13426.0,1,2,B,2,過度切球,,,1.0,3,891.0,638.0,,8,763.0,367.0,,,,,9,807.0,643.0,8,664.0,341.0,0
3,11.0,0:08:58,13451.0,1,2,A,2,推球,,,2.0,8,763.0,367.0,,4,432.0,629.0,,,,,8,684.0,343.0,8,720.0,558.0,0
3,12.0,0:08:59,13482.0,1,2,B,2,長球,1.0,,1.0,4,432.0,629.0,,5,501.0,306.0,,,,,8,542.0,600.0,8,604.0,337.0,0
3,13.0,0:09:00,13501.0,1,2,A,2,過度切球,,1.0,1.0,5,501.0,306.0,,2,456.0,454.0,,,,,8,538.0,316.0,8,572.0,578.0,0
3,14.0,0:09:00,13521.0,1,2,B,2,勾球,,1.0,2.0,2,456.0,454.0,,7,770.0,395.0,,,,,6,483.0,492.0,8,570.0,320.0,0
3,15.0,0:09:01,13546.0,1,2,A,2,放小球,,,2.0,7,770.0,395.0,,1,849.0,437.0,,,,,8,622.0,366.0,8,592.0,524.0,0
3,16.0,0:09:02,13570.0,1,2,B,2,放小球,,,2.0,1,849.0,437.0,,2,835.0,410.0,,,,,7,778.0,456.0,8,651.0,363.0,0
