rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,0:09:40,14503.0,1,0,A,1,發短球,,1.0,2.0,,,,,7,565.0,419.0,,,,,8,646.0,530.0,8,565.0,367.0,0
1,2.0,0:09:41,14527.0,1,0,B,2,挑球,,1.0,2.0,7,565.0,419.0,,8,780.0,601.0,,,,,8,572.0,397.0,8,615.0,535.0,0
1,3.0,0:09:42,14554.0,1,0,A,2,殺球,,,1.0,8,780.0,601.0,,8,770.0,359.0,,,,,8,691.0,585.0,8,615.0,363.0,0
1,4.0,0:09:42,14565.0,1,0,B,2,防守回抽,,1.0,2.0,8,770.0,359.0,,6,395.0,525.0,,,,,8,605.0,361.0,8,750.0,606.0,0
1,5.0,0:09:43,14590.0,1,0,A,2,擋小球,,,2.0,6,395.0,525.0,,5,484.0,388.0,,,,,8,492.0,542.0,8,609.0,353.0,0
1,6.0,0:09:44,14612.0,1,0,B,2,放小球,,,2.0,5,484.0,388.0,,1,409.0,451.0,,,,,8,518.0,400.0,8,528.0,531.0,0
1,7.0,0:09:45,14633.0,1,0,A,2,挑球,,,2.0,1,409.0,451.0,,9,688.0,335.0,,,,,2,457.0,488.0,8,536.0,400.0,0
1,8.0,0:09:46,14665.0,1,0,B,2,殺球,,,1.0,9,688.0,335.0,,5,852.0,545.0,,,,,9,671.0,336.0,8,592.0,531.0,0
1,9.0,0:09:47,14681.0,1,0,A,2,擋小球,,1.0,2.0,5,852.0,545.0,,6,788.0,393.0,,,,,8,644.0,548.0,9,668.0,333.0,0
1,10.0,0:09:48,14707.0,1,0,B,2,挑球,,1.0,2.0,6,788.0,393.0,,8,471.0,588.0,,,,,8,739.0,392.0,8,703.0,531.0,0
1,11.0,0:09:49,14736.0,1,0,A,2,切球,,,1.0,8,471.0,588.0,,5,471.0,385.0,,,,,8,495.0,628.0,8,604.0,361.0,0
1,12.0,0:09:50,14756.0,1,0,B,2,放小球,,,2.0,5,471.0,385.0,,2,402.0,473.0,,,,,8,517.0,376.0,8,559.0,576.0,0
1,13.0,0:09:51,14780.0,1,0,A,2,挑球,,,2.0,2,402.0,473.0,,3,449.0,333.0,,,,,2,435.0,500.0,8,552.0,373.0,0
1,14.0,0:09:52,14810.0,1,0,B,2,殺球,,,1.0,3,449.0,333.0,,6,381.0,540.0,,,,,3,500.0,331.0,8,501.0,552.0,0
1,15.0,0:09:52,14821.0,1,0,A,2,擋小球,,,2.0,6,381.0,540.0,,5,482.0,381.0,,,,,8,477.0,571.0,14,424.0,322.0,0
1,16.0,0:09:53,14845.0,1,0,B,2,推球,,,2.0,5,482.0,381.0,,6,376.0,593.0,,,,,8,528.0,389.0,8,525.0,552.0,0
1,17.0,0:09:54,14870.0,1,0,A,2,過度切球,,,1.0,6,376.0,593.0,,5,483.0,383.0,,,,,6,442.0,612.0,8,569.0,358.0,0
1,18.0,0:09:55,14892.0,1,0,B,2,推球,,,2.0,5,483.0,383.0,,5,853.0,616.0,,,,,8,537.0,382.0,8,535.0,559.0,0
1,19.0,0:09:56,14913.0,1,0,A,2,後場抽平球,,1.0,1.0,5,853.0,616.0,,8,751.0,362.0,,,,,8,789.0,594.0,8,613.0,373.0,0
1,20.0,0:09:56,14924.0,1,0,B,3,平球,,1.0,1.0,8,751.0,362.0,1.0,14,297.0,639.0,出界,對手出界,A,,8,624.0,375.0,8,721.0,567.0,0
2,1.0,0:10:34,15860.0,1,1,A,1,未知球種,,,2.0,,,,,14,297.0,639.0,,,,1,8,624.0,375.0,8,721.0,567.0,0
2,2.0,0:10:16,15422.0,1,1,B,3,殺球,,,1.0,14,297.0,639.0,1.0,6,387.0,584.0,對手落地致勝,落地致勝,B,,8,720.0,347.0,8,630.0,536.0,0
