rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:10:54,16364.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,716.0,498.0,,,,,8,633.0,390.0,8,774.0,575.0,0
1,2.0,00:10:55,16381.0,0,1,B,2,挑球,,1.0,2.0,7,716.0,498.0,1.0,4,837.0,330.0,,,,,7,756.0,506.0,8,658.0,387.0,0
1,3.0,00:10:56,16411.0,0,1,A,2,過度切球,,,1.0,4,837.0,330.0,2.0,2,856.0,520.0,,,,,4,786.0,333.0,8,725.0,573.0,0
1,4.0,00:10:57,16429.0,0,1,B,2,放小球,,,2.0,2,856.0,520.0,2.0,2,875.0,416.0,,,,,6,836.0,552.0,8,732.0,342.0,0
1,5.0,00:10:58,16452.0,0,1,A,2,挑球,,,2.0,2,875.0,416.0,1.0,4,941.0,654.0,,,,,6,829.0,398.0,8,790.0,550.0,0
1,6.0,00:10:59,16485.0,0,1,B,2,過度切球,,,1.0,4,941.0,654.0,2.0,1,465.0,410.0,,,,,4,912.0,664.0,8,727.0,360.0,0
1,7.0,00:11:00,16505.0,0,1,A,2,放小球,,1.0,2.0,1,465.0,410.0,2.0,1,430.0,493.0,,,,,8,515.0,393.0,8,777.0,600.0,0
1,8.0,00:11:01,16530.0,0,1,B,2,挑球,,1.0,2.0,1,430.0,493.0,1.0,9,773.0,331.0,,,,,1,477.0,502.0,8,574.0,387.0,0
1,9.0,00:11:02,16569.0,0,1,A,2,過度切球,,,1.0,9,773.0,331.0,2.0,1,403.0,514.0,,,,,9,765.0,327.0,8,700.0,563.0,0
1,10.0,00:11:03,16592.0,0,1,B,2,挑球,,1.0,2.0,1,403.0,514.0,1.0,4,828.0,325.0,,,,,1,449.0,521.0,8,639.0,341.0,0
1,11.0,00:11:05,16630.0,0,1,A,2,過度切球,,,1.0,4,828.0,325.0,1.0,7,812.0,518.0,,,,,4,790.0,331.0,8,696.0,562.0,0
1,12.0,00:11:05,16649.0,0,1,B,2,撲球,,,1.0,7,812.0,518.0,2.0,8,656.0,364.0,,,,,6,829.0,540.0,8,703.0,351.0,0
1,13.0,00:11:06,16658.0,0,1,A,3,擋小球,,1.0,2.0,8,656.0,364.0,2.0,16,323.0,523.0,出界,對手出界,B,,8,725.0,358.0,6,817.0,528.0,0
2,1.0,00:11:19,16998.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,715.0,403.0,,,,,8,617.0,544.0,8,720.0,367.0,0
2,2.0,00:11:20,17019.0,0,2,A,2,挑球,,1.0,2.0,7,715.0,403.0,1.0,9,842.0,658.0,,,,,8,731.0,397.0,8,662.0,549.0,0
2,3.0,00:11:22,17050.0,0,2,B,2,切球,,,1.0,9,842.0,658.0,2.0,5,502.0,373.0,,,,,9,793.0,656.0,8,705.0,367.0,0
2,4.0,00:11:22,17065.0,0,2,A,2,放小球,,1.0,2.0,5,502.0,373.0,2.0,1,425.0,499.0,,,,,8,643.0,371.0,9,796.0,640.0,0
2,5.0,00:11:23,17090.0,0,2,B,2,勾球,,1.0,2.0,1,425.0,499.0,2.0,2,862.0,423.0,,,,,1,461.0,520.0,8,570.0,385.0,0
2,6.0,00:11:24,17116.0,0,2,A,2,挑球,,,2.0,2,862.0,423.0,1.0,6,838.0,633.0,,,,,7,775.0,411.0,8,656.0,538.0,0
2,7.0,00:11:25,17141.0,0,2,B,2,切球,,,1.0,6,838.0,633.0,2.0,5,493.0,400.0,,,,,8,756.0,627.0,8,756.0,369.0,0
2,8.0,00:11:26,17160.0,0,2,A,2,放小球,,1.0,2.0,5,493.0,400.0,2.0,1,439.0,483.0,,,,,8,525.0,384.0,8,802.0,607.0,0
2,9.0,00:11:27,17185.0,0,2,B,2,挑球,,1.0,2.0,1,439.0,483.0,1.0,3,487.0,335.0,,,,,1,469.0,500.0,8,562.0,386.0,0
2,10.0,00:11:28,17216.0,0,2,A,2,過度切球,1.0,,1.0,3,487.0,335.0,2.0,5,426.0,570.0,,,,,8,538.0,338.0,8,598.0,560.0,0
2,11.0,00:11:29,17232.0,0,2,B,2,放小球,,1.0,2.0,5,426.0,570.0,2.0,7,599.0,419.0,,,,,8,651.0,578.0,8,548.0,342.0,0
2,12.0,00:11:30,17256.0,0,2,A,2,挑球,,1.0,2.0,7,599.0,419.0,1.0,3,429.0,651.0,,,,,8,606.0,385.0,8,618.0,555.0,0
2,13.0,00:11:31,17291.0,0,2,B,2,點扣,1.0,,1.0,3,429.0,651.0,2.0,5,503.0,371.0,,,,,8,495.0,637.0,8,626.0,370.0,0
2,14.0,00:11:32,17303.0,0,2,A,2,勾球,,1.0,2.0,5,503.0,371.0,2.0,2,833.0,516.0,,,,,8,647.0,369.0,9,472.0,641.0,0
2,15.0,00:11:33,17329.0,0,2,B,2,勾球,,,2.0,2,833.0,516.0,1.0,5,486.0,400.0,,,,,8,767.0,532.0,8,664.0,363.0,0
2,16.0,00:11:34,17355.0,0,2,A,2,推球,,1.0,1.0,5,486.0,400.0,1.0,5,425.0,575.0,,,,,8,555.0,400.0,8,673.0,542.0,0
2,17.0,00:11:34,17368.0,0,2,B,2,防守回抽,,1.0,1.0,5,425.0,575.0,1.0,5,467.0,372.0,,,,,8,570.0,562.0,8,582.0,390.0,0
2,18.0,00:11:35,17379.0,0,2,A,2,擋小球,,1.0,1.0,5,467.0,372.0,2.0,1,401.0,515.0,,,,,8,616.0,372.0,8,508.0,562.0,0
2,19.0,00:11:36,17401.0,0,2,B,2,挑球,,1.0,2.0,1,401.0,515.0,1.0,5,502.0,339.0,,,,,1,468.0,515.0,8,579.0,375.0,0
2,20.0,00:11:37,17428.0,0,2,A,2,過度切球,1.0,,1.0,5,502.0,339.0,2.0,5,390.0,576.0,,,,,9,555.0,334.0,8,612.0,567.0,0
2,21.0,00:11:37,17442.0,0,2,B,2,放小球,,1.0,2.0,5,390.0,576.0,2.0,1,500.0,417.0,,,,,8,588.0,561.0,9,554.0,337.0,0
2,22.0,00:11:38,17463.0,0,2,A,2,放小球,,1.0,2.0,1,500.0,417.0,2.0,1,380.0,478.0,,,,,7,533.0,405.0,8,568.0,568.0,0
2,23.0,00:11:39,17489.0,0,2,B,2,挑球,,1.0,2.0,1,380.0,478.0,1.0,4,804.0,327.0,,,,,1,445.0,489.0,8,565.0,385.0,0
2,24.0,00:11:41,17530.0,0,2,A,2,長球,,,1.0,4,804.0,327.0,1.0,8,821.0,633.0,,,,,4,791.0,323.0,8,668.0,557.0,0
2,25.0,00:11:42,17566.0,0,2,B,2,殺球,,,1.0,8,821.0,633.0,2.0,5,484.0,373.0,,,,,9,824.0,641.0,8,723.0,356.0,0
2,26.0,00:11:43,17578.0,0,2,A,2,擋小球,,1.0,2.0,5,484.0,373.0,2.0,1,475.0,505.0,,,,,8,701.0,362.0,4,891.0,641.0,0
2,27.0,00:11:44,17604.0,0,2,B,3,勾球,,1.0,2.0,1,475.0,505.0,2.0,2,879.0,421.0,對手落地致勝,落地致勝,B,,8,531.0,532.0,8,537.0,371.0,0
3,1.0,00:12:25,18640.0,1,2,B,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
4,1.0,00:13:23,20088.0,1,3,B,1,推球,,1.0,2.0,,,,1.0,4,814.0,325.0,,,,,7,581.0,510.0,8,647.0,360.0,0
4,2.0,00:13:24,20116.0,1,3,A,2,過度切球,,,1.0,4,814.0,325.0,2.0,6,881.0,529.0,,,,,4,792.0,330.0,8,725.0,553.0,0
4,3.0,00:13:25,20133.0,1,3,B,2,放小球,,,2.0,6,881.0,529.0,2.0,6,838.0,401.0,,,,,8,820.0,576.0,8,690.0,347.0,0
4,4.0,00:13:26,20154.0,1,3,A,2,推球,,,2.0,6,838.0,401.0,1.0,6,888.0,629.0,,,,,8,769.0,380.0,8,742.0,557.0,0
4,5.0,00:13:27,20181.0,1,3,B,2,過度切球,,,1.0,6,888.0,629.0,2.0,5,481.0,396.0,,,,,6,877.0,622.0,8,664.0,365.0,0
4,6.0,00:13:28,20201.0,1,3,A,2,放小球,,1.0,2.0,5,481.0,396.0,2.0,1,443.0,471.0,,,,,8,528.0,387.0,8,767.0,603.0,0
4,7.0,00:13:29,20227.0,1,3,B,2,挑球,,1.0,2.0,1,443.0,471.0,1.0,9,739.0,330.0,,,,,7,502.0,489.0,8,578.0,380.0,0
4,8.0,00:13:30,20260.0,1,3,A,2,長球,,,1.0,9,739.0,330.0,1.0,6,889.0,618.0,,,,,8,674.0,340.0,8,672.0,568.0,0
4,9.0,00:13:31,20288.0,1,3,B,3,殺球,,,1.0,6,889.0,618.0,2.0,6,853.0,347.0,對手落地致勝,落地致勝,B,,6,922.0,622.0,8,647.0,345.0,0
5,1.0,00:13:49,20749.0,1,4,B,1,未知球種,,,2.0,,,,,6,853.0,347.0,,,,1,6,922.0,622.0,8,647.0,345.0,0
6,1.0,00:14:08,21213.0,1,5,B,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
