rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:05:08,7712.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,8,573.0,398.0,,,,,8,658.0,539.0,8,569.0,360.0,0
1,2.0,00:05:10,7762.0,0,1,A,2,放小球,,,2.0,8,573.0,398.0,2.0,2,828.0,478.0,,,,,8,577.0,397.0,8,651.0,544.0,0
1,3.0,00:05:11,7781.0,0,1,B,2,挑球,,,2.0,2,828.0,478.0,1.0,4,855.0,327.0,,,,,7,746.0,517.0,8,658.0,380.0,0
1,4.0,00:05:12,7807.0,0,1,A,2,點扣,,1.0,1.0,4,855.0,327.0,2.0,6,927.0,572.0,,,,,6,804.0,342.0,8,733.0,569.0,0
1,5.0,00:05:12,7821.0,0,1,B,2,擋小球,,,2.0,6,927.0,572.0,2.0,2,826.0,411.0,,,,,8,806.0,595.0,8,747.0,354.0,0
1,6.0,00:05:14,7862.0,0,1,A,2,放小球,,1.0,2.0,2,826.0,411.0,2.0,2,874.0,477.0,,,,,8,786.0,394.0,8,754.0,576.0,0
1,7.0,00:05:14,7864.0,0,1,B,3,挑球,,,2.0,2,874.0,477.0,2.0,14,430.0,320.0,對手落地致勝,落地致勝,B,,2,833.0,516.0,8,729.0,385.0,0
2,1.0,00:05:28,8208.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,649.0,401.0,,,,,8,629.0,546.0,8,746.0,363.0,0
2,2.0,00:05:29,8244.0,0,2,A,2,挑球,,,2.0,7,649.0,401.0,1.0,4,921.0,654.0,,,,,7,744.0,403.0,8,672.0,564.0,0
2,3.0,00:05:31,8275.0,0,2,B,2,切球,,,1.0,4,921.0,654.0,2.0,6,851.0,390.0,,,,,4,879.0,664.0,8,649.0,364.0,0
2,4.0,00:05:31,8293.0,0,2,A,2,推球,,1.0,2.0,6,851.0,390.0,1.0,6,853.0,569.0,,,,,6,800.0,381.0,8,762.0,608.0,0
2,5.0,00:05:32,8308.0,0,2,B,2,殺球,,,1.0,6,853.0,569.0,2.0,8,760.0,372.0,,,,,8,749.0,588.0,8,705.0,371.0,0
2,6.0,00:05:32,8316.0,0,2,A,2,擋小球,,1.0,2.0,8,760.0,372.0,1.0,7,710.0,519.0,,,,,8,655.0,364.0,6,838.0,598.0,0
2,7.0,00:05:33,8335.0,0,2,B,3,撲球,,,1.0,7,710.0,519.0,2.0,8,641.0,349.0,對手落地致勝,落地致勝,B,,8,728.0,556.0,8,626.0,364.0,0
3,1.0,00:05:51,8785.0,1,2,B,1,發短球,,1.0,2.0,,,,2.0,7,569.0,416.0,,,,,8,663.0,546.0,8,567.0,365.0,0
3,2.0,00:05:52,8813.0,1,2,A,2,放小球,,,2.0,7,569.0,416.0,2.0,1,473.0,469.0,,,,,7,585.0,402.0,8,658.0,541.0,0
3,3.0,00:05:53,8834.0,1,2,B,2,放小球,,1.0,2.0,1,473.0,469.0,2.0,1,471.0,432.0,,,,,7,532.0,495.0,8,618.0,387.0,0
3,4.0,00:05:54,8858.0,1,2,A,2,挑球,,,2.0,1,471.0,432.0,1.0,3,421.0,660.0,,,,,7,504.0,418.0,8,571.0,522.0,0
3,5.0,00:05:56,8903.0,1,2,B,2,殺球,,,1.0,3,421.0,660.0,2.0,5,494.0,368.0,,,,,9,448.0,664.0,8,584.0,360.0,0
3,6.0,00:05:56,8913.0,1,2,A,3,擋小球,,,2.0,5,494.0,368.0,2.0,6,931.0,535.0,對手落地致勝,落地致勝,A,,8,587.0,359.0,9,514.0,646.0,0
4,1.0,00:06:58,10458.0,2,2,A,1,發短球,,1.0,2.0,,,,2.0,7,517.0,491.0,,,,,8,657.0,383.0,8,505.0,578.0,0
4,2.0,00:06:59,10475.0,2,2,B,2,放小球,,,2.0,7,517.0,491.0,2.0,7,500.0,420.0,,,,,7,507.0,520.0,8,644.0,374.0,0
4,3.0,00:06:59,10495.0,2,2,A,2,挑球,,,2.0,7,500.0,420.0,1.0,5,428.0,592.0,,,,,7,530.0,405.0,8,589.0,531.0,0
4,4.0,00:07:00,10518.0,2,2,B,3,殺球,1.0,,1.0,5,428.0,592.0,2.0,7,639.0,443.0,掛網,對手掛網,A,,8,564.0,607.0,8,590.0,363.0,0
6,1.0,00:07:27,11199.0,2,4,B,1,發短球,,1.0,2.0,,,,2.0,7,726.0,421.0,,,,,8,629.0,543.0,8,751.0,360.0,0
6,2.0,00:07:28,11223.0,2,4,A,2,放小球,,,2.0,7,726.0,421.0,2.0,7,781.0,461.0,,,,,8,749.0,399.0,8,673.0,562.0,0
6,3.0,00:07:29,11245.0,2,4,B,2,挑球,,,2.0,7,781.0,461.0,1.0,9,685.0,329.0,,,,,7,765.0,499.0,8,715.0,394.0,0
6,4.0,00:07:31,11287.0,2,4,A,2,殺球,,,1.0,9,685.0,329.0,2.0,6,892.0,564.0,,,,,9,682.0,325.0,8,681.0,570.0,0
6,5.0,00:07:31,11299.0,2,4,B,2,擋小球,,,2.0,6,892.0,564.0,2.0,2,817.0,406.0,,,,,8,722.0,581.0,9,668.0,333.0,0
6,6.0,00:07:32,11322.0,2,4,A,2,挑球,,1.0,2.0,2,817.0,406.0,1.0,3,389.0,662.0,,,,,8,765.0,396.0,8,802.0,558.0,0
6,7.0,00:07:34,11355.0,2,4,B,2,切球,,,1.0,3,389.0,662.0,2.0,6,822.0,386.0,,,,,9,523.0,654.0,8,601.0,366.0,0
6,8.0,00:07:35,11377.0,2,4,A,2,放小球,,1.0,2.0,6,822.0,386.0,2.0,2,891.0,484.0,,,,,8,766.0,379.0,8,562.0,602.0,0
6,9.0,00:07:36,11401.0,2,4,B,2,推球,,,2.0,2,891.0,484.0,1.0,6,865.0,339.0,,,,,7,807.0,517.0,8,710.0,373.0,0
6,10.0,00:07:37,11432.0,2,4,A,2,切球,,1.0,1.0,6,865.0,339.0,2.0,2,890.0,478.0,,,,,6,812.0,352.0,8,786.0,549.0,0
6,11.0,00:07:37,11440.0,2,4,B,2,挑球,,,2.0,2,890.0,478.0,1.0,3,519.0,326.0,,,,,6,852.0,535.0,8,727.0,360.0,0
6,12.0,00:07:38,11467.0,2,4,A,2,切球,,,1.0,3,519.0,326.0,2.0,1,390.0,498.0,,,,,9,563.0,334.0,8,671.0,568.0,0
6,13.0,00:07:39,11488.0,2,4,B,2,挑球,,1.0,2.0,1,390.0,498.0,1.0,4,811.0,322.0,,,,,5,436.0,551.0,8,596.0,344.0,0
