rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:23:35,42409.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,581.0,345.0,,,,,8,654.0,500.0,8,534.0,299.0,0
1,2.0,00:23:35,42429.0,0,1,B,2,推球,,,2.0,7,581.0,345.0,1.0,4,885.0,626.0,,,,,8,566.0,310.0,8,648.0,490.0,0
1,3.0,00:23:36,42467.0,0,1,A,2,過度切球,,,1.0,4,885.0,626.0,2.0,5,474.0,329.0,,,,,9,801.0,612.0,8,632.0,308.0,0
1,4.0,00:23:37,42491.0,0,1,B,2,放小球,,,2.0,5,474.0,329.0,2.0,1,425.0,427.0,,,,,8,514.0,318.0,8,702.0,538.0,0
1,5.0,00:23:38,42518.0,0,1,A,2,放小球,,1.0,2.0,1,425.0,427.0,2.0,1,427.0,350.0,,,,,1,461.0,444.0,8,554.0,309.0,0
1,6.0,00:23:39,42545.0,0,1,B,2,挑球,,,2.0,1,427.0,350.0,1.0,5,393.0,589.0,,,,,1,462.0,362.0,8,505.0,475.0,0
1,7.0,00:23:40,42587.0,0,1,A,2,點扣,,,1.0,5,393.0,589.0,2.0,6,828.0,308.0,,,,,5,404.0,575.0,8,550.0,303.0,0
1,8.0,00:23:41,42606.0,0,1,B,2,擋小球,,1.0,2.0,6,828.0,308.0,2.0,7,785.0,466.0,,,,,8,731.0,304.0,5,423.0,591.0,0
1,9.0,00:23:42,42637.0,0,1,A,3,挑球,,,2.0,7,785.0,466.0,2.0,13,804.0,232.0,出界,對手出界,B,,7,790.0,456.0,8,743.0,304.0,0
2,1.0,00:23:55,43009.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,609.0,465.0,,,,,8,625.0,306.0,8,493.0,502.0,0
2,2.0,00:23:55,43029.0,0,2,A,2,推球,,,2.0,7,609.0,465.0,1.0,3,480.0,248.0,,,,,7,521.0,455.0,8,622.0,302.0,0
2,3.0,00:23:56,43066.0,0,2,B,2,過度切球,,,1.0,3,480.0,248.0,2.0,7,470.0,472.0,,,,,3,488.0,255.0,8,628.0,506.0,0
2,4.0,00:23:57,43091.0,0,2,A,3,勾球,,1.0,2.0,7,470.0,472.0,2.0,7,719.0,400.0,掛網,對手掛網,B,,8,494.0,478.0,8,569.0,270.0,0
3,1.0,00:24:11,43506.0,0,3,B,1,發短球,,1.0,2.0,,,,2.0,7,699.0,462.0,,,,,8,608.0,308.0,8,736.0,506.0,0
3,2.0,00:24:12,43526.0,0,3,A,2,放小球,,,2.0,7,699.0,462.0,2.0,7,591.0,387.0,,,,,7,689.0,461.0,8,610.0,303.0,0
3,3.0,00:24:13,43551.0,0,3,B,2,挑球,,1.0,2.0,7,591.0,387.0,1.0,9,537.0,598.0,,,,,7,577.0,358.0,8,628.0,479.0,0
3,4.0,00:24:14,43590.0,0,3,A,2,切球,,,1.0,9,537.0,598.0,2.0,8,527.0,322.0,,,,,8,527.0,585.0,8,575.0,301.0,0
3,5.0,00:24:15,43611.0,0,3,B,2,勾球,,,2.0,8,527.0,322.0,2.0,7,776.0,441.0,,,,,8,530.0,309.0,9,518.0,599.0,0
3,6.0,00:24:16,43640.0,0,3,A,2,放小球,,,2.0,7,776.0,441.0,2.0,2,811.0,374.0,,,,,7,753.0,459.0,8,625.0,308.0,0
3,7.0,00:24:16,43665.0,0,3,B,2,放小球,,1.0,2.0,2,811.0,374.0,2.0,2,880.0,417.0,,,,,7,774.0,363.0,7,702.0,470.0,0
3,8.0,00:24:17,43692.0,0,3,A,2,挑球,,,2.0,2,880.0,417.0,1.0,4,819.0,261.0,,,,,2,805.0,431.0,7,713.0,345.0,0
3,9.0,00:24:19,43756.0,0,3,B,2,切球,,,1.0,4,819.0,261.0,2.0,5,420.0,474.0,,,,,4,785.0,254.0,8,705.0,530.0,0
3,10.0,00:24:20,43780.0,0,3,A,2,挑球,,,2.0,5,420.0,474.0,1.0,9,737.0,259.0,,,,,8,471.0,489.0,8,768.0,272.0,0
3,11.0,00:24:22,43821.0,0,3,B,2,長球,,,1.0,9,737.0,259.0,1.0,4,864.0,613.0,,,,,9,669.0,255.0,8,676.0,531.0,0
3,12.0,00:24:23,43856.0,0,3,A,2,長球,,,1.0,4,864.0,613.0,1.0,4,826.0,253.0,,,,,4,832.0,604.0,8,660.0,284.0,0
3,13.0,00:24:24,43889.0,0,3,B,3,殺球,,,1.0,4,826.0,253.0,2.0,6,932.0,554.0,對手落地致勝,落地致勝,B,,8,723.0,274.0,8,730.0,561.0,0
4,1.0,00:24:40,44364.0,0,4,B,1,發短球,,1.0,2.0,,,,2.0,7,504.0,457.0,,,,,8,636.0,314.0,8,507.0,501.0,0
4,2.0,00:24:40,44383.0,0,4,A,2,平球,,,2.0,7,504.0,457.0,1.0,8,702.0,295.0,,,,,7,506.0,452.0,8,599.0,309.0,0
4,3.0,00:24:41,44393.0,0,4,B,2,平球,,1.0,1.0,8,702.0,295.0,2.0,8,630.0,486.0,,,,,8,637.0,296.0,7,510.0,444.0,0
4,4.0,00:24:41,44405.0,0,4,A,2,放小球,,,2.0,8,630.0,486.0,2.0,8,601.0,333.0,,,,,8,616.0,491.0,8,613.0,299.0,0
4,5.0,00:24:42,44430.0,0,4,B,2,放小球,,,2.0,8,601.0,333.0,2.0,7,771.0,447.0,,,,,8,612.0,322.0,8,626.0,507.0,0
4,6.0,00:24:43,44455.0,0,4,A,2,推球,,,2.0,7,771.0,447.0,1.0,3,474.0,247.0,,,,,7,760.0,458.0,8,627.0,319.0,0
4,7.0,00:24:44,44490.0,0,4,B,2,後場抽平球,,,1.0,3,474.0,247.0,1.0,5,447.0,512.0,,,,,9,514.0,251.0,8,638.0,491.0,0
4,8.0,00:24:44,44505.0,0,4,A,2,擋小球,,1.0,1.0,5,447.0,512.0,2.0,2,803.0,345.0,,,,,8,517.0,517.0,8,533.0,271.0,0
