rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:05:24,9731.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,7,597.0,394.0,,,,,8,652.0,527.0,8,556.0,355.0,0
1,2.0,00:05:25,9754.0,0,1,A,2,挑球,,1.0,2.0,7,597.0,394.0,1.0,6,468.0,608.0,,,,,7,562.0,392.0,8,648.0,544.0,0
1,3.0,00:05:26,9787.0,0,1,B,2,長球,1.0,,1.0,6,468.0,608.0,1.0,8,722.0,335.0,,,,,8,552.0,606.0,8,557.0,371.0,0
1,4.0,00:05:27,9817.0,0,1,A,2,切球,1.0,,1.0,8,722.0,335.0,2.0,1,790.0,469.0,,,,,8,667.0,346.0,8,615.0,580.0,0
1,5.0,00:05:28,9851.0,0,1,B,2,挑球,,,2.0,1,790.0,469.0,1.0,9,532.0,324.0,,,,,5,784.0,511.0,8,690.0,358.0,0
1,6.0,00:05:29,9894.0,0,1,A,2,過度切球,,,1.0,9,532.0,324.0,2.0,6,403.0,556.0,,,,,9,556.0,324.0,8,684.0,557.0,0
1,7.0,00:05:30,9916.0,0,1,B,2,推球,,1.0,2.0,6,403.0,556.0,2.0,3,455.0,321.0,,,,,6,456.0,554.0,8,583.0,339.0,0
1,8.0,00:05:31,9951.0,0,1,A,2,過度切球,,,2.0,3,455.0,321.0,2.0,6,426.0,513.0,,,,,5,502.0,329.0,8,612.0,557.0,0
1,9.0,00:05:32,9975.0,0,1,B,2,勾球,,1.0,2.0,6,426.0,513.0,2.0,2,790.0,411.0,,,,,6,453.0,540.0,8,552.0,343.0,0
1,10.0,00:05:33,10004.0,0,1,A,2,挑球,,1.0,2.0,2,790.0,411.0,1.0,9,515.0,616.0,,,,,7,749.0,404.0,8,608.0,550.0,0
1,11.0,00:05:34,10048.0,0,1,B,2,長球,,,1.0,9,515.0,616.0,1.0,4,758.0,314.0,,,,,8,549.0,613.0,8,607.0,361.0,0
1,12.0,00:05:36,10083.0,0,1,A,2,過度切球,,1.0,1.0,4,758.0,314.0,2.0,1,811.0,499.0,,,,,8,730.0,334.0,8,644.0,578.0,0
1,13.0,00:05:36,10109.0,0,1,B,3,放小球,,,2.0,1,811.0,499.0,2.0,2,846.0,412.0,對手落地致勝,落地致勝,B,,8,736.0,528.0,8,660.0,350.0,0
2,1.0,00:05:51,10551.0,1,1,B,1,發短球,,1.0,2.0,,,,2.0,7,665.0,397.0,,,,,8,631.0,535.0,8,728.0,353.0,0
2,2.0,00:05:52,10578.0,1,1,A,2,推球,,,2.0,7,665.0,397.0,1.0,5,848.0,604.0,,,,,7,727.0,399.0,8,629.0,539.0,0
2,3.0,00:05:53,10608.0,1,1,B,2,長球,,,1.0,5,848.0,604.0,1.0,3,514.0,315.0,,,,,9,756.0,617.0,8,664.0,378.0,0
2,4.0,00:05:54,10648.0,1,1,A,2,長球,,,1.0,3,514.0,315.0,1.0,6,444.0,595.0,,,,,8,523.0,330.0,8,644.0,562.0,0
2,5.0,00:05:56,10681.0,1,1,B,3,長球,1.0,,1.0,6,444.0,595.0,2.0,13,704.0,293.0,出界,對手出界,A,,8,490.0,604.0,8,555.0,352.0,0
3,1.0,00:06:06,10999.0,1,2,A,1,發短球,,1.0,2.0,,,,2.0,7,585.0,499.0,,,,,8,641.0,374.0,8,517.0,550.0,0
3,2.0,00:06:07,11029.0,1,2,B,3,放小球,,,2.0,7,585.0,499.0,2.0,2,817.0,418.0,對手落地致勝,落地致勝,B,,8,555.0,522.0,8,609.0,372.0,0
4,1.0,00:06:18,11361.0,2,2,B,1,發短球,,1.0,2.0,,,,2.0,7,599.0,403.0,,,,,8,659.0,532.0,8,565.0,350.0,0
4,2.0,00:06:19,11384.0,2,2,A,3,放小球,,,2.0,7,599.0,403.0,2.0,2,453.0,471.0,對手落地致勝,落地致勝,A,,7,601.0,394.0,8,652.0,532.0,0
5,1.0,00:06:31,11732.0,2,3,A,1,發短球,,1.0,2.0,,,,2.0,1,787.0,480.0,,,,,8,618.0,369.0,8,709.0,554.0,0
5,2.0,00:06:31,11756.0,2,3,B,2,推球,,,2.0,1,787.0,480.0,1.0,5,510.0,328.0,,,,,8,731.0,510.0,8,643.0,373.0,0
5,3.0,00:06:33,11790.0,2,3,A,2,後場抽平球,,,1.0,5,510.0,328.0,1.0,6,474.0,552.0,,,,,8,537.0,334.0,8,655.0,560.0,0
5,4.0,00:06:33,11805.0,2,3,B,2,擋小球,,1.0,1.0,6,474.0,552.0,2.0,2,793.0,412.0,,,,,8,642.0,551.0,8,536.0,339.0,0
5,5.0,00:06:34,11832.0,2,3,A,2,放小球,,1.0,2.0,2,793.0,412.0,2.0,7,640.0,457.0,,,,,7,743.0,392.0,8,656.0,559.0,0
5,6.0,00:06:35,11860.0,2,3,B,2,放小球,,1.0,2.0,7,640.0,457.0,2.0,7,598.0,439.0,,,,,7,652.0,488.0,8,710.0,367.0,0
5,7.0,00:06:36,11888.0,2,3,A,2,挑球,,,2.0,7,598.0,439.0,1.0,8,719.0,615.0,,,,,7,652.0,426.0,7,664.0,506.0,0
5,8.0,00:06:38,11940.0,2,3,B,2,殺球,,,1.0,8,719.0,615.0,2.0,6,760.0,354.0,,,,,9,700.0,622.0,8,609.0,364.0,0
5,9.0,00:06:38,11954.0,2,3,A,2,擋小球,,1.0,2.0,6,760.0,354.0,1.0,1,845.0,481.0,,,,,8,576.0,360.0,9,750.0,619.0,0
5,10.0,00:06:39,11980.0,2,3,B,2,撲球,,,1.0,1,845.0,481.0,2.0,8,577.0,346.0,,,,,5,831.0,515.0,8,640.0,363.0,0
5,11.0,00:06:39,11994.0,2,3,A,3,擋小球,,,2.0,8,577.0,346.0,2.0,11,303.0,553.0,出界,對手出界,B,,8,607.0,358.0,1,855.0,505.0,0
6,1.0,00:07:04,12721.0,2,4,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
6,2.0,00:07:04,12739.0,2,4,A,2,推球,,,2.0,,,,2.0,5,861.0,610.0,,,,,7,726.0,395.0,8,637.0,540.0,0
6,3.0,00:07:05,12770.0,2,4,B,2,長球,,,2.0,5,861.0,610.0,1.0,4,765.0,326.0,,,,,8,798.0,613.0,8,660.0,379.0,0
