rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:08:04,14531.0,1,0,B,1,發長球,,,2.0,,,,1.0,9,763.0,634.0,,,,,8,607.0,359.0,8,756.0,553.0,0
1,2.0,00:08:06,14590.0,1,0,A,2,切球,,,1.0,9,763.0,634.0,2.0,6,766.0,383.0,,,,,9,777.0,647.0,8,640.0,353.0,0
1,3.0,00:08:07,14612.0,1,0,B,2,挑球,,1.0,2.0,6,766.0,383.0,1.0,5,863.0,597.0,,,,,8,714.0,378.0,8,712.0,595.0,0
1,4.0,00:08:07,14639.0,1,0,A,2,長球,,,1.0,5,863.0,597.0,1.0,8,552.0,345.0,,,,,5,803.0,600.0,8,669.0,355.0,0
1,5.0,00:08:08,14666.0,1,0,B,2,點扣,,,1.0,8,552.0,345.0,1.0,6,479.0,562.0,,,,,8,623.0,343.0,8,697.0,581.0,0
1,6.0,00:08:09,14681.0,1,0,A,2,擋小球,,1.0,1.0,6,479.0,562.0,2.0,1,487.0,391.0,,,,,8,664.0,571.0,8,542.0,336.0,0
1,7.0,00:08:10,14705.0,1,0,B,2,推球,,,2.0,1,487.0,391.0,1.0,6,414.0,582.0,,,,,8,521.0,386.0,8,597.0,556.0,0
1,8.0,00:08:10,14727.0,1,0,A,2,切球,1.0,,1.0,6,414.0,582.0,2.0,5,485.0,376.0,,,,,8,581.0,595.0,8,537.0,368.0,0
1,9.0,00:08:11,14749.0,1,0,B,3,推球,,,2.0,5,485.0,376.0,2.0,12,319.0,644.0,對手落地致勝,落地致勝,A,,5,516.0,372.0,8,559.0,571.0,0
2,1.0,00:08:22,15079.0,1,1,A,1,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
2,2.0,00:08:24,15142.0,1,1,B,2,長球,,,1.0,,,,1.0,8,781.0,608.0,,,,,9,660.0,322.0,8,660.0,561.0,0
2,3.0,00:08:25,15168.0,1,1,A,2,切球,,,1.0,8,781.0,608.0,2.0,5,512.0,385.0,,,,,8,748.0,612.0,8,645.0,339.0,0
2,4.0,00:08:26,15191.0,1,1,B,2,挑球,,,2.0,5,512.0,385.0,1.0,6,402.0,587.0,,,,,8,565.0,380.0,8,699.0,587.0,0
2,5.0,00:08:27,15216.0,1,1,A,3,切球,1.0,,1.0,6,402.0,587.0,2.0,7,732.0,421.0,未過網,對手未過網,B,,8,531.0,596.0,8,544.0,362.0,0
3,1.0,00:08:40,15616.0,2,1,B,1,發長球,,,2.0,,,,1.0,4,458.0,632.0,,,,,8,642.0,355.0,8,521.0,571.0,0
3,2.0,00:08:42,15668.0,2,1,A,2,切球,,,1.0,4,458.0,632.0,2.0,8,727.0,359.0,,,,,4,429.0,644.0,8,582.0,350.0,0
3,3.0,00:08:42,15685.0,2,1,B,2,放小球,,1.0,2.0,8,727.0,359.0,2.0,2,429.0,486.0,,,,,8,586.0,353.0,8,520.0,618.0,0
3,4.0,00:08:43,15718.0,2,1,A,2,推球,,1.0,2.0,2,429.0,486.0,1.0,8,721.0,351.0,,,,,8,514.0,519.0,8,610.0,359.0,0
3,5.0,00:08:44,15738.0,2,1,B,3,擋小球,,1.0,1.0,8,721.0,351.0,2.0,7,628.0,445.0,未過網,對手未過網,A,,8,592.0,352.0,8,613.0,533.0,0
4,1.0,00:09:00,16091.0,2,2,A,1,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
4,2.0,00:08:58,16158.0,2,2,B,2,長球,,,1.0,,,,1.0,8,494.0,602.0,,,,,9,576.0,322.0,8,654.0,554.0,0
4,3.0,00:08:59,16183.0,2,2,A,2,切球,1.0,,1.0,8,494.0,602.0,2.0,8,738.0,376.0,,,,,8,552.0,603.0,8,597.0,339.0,0
4,4.0,00:09:00,16202.0,2,2,B,2,勾球,,1.0,2.0,8,738.0,376.0,2.0,2,434.0,470.0,,,,,8,683.0,372.0,8,545.0,612.0,0
4,5.0,00:09:01,16231.0,2,2,A,2,勾球,,1.0,2.0,2,434.0,470.0,2.0,7,764.0,419.0,,,,,6,487.0,525.0,8,611.0,359.0,0
4,6.0,00:09:02,16265.0,2,2,B,2,挑球,,1.0,2.0,7,764.0,419.0,1.0,3,880.0,619.0,,,,,7,713.0,407.0,8,639.0,519.0,0
4,7.0,00:09:03,16303.0,2,2,A,2,過度切球,,,1.0,3,880.0,619.0,2.0,6,817.0,382.0,,,,,3,826.0,629.0,8,664.0,360.0,0
4,8.0,00:09:04,16328.0,2,2,B,2,挑球,,1.0,2.0,6,817.0,382.0,1.0,5,824.0,613.0,,,,,8,759.0,385.0,8,736.0,580.0,0
4,9.0,00:09:05,16356.0,2,2,A,2,長球,,,1.0,5,824.0,613.0,1.0,6,806.0,332.0,,,,,9,766.0,623.0,8,674.0,361.0,0
4,10.0,00:09:06,16383.0,2,2,B,2,切球,1.0,,1.0,6,806.0,332.0,2.0,8,784.0,521.0,,,,,8,723.0,360.0,8,721.0,585.0,0
4,11.0,00:09:06,16402.0,2,2,A,2,勾球,,,2.0,8,784.0,521.0,2.0,5,463.0,389.0,,,,,8,734.0,554.0,8,733.0,336.0,0
4,12.0,00:09:07,16433.0,2,2,B,2,挑球,,,2.0,5,463.0,389.0,1.0,6,375.0,611.0,,,,,5,505.0,389.0,8,642.0,555.0,0
4,13.0,00:09:08,16466.0,2,2,A,2,切球,1.0,,1.0,6,375.0,611.0,2.0,6,800.0,386.0,,,,,8,502.0,618.0,8,567.0,370.0,0
4,14.0,00:09:09,16492.0,2,2,B,2,挑球,,1.0,2.0,6,800.0,386.0,1.0,3,868.0,626.0,,,,,8,732.0,379.0,8,492.0,602.0,0
4,15.0,00:09:11,16531.0,2,2,A,2,過度切球,,,1.0,3,868.0,626.0,2.0,2,798.0,401.0,,,,,9,803.0,638.0,8,679.0,356.0,0
4,16.0,00:09:11,16559.0,2,2,B,2,挑球,,1.0,2.0,2,798.0,401.0,2.0,6,392.0,616.0,,,,,8,738.0,384.0,8,741.0,577.0,0
4,17.0,00:09:13,16595.0,2,2,A,2,過度切球,,1.0,2.0,6,392.0,616.0,2.0,1,486.0,394.0,,,,,4,473.0,630.0,8,612.0,364.0,0
4,18.0,00:09:13,16619.0,2,2,B,2,放小球,,,2.0,1,486.0,394.0,2.0,2,429.0,474.0,,,,,8,518.0,382.0,8,584.0,582.0,0
4,19.0,00:09:15,16650.0,2,2,A,2,挑球,,1.0,2.0,2,429.0,474.0,1.0,9,744.0,316.0,,,,,2,481.0,501.0,8,587.0,374.0,0
4,20.0,00:09:16,16696.0,2,2,B,3,長球,1.0,,1.0,9,744.0,316.0,2.0,3,919.0,647.0,對手落地致勝,落地致勝,B,,8,673.0,331.0,8,658.0,538.0,0
