rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:29:07,52413.0,1,0,B,1,發短球,,,2.0,,,,2.0,7,720.0,498.0,,,,,8,604.0,360.0,8,755.0,556.0,0
1,2.0,00:29:07,52437.0,1,0,A,2,放小球,,1.0,2.0,7,720.0,498.0,2.0,2,781.0,408.0,,,,,8,738.0,511.0,8,621.0,361.0,0
1,3.0,00:29:08,52460.0,1,0,B,2,放小球,,1.0,2.0,2,781.0,408.0,2.0,7,695.0,465.0,,,,,7,733.0,402.0,8,719.0,533.0,0
1,4.0,00:29:09,52484.0,1,0,A,2,推球,,1.0,2.0,7,695.0,465.0,1.0,8,743.0,339.0,,,,,7,718.0,488.0,8,668.0,374.0,0
1,5.0,00:29:10,52506.0,1,0,B,2,殺球,1.0,,1.0,8,743.0,339.0,2.0,5,799.0,522.0,,,,,8,654.0,357.0,7,712.0,506.0,0
1,6.0,00:29:10,52517.0,1,0,A,3,防守回抽,,,2.0,5,799.0,522.0,2.0,12,899.0,327.0,出界,對手出界,A,,8,731.0,562.0,8,648.0,349.0,0
2,1.0,00:29:24,52930.0,2,0,A,1,發短球,,,2.0,,,,2.0,7,550.0,498.0,,,,,8,646.0,352.0,8,529.0,562.0,0
2,2.0,00:29:25,52955.0,2,0,B,2,挑球,,1.0,2.0,7,550.0,498.0,1.0,4,759.0,311.0,,,,,8,596.0,523.0,8,629.0,357.0,0
2,3.0,00:29:26,52990.0,2,0,A,2,殺球,1.0,,1.0,4,759.0,311.0,2.0,8,655.0,537.0,,,,,8,673.0,333.0,8,669.0,551.0,0
2,4.0,00:29:26,53006.0,2,0,B,2,擋小球,,1.0,2.0,8,655.0,537.0,2.0,6,808.0,391.0,,,,,8,723.0,562.0,9,683.0,327.0,0
2,5.0,00:29:27,53032.0,2,0,A,2,推球,,1.0,2.0,6,808.0,391.0,1.0,5,818.0,576.0,,,,,8,741.0,391.0,8,681.0,547.0,0
2,6.0,00:29:28,53052.0,2,0,B,2,長球,,,1.0,5,818.0,576.0,1.0,8,593.0,358.0,,,,,8,735.0,594.0,8,708.0,380.0,0
2,7.0,00:29:29,53070.0,2,0,A,2,切球,,,1.0,8,593.0,358.0,2.0,2,444.0,487.0,,,,,8,666.0,366.0,8,705.0,612.0,0
2,8.0,00:29:29,53094.0,2,0,B,2,挑球,,1.0,2.0,2,444.0,487.0,1.0,9,706.0,328.0,,,,,8,497.0,522.0,8,581.0,353.0,0
2,9.0,00:29:30,53129.0,2,0,A,2,殺球,,,1.0,9,706.0,328.0,2.0,8,513.0,525.0,,,,,8,701.0,337.0,8,641.0,570.0,0
2,10.0,00:29:31,53146.0,2,0,B,3,防守回抽,,1.0,2.0,8,513.0,525.0,2.0,14,426.0,323.0,出界,對手出界,A,,8,696.0,561.0,8,678.0,333.0,0
3,1.0,00:29:47,53619.0,2,1,A,1,發短球,,,2.0,,,,2.0,7,747.0,497.0,,,,,8,616.0,364.0,8,727.0,573.0,0
3,2.0,00:29:47,53634.0,2,1,B,2,挑球,,1.0,2.0,7,747.0,497.0,1.0,4,794.0,322.0,,,,,8,761.0,517.0,8,628.0,359.0,0
3,3.0,00:29:48,53668.0,2,1,A,3,長球,1.0,,1.0,4,794.0,322.0,2.0,14,963.0,650.0,出界,對手出界,B,,8,703.0,341.0,8,677.0,559.0,0
4,1.0,00:30:03,54119.0,3,1,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
4,2.0,00:30:04,54141.0,3,1,A,2,放小球,,1.0,2.0,,,,2.0,2,470.0,472.0,,,,,7,712.0,394.0,8,645.0,547.0,0
4,3.0,00:30:05,54165.0,3,1,B,2,挑球,,1.0,2.0,2,470.0,472.0,1.0,9,604.0,314.0,,,,,7,527.0,505.0,8,673.0,374.0,0
4,4.0,00:30:07,54219.0,3,1,A,2,殺球,,,1.0,9,604.0,314.0,2.0,8,673.0,539.0,,,,,9,604.0,321.0,8,653.0,567.0,0
4,5.0,00:30:07,54233.0,3,1,B,2,擋小球,,,2.0,8,673.0,539.0,2.0,8,528.0,388.0,,,,,8,687.0,559.0,8,600.0,331.0,0
4,6.0,00:30:08,54258.0,3,1,A,2,勾球,,,2.0,8,528.0,388.0,2.0,1,814.0,468.0,,,,,8,557.0,387.0,8,626.0,572.0,0
4,7.0,00:30:09,54286.0,3,1,B,2,放小球,,,2.0,1,814.0,468.0,1.0,2,836.0,404.0,,,,,7,769.0,505.0,8,616.0,384.0,0
4,8.0,00:30:10,54313.0,3,1,A,2,撲球,,1.0,1.0,2,836.0,404.0,1.0,7,735.0,483.0,,,,,2,790.0,408.0,7,746.0,503.0,0
4,9.0,00:30:10,54321.0,3,1,B,3,防守回抽,,,1.0,7,735.0,483.0,2.0,10,212.0,485.0,未過網,對手未過網,A,,8,725.0,513.0,2,807.0,418.0,0
5,1.0,00:30:39,55192.0,4,1,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
5,2.0,00:30:40,55212.0,4,1,B,2,挑球,,1.0,2.0,,,,1.0,5,502.0,334.0,,,,,8,600.0,517.0,8,628.0,355.0,0
