rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:05:38,8463.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,7,572.0,468.0,,,,,8,675.0,566.0,8,566.0,427.0,0
1,2.0,00:05:39,8481.0,0,1,A,2,放小球,,,2.0,7,572.0,468.0,2.0,2,832.0,516.0,,,,,8,582.0,456.0,8,666.0,571.0,0
1,3.0,00:05:40,8501.0,0,1,B,2,挑球,,,2.0,2,832.0,516.0,1.0,4,817.0,407.0,,,,,7,738.0,545.0,8,643.0,440.0,0
1,4.0,00:05:40,8523.0,0,1,A,2,切球,,1.0,1.0,4,817.0,407.0,2.0,2,888.0,528.0,,,,,6,794.0,416.0,8,742.0,581.0,0
1,5.0,00:05:41,8541.0,0,1,B,2,挑球,,,2.0,2,888.0,528.0,1.0,9,542.0,408.0,,,,,2,843.0,556.0,8,749.0,424.0,0
1,6.0,00:05:42,8574.0,0,1,A,2,切球,,,1.0,9,542.0,408.0,2.0,2,871.0,556.0,,,,,9,557.0,396.0,8,678.0,592.0,0
1,7.0,00:05:43,8594.0,0,1,B,2,挑球,,,2.0,2,871.0,556.0,1.0,8,768.0,414.0,,,,,8,806.0,563.0,9,611.0,406.0,0
1,8.0,00:05:44,8621.0,0,1,A,2,殺球,,,1.0,8,768.0,414.0,2.0,6,860.0,592.0,,,,,8,755.0,413.0,8,761.0,589.0,0
1,9.0,00:05:45,8632.0,0,1,B,2,擋小球,,,2.0,6,860.0,592.0,2.0,2,801.0,465.0,,,,,8,754.0,601.0,8,733.0,416.0,0
1,10.0,00:05:46,8657.0,0,1,A,2,推球,,1.0,2.0,2,801.0,465.0,1.0,3,477.0,660.0,,,,,7,756.0,465.0,8,764.0,580.0,0
1,11.0,00:05:47,8687.0,0,1,B,2,點扣,1.0,,1.0,3,477.0,660.0,2.0,5,484.0,438.0,,,,,8,579.0,623.0,8,627.0,424.0,0
1,12.0,00:05:48,8702.0,0,1,A,2,勾球,,,2.0,5,484.0,438.0,2.0,7,796.0,540.0,,,,,8,541.0,422.0,8,524.0,645.0,0
1,13.0,00:05:49,8725.0,0,1,B,2,放小球,,,2.0,7,796.0,540.0,2.0,2,858.0,481.0,,,,,7,758.0,557.0,8,615.0,425.0,0
1,14.0,00:05:50,8750.0,0,1,A,2,挑球,,1.0,2.0,2,858.0,481.0,1.0,9,500.0,646.0,,,,,7,783.0,469.0,8,714.0,567.0,0
1,15.0,00:05:51,8782.0,0,1,B,2,切球,1.0,,1.0,9,500.0,646.0,2.0,8,652.0,442.0,,,,,8,585.0,632.0,8,643.0,435.0,0
1,16.0,00:05:51,8798.0,0,1,A,2,放小球,,1.0,2.0,8,652.0,442.0,2.0,1,502.0,542.0,,,,,8,597.0,425.0,8,541.0,635.0,0
1,17.0,00:05:52,8821.0,0,1,B,2,挑球,,1.0,2.0,1,502.0,542.0,1.0,4,787.0,405.0,,,,,8,546.0,558.0,8,633.0,423.0,0
1,18.0,00:05:54,8851.0,0,1,A,3,長球,1.0,,1.0,4,787.0,405.0,2.0,13,595.0,686.0,出界,對手出界,B,,9,698.0,403.0,8,685.0,596.0,0
2,1.0,00:06:12,9324.0,0,2,B,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
3,1.0,00:06:57,10444.0,1,2,B,1,發短球,,1.0,2.0,,,,2.0,7,569.0,470.0,,,,,8,680.0,573.0,8,573.0,435.0,0
3,2.0,00:06:58,10463.0,1,2,A,2,挑球,,,2.0,7,569.0,470.0,1.0,5,445.0,644.0,,,,,8,570.0,453.0,8,652.0,565.0,0
3,3.0,00:06:59,10493.0,1,2,B,2,切球,,1.0,1.0,5,445.0,644.0,2.0,8,779.0,447.0,,,,,3,467.0,646.0,8,604.0,421.0,0
3,4.0,00:07:00,10512.0,1,2,A,2,放小球,,1.0,2.0,8,779.0,447.0,2.0,2,846.0,519.0,,,,,8,735.0,444.0,8,602.0,609.0,0
3,5.0,00:07:01,10533.0,1,2,B,2,挑球,,,2.0,2,846.0,519.0,1.0,9,546.0,408.0,,,,,8,782.0,559.0,8,688.0,435.0,0
3,6.0,00:07:02,10566.0,1,2,A,2,殺球,,,1.0,9,546.0,408.0,2.0,6,853.0,595.0,,,,,13,528.0,387.0,8,656.0,584.0,0
3,7.0,00:07:03,10579.0,1,2,B,3,擋小球,,,2.0,6,853.0,595.0,2.0,10,1051.0,531.0,未過網,對手未過網,A,,8,676.0,590.0,3,515.0,404.0,0
4,1.0,00:07:24,11119.0,2,2,A,1,未知球種,,,2.0,,,,,10,1051.0,531.0,,,,1,8,676.0,590.0,3,515.0,404.0,0
5,1.0,00:07:41,11549.0,3,2,A,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
6,1.0,00:08:19,12489.0,4,2,A,1,發短球,,1.0,2.0,,,,2.0,7,546.0,551.0,,,,,8,661.0,440.0,8,552.0,599.0,0
6,2.0,00:08:20,12507.0,4,2,B,2,挑球,,,2.0,7,546.0,551.0,1.0,3,484.0,403.0,,,,,7,528.0,551.0,8,638.0,433.0,0
6,3.0,00:08:21,12538.0,4,2,A,2,長球,,,1.0,3,484.0,403.0,1.0,8,498.0,638.0,,,,,3,511.0,397.0,8,626.0,588.0,0
6,4.0,00:08:22,12565.0,4,2,B,2,點扣,1.0,,1.0,8,498.0,638.0,2.0,5,509.0,422.0,,,,,8,525.0,613.0,9,569.0,399.0,0
6,5.0,00:08:23,12578.0,4,2,A,2,勾球,,,2.0,5,509.0,422.0,2.0,2,842.0,524.0,,,,,8,571.0,423.0,8,500.0,638.0,0
6,6.0,00:08:24,12603.0,4,2,B,2,挑球,,,2.0,2,842.0,524.0,1.0,3,509.0,403.0,,,,,7,798.0,558.0,8,606.0,431.0,0
6,7.0,00:08:25,12635.0,4,2,A,2,殺球,,,1.0,3,509.0,403.0,2.0,5,484.0,569.0,,,,,13,529.0,388.0,8,666.0,585.0,0
6,8.0,00:08:25,12645.0,4,2,B,2,擋小球,,1.0,2.0,5,484.0,569.0,2.0,8,618.0,462.0,,,,,8,671.0,586.0,3,533.0,395.0,0
