rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:05:32,8303.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,769.0,505.0,,,,,8,626.0,385.0,8,742.0,572.0,0
1,2.0,00:05:32,8321.0,0,1,B,2,勾球,,,2.0,7,769.0,505.0,2.0,1,450.0,421.0,,,,,8,736.0,535.0,8,621.0,374.0,0
1,3.0,00:05:33,8342.0,0,1,A,2,挑球,,,2.0,1,450.0,421.0,1.0,4,905.0,658.0,,,,,7,525.0,402.0,8,629.0,529.0,0
1,4.0,00:05:35,8375.0,0,1,B,2,切球,,,1.0,4,905.0,658.0,2.0,8,776.0,377.0,,,,,9,840.0,651.0,8,630.0,370.0,0
1,5.0,00:05:35,8392.0,0,1,A,2,勾球,,1.0,2.0,8,776.0,377.0,2.0,1,468.0,471.0,,,,,8,718.0,376.0,8,775.0,606.0,0
1,6.0,00:05:36,8412.0,0,1,B,2,挑球,,1.0,2.0,1,468.0,471.0,1.0,8,754.0,342.0,,,,,8,519.0,524.0,8,649.0,373.0,0
1,7.0,00:05:37,8445.0,0,1,A,2,殺球,,,1.0,8,754.0,342.0,2.0,6,826.0,573.0,,,,,8,718.0,339.0,8,713.0,567.0,0
1,8.0,00:05:38,8457.0,0,1,B,2,勾球,,,2.0,6,826.0,573.0,2.0,8,510.0,396.0,,,,,8,745.0,584.0,8,744.0,341.0,0
1,9.0,00:05:39,8484.0,0,1,A,2,放小球,,,2.0,8,510.0,396.0,2.0,1,415.0,473.0,,,,,8,550.0,385.0,8,642.0,554.0,0
1,10.0,00:05:40,8507.0,0,1,B,2,放小球,,1.0,2.0,1,415.0,473.0,2.0,1,409.0,438.0,,,,,7,488.0,498.0,8,564.0,380.0,0
1,11.0,00:05:41,8529.0,0,1,A,2,挑球,,,2.0,1,409.0,438.0,1.0,9,468.0,640.0,,,,,1,448.0,409.0,7,524.0,504.0,0
1,12.0,00:05:42,8561.0,0,1,B,2,殺球,,,1.0,9,468.0,640.0,2.0,8,674.0,371.0,,,,,8,496.0,620.0,8,543.0,367.0,0
1,13.0,00:05:42,8571.0,0,1,A,2,防守回抽,,1.0,2.0,8,674.0,371.0,1.0,8,810.0,564.0,,,,,8,547.0,349.0,8,492.0,622.0,0
1,14.0,00:05:43,8594.0,0,1,B,2,平球,,,1.0,8,810.0,564.0,2.0,8,534.0,360.0,,,,,8,694.0,584.0,8,630.0,355.0,0
1,15.0,00:05:44,8608.0,0,1,A,2,平球,,,2.0,8,534.0,360.0,1.0,5,439.0,568.0,,,,,8,585.0,364.0,8,781.0,578.0,0
1,16.0,00:05:44,8621.0,0,1,B,2,擋小球,,1.0,1.0,5,439.0,568.0,2.0,7,583.0,420.0,,,,,8,664.0,570.0,8,574.0,356.0,0
1,17.0,00:05:45,8645.0,0,1,A,2,挑球,,,2.0,7,583.0,420.0,1.0,9,838.0,657.0,,,,,7,599.0,404.0,8,574.0,552.0,0
1,18.0,00:05:47,8679.0,0,1,B,2,切球,,,1.0,9,838.0,657.0,2.0,7,513.0,414.0,,,,,9,779.0,664.0,8,635.0,366.0,0
1,19.0,00:05:48,8702.0,0,1,A,2,挑球,,,2.0,7,513.0,414.0,1.0,4,895.0,663.0,,,,,8,534.0,396.0,8,666.0,586.0,0
1,20.0,00:05:49,8734.0,0,1,B,2,切球,,,1.0,4,895.0,663.0,2.0,6,831.0,378.0,,,,,9,813.0,644.0,8,617.0,347.0,0
1,21.0,00:05:50,8751.0,0,1,A,2,放小球,,1.0,2.0,6,831.0,378.0,2.0,2,863.0,478.0,,,,,8,773.0,374.0,8,762.0,599.0,0
1,22.0,00:05:50,8770.0,0,1,B,2,挑球,,,2.0,2,863.0,478.0,1.0,8,521.0,339.0,,,,,8,790.0,521.0,8,692.0,365.0,0
1,23.0,00:05:52,8810.0,0,1,A,2,殺球,,,1.0,8,521.0,339.0,2.0,5,407.0,566.0,,,,,9,561.0,334.0,8,684.0,559.0,0
1,24.0,00:05:52,8822.0,0,1,B,2,擋小球,,1.0,2.0,5,407.0,566.0,2.0,1,437.0,424.0,,,,,8,675.0,565.0,13,531.0,316.0,0
1,25.0,00:05:53,8845.0,0,1,A,2,勾球,,,2.0,1,437.0,424.0,2.0,2,873.0,479.0,,,,,5,493.0,399.0,8,583.0,557.0,0
1,26.0,00:05:54,8867.0,0,1,B,2,挑球,,,2.0,2,873.0,479.0,1.0,6,815.0,338.0,,,,,7,769.0,501.0,8,589.0,374.0,0
1,27.0,00:05:56,8900.0,0,1,A,2,殺球,,,1.0,6,815.0,338.0,2.0,8,721.0,556.0,,,,,8,747.0,340.0,8,729.0,562.0,0
1,28.0,00:05:56,8908.0,0,1,B,2,擋小球,,1.0,2.0,8,721.0,556.0,2.0,7,759.0,415.0,,,,,8,789.0,583.0,9,748.0,327.0,0
1,29.0,00:05:57,8934.0,0,1,A,2,挑球,,1.0,2.0,7,759.0,415.0,1.0,9,487.0,666.0,,,,,8,699.0,392.0,8,711.0,552.0,0
1,30.0,00:05:59,8980.0,0,1,B,2,切球,,,1.0,9,487.0,666.0,2.0,1,421.0,419.0,,,,,9,490.0,674.0,8,594.0,362.0,0
1,31.0,00:06:00,9002.0,0,1,A,3,挑球,,,2.0,1,421.0,419.0,2.0,12,1013.0,642.0,出界,對手出界,B,,5,452.0,391.0,8,539.0,606.0,0
2,1.0,00:06:26,9672.0,1,1,B,1,發短球,,1.0,2.0,,,,2.0,7,715.0,420.0,,,,,8,634.0,536.0,8,719.0,348.0,0
2,2.0,00:06:27,9688.0,1,1,A,2,推球,,,2.0,7,715.0,420.0,1.0,4,946.0,651.0,,,,,8,729.0,400.0,8,656.0,542.0,0
2,3.0,00:06:28,9721.0,1,1,B,2,過度切球,,,1.0,4,946.0,651.0,1.0,2,813.0,403.0,,,,,4,863.0,655.0,8,696.0,390.0,0
2,4.0,00:06:29,9736.0,1,1,A,3,勾球,,1.0,1.0,2,813.0,403.0,2.0,1,417.0,487.0,對手落地致勝,落地致勝,A,,8,709.0,395.0,8,822.0,630.0,0
3,1.0,00:06:45,10148.0,1,2,A,1,未知球種,,,2.0,,,,2.0,1,417.0,487.0,,,,1,8,709.0,395.0,8,822.0,630.0,0
3,2.0,00:06:46,10158.0,1,2,B,2,放小球,,1.0,2.0,1,417.0,487.0,2.0,7,715.0,426.0,,,,,8,620.0,523.0,8,645.0,368.0,0
3,3.0,00:06:47,10178.0,1,2,A,3,挑球,,,2.0,7,715.0,426.0,2.0,12,1023.0,659.0,出界,對手出界,B,,8,700.0,400.0,8,646.0,535.0,0
4,1.0,00:07:04,10601.0,1,3,B,1,發短球,,1.0,2.0,,,,2.0,7,602.0,420.0,,,,,8,670.0,544.0,8,554.0,360.0,0
4,2.0,00:07:04,10619.0,1,3,A,2,挑球,,,2.0,7,602.0,420.0,1.0,9,605.0,658.0,,,,,7,621.0,401.0,8,665.0,541.0,0
4,3.0,00:07:05,10645.0,1,3,B,2,殺球,,,1.0,9,605.0,658.0,2.0,8,673.0,362.0,,,,,8,631.0,619.0,8,595.0,355.0,0
4,4.0,00:07:06,10661.0,1,3,A,2,擋小球,,1.0,2.0,8,673.0,362.0,2.0,1,478.0,461.0,,,,,8,604.0,357.0,8,630.0,621.0,0
4,5.0,00:07:07,10681.0,1,3,B,2,放小球,,1.0,2.0,1,478.0,461.0,2.0,7,505.0,435.0,,,,,7,509.0,505.0,8,624.0,368.0,0
4,6.0,00:07:08,10704.0,1,3,A,2,放小球,,,2.0,7,505.0,435.0,2.0,1,453.0,462.0,,,,,7,506.0,424.0,7,567.0,509.0,0
4,7.0,00:07:09,10726.0,1,3,B,2,挑球,,1.0,2.0,1,453.0,462.0,1.0,8,736.0,340.0,,,,,7,519.0,491.0,7,565.0,402.0,0
4,8.0,00:07:10,10768.0,1,3,A,2,殺球,,,1.0,8,736.0,340.0,2.0,8,787.0,566.0,,,,,8,717.0,337.0,8,713.0,558.0,0
4,9.0,00:07:11,10779.0,1,3,B,2,擋小球,,,2.0,8,787.0,566.0,2.0,7,593.0,428.0,,,,,8,755.0,577.0,9,710.0,327.0,0
