rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:29:25,44133.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,723.0,497.0,,,,,8,617.0,381.0,8,736.0,569.0,0
1,2.0,00:29:26,44151.0,0,1,B,2,推球,,,2.0,7,723.0,497.0,1.0,3,459.0,330.0,,,,,7,671.0,509.0,8,605.0,366.0,0
1,3.0,00:29:27,44179.0,0,1,A,2,後場抽平球,,,1.0,3,459.0,330.0,1.0,8,490.0,537.0,,,,,3,486.0,331.0,8,615.0,550.0,0
1,4.0,00:29:27,44190.0,0,1,B,2,擋小球,,1.0,1.0,8,490.0,537.0,2.0,1,475.0,404.0,,,,,8,625.0,566.0,3,501.0,332.0,0
1,5.0,00:29:28,44210.0,0,1,A,2,放小球,,,2.0,1,475.0,404.0,2.0,1,421.0,475.0,,,,,8,545.0,393.0,8,588.0,555.0,0
1,6.0,00:29:29,44231.0,0,1,B,2,挑球,,1.0,2.0,1,421.0,475.0,1.0,4,792.0,328.0,,,,,7,492.0,512.0,8,566.0,366.0,0
1,7.0,00:29:30,44265.0,0,1,A,2,過度切球,,1.0,1.0,4,792.0,328.0,2.0,2,873.0,521.0,,,,,9,737.0,334.0,8,689.0,562.0,0
1,8.0,00:29:31,44288.0,0,1,B,2,放小球,,,2.0,2,873.0,521.0,2.0,2,851.0,420.0,,,,,6,828.0,535.0,8,681.0,355.0,0
1,9.0,00:29:32,44309.0,0,1,A,2,挑球,,1.0,2.0,2,851.0,420.0,1.0,8,452.0,619.0,,,,,6,795.0,398.0,8,721.0,543.0,0
1,10.0,00:29:33,44335.0,0,1,B,2,殺球,1.0,,1.0,8,452.0,619.0,2.0,5,448.0,359.0,,,,,8,528.0,614.0,8,611.0,369.0,0
1,11.0,00:29:33,44347.0,0,1,A,3,擋小球,,,2.0,5,448.0,359.0,2.0,15,181.0,347.0,未過網,對手未過網,B,,8,570.0,356.0,5,429.0,624.0,0
2,1.0,00:30:07,45187.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,731.0,416.0,,,,,8,623.0,545.0,8,725.0,363.0,0
2,2.0,00:30:07,45199.0,0,2,A,2,挑球,,,2.0,7,731.0,416.0,1.0,6,863.0,636.0,,,,,7,734.0,403.0,8,644.0,529.0,0
2,3.0,00:30:09,45229.0,0,2,B,2,後場抽平球,,,1.0,6,863.0,636.0,1.0,8,614.0,371.0,,,,,8,824.0,633.0,8,667.0,366.0,0
2,4.0,00:30:09,45240.0,0,2,A,3,平球,,1.0,1.0,8,614.0,371.0,2.0,15,263.0,618.0,出界,對手出界,B,,8,632.0,364.0,8,782.0,607.0,0
3,1.0,00:30:22,45563.0,0,3,B,1,未知球種,,,2.0,,,,,15,263.0,618.0,,,,1,8,632.0,364.0,8,782.0,607.0,0
4,1.0,00:30:37,45927.0,0,4,B,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
5,1.0,00:31:08,46709.0,0,5,B,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
6,1.0,00:31:41,47526.0,1,5,B,1,發短球,,1.0,2.0,,,,1.0,7,678.0,408.0,,,,,8,624.0,547.0,8,737.0,361.0,0
6,2.0,00:31:41,47539.0,1,5,A,2,推球,,,1.0,7,678.0,408.0,1.0,6,872.0,567.0,,,,,7,756.0,410.0,8,650.0,544.0,0
6,3.0,00:31:42,47551.0,1,5,B,2,平球,,,1.0,6,872.0,567.0,1.0,8,672.0,383.0,,,,,8,703.0,568.0,8,725.0,396.0,0
6,4.0,00:31:42,47562.0,1,5,A,2,擋小球,,1.0,1.0,8,672.0,383.0,2.0,5,398.0,552.0,,,,,8,648.0,372.0,6,835.0,577.0,0
6,5.0,00:31:43,47578.0,1,5,B,2,挑球,,1.0,2.0,5,398.0,552.0,1.0,8,771.0,349.0,,,,,8,469.0,559.0,8,595.0,370.0,0
6,6.0,00:31:44,47608.0,1,5,A,2,殺球,1.0,,1.0,8,771.0,349.0,2.0,8,811.0,584.0,,,,,8,698.0,340.0,8,711.0,593.0,0
6,7.0,00:31:44,47617.0,1,5,B,2,擋小球,,,2.0,8,811.0,584.0,1.0,8,530.0,380.0,,,,,8,774.0,604.0,8,730.0,339.0,0
6,8.0,00:31:45,47640.0,1,5,A,3,撲球,,,1.0,8,530.0,380.0,2.0,5,401.0,617.0,對手落地致勝,落地致勝,A,,8,658.0,372.0,8,740.0,608.0,0
7,1.0,00:32:01,48034.0,2,5,A,1,未知球種,,,2.0,,,,,5,401.0,617.0,,,,1,8,658.0,372.0,8,740.0,608.0,0
8,1.0,00:32:25,48649.0,3,5,A,1,發短球,,1.0,2.0,,,,1.0,8,717.0,547.0,,,,,8,625.0,381.0,8,734.0,567.0,0
8,2.0,00:32:26,48661.0,3,5,B,2,平球,1.0,,1.0,8,717.0,547.0,1.0,8,724.0,366.0,,,,,8,752.0,564.0,8,610.0,375.0,0
8,3.0,00:32:26,48671.0,3,5,A,2,擋小球,,1.0,1.0,8,724.0,366.0,2.0,2,829.0,499.0,,,,,8,598.0,369.0,8,779.0,557.0,0
8,4.0,00:32:27,48690.0,3,5,B,2,放小球,,,2.0,2,829.0,499.0,2.0,7,622.0,424.0,,,,,2,812.0,514.0,8,659.0,364.0,0
8,5.0,00:32:28,48709.0,3,5,A,2,挑球,,,2.0,7,622.0,424.0,1.0,6,878.0,630.0,,,,,7,660.0,411.0,8,714.0,526.0,0
8,6.0,00:32:29,48737.0,3,5,B,2,點扣,,,1.0,6,878.0,630.0,2.0,6,829.0,353.0,,,,,4,859.0,646.0,8,653.0,364.0,0
8,7.0,00:32:29,48748.0,3,5,A,2,擋小球,,1.0,2.0,6,829.0,353.0,2.0,2,828.0,506.0,,,,,8,620.0,360.0,6,837.0,630.0,0
8,8.0,00:32:30,48770.0,3,5,B,2,放小球,,,2.0,2,828.0,506.0,2.0,2,852.0,421.0,,,,,7,770.0,518.0,8,657.0,362.0,0
8,9.0,00:32:31,48792.0,3,5,A,2,挑球,,1.0,2.0,2,852.0,421.0,1.0,6,857.0,630.0,,,,,7,786.0,402.0,8,707.0,538.0,0
8,10.0,00:32:32,48819.0,3,5,B,2,過度切球,,,1.0,6,857.0,630.0,2.0,6,835.0,399.0,,,,,9,815.0,638.0,8,677.0,367.0,0
8,11.0,00:32:33,48843.0,3,5,A,2,放小球,,1.0,2.0,6,835.0,399.0,2.0,2,826.0,477.0,,,,,6,790.0,385.0,8,708.0,579.0,0
8,12.0,00:32:34,48863.0,3,5,B,2,放小球,,,2.0,2,826.0,477.0,2.0,7,775.0,445.0,,,,,2,824.0,509.0,8,709.0,376.0,0
8,13.0,00:32:35,48884.0,3,5,A,2,挑球,,1.0,2.0,7,775.0,445.0,1.0,9,605.0,654.0,,,,,7,721.0,417.0,7,708.0,520.0,0
8,14.0,00:32:37,48934.0,3,5,B,2,殺球,,,1.0,9,605.0,654.0,2.0,5,446.0,353.0,,,,,9,617.0,647.0,8,588.0,360.0,0
8,15.0,00:32:37,48947.0,3,5,A,2,擋小球,,,2.0,5,446.0,353.0,2.0,1,357.0,516.0,,,,,8,565.0,357.0,8,645.0,606.0,0
8,16.0,00:32:38,48972.0,3,5,B,2,推球,,1.0,2.0,1,357.0,516.0,1.0,3,439.0,329.0,,,,,1,404.0,512.0,8,533.0,366.0,0
8,17.0,00:32:39,48999.0,3,5,A,2,過度切球,,,1.0,3,439.0,329.0,2.0,2,900.0,513.0,,,,,3,449.0,333.0,8,561.0,555.0,0
8,18.0,00:32:40,49024.0,3,5,B,2,放小球,,,2.0,2,900.0,513.0,2.0,2,834.0,424.0,,,,,6,846.0,529.0,8,591.0,355.0,0
8,19.0,00:32:41,49047.0,3,5,A,2,推球,,1.0,2.0,2,834.0,424.0,1.0,4,882.0,638.0,,,,,7,775.0,411.0,8,728.0,538.0,0
8,20.0,00:32:42,49072.0,3,5,B,2,後場抽平球,,,1.0,4,882.0,638.0,1.0,6,821.0,368.0,,,,,8,795.0,630.0,8,704.0,378.0,0
8,21.0,00:32:43,49085.0,3,5,A,2,擋小球,,1.0,1.0,6,821.0,368.0,2.0,7,767.0,518.0,,,,,8,677.0,374.0,8,769.0,606.0,0
8,22.0,00:32:44,49103.0,3,5,B,2,推球,,,2.0,7,767.0,518.0,1.0,9,553.0,331.0,,,,,8,736.0,533.0,8,686.0,375.0,0
8,23.0,00:32:45,49127.0,3,5,A,2,點扣,,,1.0,9,553.0,331.0,2.0,8,489.0,564.0,,,,,8,607.0,352.0,8,682.0,564.0,0
8,24.0,00:32:45,49138.0,3,5,B,2,擋小球,,1.0,2.0,8,489.0,564.0,2.0,8,564.0,395.0,,,,,8,705.0,578.0,9,536.0,336.0,0
8,25.0,00:32:46,49160.0,3,5,A,2,挑球,,,2.0,8,564.0,395.0,1.0,9,794.0,658.0,,,,,8,599.0,389.0,8,617.0,550.0,0
8,26.0,00:32:47,49199.0,3,5,B,2,過度切球,,,1.0,9,794.0,658.0,2.0,6,809.0,379.0,,,,,9,745.0,663.0,8,615.0,364.0,0
8,27.0,00:32:48,49218.0,3,5,A,2,放小球,,1.0,2.0,6,809.0,379.0,2.0,2,850.0,479.0,,,,,8,762.0,387.0,8,693.0,602.0,0
8,28.0,00:32:49,49239.0,3,5,B,3,推球,,,2.0,2,850.0,479.0,2.0,13,511.0,306.0,出界,對手出界,A,,7,801.0,507.0,8,704.0,375.0,0
9,1.0,00:33:32,50314.0,4,5,A,1,發短球,,1.0,2.0,,,,2.0,7,600.0,500.0,,,,,8,655.0,379.0,8,507.0,565.0,0
9,2.0,00:33:33,50330.0,4,5,B,2,放小球,,,2.0,7,600.0,500.0,2.0,1,476.0,408.0,,,,,7,529.0,516.0,8,608.0,369.0,0
9,3.0,00:33:33,50348.0,4,5,A,2,挑球,,,2.0,1,476.0,408.0,1.0,4,847.0,644.0,,,,,5,502.0,387.0,7,561.0,520.0,0
9,4.0,00:33:35,50379.0,4,5,B,2,過度切球,,,1.0,4,847.0,644.0,2.0,5,500.0,393.0,,,,,9,800.0,653.0,8,611.0,371.0,0
9,5.0,00:33:35,50399.0,4,5,A,2,勾球,,,2.0,5,500.0,393.0,2.0,2,819.0,481.0,,,,,8,540.0,389.0,8,717.0,606.0,0
9,6.0,00:33:36,50420.0,4,5,B,2,放小球,,,2.0,2,819.0,481.0,2.0,2,836.0,420.0,,,,,7,747.0,514.0,8,608.0,373.0,0
9,7.0,00:33:37,50442.0,4,5,A,3,放小球,,1.0,2.0,2,836.0,420.0,2.0,2,874.0,477.0,對手落地致勝,落地致勝,A,,7,775.0,408.0,8,694.0,538.0,0
10,1.0,00:33:53,50845.0,5,5,A,1,發長球,,1.0,2.0,,,,1.0,8,790.0,619.0,,,,,8,625.0,384.0,8,738.0,567.0,0
10,2.0,00:33:54,50872.0,5,5,B,2,過度切球,,,1.0,8,790.0,619.0,2.0,5,467.0,390.0,,,,,8,781.0,636.0,8,606.0,357.0,0
10,3.0,00:33:55,50889.0,5,5,A,2,挑球,,,2.0,5,467.0,390.0,1.0,4,865.0,638.0,,,,,8,529.0,375.0,8,698.0,618.0,0
10,4.0,00:33:56,50920.0,5,5,B,2,過度切球,,,1.0,4,865.0,638.0,2.0,1,487.0,408.0,,,,,8,807.0,635.0,8,610.0,365.0,0
10,5.0,00:33:57,50946.0,5,5,A,2,挑球,,,2.0,1,487.0,408.0,1.0,5,441.0,600.0,,,,,8,529.0,397.0,8,655.0,556.0,0
10,6.0,00:33:58,50966.0,5,5,B,2,點扣,1.0,,1.0,5,441.0,600.0,2.0,6,791.0,349.0,,,,,8,514.0,583.0,8,560.0,373.0,0
10,7.0,00:33:59,50978.0,5,5,A,2,擋小球,,1.0,2.0,6,791.0,349.0,2.0,2,838.0,486.0,,,,,8,563.0,358.0,8,510.0,599.0,0
10,8.0,00:34:00,51002.0,5,5,B,2,推球,,,2.0,2,838.0,486.0,1.0,8,772.0,346.0,,,,,8,789.0,524.0,8,685.0,357.0,0
10,9.0,00:34:01,51026.0,5,5,A,3,殺球,1.0,,1.0,8,772.0,346.0,2.0,6,927.0,611.0,對手落地致勝,落地致勝,A,,8,730.0,365.0,8,728.0,548.0,0
11,1.0,00:34:26,51666.0,5,6,A,1,發短球,,1.0,2.0,,,,2.0,7,530.0,509.0,,,,,8,659.0,379.0,8,501.0,568.0,0
11,2.0,00:34:27,51682.0,5,6,B,2,勾球,,1.0,2.0,7,530.0,509.0,2.0,2,819.0,412.0,,,,,7,584.0,515.0,8,614.0,358.0,0
