rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:32:46,58984.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,583.0,399.0,,,,,8,659.0,528.0,8,576.0,362.0,0
1,2.0,00:32:46,59004.0,1,0,B,2,推球,,1.0,2.0,7,583.0,399.0,1.0,8,731.0,553.0,,,,,7,567.0,397.0,8,652.0,530.0,0
1,3.0,00:32:47,59020.0,1,0,A,2,平球,,,1.0,8,731.0,553.0,1.0,8,738.0,363.0,,,,,8,674.0,547.0,8,600.0,381.0,0
1,4.0,00:32:47,59035.0,1,0,B,3,平球,,1.0,1.0,8,738.0,363.0,2.0,7,716.0,436.0,掛網,對手掛網,A,,8,658.0,353.0,8,706.0,560.0,0
2,1.0,00:33:04,59524.0,2,0,A,1,發短球,,1.0,2.0,,,,1.0,7,675.0,399.0,,,,,8,616.0,529.0,8,716.0,367.0,0
2,2.0,00:33:04,59540.0,2,0,B,2,放小球,,,1.0,7,675.0,399.0,2.0,1,803.0,504.0,,,,,7,699.0,399.0,8,659.0,533.0,0
2,3.0,00:33:05,59562.0,2,0,A,2,挑球,,,2.0,1,803.0,504.0,1.0,4,752.0,315.0,,,,,5,787.0,509.0,8,666.0,373.0,0
2,4.0,00:33:06,59600.0,2,0,B,2,點扣,,,1.0,4,752.0,315.0,2.0,6,463.0,555.0,,,,,9,718.0,308.0,8,707.0,542.0,0
2,5.0,00:33:07,59615.0,2,0,A,2,擋小球,,,2.0,6,463.0,555.0,2.0,5,468.0,370.0,,,,,8,596.0,556.0,9,730.0,305.0,0
2,6.0,00:33:08,59645.0,2,0,B,2,放小球,,,2.0,5,468.0,370.0,2.0,2,432.0,463.0,,,,,5,514.0,360.0,7,528.0,502.0,0
2,7.0,00:33:08,59666.0,2,0,A,2,推球,,1.0,2.0,2,432.0,463.0,2.0,3,478.0,311.0,,,,,2,484.0,463.0,8,570.0,360.0,0
2,8.0,00:33:09,59698.0,2,0,B,2,後場抽平球,,,2.0,3,478.0,311.0,1.0,6,455.0,542.0,,,,,9,541.0,309.0,8,541.0,514.0,0
2,9.0,00:33:10,59711.0,2,0,A,2,平球,,1.0,1.0,6,455.0,542.0,2.0,8,585.0,351.0,,,,,8,491.0,548.0,9,547.0,313.0,0
2,10.0,00:33:11,59731.0,2,0,B,2,擋小球,,1.0,2.0,8,585.0,351.0,2.0,6,492.0,509.0,,,,,8,563.0,353.0,8,600.0,535.0,0
2,11.0,00:33:11,59754.0,2,0,A,2,推球,,1.0,2.0,6,492.0,509.0,1.0,4,776.0,317.0,,,,,8,515.0,511.0,8,588.0,347.0,0
2,12.0,00:33:12,59786.0,2,0,B,2,長球,,1.0,1.0,4,776.0,317.0,1.0,8,529.0,551.0,,,,,4,767.0,317.0,8,680.0,543.0,0
2,13.0,00:33:13,59807.0,2,0,A,2,點扣,,,1.0,8,529.0,551.0,2.0,5,510.0,343.0,,,,,8,581.0,535.0,8,654.0,328.0,0
2,14.0,00:33:13,59818.0,2,0,B,2,防守回挑,,,2.0,5,510.0,343.0,1.0,8,696.0,551.0,,,,,8,570.0,346.0,8,575.0,550.0,0
2,15.0,00:33:14,59840.0,2,0,A,2,點扣,,,1.0,8,696.0,551.0,1.0,8,707.0,341.0,,,,,8,608.0,527.0,8,629.0,341.0,0
2,16.0,00:33:15,59854.0,2,0,B,2,擋小球,,1.0,1.0,8,707.0,341.0,1.0,8,518.0,512.0,,,,,8,724.0,337.0,8,736.0,555.0,0
2,17.0,00:33:15,59870.0,2,0,A,2,撲球,,1.0,1.0,8,518.0,512.0,2.0,8,619.0,352.0,,,,,8,648.0,514.0,8,633.0,344.0,0
2,18.0,00:33:16,59882.0,2,0,B,3,防守回抽,,1.0,2.0,8,619.0,352.0,2.0,15,941.0,612.0,出界,對手出界,A,,8,608.0,349.0,8,587.0,515.0,0
3,1.0,00:33:35,60457.0,2,1,A,1,發長球,,1.0,2.0,,,,1.0,3,513.0,320.0,,,,,8,660.0,528.0,8,573.0,363.0,0
3,2.0,00:33:36,60491.0,2,1,B,3,殺球,,,1.0,3,513.0,320.0,2.0,6,387.0,593.0,對手落地致勝,落地致勝,B,,8,553.0,327.0,8,655.0,553.0,0
4,1.0,00:33:55,61066.0,2,2,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
4,2.0,00:33:56,61085.0,2,2,A,2,放小球,,1.0,2.0,,,,2.0,1,458.0,397.0,,,,,7,525.0,500.0,8,632.0,357.0,0
4,3.0,00:33:57,61113.0,2,2,B,3,放小球,,,2.0,1,458.0,397.0,2.0,2,455.0,459.0,對手落地致勝,落地致勝,B,,8,523.0,384.0,7,546.0,500.0,0
5,1.0,00:34:23,61898.0,2,3,B,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
5,2.0,00:34:23,61914.0,2,3,A,2,推球,,,2.0,,,,1.0,9,543.0,304.0,,,,,8,694.0,507.0,8,640.0,355.0,0
5,3.0,00:34:24,61946.0,2,3,B,3,殺球,,,1.0,9,543.0,304.0,2.0,6,366.0,608.0,對手落地致勝,落地致勝,B,,9,615.0,314.0,8,621.0,541.0,0
6,1.0,00:34:39,62388.0,3,3,B,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
6,2.0,00:34:39,62388.0,3,3,A,2,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
6,3.0,00:34:39,62388.0,3,3,B,2,未知球種,,,2.0,,,,1.0,,,,,,,1,,,,,,,0
6,4.0,00:34:40,62413.0,3,3,A,2,後場抽平球,,,1.0,,,,1.0,6,807.0,357.0,,,,,8,763.0,598.0,8,672.0,352.0,0
6,5.0,00:34:40,62426.0,3,3,B,2,勾球,,1.0,1.0,6,807.0,357.0,2.0,7,565.0,490.0,,,,,8,702.0,356.0,8,752.0,593.0,0
6,6.0,00:34:41,62449.0,3,3,A,2,放小球,,1.0,2.0,7,565.0,490.0,2.0,7,614.0,400.0,,,,,8,621.0,532.0,8,714.0,353.0,0
6,7.0,00:34:42,62479.0,3,3,B,2,挑球,,1.0,2.0,7,614.0,400.0,1.0,9,513.0,621.0,,,,,8,621.0,366.0,8,640.0,536.0,0
6,8.0,00:34:43,62513.0,3,3,A,3,殺球,,,1.0,9,513.0,621.0,2.0,5,453.0,331.0,對手落地致勝,落地致勝,A,,8,534.0,603.0,8,656.0,348.0,0
7,1.0,00:35:01,63056.0,3,4,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
7,2.0,00:35:03,63090.0,3,4,B,2,推球,,,2.0,,,,1.0,3,855.0,623.0,,,,,8,706.0,371.0,8,629.0,544.0,0
7,3.0,00:35:04,63121.0,3,4,A,2,殺球,,,1.0,3,855.0,623.0,2.0,6,788.0,342.0,,,,,8,728.0,577.0,8,684.0,352.0,0
7,4.0,00:35:04,63135.0,3,4,B,2,擋小球,,1.0,2.0,6,788.0,342.0,2.0,7,727.0,489.0,,,,,8,686.0,354.0,8,793.0,609.0,0
7,5.0,00:35:05,63158.0,3,4,A,2,放小球,,,2.0,7,727.0,489.0,2.0,7,663.0,394.0,,,,,8,697.0,522.0,8,691.0,335.0,0
7,6.0,00:35:06,63182.0,3,4,B,2,挑球,,,2.0,7,663.0,394.0,1.0,3,846.0,627.0,,,,,8,695.0,379.0,8,655.0,537.0,0
7,7.0,00:35:07,63213.0,3,4,A,2,後場抽平球,,,1.0,3,846.0,627.0,2.0,6,809.0,381.0,,,,,8,727.0,574.0,8,680.0,368.0,0
