rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:29:14,52645.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,731.0,499.0,,,,,8,612.0,351.0,8,715.0,541.0,0
1,2.0,00:29:15,52666.0,1,0,B,2,推球,,,2.0,7,731.0,499.0,1.0,4,781.0,312.0,,,,,8,735.0,511.0,8,638.0,348.0,0
1,3.0,00:29:16,52696.0,1,0,A,2,點扣,1.0,,1.0,4,781.0,312.0,2.0,5,824.0,555.0,,,,,9,739.0,316.0,8,693.0,550.0,0
1,4.0,00:29:16,52708.0,1,0,B,2,勾球,,,2.0,5,824.0,555.0,2.0,5,507.0,363.0,,,,,8,693.0,560.0,4,762.0,315.0,0
1,5.0,00:29:17,52734.0,1,0,A,2,勾球,,,2.0,5,507.0,363.0,2.0,1,824.0,459.0,,,,,8,614.0,359.0,8,647.0,552.0,0
1,6.0,00:29:18,52765.0,1,0,B,2,推球,,,2.0,1,824.0,459.0,1.0,3,482.0,312.0,,,,,8,699.0,528.0,8,629.0,346.0,0
1,7.0,00:29:20,52800.0,1,0,A,2,後場抽平球,,,1.0,3,482.0,312.0,1.0,6,436.0,554.0,,,,,8,554.0,329.0,8,605.0,544.0,0
1,8.0,00:29:20,52817.0,1,0,B,2,點扣,1.0,,1.0,6,436.0,554.0,2.0,6,772.0,377.0,,,,,8,541.0,558.0,8,542.0,332.0,0
1,9.0,00:29:21,52839.0,1,0,A,2,挑球,,1.0,2.0,6,772.0,377.0,1.0,8,556.0,595.0,,,,,8,683.0,360.0,8,500.0,563.0,0
1,10.0,00:29:22,52872.0,1,0,B,2,長球,1.0,,1.0,8,556.0,595.0,1.0,9,750.0,315.0,,,,,8,593.0,607.0,8,656.0,354.0,0
1,11.0,00:29:23,52919.0,1,0,A,2,殺球,1.0,,1.0,9,750.0,315.0,2.0,5,852.0,544.0,,,,,9,745.0,312.0,8,653.0,575.0,0
1,12.0,00:29:24,52932.0,1,0,B,3,擋小球,,,2.0,5,852.0,544.0,2.0,11,863.0,364.0,出界,對手出界,A,,8,664.0,576.0,9,749.0,309.0,0
2,1.0,00:29:39,53380.0,2,0,A,1,發短球,,1.0,2.0,,,,2.0,7,607.0,505.0,,,,,8,660.0,360.0,8,533.0,541.0,0
2,2.0,00:29:40,53401.0,2,0,B,2,放小球,,,2.0,7,607.0,505.0,2.0,5,455.0,381.0,,,,,8,563.0,517.0,8,646.0,352.0,0
2,3.0,00:29:40,53428.0,2,0,A,2,挑球,,,2.0,5,455.0,381.0,1.0,6,436.0,618.0,,,,,8,534.0,367.0,8,571.0,529.0,0
2,4.0,00:29:42,53464.0,2,0,B,2,長球,1.0,,1.0,6,436.0,618.0,1.0,3,525.0,311.0,,,,,6,466.0,618.0,8,598.0,352.0,0
2,5.0,00:29:43,53504.0,2,0,A,2,點扣,,,1.0,3,525.0,311.0,2.0,5,819.0,539.0,,,,,9,594.0,313.0,8,602.0,568.0,0
2,6.0,00:29:44,53524.0,2,0,B,2,擋小球,,,2.0,5,819.0,539.0,2.0,6,804.0,388.0,,,,,8,669.0,560.0,9,631.0,317.0,0
2,7.0,00:29:45,53550.0,2,0,A,2,放小球,,1.0,2.0,6,804.0,388.0,2.0,7,736.0,459.0,,,,,8,724.0,375.0,8,677.0,554.0,0
2,8.0,00:29:45,53573.0,2,0,B,2,挑球,,,2.0,7,736.0,459.0,1.0,3,501.0,316.0,,,,,8,674.0,525.0,8,690.0,357.0,0
2,9.0,00:29:46,53606.0,2,0,A,2,過度切球,,,1.0,3,501.0,316.0,2.0,2,453.0,495.0,,,,,9,565.0,323.0,8,602.0,552.0,0
2,10.0,00:29:47,53628.0,2,0,B,2,推球,,1.0,2.0,2,453.0,495.0,1.0,9,720.0,312.0,,,,,8,507.0,542.0,8,594.0,334.0,0
2,11.0,00:29:48,53660.0,2,0,A,2,點扣,1.0,,1.0,9,720.0,312.0,2.0,5,811.0,538.0,,,,,9,702.0,310.0,8,619.0,552.0,0
2,12.0,00:29:49,53671.0,2,0,B,2,防守回抽,,,2.0,5,811.0,538.0,1.0,8,536.0,351.0,,,,,8,675.0,559.0,9,711.0,314.0,0
2,13.0,00:29:49,53698.0,2,0,A,2,平球,,,1.0,8,536.0,351.0,1.0,6,467.0,582.0,,,,,8,620.0,351.0,8,652.0,556.0,0
2,14.0,00:29:50,53724.0,2,0,B,2,點扣,1.0,,1.0,6,467.0,582.0,2.0,5,476.0,345.0,,,,,6,472.0,578.0,8,605.0,355.0,0
2,15.0,00:29:51,53737.0,2,0,A,2,防守回挑,,,2.0,5,476.0,345.0,1.0,6,418.0,568.0,,,,,8,606.0,342.0,6,451.0,584.0,0
2,16.0,00:29:52,53766.0,2,0,B,2,長球,1.0,,1.0,6,418.0,568.0,1.0,9,700.0,313.0,,,,,6,461.0,548.0,8,604.0,342.0,0
2,17.0,00:29:53,53814.0,2,0,A,2,殺球,,,1.0,9,700.0,313.0,2.0,8,660.0,543.0,,,,,9,700.0,316.0,8,643.0,558.0,0
2,18.0,00:29:54,53825.0,2,0,B,2,擋小球,,1.0,2.0,8,660.0,543.0,1.0,6,776.0,372.0,,,,,8,655.0,568.0,9,698.0,308.0,0
2,19.0,00:29:54,53847.0,2,0,A,2,推球,,1.0,1.0,6,776.0,372.0,1.0,9,516.0,625.0,,,,,8,700.0,364.0,8,655.0,567.0,0
2,20.0,00:29:56,53880.0,2,0,B,2,過度切球,,1.0,1.0,9,516.0,625.0,2.0,5,482.0,375.0,,,,,8,612.0,603.0,8,649.0,354.0,0
2,21.0,00:29:56,53905.0,2,0,A,2,放小球,,,2.0,5,482.0,375.0,2.0,2,440.0,485.0,,,,,8,568.0,354.0,8,596.0,572.0,0
2,22.0,00:29:57,53933.0,2,0,B,2,放小球,,1.0,2.0,2,440.0,485.0,2.0,5,472.0,384.0,,,,,8,494.0,540.0,8,602.0,342.0,0
2,23.0,00:29:58,53962.0,2,0,A,2,挑球,,,2.0,5,472.0,384.0,1.0,9,736.0,625.0,,,,,8,580.0,385.0,8,512.0,528.0,0
2,24.0,00:30:00,54016.0,2,0,B,2,點扣,,,1.0,9,736.0,625.0,2.0,5,457.0,348.0,,,,,9,663.0,628.0,8,646.0,354.0,0
2,25.0,00:30:01,54037.0,2,0,A,2,擋小球,,,2.0,5,457.0,348.0,1.0,2,489.0,456.0,,,,,8,605.0,356.0,8,675.0,588.0,0
2,26.0,00:30:02,54065.0,2,0,B,2,勾球,,,1.0,2,489.0,456.0,2.0,2,777.0,405.0,,,,,8,511.0,532.0,5,494.0,348.0,0
2,27.0,00:30:03,54093.0,2,0,A,2,挑球,,1.0,2.0,2,777.0,405.0,1.0,9,487.0,629.0,,,,,8,687.0,378.0,8,578.0,515.0,0
2,28.0,00:30:04,54133.0,2,0,B,2,殺球,1.0,,1.0,9,487.0,629.0,2.0,4,796.0,321.0,,,,,4,458.0,626.0,8,638.0,348.0,0
2,29.0,00:30:04,54149.0,2,0,A,2,擋小球,,1.0,2.0,4,796.0,321.0,2.0,1,781.0,461.0,,,,,8,695.0,342.0,9,479.0,622.0,0
2,30.0,00:30:06,54184.0,2,0,B,2,挑球,,,2.0,1,781.0,461.0,1.0,4,762.0,310.0,,,,,8,701.0,532.0,8,713.0,331.0,0
2,31.0,00:30:07,54226.0,2,0,A,2,擋小球,1.0,,1.0,4,762.0,310.0,2.0,1,812.0,480.0,,,,,9,751.0,316.0,8,668.0,540.0,0
2,32.0,00:30:08,54247.0,2,0,B,3,挑球,,,2.0,1,812.0,480.0,2.0,12,852.0,303.0,出界,對手出界,A,,8,737.0,554.0,9,715.0,314.0,0
3,1.0,00:30:45,55351.0,3,0,A,1,未知球種,,,2.0,,,,,,,,,,,1,,,,,,,0
3,2.0,00:30:45,55351.0,3,0,B,2,未知球種,,,2.0,5,391.0,566.0,,,,,,,,1,,,,,,,0
3,3.0,00:30:47,55428.0,3,0,A,2,後場抽平球,,,1.0,14,,,1.0,8,508.0,529.0,,,,,9,561.0,319.0,8,625.0,545.0,0
3,4.0,00:30:48,55440.0,3,0,B,2,擋小球,,1.0,1.0,8,508.0,529.0,2.0,8,591.0,377.0,,,,,8,580.0,553.0,8,562.0,325.0,0
3,5.0,00:30:48,55456.0,3,0,A,2,推球,,,2.0,8,591.0,377.0,1.0,8,798.0,608.0,,,,,8,604.0,346.0,8,554.0,548.0,0
3,6.0,00:30:49,55498.0,3,0,B,2,後場抽平球,,,1.0,8,798.0,608.0,1.0,6,779.0,383.0,,,,,8,698.0,581.0,8,694.0,346.0,0
3,7.0,00:30:50,55514.0,3,0,A,2,勾球,,1.0,1.0,6,779.0,383.0,2.0,2,443.0,496.0,,,,,8,713.0,358.0,8,715.0,585.0,0
3,8.0,00:30:51,55540.0,3,0,B,2,放小球,,1.0,2.0,2,443.0,496.0,2.0,1,460.0,405.0,,,,,8,569.0,528.0,8,679.0,356.0,0
3,9.0,00:30:52,55570.0,3,0,A,2,挑球,,,2.0,1,460.0,405.0,1.0,4,413.0,632.0,,,,,8,539.0,372.0,8,542.0,510.0,0
3,10.0,00:30:53,55612.0,3,0,B,2,過度切球,,1.0,1.0,4,413.0,632.0,2.0,7,643.0,398.0,,,,,8,479.0,619.0,8,597.0,360.0,0
3,11.0,00:30:54,55629.0,3,0,A,2,推球,,1.0,2.0,7,643.0,398.0,1.0,8,496.0,559.0,,,,,8,608.0,369.0,8,515.0,612.0,0
3,12.0,00:30:55,55657.0,3,0,B,2,長球,1.0,,1.0,8,496.0,559.0,1.0,9,621.0,307.0,,,,,8,501.0,571.0,8,614.0,355.0,0
3,13.0,00:30:56,55708.0,3,0,A,3,殺球,,,1.0,9,621.0,307.0,2.0,6,391.0,566.0,對手落地致勝,落地致勝,A,,9,627.0,311.0,8,635.0,549.0,0
4,1.0,00:31:24,56539.0,4,0,A,1,發短球,,1.0,2.0,,,,2.0,7,620.0,503.0,,,,,8,663.0,353.0,8,515.0,538.0,0
4,2.0,00:31:25,56561.0,4,0,B,2,推球,,,2.0,7,620.0,503.0,1.0,8,549.0,351.0,,,,,8,530.0,514.0,8,643.0,348.0,0
4,3.0,00:31:25,56574.0,4,0,A,2,平球,,,1.0,8,549.0,351.0,1.0,5,828.0,537.0,,,,,8,619.0,351.0,8,559.0,525.0,0
4,4.0,00:31:26,56592.0,4,0,B,2,平球,,,1.0,5,828.0,537.0,1.0,6,776.0,350.0,,,,,8,645.0,551.0,8,643.0,344.0,0
4,5.0,00:31:27,56610.0,4,0,A,2,推球,,1.0,1.0,6,776.0,350.0,1.0,5,835.0,565.0,,,,,8,734.0,349.0,8,730.0,554.0,0
4,6.0,00:31:27,56635.0,4,0,B,3,長球,,,1.0,5,835.0,565.0,2.0,12,844.0,289.0,出界,對手出界,A,,8,763.0,561.0,8,712.0,349.0,0
5,1.0,00:31:46,57180.0,5,0,A,1,發短球,,1.0,2.0,,,,2.0,7,757.0,503.0,,,,,8,615.0,359.0,8,714.0,551.0,0
5,2.0,00:31:46,57205.0,5,0,B,2,挑球,,,2.0,7,757.0,503.0,1.0,9,739.0,313.0,,,,,8,713.0,523.0,8,630.0,355.0,0
5,3.0,00:31:48,57242.0,5,0,A,2,切球,1.0,,1.0,9,739.0,313.0,2.0,5,815.0,508.0,,,,,9,730.0,316.0,8,676.0,535.0,0
5,4.0,00:31:48,57264.0,5,0,B,2,放小球,,,2.0,5,815.0,508.0,2.0,2,797.0,396.0,,,,,8,717.0,561.0,9,720.0,308.0,0
5,5.0,00:31:49,57294.0,5,0,A,2,挑球,,1.0,2.0,2,797.0,396.0,1.0,9,543.0,627.0,,,,,8,755.0,385.0,8,707.0,542.0,0
5,6.0,00:31:51,57335.0,5,0,B,2,點扣,1.0,,1.0,9,543.0,627.0,2.0,8,524.0,346.0,,,,,9,542.0,627.0,8,643.0,348.0,0
5,7.0,00:31:51,57348.0,5,0,A,2,勾球,,,2.0,8,524.0,346.0,2.0,1,817.0,498.0,,,,,8,634.0,343.0,9,524.0,632.0,0
5,8.0,00:31:52,57380.0,5,0,B,2,放小球,,,2.0,1,817.0,498.0,2.0,6,817.0,374.0,,,,,8,695.0,539.0,8,642.0,347.0,0
5,9.0,00:31:53,57408.0,5,0,A,2,放小球,,1.0,2.0,6,817.0,374.0,1.0,1,840.0,459.0,,,,,8,744.0,360.0,8,723.0,533.0,0
5,10.0,00:31:54,57427.0,5,0,B,2,勾球,,,1.0,1,840.0,459.0,2.0,1,505.0,404.0,,,,,7,769.0,490.0,8,714.0,350.0,0
5,11.0,00:31:55,57453.0,5,0,A,2,推球,,,2.0,1,505.0,404.0,1.0,8,489.0,577.0,,,,,8,587.0,371.0,7,734.0,501.0,0
5,12.0,00:31:55,57478.0,5,0,B,2,長球,,1.0,1.0,8,489.0,577.0,1.0,3,510.0,307.0,,,,,8,579.0,554.0,8,604.0,358.0,0
5,13.0,00:31:57,57523.0,5,0,A,2,切球,,,1.0,3,510.0,307.0,2.0,6,472.0,516.0,,,,,9,559.0,310.0,8,591.0,549.0,0
5,14.0,00:31:58,57547.0,5,0,B,2,擋小球,,1.0,2.0,6,472.0,516.0,2.0,5,449.0,376.0,,,,,8,526.0,538.0,8,608.0,329.0,0
5,15.0,00:31:59,57580.0,5,0,A,2,挑球,,,2.0,5,449.0,376.0,1.0,4,395.0,629.0,,,,,8,529.0,363.0,8,566.0,557.0,0
5,16.0,00:32:00,57621.0,5,0,B,2,長球,1.0,,1.0,4,395.0,629.0,1.0,3,472.0,312.0,,,,,6,417.0,613.0,8,607.0,348.0,0
5,17.0,00:32:01,57657.0,5,0,A,2,長球,,,1.0,3,472.0,312.0,1.0,8,531.0,617.0,,,,,3,511.0,319.0,8,544.0,556.0,0
5,18.0,00:32:03,57706.0,5,0,B,2,切球,1.0,,1.0,8,531.0,617.0,2.0,5,482.0,356.0,,,,,8,511.0,616.0,8,623.0,343.0,0
