rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:07:09,12893.0,0,1,B,1,發短球,,1.0,2.0,,,,2.0,1,473.0,395.0,,,,,8,653.0,526.0,8,561.0,344.0,0
1,2.0,00:07:10,12917.0,0,1,A,2,放小球,,,2.0,1,473.0,395.0,2.0,2,441.0,465.0,,,,,7,543.0,389.0,8,622.0,529.0,0
1,3.0,00:07:11,12945.0,0,1,B,2,挑球,,1.0,2.0,2,441.0,465.0,1.0,4,782.0,312.0,,,,,7,504.0,496.0,8,566.0,371.0,0
1,4.0,00:07:12,12982.0,0,1,A,2,點扣,1.0,,1.0,4,782.0,312.0,2.0,5,806.0,550.0,,,,,9,676.0,320.0,8,672.0,557.0,0
1,5.0,00:07:13,12996.0,0,1,B,2,勾球,,,2.0,5,806.0,550.0,2.0,8,552.0,386.0,,,,,8,757.0,562.0,9,704.0,318.0,0
1,6.0,00:07:14,13024.0,0,1,A,2,挑球,,,2.0,8,552.0,386.0,1.0,9,731.0,635.0,,,,,8,580.0,386.0,8,621.0,537.0,0
1,7.0,00:07:15,13061.0,0,1,B,2,點扣,,,1.0,9,731.0,635.0,2.0,6,795.0,328.0,,,,,9,656.0,622.0,8,592.0,355.0,0
1,8.0,00:07:15,13076.0,0,1,A,2,擋小球,,1.0,2.0,6,795.0,328.0,2.0,1,821.0,494.0,,,,,8,594.0,346.0,9,692.0,641.0,0
1,9.0,00:07:16,13102.0,0,1,B,2,勾球,,,2.0,1,821.0,494.0,2.0,1,474.0,398.0,,,,,8,761.0,519.0,8,690.0,353.0,0
1,10.0,00:07:17,13130.0,0,1,A,2,挑球,,,2.0,1,474.0,398.0,1.0,4,376.0,632.0,,,,,7,513.0,395.0,8,635.0,529.0,0
1,11.0,00:07:19,13171.0,0,1,B,2,長球,1.0,,1.0,4,376.0,632.0,1.0,3,491.0,314.0,,,,,9,498.0,625.0,8,558.0,352.0,0
1,12.0,00:07:20,13210.0,0,1,A,3,點扣,,,1.0,3,491.0,314.0,2.0,15,917.0,548.0,出界,對手出界,B,,3,489.0,315.0,8,610.0,571.0,0
2,1.0,00:07:53,14199.0,0,2,B,1,發短球,,1.0,2.0,,,,2.0,7,691.0,391.0,,,,,8,631.0,533.0,8,722.0,347.0,0
2,2.0,00:07:54,14220.0,0,2,A,2,放小球,,1.0,2.0,7,691.0,391.0,2.0,7,612.0,486.0,,,,,8,665.0,376.0,8,661.0,540.0,0
2,3.0,00:07:54,14243.0,0,2,B,2,推球,,,2.0,7,612.0,486.0,2.0,8,714.0,348.0,,,,,7,579.0,481.0,8,634.0,366.0,0
2,4.0,00:07:55,14253.0,0,2,A,2,推球,,1.0,2.0,8,714.0,348.0,1.0,5,859.0,545.0,,,,,8,602.0,364.0,7,568.0,490.0,0
2,5.0,00:07:55,14277.0,0,2,B,2,擋小球,,,1.0,5,859.0,545.0,2.0,2,816.0,390.0,,,,,8,736.0,545.0,8,624.0,337.0,0
2,6.0,00:07:56,14302.0,0,2,A,2,放小球,,1.0,2.0,2,816.0,390.0,2.0,7,728.0,482.0,,,,,6,770.0,376.0,8,743.0,548.0,0
