rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:06:28,11659.0,1,0,A,1,發短球,,1.0,2.0,,,,2.0,7,769.0,499.0,,,,,8,620.0,370.0,8,745.0,553.0,0
1,2.0,00:06:29,11681.0,1,0,B,2,放小球,,,2.0,7,769.0,499.0,2.0,7,629.0,398.0,,,,,7,693.0,507.0,8,625.0,373.0,0
1,3.0,00:06:30,11704.0,1,0,A,2,挑球,,1.0,2.0,7,629.0,398.0,1.0,6,444.0,616.0,,,,,7,599.0,392.0,8,650.0,515.0,0
1,4.0,00:06:31,11740.0,1,0,B,2,過度切球,,1.0,1.0,6,444.0,616.0,2.0,8,663.0,365.0,,,,,9,487.0,622.0,8,575.0,358.0,0
1,5.0,00:06:31,11758.0,1,0,A,2,挑球,,1.0,2.0,8,663.0,365.0,1.0,4,451.0,623.0,,,,,8,605.0,375.0,8,588.0,585.0,0
1,6.0,00:06:33,11793.0,1,0,B,2,過度切球,,1.0,1.0,4,451.0,623.0,2.0,5,483.0,376.0,,,,,8,514.0,611.0,8,587.0,349.0,0
1,7.0,00:06:33,11817.0,1,0,A,2,放小球,,,2.0,5,483.0,376.0,2.0,2,447.0,491.0,,,,,8,536.0,376.0,8,607.0,556.0,0
1,8.0,00:06:34,11842.0,1,0,B,2,勾球,,1.0,2.0,2,447.0,491.0,2.0,7,756.0,395.0,,,,,2,492.0,507.0,8,572.0,373.0,0
1,9.0,00:06:35,11867.0,1,0,A,2,挑球,,1.0,2.0,7,756.0,395.0,1.0,4,413.0,629.0,,,,,7,710.0,398.0,8,587.0,523.0,0
1,10.0,00:06:36,11907.0,1,0,B,2,過度切球,,1.0,1.0,4,413.0,629.0,2.0,5,486.0,386.0,,,,,9,488.0,634.0,8,604.0,352.0,0
1,11.0,00:06:37,11928.0,1,0,A,2,挑球,,,2.0,5,486.0,386.0,1.0,3,875.0,633.0,,,,,8,535.0,380.0,8,573.0,572.0,0
1,12.0,00:06:38,11965.0,1,0,B,2,切球,,,1.0,3,875.0,633.0,2.0,6,839.0,379.0,,,,,8,786.0,616.0,8,625.0,357.0,0
1,13.0,00:06:39,11991.0,1,0,A,2,勾球,,1.0,2.0,6,839.0,379.0,2.0,2,488.0,491.0,,,,,6,802.0,379.0,8,713.0,583.0,0
1,14.0,00:06:40,12017.0,1,0,B,2,放小球,,1.0,2.0,2,488.0,491.0,2.0,1,494.0,407.0,,,,,7,551.0,499.0,8,670.0,359.0,0
1,15.0,00:06:41,12045.0,1,0,A,2,挑球,,,2.0,1,494.0,407.0,1.0,4,444.0,632.0,,,,,7,527.0,407.0,7,580.0,506.0,0
1,16.0,00:06:42,12085.0,1,0,B,2,長球,,1.0,1.0,4,444.0,632.0,1.0,3,451.0,310.0,,,,,9,490.0,634.0,8,590.0,363.0,0
1,17.0,00:06:44,12125.0,1,0,A,2,切球,,,1.0,3,451.0,310.0,2.0,1,791.0,494.0,,,,,3,476.0,315.0,8,582.0,577.0,0
1,18.0,00:06:44,12148.0,1,0,B,2,挑球,,,2.0,1,791.0,494.0,1.0,4,785.0,318.0,,,,,8,742.0,511.0,9,531.0,324.0,0
1,19.0,00:06:45,12175.0,1,0,A,2,點扣,1.0,,1.0,4,785.0,318.0,2.0,8,683.0,557.0,,,,,9,694.0,321.0,8,716.0,544.0,0
1,20.0,00:06:46,12187.0,1,0,B,3,擋小球,,,2.0,8,683.0,557.0,2.0,7,524.0,450.0,掛網,對手掛網,A,,8,732.0,563.0,8,710.0,326.0,0
2,1.0,00:07:03,12712.0,2,0,A,1,未知球種,,,2.0,,,,2.0,,,,,,,1,,,,,,,0
2,2.0,00:07:04,12735.0,2,0,B,2,推球,,1.0,2.0,,,,1.0,9,535.0,314.0,,,,,8,631.0,514.0,8,618.0,359.0,0
2,3.0,00:07:05,12765.0,2,0,A,2,點扣,,,1.0,9,535.0,314.0,2.0,6,436.0,552.0,,,,,9,592.0,321.0,8,585.0,537.0,0
2,4.0,00:07:05,12778.0,2,0,B,2,防守回抽,,1.0,2.0,6,436.0,552.0,2.0,8,642.0,346.0,,,,,8,522.0,544.0,9,589.0,319.0,0
2,5.0,00:07:06,12790.0,2,0,A,2,平球,,1.0,2.0,8,642.0,346.0,2.0,8,724.0,540.0,,,,,8,565.0,346.0,8,523.0,547.0,0
2,6.0,00:07:06,12805.0,2,0,B,2,平球,,,2.0,8,724.0,540.0,1.0,8,743.0,338.0,,,,,8,643.0,544.0,8,552.0,357.0,0
2,7.0,00:07:07,12820.0,2,0,A,2,擋小球,,1.0,1.0,8,743.0,338.0,2.0,1,807.0,500.0,,,,,8,607.0,357.0,8,663.0,549.0,0
2,8.0,00:07:07,12837.0,2,0,B,2,勾球,,,2.0,1,807.0,500.0,2.0,1,498.0,395.0,,,,,8,781.0,531.0,8,706.0,362.0,0
2,9.0,00:07:08,12862.0,2,0,A,2,挑球,,,2.0,1,498.0,395.0,1.0,9,797.0,632.0,,,,,7,545.0,391.0,8,711.0,556.0,0
