rally,ball_round,time,frame_num,roundscore_A,roundscore_B,player,server,type,aroundhead,backhand,hit_height,hit_area,hit_x,hit_y,landing_height,landing_area,landing_x,landing_y,lose_reason,win_reason,getpoint_player,flaw,player_location_area,player_location_x,player_location_y,opponent_location_area,opponent_location_x,opponent_location_y,db
1,1.0,00:27:34,49647.0,0,1,A,1,發短球,,1.0,2.0,,,,2.0,7,576.0,389.0,,,,,8,664.0,526.0,8,572.0,343.0,0
1,2.0,00:27:35,49665.0,0,1,B,2,放小球,,,2.0,7,576.0,389.0,2.0,1,809.0,483.0,,,,,8,578.0,380.0,8,677.0,528.0,0
1,3.0,00:27:36,49687.0,0,1,A,2,挑球,,,2.0,1,809.0,483.0,1.0,8,561.0,322.0,,,,,7,748.0,498.0,8,661.0,360.0,0
1,4.0,00:27:37,49720.0,0,1,B,2,殺球,,,1.0,8,561.0,322.0,2.0,6,479.0,549.0,,,,,9,558.0,315.0,8,673.0,555.0,0
1,5.0,00:27:37,49732.0,0,1,A,2,擋小球,,1.0,2.0,6,479.0,549.0,2.0,5,468.0,386.0,,,,,8,683.0,548.0,9,538.0,307.0,0
1,6.0,00:27:38,49757.0,0,1,B,2,放小球,,,2.0,5,468.0,386.0,2.0,2,448.0,457.0,,,,,5,512.0,377.0,8,604.0,545.0,0
1,7.0,00:27:39,49782.0,0,1,A,2,挑球,,1.0,2.0,2,448.0,457.0,1.0,8,720.0,325.0,,,,,7,503.0,483.0,8,587.0,370.0,0
1,8.0,00:27:40,49819.0,0,1,B,2,殺球,,,1.0,8,720.0,325.0,2.0,6,462.0,556.0,,,,,8,688.0,321.0,8,684.0,554.0,0
1,9.0,00:27:41,49835.0,0,1,A,2,放小球,,1.0,2.0,6,462.0,556.0,2.0,1,468.0,402.0,,,,,8,663.0,559.0,8,726.0,322.0,0
1,10.0,00:27:42,49867.0,0,1,B,2,放小球,,,2.0,1,468.0,402.0,2.0,2,441.0,462.0,,,,,8,517.0,374.0,8,535.0,523.0,0
1,11.0,00:27:43,49895.0,0,1,A,2,挑球,,1.0,2.0,2,441.0,462.0,1.0,3,522.0,317.0,,,,,2,476.0,472.0,8,581.0,365.0,0
1,12.0,00:27:44,49938.0,0,1,B,2,切球,,,1.0,3,522.0,317.0,2.0,6,476.0,529.0,,,,,9,541.0,307.0,8,645.0,552.0,0
1,13.0,00:27:45,49960.0,0,1,A,2,推球,,1.0,2.0,6,476.0,529.0,1.0,3,467.0,315.0,,,,,8,505.0,526.0,8,581.0,330.0,0
1,14.0,00:27:46,49992.0,0,1,B,2,後場抽平球,,,1.0,3,467.0,315.0,1.0,6,445.0,523.0,,,,,9,525.0,321.0,8,567.0,528.0,0
1,15.0,00:27:46,50006.0,0,1,A,2,擋小球,,1.0,1.0,6,445.0,523.0,2.0,1,445.0,388.0,,,,,8,498.0,529.0,8,537.0,326.0,0
1,16.0,00:27:47,50030.0,0,1,B,2,挑球,,,2.0,1,445.0,388.0,1.0,9,475.0,631.0,,,,,5,498.0,380.0,8,560.0,528.0,0
1,17.0,00:27:49,50071.0,0,1,A,2,切球,,,1.0,9,475.0,631.0,2.0,5,438.0,381.0,,,,,9,494.0,627.0,8,583.0,359.0,0
