id,video,homography_matrix,upleft_x,upright_x,downleft_x,downright_x,upleft_y,upright_y,downleft_y,downright_y
1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,"[[1.0606627138451856, 0.3439667138673875, -497.8978610611467], [0.011919581725440269, 4.586662980083068, -1176.8442597836183], [4.8478780487874024e-06, 0.002012572611469505, 1.0]]",407.6,867.0,307.2,973.0,308.6,307.4,671.2,669.4
2,CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage,"[[3.2257625231927, 1.8272734973122737, -1875.3467940960556], [0.015628122818271688, 18.41136641581973, -5886.457632662832], [0.00010418749255237047, 0.010394454526229408, 1.0]]",415.4,863.4,262.8,1018.4,358.2,358.2,672.0,677.2
3,Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final,"[[1.4590990108235753, 0.7034097098060653, -761.6703438283957], [-0.012944124346272975, 6.991588273680825, -1675.492902760459], [-8.455318067044705e-06, 0.003973652311934138, 1.0]]",420.6,858.8,266.2,1009.0,286.2,287.0,659.2,660.4
4,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal,"[[1.9523045866733588, 0.9801671951476165, -1065.7854887959163], [0.006811070912976109, 8.546177245698969, -1833.8532474305387], [-1.0178084275277081e-05, 0.005529519693682916, 1.0]]",448.0,818.2,278.8,981.2,256.6,256.2,649.0,646.4
5,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals,"[[0.9899690562274399, 0.33017797556835216, -461.21712141353044], [0.015888258759421018, 4.1411882843191865, -982.9223813694236], [5.846625858012096e-06, 0.001811064258044162, 1.0]]",407.4,871.4,298.6,970.0,291.2,289.4,669.2,666.4
6,Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals,"[[1.854722576692273, 0.9086182070270271, -1044.096185325319], [-0.019603678094895813, 8.077877270100064, -1878.798210444892], [-0.00010525837558306067, 0.005228250075690907, 1.0]]",459.0,841.4,284.6,1010.4,278.4,278.6,694.8,682.4
7,Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals,"[[1.7642701851492364, 1.0455606745989166, -963.216543027561], [-0.05505351441862821, 10.125022286691303, -2815.2917916695087], [-3.777998080515185e-05, 0.005855800294804382, 1.0]]",395.4,882.2,216.2,1052.6,322.8,325.4,674.6,678.4
8,CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals,"[[1.2040328339272803, 0.38913842098046203, -591.9740173762436], [0.011345241565236579, 5.204825094114392, -1424.930957789887], [8.58074420060726e-07, 0.002290539246896153, 1.0]]",423.4,856.8,328.8,957.8,323.0,322.0,666.2,664.2
9,CHOU_Tien_Chen_Jonatan_CHRISTIE_Sudirman_Cup_2019_Quarter-finals,"[[1.5658558271855607, 1.0324645253684355, -841.5885175459309], [-0.020336076693883594, 10.4852732598627, -3050.864479746993], [-2.0438725310065724e-05, 0.005771560273500008, 1.0]]",364.2,921.2,176.4,1098.6,333.4,334.4,664.6,665.2
10,CHOU_Tien_Chen_NG_Ka_Long_Angus_Sudirman_Cup_2019_Group_Stage,"[[1.4379354545841778, 0.9495879098465839, -758.5212794200803], [-0.018672080402059525, 9.61982892737162, -2776.0388805518432], [-2.1665779002136506e-05, 0.005301587367572587, 1.0]]",356.0,928.2,162.2,1110.4,332.2,333.2,673.4,673.6
11,CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals,"[[1.3944300837610308, 0.5411842966549574, -713.0539352115721], [0.00321064926040819, 5.743908101223622, -1305.957832261191], [3.963764628032079e-06, 0.003152321871024633, 1.0]]",437.8,840.8,309.4,975.2,276.0,275.8,663.2,663.2
12,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,"[[0.7262369447394584, 0.2372467783227046, -272.2317646211022], [-0.020285772151691882, 3.426862054242274, -601.0585751864689], [-1.1993621433488588e-05, 0.001485960484102781, 1.0]]",344.0,898.6,234.0,1033.2,236.4,239.6,635.8,639.6
13,Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals,"[[1.281405234951083, 0.6951423359333055, -664.4392865039949], [-0.009499199111993423, 7.0155974102612975, -1892.9536826648616], [-1.290124685695309e-05, 0.003771542410483455, 1.0]]",389.2,900.8,218.0,1051.2,317.2,317.8,682.4,682.2
14,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,"[[1.3442090180800852, 0.5412572915043201, -679.5173284715789], [0.014416332702601212, 5.433019161320186, -1101.0016193565941], [1.3648009033570338e-05, 0.0031368232579749365, 1.0]]",437.8,839.0,296.8,985.2,251.0,250.0,660.4,659.6
15,Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final,"[[1.3548619763085408, 0.5468413396604468, -681.8327325601566], [0.016662253851960244, 5.481295276854391, -1124.02486707124], [1.116221558906465e-05, 0.0031687686494080098, 1.0]]",434.4,835.2,293.0,981.4,253.2,252.0,662.8,661.0
16,Anthony_Sinisuka_GINTING_Viktor_AXELSEN _Indonesia_Masters_2020_SemiFinals,"[[1.3439550721383038, 0.541240334410417, -679.136614601958], [0.011772745422799028, 5.437700540057186, -1101.0378463894494], [1.2456810555074671e-05, 0.00313835531444731, 1.0]]",437.6,838.8,296.8,985.0,251.0,250.2,659.8,659.4
17,NG_Ka_Long_Angus_Jonatan_CHRISTIE_Malaysia_Masters_2020_QuarterFinals,"[[1.3158927558961206, 0.7140890070772272, -682.4113838400405], [0.007528984104470149, 7.129885592964533, -1927.510710825851], [3.3125511614221086e-05, 0.003834866565751819, 1.0]]",389.0,901.0,217.6,1051.4,316.8,316.6,681.4,685.4
18,Viktor_AXELSEN _SHI_Yu_Qi_All_England_Open_2020_QuarterFinals,"[[2.544331557116645, 1.3646676543031346, -1486.310538679813], [-0.0805256529652851, 15.585993791577296, -5481.133129785165], [-4.946685191274817e-05, 0.007772472110897539, 1.0]]",413.2,886.6,281.8,1016.6,392.6,395.0,678.4,681.6
19,Viktor_AXELSEN_CHEN_Long_Malaysia_Masters_2020_QuarterFinals,"[[1.3142829203061641, 0.7171177491398998, -683.8223089655571], [0.010165180378890377, 7.182070484004725, -1948.5365180796657], [1.614773635878252e-05, 0.0038661896730184057, 1.0]]",389.6,901.2,217.8,1051.6,317.4,316.8,681.2,681.8
20,Viktor_AXELSEN_NG_Ka_Long_Angus_Malaysia_Masters_2020_SemiFinals,"[[1.2903589963756108, 0.7034198857698534, -669.7510604468597], [-0.008472272286611203, 7.059868106745193, -1905.7044537336897], [-5.7404198891474114e-06, 0.003798372379828451, 1.0]]",388.8,900.4,216.8,1050.4,317.2,317.8,682.0,682.8
21,An_Se_Young_Ratchanok_Intanon_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2613545196107576, 0.5190613070323121, -626.9076371691942], [0.015726607601158613, 5.874922865398807, -1505.55237057408], [8.232062295123455e-06, 0.0029199561011196773, 1.0]]",413.2,863.4,289.4,986.8,303.4,302.2,659.0,657.2
22,Mia_Blichfeldt_Busanan_Ongbamrungphan_YONEX_Thailand_Open_2021_QuarterFinals,"[[1.2565677449958927, 0.5117948259499296, -622.3413504233607], [0.017899704300995283, 5.836123478556353, -1494.7156019594097], [7.245558776466834e-06, 0.0028966020382174195, 1.0]]",412.8,862.6,290.2,986.4,303.2,301.8,659.4,657.0
