id,video,tournament,round,year,month,day,set,duration,winner,loser,downcourt,url
1,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2019_Finals,Fuzhou Open 2019,Finals,2019,11,10,3,83,Kento MOMOTA,CHOU Tien Chen,0,https://www.youtube.com/watch?v=O669aZhH0LI
2,CHEN_Long_CHOU_Tien_Chen_World_Tour_Finals_Group_Stage,World Tour Finals,Group-Stage,2019,12,13,2,52,CHEN Long,CHOU Tien Chen,1,https://www.youtube.com/watch?v=-aOI9_JxoWc
3,Kento_MOMOTA_CHOU_Tien_Chen_KOREA_OPEN_2019_Final,KOREA OPEN 2019,Finals,2019,9,29,2,53,Kento MOMOTA,CHOU Tien Chen,1,https://www.youtube.com/watch?v=eugfCRwSBJo
4,CHEN_Long_CHOU_Tien_Chen_Denmark_Open_2019_QuarterFinal,Denmark Open 2019,Quarter-finals,2019,10,17,2,54,CHEN Long,CHOU Tien Chen,0,https://www.youtube.com/watch?v=y6QbtrTV-K0
5,Kento_MOMOTA_CHOU_Tien_Chen_Fuzhou_Open_2018_Finals,Fuzhou Open 2018,Finals,2018,11,11,3,67,Kento MOMOTA,CHOU Tien Chen,0,https://www.youtube.com/watch?v=xhUi2KpmVkI
6,Kento_MOMOTA_CHOU_Tien_Chen_Denmark_Open_2018_Finals,Denmark Open 2018,Finals,2018,10,21,3,77,Kento MOMOTA,CHOU Tien Chen,1,https://www.youtube.com/watch?v=SYyvDrUgClc
7,Kento_MOMOTA_CHOU_Tien_Chen_Malaysia_Open_2018_QuarterFinals,Malaysia Open 2018,Quarter-finals,2018,6,29,2,53,Kento MOMOTA,CHOU Tien Chen,0,https://www.youtube.com/watch?v=Y0tCJ6DWXKM
8,CHOU_Tien_Chen_Anders_ANTONSEN_Fuzhou_Open_2019_Semi-finals,Fuzhou Open 2019,Semi-finals,2019,11,9,2,45,CHOU Tien Chen,Anders ANTONSEN,0,https://www.youtube.com/watch?v=32j2Tg64Zbg
9,CHOU_Tien_Chen_Jonatan_CHRISTIE_Sudirman_Cup_2019_Quarter-finals,Sudirman Cup 2019,Quarter-finals,2019,5,24,2,36,CHOU Tien Chen,Jonatan CHRISTIE,1,https://www.youtube.com/watch?v=8E98Gpk-fOM
10,CHOU_Tien_Chen_NG_Ka_Long_Angus_Sudirman_Cup_2019_Group_Stage,Sudirman Cup 2019,Group-Stage,2019,5,19,2,41,CHOU Tien Chen,NG Ka Long Angus,0,https://www.youtube.com/watch?v=li1sbr6S34g
11,CHOU_Tien_Chen_Jonatan_CHRISTIE_Indonesia_Open_2019_Quarter-finals,Indonesia Open 2019,Quarter-finals,2019,7,19,3,76,CHOU Tien Chen,Jonatan CHRISTIE,0,https://www.youtube.com/watch?v=yD6WKVqsAKc
12,NG_Ka_Long_Angus_SHI_Yu_Qi_Thailand_Masters_2020_SemiFinals,Thailand Masters 2020,Semi-finals,2020,1,25,2,37,NG Ka Long Angus,SHI Yuqi,1,
13,Kento_MOMOTA_Viktor_AXELSEN_Malaysia_Masters_2020_Finals,Malaysia Masters 2020,Finals,2020,1,12,2,54,Kento MOMOTA,Viktor AXELSEN,1,https://www.youtube.com/watch?v=boQC4J4E1ZQ
14,Anders_ANTONSEN_Jonatan_CHRISTIE Indonesia_Masters_2020_QuarterFinals,Indonesia Masters 2020,Quarter-finals,2020,1,17,3,68,Anders ANTONSEN,Jonatan CHRISTIE,0,https://www.youtube.com/watch?v=5W6txLGZ1Rs
15,Anthony_Sinisuka_GINTING_Anders_ANTONSEN_Indonesia_Masters_2020_Final,Indonesia Masters 2020,Finals,2020,1,19,3,71,Anthony Sinisuka GINTING,Anders ANTONSEN,0,https://www.youtube.com/watch?v=yu9oyMXRGHY
16,Anthony_Sinisuka_GINTING_Viktor_AXELSEN _Indonesia_Masters_2020_SemiFinals,Indonesia Masters 2020,Semi-finals,2020,1,18,2,43,Anthony Sinisuka GINTING,Viktor AXELSEN,0,https://www.youtube.com/watch?v=5kS_a7vS5xI
