rally,ball_round,roundscore_A,roundscore_B,player,type,backhand,landing_x,landing_y,getpoint_player,flaw,set,match_id,rally_id
1,1,0,1,Kento MOMOTA,發短球,1,0.443733945808453,0.461460330091628,,,1,49,2218
1,2,0,1,Viktor AXELSEN,挑球,1,1.37753202655788,-1.46644717378981,,,1,49,2218
1,3,0,1,Kento MOMOTA,切球,0,1.17893781212758,0.65198048591402,,,1,49,2218
1,4,0,1,Viktor AXELSEN,網前球,0,1.45411262092444,-0.360863233153319,,,1,49,2218
1,5,0,1,Kento MOMOTA,挑球,0,1.41335869892353,1.61790282505563,,,1,49,2218
1,6,0,1,Viktor AXELSEN,切球,0,-1.06543092553015,-0.42504167523581,,,1,49,2218
1,7,0,1,Kento MOMOTA,網前球,1,-1.12469762663756,0.417780079190154,,,1,49,2218
1,8,0,1,Viktor AXELSEN,挑球,1,0.927071084630308,-1.45069232928786,,,1,49,2218
1,9,0,1,Kento MOMOTA,切球,0,-1.23448749685174,0.60253033404285,,,1,49,2218
1,10,0,1,Viktor AXELSEN,挑球,1,1.32431425155192,-1.54055371379064,,,1,49,2218
1,11,0,1,Kento MOMOTA,切球,0,0.947181839148126,0.635199975551571,,,1,49,2218
1,12,0,1,Viktor AXELSEN,推撲球,0,0.110117241311253,-0.990553605374085,,,1,49,2218
1,13,0,1,Kento MOMOTA,接殺防守,1,-1.64046658404179,0.678892044149803,B,,1,49,2218
2,1,0,2,Viktor AXELSEN,發短球,1,0.480248240659103,-0.508157194275444,,,1,49,2219
2,2,0,2,Kento MOMOTA,挑球,1,0.960514959922729,1.64232978266159,,,1,49,2219
2,3,0,2,Viktor AXELSEN,切球,0,-0.894500395453374,-0.87195526165731,,,1,49,2219
2,4,0,2,Kento MOMOTA,網前球,1,-1.14191886103851,0.471597236377627,,,1,49,2219
2,5,0,2,Viktor AXELSEN,網前球,1,1.3618354253373,-0.28293499549912,,,1,49,2219
2,6,0,2,Kento MOMOTA,挑球,0,0.964740624562504,1.48556992737585,,,1,49,2219
2,7,0,2,Viktor AXELSEN,切球,0,-0.908532082423575,-0.54107758451415,,,1,49,2219
2,8,0,2,Kento MOMOTA,網前球,1,-1.09167364290259,0.326153950939753,,,1,49,2219
2,9,0,2,Viktor AXELSEN,挑球,1,-1.06446842453125,-1.38783626411719,,,1,49,2219
2,10,0,2,Kento MOMOTA,切球,0,-1.02741664643529,1.04937453999557,,,1,49,2219
2,11,0,2,Viktor AXELSEN,網前球,1,-0.234249553240015,-0.324922008323935,,,1,49,2219
2,12,0,2,Kento MOMOTA,挑球,1,-0.910058407319279,1.59899867842632,,,1,49,2219
2,13,0,2,Viktor AXELSEN,殺球,0,-0.891232841419281,-0.897590476474512,,,1,49,2219
2,14,0,2,Kento MOMOTA,網前球,1,1.06139847003868,0.618115684410926,,,1,49,2219
2,15,0,2,Viktor AXELSEN,網前球,0,-0.952318673431496,-0.54100743763476,,,1,49,2219
2,16,0,2,Kento MOMOTA,推撲球,1,-1.02538023500561,1.0863775289681,,,1,49,2219
