Set,Rally,Frame,X,Y,Time,Getpoint_player,Lose_reason
1,1,8,691,410,00:00:00.267,,
1,1,71,785,144,00:00:02.369,,
1,1,105,527,342,00:00:03.504,,
1,1,123,578,312,00:00:04.104,,
1,1,154,840,467,00:00:05.138,,
1,1,181,788,172,00:00:06.039,,
1,1,215,582,324,00:00:07.174,,
1,1,262,461,460,00:00:08.742,,
1,1,289,732,359,00:00:09.643,,
1,1,310,811,348,00:00:10.344,,
1,1,360,618,158,00:00:12.012,,
1,1,371,524,494,00:00:12.379,,
1,1,401,532,348,00:00:13.380,,
1,1,437,446,411,00:00:14.581,,
1,1,476,551,175,00:00:15.883,,
1,1,497,474,484,00:00:16.583,,
1,1,514,723,302,00:00:17.150,,
1,1,531,846,380,00:00:17.718,A,1
1,2,671,625,332,00:00:22.389,,
1,2,736,788,339,00:00:24.558,,
1,2,760,554,373,00:00:25.359,,
1,2,776,507,221,00:00:25.893,,
1,2,795,486,397,00:00:26.527,B,0
1,3,1014,646,337,00:00:33.834,,
1,3,1080,548,326,00:00:36.036,,
1,3,1103,810,343,00:00:36.803,,
1,3,1135,904,393,00:00:37.871,,
1,3,1149,812,292,00:00:38.338,,
1,3,1173,554,393,00:00:39.139,A,0
1,4,1375,619,335,00:00:45.879,,
1,4,1441,836,358,00:00:48.081,,
1,4,1464,802,357,00:00:48.849,,
1,4,1496,491,423,00:00:49.917,,
1,4,1567,668,405,00:00:52.286,,
1,4,1598,800,329,00:00:53.320,,
1,4,1628,500,370,00:00:54.321,,
1,4,1672,485,461,00:00:55.789,,
1,4,1730,476,459,00:00:57.724,,
1,4,1770,763,379,00:00:59.059,,
1,4,1802,732,339,00:01:00.127,,
1,4,1812,645,310,00:01:00.460,,
1,4,1827,580,373,00:01:00.961,,
1,4,1864,500,361,00:01:02.195,,
1,4,1879,517,330,00:01:02.696,,
1,4,1909,444,439,00:01:03.697,,
1,4,1948,765,169,00:01:04.998,,
1,4,1975,517,463,00:01:05.899,,
1,4,2006,517,370,00:01:06.934,,
1,4,2061,760,340,00:01:08.769,,
1,4,2087,524,384,00:01:09.636,,
1,4,2121,492,436,00:01:10.771,,
1,4,2158,519,243,00:01:12.005,,
1,4,2169,709,173,00:01:12.372,,
1,4,2185,834,294,00:01:12.906,B,1
1,5,2288,811,314,00:01:16.343,,
1,5,2335,639,346,00:01:17.911,,
1,5,2399,525,378,00:01:20.047,,
1,5,2423,497,379,00:01:20.847,,
1,5,2455,472,351,00:01:21.915,,
1,5,2467,499,338,00:01:22.316,,
1,5,2550,838,498,00:01:25.085,,
1,5,2574,820,294,00:01:25.886,,
1,5,2613,851,448,00:01:27.187,,
1,5,2637,548,312,00:01:27.988,,
1,5,2665,844,433,00:01:28.922,,
1,5,2698,768,153,00:01:30.023,,
1,5,2730,462,341,00:01:31.091,,
1,5,2759,471,349,00:01:32.059,,
1,5,2795,422,368,00:01:33.260,,
1,5,2815,797,365,00:01:33.927,,
1,5,2845,822,384,00:01:34.928,,
1,5,2869,845,342,00:01:35.729,,
1,5,2927,652,332,00:01:37.664,,
1,5,2941,536,337,00:01:38.131,,
1,5,2974,503,418,00:01:39.232,,
1,5,3040,480,426,00:01:41.435,B,2
1,6,3174,522,444,00:01:45.906,,
1,6,3232,731,428,00:01:47.841,,
1,6,3296,589,153,00:01:49.977,,
1,6,3328,401,358,00:01:51.044,,
1,6,3345,562,287,00:01:51.612,,
1,6,3370,826,429,00:01:52.446,,
1,6,3424,670,145,00:01:54.247,,
1,6,3439,481,507,00:01:54.748,,
1,6,3475,493,455,00:01:55.949,A,2
