Set,Rally,Frame,X,Y,Time,Getpoint_player,Lose_reason
1,1,5,756,390,00:00:00.16682405605293887,,
1,1,17,741,399,00:00:00.5672017905799922,,
1,1,27,753,393,00:00:00.90084990268587,,
1,1,43,723,396,00:00:01.4346868820552745,,
1,1,57,726,396,00:00:01.9017942390035032,,
1,1,72,744,399,00:00:02.40226640716232,,
1,1,83,741,399,00:00:02.7692793304787857,,
1,1,96,738,399,00:00:03.2030218762164266,,
1,1,108,753,405,00:00:03.60339961074348,,
1,1,122,726,393,00:00:04.070506967691709,,
1,1,159,747,399,00:00:05.305004982483457,A,0
1,2,181,750,405,00:00:06.0390308291163874,,
1,2,192,750,405,00:00:06.406043752432853,,
1,2,212,750,405,00:00:07.0733399766446095,,
1,2,223,750,405,00:00:07.440352899961074,,
1,2,254,669,249,00:00:08.474662047489295,,
1,2,264,786,174,00:00:08.808310159595173,,
1,2,307,750,405,00:00:10.242997041650447,,
1,2,317,750,405,00:00:10.576645153756326,,
1,2,329,750,402,00:00:10.977022888283377,,
1,2,347,738,402,00:00:11.577589490073958,,
1,2,361,741,396,00:00:12.044696847022188,,
1,2,373,759,393,00:00:12.44507458154924,,
1,2,392,759,393,00:00:13.079005994550409,A,0
1,3,403,693,291,00:00:13.446018917866873,,
1,3,415,738,399,00:00:13.846396652393928,,
1,3,435,693,291,00:00:14.513692876605683,,
1,3,454,801,285,00:00:15.147624289606851,,
1,3,467,747,399,00:00:15.581366835344491,,
1,3,477,717,393,00:00:15.91501494745037,,
1,3,487,714,393,00:00:16.248663059556247,,
1,3,498,762,396,00:00:16.615675982872713,,
1,3,508,759,399,00:00:16.94932409497859,,
1,3,518,747,399,00:00:17.28297220708447,,
1,3,529,756,396,00:00:17.649985130400935,,
1,3,555,759,399,00:00:18.517470221876216,,
1,3,569,738,399,00:00:18.984577578824446,,
1,3,581,798,300,00:00:19.3849553133515,,
1,3,591,756,405,00:00:19.718603425457374,B,0
1,4,640,753,399,00:00:21.353479174776176,,
1,4,666,732,396,00:00:22.22096426625146,,
1,4,679,732,396,00:00:22.6547068119891,,
1,4,691,750,402,00:00:23.055084546516156,,
1,4,713,756,396,00:00:23.789110393149087,,
1,4,728,741,399,00:00:24.289582561307903,A,0
