Frame,Visibility,X,Y,Time
3,1,680,384,00:00:00.10010000000000001
4,1,684,386,00:00:00.13346666666666668
5,1,684,392,00:00:00.16683333333333333
6,1,688,400,00:00:00.20020000000000002
7,1,690,408,00:00:00.23356666666666667
8,1,690,410,00:00:00.26693333333333336
9,1,692,420,00:00:00.3003
10,1,692,432,00:00:00.33366666666666667
11,0,0,0,00:00:00.3670333333333334
12,1,700,334,00:00:00.40040000000000003
13,1,704,234,00:00:00.43376666666666663
14,1,704,234,00:00:00.46713333333333334
15,1,706,190,00:00:00.5005
16,1,708,104,00:00:00.5338666666666667
17,1,712,66,00:00:00.5672333333333334
18,1,714,16,00:00:00.6006
19,1,712,4,00:00:00.6339666666666667
20,1,714,4,00:00:00.6673333333333333
21,0,0,0,00:00:00.7007000000000001
22,0,0,0,00:00:00.7340666666666668
23,0,0,0,00:00:00.7674333333333334
24,0,0,0,00:00:00.8008000000000001
25,0,0,0,00:00:00.8341666666666666
26,0,0,0,00:00:00.8675333333333333
27,0,0,0,00:00:00.9008999999999999
28,0,0,0,00:00:00.9342666666666667
29,0,0,0,00:00:00.9676333333333333
30,0,0,0,00:00:01.001
31,0,0,0,00:00:01.0343666666666669
32,0,0,0,00:00:01.0677333333333334
33,0,0,0,00:00:01.1011
34,0,0,0,00:00:01.1344666666666667
35,0,0,0,00:00:01.1678333333333333
36,0,0,0,00:00:01.2012
37,0,0,0,00:00:01.2345666666666666
38,0,0,0,00:00:01.2679333333333334
39,0,0,0,00:00:01.3013
40,0,0,0,00:00:01.3346666666666667
41,0,0,0,00:00:01.3680333333333332
42,0,0,0,00:00:01.4014000000000002
43,0,0,0,00:00:01.4347666666666667
44,0,0,0,00:00:01.4681333333333335
45,0,0,0,00:00:01.5015
46,0,0,0,00:00:01.5348666666666668
47,0,0,0,00:00:01.5682333333333334
48,0,0,0,00:00:01.6016000000000001
49,0,0,0,00:00:01.6349666666666667
50,0,0,0,00:00:01.6683333333333332
51,0,0,0,00:00:01.7017
52,0,0,0,00:00:01.7350666666666665
53,0,0,0,00:00:01.7684333333333333
54,0,0,0,00:00:01.8017999999999998
55,0,0,0,00:00:01.8351666666666668
56,0,0,0,00:00:01.8685333333333334
57,0,0,0,00:00:01.9019000000000001
58,0,0,0,00:00:01.9352666666666667
59,0,0,0,00:00:01.9686333333333335
60,1,774,4,00:00:02.002
61,1,774,18,00:00:02.035366666666667
62,1,774,18,00:00:02.0687333333333338
63,1,776,32,00:00:02.1021
64,1,776,46,00:00:02.135466666666667
65,1,778,62,00:00:02.1688333333333336
66,1,778,80,00:00:02.2022
67,1,780,94,00:00:02.2355666666666667
68,1,780,98,00:00:02.2689333333333335
69,1,780,110,00:00:02.3023000000000002
70,1,782,130,00:00:02.3356666666666666
71,1,784,144,00:00:02.3690333333333333
72,1,772,154,00:00:02.4024
73,1,752,136,00:00:02.435766666666667
74,1,748,136,00:00:02.469133333333333
75,1,730,122,00:00:02.5025
76,1,708,112,00:00:02.5358666666666667
77,1,696,100,00:00:02.5692333333333335
78,1,682,98,00:00:02.6026
79,1,672,92,00:00:02.6359666666666666
80,1,672,92,00:00:02.6693333333333333
81,1,660,90,00:00:02.7027
82,1,652,90,00:00:02.7360666666666664
83,1,642,92,00:00:02.769433333333333
84,1,636,94,00:00:02.8028000000000004
85,1,624,96,00:00:02.8361666666666667
86,1,624,98,00:00:02.8695333333333335
87,1,616,100,00:00:02.9029000000000003
88,1,608,106,00:00:02.936266666666667
89,1,600,114,00:00:02.9696333333333333
90,1,596,122,00:00:03.003
91,1,586,134,00:00:03.036366666666667
92,1,588,134,00:00:03.0697333333333336
93,1,580,146,00:00:03.1031
94,1,576,158,00:00:03.1364666666666667
95,1,570,170,00:00:03.1698333333333335
96,1,562,184,00:00:03.2032000000000003
97,1,558,198,00:00:03.2365666666666666
98,1,558,198,00:00:03.2699333333333334
99,1,552,216,00:00:03.3033
100,1,548,236,00:00:03.3366666666666664
101,1,542,254,00:00:03.370033333333333
102,1,536,276,00:00:03.4034
103,1,532,296,00:00:03.4367666666666667
104,1,530,310,00:00:03.470133333333333
105,1,524,342,00:00:03.5035
106,1,520,362,00:00:03.5368666666666666
107,1,530,350,00:00:03.5702333333333334
108,1,540,324,00:00:03.6035999999999997
109,1,540,326,00:00:03.636966666666667
110,1,544,318,00:00:03.6703333333333337
111,1,550,304,00:00:03.7037000000000004
112,1,554,302,00:00:03.7370666666666668
113,1,558,298,00:00:03.7704333333333335
114,1,560,296,00:00:03.8038000000000003
115,1,560,294,00:00:03.8371666666666666
116,1,562,292,00:00:03.8705333333333334
117,1,566,294,00:00:03.9039
118,1,570,296,00:00:03.937266666666667
119,1,572,298,00:00:03.9706333333333332
120,1,576,302,00:00:04.004
121,1,574,302,00:00:04.037366666666667
122,1,576,308,00:00:04.070733333333334
123,1,578,312,00:00:04.104100000000001
124,1,600,300,00:00:04.1374666666666675
125,1,612,290,00:00:04.170833333333333
126,1,622,286,00:00:04.2042
127,1,624,284,00:00:04.237566666666667
128,0,0,0,00:00:04.270933333333334
129,1,650,278,00:00:04.3043000000000005
130,1,662,276,00:00:04.337666666666667
131,1,678,274,00:00:04.371033333333334
132,1,688,274,00:00:04.4044
133,1,686,274,00:00:04.437766666666667
134,1,702,278,00:00:04.471133333333333
135,1,712,280,00:00:04.5045
136,1,722,284,00:00:04.537866666666667
137,1,730,290,00:00:04.571233333333334
138,1,740,296,00:00:04.6046000000000005
139,1,742,296,00:00:04.637966666666667
140,1,750,304,00:00:04.671333333333333
