Frame,Visibility,X,Y,Time
1,1,679,380,00:00:00.000
2,1,679,380,00:00:00.000
3,1,681,384,00:00:00.100
4,1,684,387,00:00:00.133
5,1,685,393,00:00:00.167
6,1,689,401,00:00:00.200
7,1,691,408,00:00:00.234
8,1,691,410,00:00:00.267
9,1,693,420,00:00:00.300
10,1,692,430,00:00:00.334
11,0,0,0,00:00:00.367
12,1,701,335,00:00:00.400
13,1,705,234,00:00:00.434
14,1,705,234,00:00:00.467
15,1,707,191,00:00:00.501
16,1,709,106,00:00:00.534
17,1,713,66,00:00:00.567
18,1,714,19,00:00:00.601
19,1,713,5,00:00:00.634
20,1,717,4,00:00:00.667
21,0,0,0,00:00:00.701
22,0,0,0,00:00:00.734
23,0,0,0,00:00:00.767
24,0,0,0,00:00:00.801
25,0,0,0,00:00:00.834
26,0,0,0,00:00:00.868
27,0,0,0,00:00:00.901
28,0,0,0,00:00:00.934
29,0,0,0,00:00:00.968
30,0,0,0,00:00:01.001
31,0,0,0,00:00:01.034
32,0,0,0,00:00:01.068
33,0,0,0,00:00:01.101
34,0,0,0,00:00:01.134
35,0,0,0,00:00:01.168
36,0,0,0,00:00:01.201
37,0,0,0,00:00:01.235
38,0,0,0,00:00:01.268
39,0,0,0,00:00:01.301
40,0,0,0,00:00:01.335
41,0,0,0,00:00:01.368
42,0,0,0,00:00:01.401
43,0,0,0,00:00:01.435
44,0,0,0,00:00:01.468
45,0,0,0,00:00:01.502
46,0,0,0,00:00:01.535
47,0,0,0,00:00:01.568
48,0,0,0,00:00:01.602
49,0,0,0,00:00:01.635
50,0,0,0,00:00:01.668
51,0,0,0,00:00:01.702
52,0,0,0,00:00:01.735
53,0,0,0,00:00:01.768
54,0,0,0,00:00:01.802
55,0,0,0,00:00:01.835
56,0,0,0,00:00:01.869
57,0,0,0,00:00:01.902
58,0,0,0,00:00:01.935
59,0,0,0,00:00:01.969
60,1,775,3,00:00:02.002
61,1,774,19,00:00:02.035
62,1,774,18,00:00:02.069
63,1,776,32,00:00:02.102
64,1,777,46,00:00:02.135
65,1,778,63,00:00:02.169
66,1,779,81,00:00:02.202
67,1,780,95,00:00:02.236
68,1,780,98,00:00:02.269
69,1,781,111,00:00:02.302
70,1,782,130,00:00:02.336
71,1,785,144,00:00:02.369
72,1,772,154,00:00:02.402
73,1,752,137,00:00:02.436
74,1,749,138,00:00:02.469
75,1,730,122,00:00:02.503
76,1,708,112,00:00:02.536
77,1,696,103,00:00:02.569
78,1,683,100,00:00:02.603
79,1,672,95,00:00:02.636
