Frame,Visibility,X,Y,Time
3,1,750,393,00:00:00.10009443363176333
4,1,870,1026,00:00:00.1334592448423511
5,1,756,390,00:00:00.16682405605293887
6,1,9,1059,00:00:00.20018886726352667
7,1,738,399,00:00:00.23355367847411443
8,1,759,393,00:00:00.2669184896847022
9,1,984,360,00:00:00.30028330089529
10,1,723,399,00:00:00.33364811210587775
11,1,759,393,00:00:00.36701292331646557
12,1,873,1026,00:00:00.40037773452705333
13,1,741,399,00:00:00.4337425457376411
14,1,9,1059,00:00:00.46710735694822886
15,1,870,1026,00:00:00.5004721681588167
16,1,870,1029,00:00:00.5338369793694044
17,1,741,399,00:00:00.5672017905799922
18,1,738,399,00:00:00.60056660179058
19,1,1077,585,00:00:00.6339314130011678
20,1,864,1035,00:00:00.6672962242117555
21,1,837,843,00:00:00.7006610354223433
22,1,960,840,00:00:00.7340258466329311
23,1,720,393,00:00:00.7673906578435189
24,0,0,0,00:00:00.8007554690541067
25,1,870,1026,00:00:00.8341202802646944
26,1,9,1059,00:00:00.8674850914752822
27,1,753,393,00:00:00.90084990268587
28,1,870,1023,00:00:00.9342147138964577
29,1,762,393,00:00:00.9675795251070456
30,1,774,405,00:00:01.0009443363176334
31,1,741,396,00:00:01.0343091475282211
32,1,258,882,00:00:01.0676739587388089
33,1,1095,345,00:00:01.1010387699493966
34,1,9,1059,00:00:01.1344035811599844
35,1,771,399,00:00:01.1677683923705722
36,1,108,768,00:00:01.20113320358116
37,1,867,1026,00:00:01.2344980147917477
38,1,1104,351,00:00:01.2678628260023357
39,1,978,378,00:00:01.3012276372129234
40,1,1155,810,00:00:01.334592448423511
41,1,978,360,00:00:01.3679572596340988
42,1,747,387,00:00:01.4013220708446865
43,1,723,396,00:00:01.4346868820552745
44,1,765,393,00:00:01.4680516932658623
45,1,762,390,00:00:01.50141650447645
46,1,726,393,00:00:01.5347813156870378
47,1,729,393,00:00:01.5681461268976253
48,0,0,0,00:00:01.6015109381082133
49,1,867,1029,00:00:01.634875749318801
50,1,1116,849,00:00:01.6682405605293888
51,1,1176,711,00:00:01.7016053717399766
52,1,870,1026,00:00:01.7349701829505644
53,1,9,1059,00:00:01.7683349941611524
54,1,978,360,00:00:01.80169980537174
55,1,870,1026,00:00:01.8350646165823277
56,1,981,360,00:00:01.8684294277929154
57,1,726,396,00:00:01.9017942390035032
58,1,729,396,00:00:01.9351590502140912
