set,rally,frame_num,time,hit_area,hit_x,hit_y,landing_area,landing_x,landing_y,lose_reason,getpoint_player,type,hitting
1,1,8,00:00:00.26693333333333336,D2,410,690,A2,144.0,784.0,,,,A
1,1,71,00:00:02.3690333333333333,A2,144,784,B1,342.0,524.0,,,,B
1,1,105,00:00:03.5035,B1,342,524,A1,312.0,578.0,,,,A
1,1,123,00:00:04.104100000000001,A1,312,578,D2,466.0,840.0,,,,B
1,1,154,00:00:05.138466666666667,D2,466,840,A2,162.0,786.0,,,,A
1,1,179,00:00:05.9726333333333335,A2,162,786,B1,324.0,582.0,,,,B
1,1,215,00:00:07.173833333333333,B1,324,582,E1,460.0,462.0,,,,A
1,1,262,00:00:08.742066666666668,E1,460,462,A2,314.0,684.0,,,,B
1,1,281,00:00:09.376033333333332,A2,314,684,B2,338.0,808.0,,,,A
1,1,309,00:00:10.310300000000002,B2,338,808,A1,158.0,618.0,,,,B
1,1,360,00:00:12.012,A1,158,618,D1,496.0,526.0,,,,A
1,1,371,00:00:12.379033333333332,D1,496,526,B1,348.0,532.0,,,,B
1,1,401,00:00:13.380033333333333,B1,348,532,E1,412.0,446.0,,,,A
1,1,437,00:00:14.581233333333333,E1,412,446,A1,174.0,550.0,,,,B
1,1,476,00:00:15.882533333333333,A1,174,550,D1,484.0,474.0,,,,A
1,1,497,00:00:16.583233333333332,D1,484,474,B2,380.0,846.0,,,,B
1,1,531,00:00:17.7177,B2,380,846,B1,332.0,624.0,落地,A,,A
1,2,671,00:00:22.389033333333334,B1,332,624,B2,338.0,786.0,,,,A
1,2,736,00:00:24.55786666666667,B2,338,786,B1,372.0,554.0,,,,B
1,2,760,00:00:25.358666666666668,B1,372,554,A1,220.0,506.0,,,,A
1,2,776,00:00:25.892533333333333,A1,220,506,B1,370.0,486.0,,,,B
1,2,793,00:00:26.459766666666667,B1,370,486,B2,336.0,646.0,出界,B,,A
1,3,1014,00:00:33.833800000000004,B2,336,646,B1,328.0,548.0,,,,B
1,3,1080,00:00:36.036,B1,328,548,B2,342.0,810.0,,,,A
1,3,1103,00:00:36.80343333333333,B2,342,810,B3,392.0,904.0,,,,B
1,3,1135,00:00:37.87116666666667,B3,392,904,A2,292.0,810.0,,,,A
1,3,1149,00:00:38.338300000000004,A2,292,810,B1,392.0,554.0,,,,B
1,3,1173,00:00:39.1391,B1,392,554,A1,282.0,618.0,出界,A,,A
1,4,1367,00:00:45.612233333333336,A1,282,618,B2,358.0,836.0,,,,A
1,4,1441,00:00:48.08136666666667,B2,358,836,B2,356.0,802.0,,,,B
1,4,1464,00:00:48.848800000000004,B2,356,802,D1,422.0,490.0,,,,A
1,4,1496,00:00:49.916533333333334,D1,422,490,D2,404.0,668.0,,,,B
1,4,1567,00:00:52.28556666666667,D2,404,668,B2,326.0,802.0,,,,A
1,4,1598,00:00:53.31993333333333,B2,326,802,B1,370.0,500.0,,,,B
1,4,1628,00:00:54.320933333333336,B1,370,500,D1,460.0,484.0,,,,A
1,4,1672,00:00:55.78906666666666,D1,460,484,D1,460.0,476.0,,,,B
1,4,1730,00:00:57.724333333333334,D1,460,476,B2,378.0,764.0,,,,A
1,4,1770,00:00:59.059,B2,378,764,B2,338.0,732.0,,,,B
1,4,1802,00:01:00.12673333333333403,B2,338,732,A2,310.0,646.0,,,,A
1,4,1812,00:01:00.4603999999999999,A2,310,646,B1,372.0,580.0,,,,B
1,4,1827,00:01:00.9609000000000023,B1,372,580,B1,362.0,498.0,,,,A
1,4,1864,00:01:02.1954666666666682,B1,362,498,B1,330.0,518.0,,,,B
1,4,1879,00:01:02.6959666666666706,B1,330,518,E1,438.0,444.0,,,,A
1,4,1909,00:01:03.6969666666666683,E1,438,444,A2,168.0,764.0,,,,B
1,4,1948,00:01:04.998266666666666,A2,168,764,D1,462.0,516.0,,,,A
1,4,1975,00:01:05.899166666666673,D1,462,516,B1,372.0,518.0,,,,B
1,4,2006,00:01:06.933533333333344,B1,372,518,B2,338.0,760.0,,,,A
1,4,2061,00:01:08.768699999999995,B2,338,760,B1,384.0,524.0,,,,B
1,4,2087,00:01:09.636233333333337,B1,384,524,D1,436.0,492.0,,,,A
1,4,2121,00:01:10.77069999999999,D1,436,492,A1,236.0,516.0,,,,B
1,4,2157,00:01:11.97189999999999,A1,236,516,A2,172.0,708.0,,,,A
1,4,2169,00:01:12.37230000000001,A2,172,708,A2,294.0,834.0,,,,B
1,4,2185,00:01:12.906166666666678,A2,294,834,B2,326.0,818.0,,,,A
1,4,2218,00:01:14.007266666666666,B2,326,818,A2,314.0,810.0,落地,B,,B
1,5,2288,00:01:16.342933333333335,A2,314,810,A2,268.0,670.0,,,,B
1,5,2307,00:01:16.9769,A2,268,670,B2,346.0,638.0,,,,A
1,5,2335,00:01:17.911166666666674,B2,346,638,B1,380.0,524.0,,,,B
1,5,2399,00:01:20.046633333333332,B1,380,524,B1,378.0,496.0,,,,A
1,5,2423,00:01:20.847433333333328,B1,378,496,B1,348.0,470.0,,,,B
1,5,2453,00:01:21.848433333333332,B1,348,470,B1,338.0,498.0,,,,A
1,5,2467,00:01:22.31556666666667,B1,338,498,D1,396.0,480.0,,,,B
1,5,2494,00:01:23.216466666666676,D1,396,480,D2,498.0,840.0,,,,A
1,5,2550,00:01:25.084999999999994,D2,498,840,A2,294.0,820.0,,,,B
1,5,2574,00:01:25.885800000000003,A2,294,820,B2,366.0,850.0,,,,A
1,5,2610,00:01:27.087000000000003,B2,366,850,A1,312.0,548.0,,,,B
1,5,2637,00:01:27.98790000000001,A1,312,548,D2,434.0,844.0,,,,A
1,5,2665,00:01:28.92216666666667,D2,434,844,A2,152.0,768.0,,,,B
1,5,2698,00:01:30.023266666666657,A2,152,768,C1,340.0,462.0,,,,A
1,5,2730,00:01:31.090999999999994,C1,340,462,A1,278.0,454.0,,,,B
1,5,2742,00:01:31.491400000000013,A1,278,454,B1,348.0,470.0,,,,A
1,5,2759,00:01:32.05863333333333,B1,348,470,C1,368.0,424.0,,,,B
1,5,2795,00:01:33.25983333333333,C1,368,424,B2,366.0,798.0,,,,A
1,5,2815,00:01:33.927166666666665,B2,366,798,B2,384.0,822.0,,,,B
1,5,2845,00:01:34.92816666666667,B2,384,822,B2,342.0,844.0,,,,A
1,5,2869,00:01:35.72896666666668,B2,342,844,B2,332.0,652.0,,,,B
1,5,2927,00:01:37.66423333333334,B2,332,652,B1,336.0,536.0,,,,A
1,5,2941,00:01:38.131366666666665,B1,336,536,D1,418.0,502.0,,,,B
1,5,2974,00:01:39.23246666666668,D1,418,502,D1,428.0,480.0,,,,A
1,5,3040,00:01:41.43466666666667,D1,428,480,D2,406.0,680.0,未回擊成功,B,,B
1,6,3190,00:01:46.43966666666667,D2,406,680,D2,428.0,732.0,,,,B
1,6,3232,00:01:47.84106666666666,D2,428,732,A1,152.0,588.0,,,,A
1,6,3296,00:01:49.976533333333336,A1,152,588,C1,358.0,400.0,,,,B
1,6,3328,00:01:51.04426666666666,C1,358,400,A1,286.0,562.0,,,,A
1,6,3345,00:01:51.61150000000001,A1,286,562,D2,428.0,826.0,,,,B
1,6,3370,00:01:52.44566666666667,D2,428,826,A2,144.0,670.0,,,,A
1,6,3424,00:01:54.24746666666667,A2,144,670,D1,506.0,480.0,,,,B
1,6,3439,00:01:54.74796666666667,D1,506,480,D1,454.0,492.0,,,,A
1,6,3475,00:01:55.94916666666667,D1,454,492,D1,458.0,496.0,未回擊成功,A,,B
1,7,3528,00:01:57.717600000000004,D1,458,496,A1,310.0,620.0,,,,A
1,7,3591,00:01:59.8197,A1,310,620,B2,342.0,840.0,,,,B
1,7,3660,00:02:02.122,B2,342,840,B1,340.0,530.0,,,,A
1,7,3681,00:02:02.8226999999999975,B1,340,530,C1,372.0,458.0,,,,B
1,7,3701,00:02:03.4900333333333435,C1,372,458,B1,346.0,524.0,,,,A
1,7,3725,00:02:04.290833333333325,B1,346,524,B1,332.0,484.0,,,,B
1,7,3747,00:02:05.024900000000002,B1,332,484,B2,390.0,812.0,,,,A
1,7,3813,00:02:07.227100000000007,B2,390,812,B2,366.0,840.0,,,,B
1,7,3841,00:02:08.16136666666668,B2,366,840,B2,342.0,848.0,,,,A
1,7,3905,00:02:10.296833333333325,B2,342,848,D2,432.0,852.0,未回擊成功,B,,B
1,8,3983,00:02:12.899433333333349,D2,432,852,D2,404.0,728.0,,,,B
1,8,4068,00:02:15.735600000000005,D2,404,728,D2,422.0,666.0,,,,A
1,8,4147,00:02:18.371566666666666,D2,422,666,B2,336.0,764.0,,,,B
1,8,4170,00:02:19.13900000000001,B2,336,764,B1,334.0,488.0,,,,A
1,8,4198,00:02:20.073266666666655,B1,334,488,B2,350.0,792.0,,,,B
1,8,4218,00:02:20.7406,B2,350,792,A2,316.0,802.0,,,,A
1,8,4246,00:02:21.674866666666674,A2,316,802,A1,310.0,472.0,出界,A,,B
1,9,4339,00:02:24.777966666666686,A1,310,472,D2,440.0,694.0,,,,A
1,9,4380,00:02:26.145999999999987,D2,440,694,A2,150.0,810.0,,,,B
1,9,4443,00:02:28.248099999999994,A2,150,810,D1,458.0,500.0,,,,A
1,9,4467,00:02:29.048900000000003,D1,458,500,D2,398.0,664.0,,,,B
1,9,4516,00:02:30.68386666666666,D2,398,664,D2,420.0,728.0,出界,B,,A
1,10,4671,00:02:35.85570000000001,D2,420,728,A1,148.0,614.0,,,,B
1,10,4733,00:02:37.924433333333354,A1,148,614,B1,352.0,472.0,,,,A
1,10,4772,00:02:39.225733333333324,B1,352,472,B1,326.0,540.0,,,,B
1,10,4795,00:02:39.99316666666667,B1,326,540,A2,298.0,668.0,,,,A
1,10,4807,00:02:40.393566666666686,A2,298,668,D2,424.0,794.0,,,,B
1,10,4823,00:02:40.92743333333334,D2,424,794,A2,314.0,818.0,,,,A
1,10,4848,00:02:41.761600000000016,A2,314,818,B1,318.0,566.0,,,,B
1,10,4870,00:02:42.495666666666665,B1,318,566,A2,182.0,782.0,,,,A
1,10,4913,00:02:43.930433333333355,A2,182,782,D1,484.0,476.0,,,,B
1,10,4940,00:02:44.83133333333333,D1,484,476,A1,224.0,544.0,,,,A
1,10,4976,00:02:46.03253333333333,A1,224,544,D2,412.0,838.0,,,,B
1,10,5003,00:02:46.93343333333334,D2,412,838,D3,418.0,884.0,出界,A,,A
1,11,5073,00:02:49.26910000000001,D3,418,884,A2,310.0,682.0,,,,A
1,11,5107,00:02:50.40356666666668,A2,310,682,B1,382.0,626.0,,,,B
1,11,5127,00:02:51.070899999999995,B1,382,626,A2,160.0,772.0,,,,A
1,11,5162,00:02:52.23873333333333,A2,160,772,C1,342.0,434.0,,,,B
1,11,5198,00:02:53.43993333333336,C1,342,434,B2,354.0,832.0,,,,A
1,11,5220,00:02:54.17400000000001,B2,354,832,B2,332.0,856.0,落地,B,,B
1,12,5258,00:02:55.44193333333334,B2,332,856,A2,308.0,682.0,,,,B
1,12,5317,00:02:57.41056666666668,A2,308,682,B2,372.0,776.0,,,,A
1,12,5335,00:02:58.01116666666667,B2,372,776,A1,152.0,602.0,,,,B
1,12,5352,00:02:58.57839999999999,A1,152,602,B1,336.0,506.0,,,,A
1,12,5383,00:02:59.61276666666666,B1,336,506,B1,340.0,588.0,,,,B
1,12,5405,00:03:00.3468333333333362,B1,340,588,B2,384.0,774.0,,,,A
1,12,5428,00:03:01.1142666666666514,B2,384,774,B2,350.0,856.0,,,,B
1,12,5453,00:03:01.9484333333333552,B2,350,856,D3,414.0,896.0,,,,A
1,12,5500,00:03:03.5166666666666515,D3,414,896,A2,310.0,652.0,,,,B
1,12,5520,00:03:04.1839999999999975,A2,310,652,D1,420.0,516.0,,,,A
1,12,5542,00:03:04.918066666666675,D1,420,516,A2,144.0,692.0,,,,B
1,12,5585,00:03:06.352833333333336,A2,144,692,B1,350.0,520.0,,,,A
1,12,5614,00:03:07.320466666666675,B1,350,520,A2,162.0,710.0,,,,B
1,12,5664,00:03:08.988800000000026,A2,162,710,B1,378.0,578.0,落地,A,,A
1,13,5814,00:03:13.993800000000022,B1,378,578,B2,342.0,678.0,,,,A
1,13,5838,00:03:14.794600000000003,B2,342,678,B1,376.0,476.0,,,,B
1,13,5883,00:03:16.296099999999996,B1,376,476,E1,486.0,456.0,,,,A
1,13,5945,00:03:18.364833333333337,E1,486,456,B1,350.0,492.0,,,,B
1,13,5976,00:03:19.399200000000008,B1,350,492,C1,376.0,448.0,,,,A
1,13,6002,00:03:20.26673333333335,C1,376,448,A2,144.0,774.0,,,,B
1,13,6046,00:03:21.734866666666676,A2,144,774,A1,316.0,474.0,,,,A
1,13,6082,00:03:22.936066666666676,A1,316,474,D3,514.0,880.0,,,,B
1,13,6139,00:03:24.837966666666688,D3,514,880,A2,256.0,826.0,,,,A
1,13,6162,00:03:25.605400000000003,A2,256,826,B2,388.0,706.0,出界,B,,B
1,14,6673,00:03:42.655766666666665,B2,388,706,D2,408.0,724.0,,,,B
1,14,6685,00:03:43.056166666666655,D2,408,724,D2,442.0,792.0,,,,A
1,14,6775,00:03:46.05916666666667,D2,442,792,D1,468.0,484.0,,,,B
1,14,6827,00:03:47.794233333333324,D1,468,484,A1,162.0,588.0,,,,A
1,14,6864,00:03:49.02880000000002,A1,162,588,D1,436.0,556.0,,,,B
1,14,6879,00:03:49.529300000000006,D1,436,556,B2,352.0,802.0,,,,A
1,14,6908,00:03:50.496933333333345,B2,352,802,D3,412.0,864.0,,,,B
1,14,6938,00:03:51.49793333333335,D3,412,864,B1,384.0,476.0,,,,A
1,14,6985,00:03:53.066166666666646,B1,384,476,D2,452.0,730.0,未回擊成功,A,,B
1,15,7068,00:03:55.8356,D2,452,730,A2,310.0,682.0,,,,A
1,15,7129,00:03:57.870966666666675,A2,310,682,B2,378.0,756.0,,,,B
1,15,7148,00:03:58.504933333333355,B2,378,756,B2,342.0,640.0,,,,A
1,15,7166,00:03:59.10553333333331,B2,342,640,B1,362.0,472.0,,,,B
1,15,7201,00:04:00.273366666666675,B1,362,472,B1,334.0,478.0,,,,A
1,15,7219,00:04:00.8739666666666608,B1,334,478,B1,378.0,488.0,,,,B
1,15,7249,00:04:01.8749666666666656,B1,378,488,B1,348.0,492.0,,,,A
1,15,7273,00:04:02.675766666666675,B1,348,492,B2,324.0,632.0,,,,B
1,15,7319,00:04:04.210633333333334,B2,324,632,B2,360.0,836.0,,,,A
1,15,7339,00:04:04.87796666666668,B2,360,836,B3,338.0,866.0,出界,A,,B
1,16,7385,00:04:06.412833333333339,B3,338,866,D2,400.0,654.0,,,,A
1,16,7419,00:04:07.547300000000007,D2,400,654,D2,438.0,694.0,,,,B
1,16,7449,00:04:08.548300000000012,D2,438,694,A2,154.0,738.0,,,,A
1,16,7512,00:04:10.65039999999999,A2,154,738,D1,398.0,538.0,,,,B
1,16,7534,00:04:11.384466666666668,D1,398,538,A1,312.0,586.0,,,,A
1,16,7554,00:04:12.051800000000014,A1,312,586,B1,364.0,612.0,,,,B
1,16,7564,00:04:12.385466666666673,B1,364,612,D3,416.0,896.0,,,,A
1,16,7604,00:04:13.720133333333337,D3,416,896,A2,290.0,828.0,,,,B
1,16,7626,00:04:14.454200000000014,A2,290,828,D3,550.0,920.0,,,,A
1,16,7665,00:04:15.755500000000012,D3,550,920,A2,308.0,684.0,落地,A,,B
1,17,7787,00:04:19.826233333333334,A2,308,684,B2,386.0,834.0,,,,A
1,17,7804,00:04:20.393466666666654,B2,386,834,A1,184.0,608.0,,,,B
1,17,7833,00:04:21.36110000000002,A1,184,608,D2,438.0,692.0,,,,A
1,17,7843,00:04:21.69476666666668,D2,438,692,A2,298.0,828.0,,,,B
1,17,7876,00:04:22.79586666666671,A2,298,828,D2,440.0,856.0,,,,A
1,17,7902,00:04:23.663400000000024,D2,440,856,A1,162.0,618.0,,,,B
1,17,7949,00:04:25.231633333333377,A1,162,618,D1,406.0,618.0,,,,A
1,17,7966,00:04:25.798866666666697,D1,406,618,A1,312.0,482.0,,,,B
1,17,7991,00:04:26.633033333333344,A1,312,482,B1,340.0,478.0,,,,A
1,17,8027,00:04:27.834233333333316,B1,340,478,B1,338.0,494.0,,,,B
1,17,8047,00:04:28.501566666666633,B1,338,494,A2,314.0,680.0,出界,A,,A
1,18,8144,00:04:31.738133333333337,A2,314,680,B1,388.0,596.0,,,,A
1,18,8165,00:04:32.43883333333332,B1,388,596,D2,432.0,854.0,,,,B
1,18,8214,00:04:34.073800000000006,D2,432,854,B1,340.0,548.0,,,,A
1,18,8248,00:04:35.208266666666646,B1,340,548,E1,398.0,454.0,,,,B
1,18,8276,00:04:36.14253333333335,E1,398,454,D3,442.0,880.0,,,,A
1,18,8348,00:04:38.54493333333335,D3,442,880,A1,206.0,590.0,,,,B
1,18,8365,00:04:39.11216666666667,A1,206,590,A1,260.0,528.0,,,,A
1,18,8379,00:04:39.57929999999999,A1,260,528,B2,372.0,732.0,,,,B
1,18,8392,00:04:40.013066666666646,B2,372,732,A1,246.0,580.0,,,,A
1,18,8412,00:04:40.68040000000002,A1,246,580,B1,336.0,494.0,,,,B
1,18,8437,00:04:41.51456666666667,B1,336,494,A1,308.0,558.0,,,,A
1,18,8460,00:04:42.28199999999998,A1,308,558,D2,458.0,792.0,,,,B
1,18,8486,00:04:43.14953333333335,D2,458,792,A2,148.0,760.0,,,,A
1,18,8532,00:04:44.68440000000004,A2,148,760,D2,430.0,696.0,落地,A,,B
1,19,8713,00:04:50.72376666666668,D2,430,696,D2,450.0,858.0,,,,A
1,19,8791,00:04:53.32636666666667,D2,450,858,B1,322.0,532.0,,,,B
1,19,8820,00:04:54.29399999999998,B1,322,532,D1,416.0,482.0,,,,A
1,19,8847,00:04:55.19490000000002,D1,416,482,B1,356.0,502.0,,,,B
1,19,8870,00:04:55.96233333333333,B1,356,502,B2,370.0,794.0,,,,A
1,19,8899,00:04:56.9299666666667,B2,370,794,B2,372.0,824.0,,,,B
1,19,8924,00:04:57.76413333333335,B2,372,824,B2,342.0,776.0,,,,A
1,19,8990,00:04:59.966333333333296,B2,342,776,B2,324.0,818.0,,,,B
1,19,9009,00:05:00.6003000000000043,B2,324,818,D3,394.0,906.0,,,,A
1,19,9044,00:05:01.7681333333333669,D3,394,906,A1,294.0,528.0,,,,B
1,19,9071,00:05:02.6690333333333456,A1,294,528,E1,406.0,466.0,,,,A
1,19,9098,00:05:03.5699333333333243,E1,406,466,A2,314.0,790.0,出界,A,,B
1,20,9195,00:05:06.806500000000028,A2,314,790,D2,416.0,680.0,,,,A
1,20,9229,00:05:07.940966666666668,D2,416,680,D2,430.0,728.0,,,,B
1,20,9293,00:05:10.076433333333341,D2,430,728,D2,394.0,666.0,,,,A
1,20,9369,00:05:12.612300000000005,D2,394,666,A2,252.0,752.0,,,,B
1,20,9394,00:05:13.446466666666652,A2,252,752,D2,424.0,846.0,,,,A
1,20,9416,00:05:14.180533333333301,D2,424,846,B2,348.0,832.0,,,,B
1,20,9441,00:05:15.014700000000005,B2,348,832,B1,342.0,528.0,,,,A
1,20,9474,00:05:16.11579999999998,B1,342,528,B2,344.0,774.0,,,,B
1,20,9497,00:05:16.88323333333335,B2,344,774,E1,442.0,438.0,,,,A
1,20,9531,00:05:18.01769999999999,E1,442,438,A1,156.0,566.0,,,,B
1,20,9577,00:05:19.552566666666678,A1,156,566,E1,510.0,462.0,,,,A
1,20,9589,00:05:19.95296666666667,E1,510,462,E1,454.0,458.0,,,,B
1,20,9625,00:05:21.154166666666697,E1,454,458,D1,462.0,470.0,未回擊成功,A,,A
1,21,9664,00:05:22.455466666666666,D1,462,470,A2,312.0,682.0,,,,A
1,21,9686,00:05:23.189533333333316,A2,312,682,B1,378.0,582.0,,,,B
1,21,9703,00:05:23.756766666666636,B1,378,582,B1,340.0,508.0,,,,A
1,21,9728,00:05:24.59093333333334,B1,340,508,C1,382.0,458.0,,,,B
1,21,9755,00:05:25.491833333333318,C1,382,458,A2,224.0,772.0,,,,A
1,21,9801,00:05:27.026700000000005,A2,224,772,B1,374.0,514.0,,,,B
1,21,9827,00:05:27.894233333333318,B1,374,514,B2,360.0,800.0,,,,A
1,21,9855,00:05:28.82850000000002,B2,360,800,D3,460.0,908.0,,,,B
1,21,9888,00:05:29.92960000000005,D3,460,908,A2,278.0,800.0,,,,A
1,21,9913,00:05:30.76376666666664,A2,278,800,D3,422.0,894.0,,,,B
1,21,9943,00:05:31.764766666666674,D3,422,894,A2,146.0,762.0,,,,A
1,21,9987,00:05:33.23290000000003,A2,146,762,D2,434.0,858.0,,,,B
1,21,10011,00:05:34.03370000000001,D2,434,858,E1,464.0,462.0,,,,A
1,21,10061,00:05:35.702033333333304,E1,464,462,A1,304.0,522.0,,,,B
1,21,10088,00:05:36.60293333333334,A1,304,522,A1,296.0,458.0,,,,A
1,21,10109,00:05:37.30363333333338,A1,296,458,A2,154.0,782.0,,,,B
1,21,10150,00:05:38.67166666666668,A2,154,782,B3,342.0,896.0,,,,A
1,21,10205,00:05:40.506833333333304,B3,342,896,B1,384.0,474.0,,,,B
1,21,10227,00:05:41.24090000000001,B1,384,474,C1,374.0,430.0,出界,A,,A
