hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,ball_type
4,2,0,2,2,0,0,0,0,0,6.903,unknown
2,2,0,1,1,0,0,0,0,0,14.735999999999999,unknown
3,1,0,2,1,0,0,0,0,0,5.072,unknown
2,1,0,0,2,0,0,0,0,0,15.140999999999998,unknown
4,2,0,2,2,0,0,0,0,0,17.098,unknown
2,2,0,1,1,0,0,0,0,0,11.6,unknown
3,1,0,4,1,0,0,0,0,0,5.971,unknown
0,1,0,1,2,0,0,0,0,0,16.508,unknown
3,2,0,1,2,0,0,0,0,0,5.852,unknown
3,2,0,2,1,0,0,0,0,0,8.35,unknown
2,1,0,0,1,0,0,0,0,0,48.891999999999996,unknown
4,1,0,1,1,0,0,0,0,0,7.5120000000000005,unknown
3,1,0,4,1,0,0,0,0,0,4.565,unknown
0,1,0,2,1,0,0,0,0,0,10.203,unknown
2,1,0,0,1,0,0,0,0,0,23.396,unknown
4,1,0,2,2,0,0,0,0,0,27.975,unknown
2,2,0,1,2,0,0,0,0,0,13.187000000000001,unknown
3,1,0,1,2,0,0,0,0,0,0.0,unknown
3,2,0,1,1,0,0,0,0,0,3.8680000000000003,unknown
3,1,0,2,1,0,0,0,0,0,15.182,unknown
2,1,0,0,1,0,0,0,0,0,15.323,unknown
3,2,0,1,1,0,0,0,0,0,14.378,unknown
3,1,0,1,2,0,0,0,0,0,0.0,unknown
3,2,0,0,3,0,0,0,0,0,2.303,unknown
4,3,0,2,2,0,0,0,0,0,17.604,unknown
2,2,0,0,1,0,0,0,0,0,5.127000000000001,unknown
3,1,0,1,2,0,0,0,0,0,15.045,unknown
3,2,0,1,2,0,0,0,0,0,17.789,unknown
3,2,0,0,1,0,0,0,0,0,0.0,unknown
4,1,0,0,2,0,0,0,0,0,5.0969999999999995,unknown
4,2,0,1,2,0,0,0,0,0,2.278,unknown
3,2,0,1,1,0,0,0,0,0,15.309000000000001,unknown
3,1,0,0,1,0,0,0,0,0,3.862,unknown
4,1,0,0,1,0,0,0,0,0,7.5760000000000005,unknown
4,1,0,1,2,0,0,0,0,0,15.556,unknown
3,2,0,1,2,0,0,0,0,0,3.2310000000000003,unknown
3,2,0,2,2,0,0,0,0,0,0.245,unknown
2,2,0,1,1,0,0,0,0,0,11.478,unknown
3,1,0,1,1,0,0,0,0,0,2.437,unknown
3,1,0,1,1,0,0,0,0,0,14.163,unknown
3,1,0,4,1,0,0,0,0,0,9.292,unknown
0,1,0,2,2,0,0,0,0,0,3.3710000000000004,unknown
2,2,0,0,1,0,0,0,0,0,3.6289999999999996,unknown
4,1,0,1,1,0,0,0,0,0,6.74,unknown
3,1,0,1,2,0,0,0,0,0,16.581,unknown
3,2,0,1,1,0,0,0,0,0,21.954,unknown
3,1,0,0,1,0,0,0,0,0,4.621,unknown
4,1,0,2,1,0,0,0,0,0,6.862,unknown
2,1,0,2,2,0,0,0,0,0,14.24,unknown
2,2,0,2,2,0,0,0,0,0,2.767,unknown
2,2,0,1,2,0,0,0,0,0,8.122,unknown
3,2,0,1,1,0,0,0,0,0,28.375,unknown
3,1,0,1,1,0,0,0,0,0,16.755,unknown
3,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,1,0,0,0,0,0,5.7379999999999995,unknown
3,1,0,0,2,0,0,0,0,0,2.8510000000000004,unknown
4,2,0,2,2,0,0,0,0,0,1.801,unknown
2,2,0,0,2,0,0,0,0,0,1.808,unknown
4,2,0,2,1,0,0,0,0,0,3.843,unknown
2,1,0,0,2,0,0,0,0,0,6.962000000000001,unknown
4,2,0,2,2,0,0,0,0,0,13.149000000000001,unknown
2,2,0,3,1,0,0,0,0,0,6.21,unknown
1,1,0,1,1,0,0,0,0,0,21.324,unknown
3,1,0,3,1,0,0,0,0,0,17.608,unknown
1,1,0,1,2,0,0,0,0,0,13.552,unknown
3,2,0,1,2,0,0,0,0,0,17.294,unknown
3,2,0,1,2,0,0,0,0,0,0.64,unknown
3,2,0,1,2,0,0,0,0,0,2.25,unknown
3,2,0,1,1,0,0,0,0,0,28.915,unknown
3,1,0,0,1,0,0,0,0,0,1.6130000000000002,unknown
4,1,0,0,1,0,0,0,0,0,3.074,unknown
4,1,0,0,2,0,0,0,0,0,5.136,unknown
4,2,0,2,1,0,0,0,0,0,12.786,unknown
2,1,0,3,1,0,0,0,0,0,4.086,unknown
1,1,0,2,1,0,0,0,0,0,0.568,unknown
2,1,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,2,2,0,0,0,0,0,5.571000000000001,unknown
2,2,0,0,1,0,0,0,0,0,7.452000000000001,unknown
4,1,0,0,1,0,0,0,0,0,13.407,unknown
4,1,0,2,1,0,0,0,0,0,15.932,unknown
2,1,0,1,2,0,0,0,0,0,18.485,unknown
3,2,0,1,1,0,0,0,0,0,9.253,unknown
3,1,0,3,1,0,0,0,0,0,41.92,unknown
1,1,0,1,1,0,0,0,0,0,2.285,unknown
3,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,2,0,0,0,0,0,4.724,unknown
3,2,0,1,2,0,0,0,0,0,4.795,unknown
3,2,0,1,2,0,0,0,0,0,26.125,unknown
4,2,0,0,2,0,0,0,0,0,5.744,unknown
4,2,0,0,2,0,0,0,0,0,4.495,unknown
4,2,0,1,2,0,0,0,0,0,2.969,unknown
3,2,0,1,1,0,0,0,0,0,7.797999999999999,unknown
3,1,0,1,2,0,0,0,0,0,1.995,unknown
3,2,0,2,2,0,0,0,0,0,0.632,unknown
2,1,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,0,2,0,0,0,0,0,2.1590000000000003,unknown
4,2,0,2,2,0,0,0,0,0,1.304,unknown
2,2,0,0,1,0,0,0,0,0,8.692,unknown
4,1,0,0,2,0,0,0,0,0,15.197000000000001,unknown
4,2,0,2,1,0,0,0,0,0,23.426,unknown
2,1,0,1,1,0,0,0,0,0,1.915,unknown
3,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,0,2,0,0,0,0,0,17.757,unknown
4,2,0,2,2,0,0,0,0,0,3.415,unknown
2,2,0,1,1,0,0,0,0,0,7.596,unknown
3,1,0,2,2,0,0,0,0,0,28.149,unknown
2,2,0,0,1,0,0,0,0,0,5.5120000000000005,unknown
4,1,0,2,1,0,0,0,0,0,0.0,unknown
2,1,0,0,2,0,0,0,0,0,7.343999999999999,unknown
3,2,0,1,1,0,0,0,0,0,9.828,unknown
3,1,0,2,2,0,0,0,0,0,4.869,unknown
2,2,0,3,1,0,0,0,0,0,15.042,unknown
1,1,0,1,2,0,0,0,0,0,6.9479999999999995,unknown
3,2,0,2,2,0,0,0,0,0,17.66,unknown
2,2,0,1,2,0,0,0,0,0,9.124,unknown
3,2,0,1,1,0,0,0,0,0,24.54,unknown
3,1,0,1,1,0,0,0,0,0,11.509,unknown
3,1,0,0,2,0,0,0,0,0,19.862000000000002,unknown
4,2,0,1,2,0,0,0,0,0,0.0,unknown
3,2,0,0,3,0,0,0,0,0,6.96,unknown
4,3,0,2,2,0,0,0,0,0,11.699000000000002,unknown
2,2,0,2,2,0,0,0,0,0,16.439,unknown
2,2,0,0,1,0,0,0,0,0,27.969,unknown
4,1,0,2,2,0,0,0,0,0,0.0,unknown
2,2,0,1,1,0,0,0,0,0,4.532,unknown
3,1,0,2,2,0,0,0,0,0,9.771,unknown
3,1,0,1,2,0,0,0,0,0,8.808,unknown
3,2,0,1,1,0,0,0,0,0,5.896,unknown
3,1,0,4,1,0,0,0,0,0,12.735999999999999,unknown
0,1,0,1,1,0,0,0,0,0,5.744,unknown
3,1,0,3,1,0,0,0,0,0,2.5639999999999996,unknown
1,1,0,2,2,0,0,0,0,0,29.368000000000002,unknown
2,2,0,2,1,0,0,0,0,0,10.434000000000001,unknown
2,1,0,0,3,0,0,0,0,0,12.555,unknown
4,3,0,2,2,0,0,0,0,0,11.743,unknown
3,2,0,0,2,0,0,0,0,0,14.273,unknown
4,2,0,0,1,0,0,0,0,0,8.258,unknown
4,1,0,2,1,0,0,0,0,0,0.0,unknown
2,1,0,0,1,0,0,0,0,0,7.005,unknown
4,1,0,1,2,0,0,0,0,0,7.064,unknown
3,2,0,0,3,0,0,0,0,0,2.715,unknown
4,3,0,0,1,0,0,0,0,0,6.997000000000001,unknown
4,1,0,0,2,0,0,0,0,0,3.008,unknown
2,2,0,1,2,0,0,0,0,0,13.989,unknown
3,2,0,1,2,0,0,0,0,0,14.75,unknown
3,2,0,1,1,0,0,0,0,0,12.200999999999999,unknown
3,1,0,1,1,0,0,0,0,0,17.660999999999998,unknown
3,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,1,0,0,0,0,0,1.6119999999999999,unknown
3,1,0,1,2,0,0,0,0,0,9.192,unknown
3,2,0,1,2,0,0,0,0,0,13.458,unknown
3,3,0,0,2,0,0,0,0,0,28.34,unknown
4,2,0,2,2,0,0,0,0,0,13.642999999999999,unknown
2,2,0,0,1,0,0,0,0,0,4.435,unknown
4,1,0,2,1,0,0,0,0,0,12.425,unknown
2,1,0,1,1,0,0,0,0,0,14.530999999999999,unknown
3,1,0,0,3,0,0,0,0,0,0.0,unknown
4,3,0,2,2,0,0,0,0,0,8.327,unknown
2,2,0,0,3,0,0,0,0,0,10.392999999999999,unknown
2,2,0,1,2,0,0,0,0,0,7.235,unknown
3,2,0,2,1,0,0,0,0,0,2.2680000000000002,unknown
2,1,0,0,2,0,0,0,0,0,2.2569999999999997,unknown
4,2,0,2,2,0,0,0,0,0,1.953,unknown
2,2,0,0,2,0,0,0,0,0,4.732,unknown
4,2,0,2,1,0,0,0,0,0,16.076,unknown
2,1,0,0,1,0,0,0,0,0,0.0,unknown
4,1,0,2,1,0,0,0,0,0,4.784,unknown
2,1,0,1,1,0,0,0,0,0,7.028,unknown
3,1,0,1,1,0,0,0,0,0,23.29,unknown
2,2,0,1,1,0,0,0,0,0,10.885,unknown
3,1,0,0,2,0,0,0,0,0,8.911,unknown
4,2,0,1,1,0,0,0,0,0,11.061,unknown
3,1,0,4,1,0,0,0,0,0,10.027999999999999,unknown
0,1,0,0,3,0,0,0,0,0,10.575,unknown
4,3,0,2,1,0,0,0,0,0,0.0,unknown
2,1,0,1,2,0,0,0,0,0,14.324000000000002,unknown
3,2,0,2,1,0,0,0,0,0,16.136,unknown
2,1,0,1,1,0,0,0,0,0,41.438,unknown
3,1,0,2,1,0,0,0,0,0,7.917999999999999,unknown
2,1,0,0,2,0,0,0,0,0,14.395999999999999,unknown
4,2,0,2,2,0,0,0,0,0,12.017000000000001,unknown
4,2,0,0,2,0,0,0,0,0,22.041,unknown
4,2,0,1,1,0,0,0,0,0,10.043,unknown
3,1,0,0,1,0,0,0,0,0,1.236,unknown
4,1,0,1,1,0,0,0,0,0,1.318,unknown
3,1,0,1,2,0,0,0,0,0,0.0,unknown
3,2,0,1,2,0,0,0,0,0,8.324,unknown
3,2,0,1,2,0,0,0,0,0,8.264,unknown
3,2,0,1,2,0,0,0,0,0,14.448,unknown
3,2,0,0,3,0,0,0,0,0,6.104,unknown
4,3,0,2,1,0,0,0,0,0,9.165,unknown
2,1,0,4,1,0,0,0,0,0,19.709,unknown
2,2,0,0,2,0,0,0,0,0,25.531999999999996,unknown
4,2,0,0,2,0,0,0,0,0,15.901,unknown
4,2,0,2,2,0,0,0,0,0,7.95,unknown
2,2,0,0,2,0,0,0,0,0,5.267,unknown
4,2,0,1,2,0,0,0,0,0,16.387,unknown
3,2,0,1,1,0,0,0,0,0,10.408,unknown
3,1,0,1,2,0,0,0,0,0,0.0,unknown
3,2,0,4,1,0,0,0,0,0,3.2260000000000004,unknown
0,1,0,2,1,0,0,0,0,0,18.607,unknown
2,1,0,4,1,0,0,0,0,0,6.178,unknown
2,2,0,1,1,0,0,0,0,0,4.3260000000000005,unknown
3,1,0,1,1,0,0,0,0,0,15.475999999999999,unknown
3,1,0,3,1,0,0,0,0,0,1.916,unknown
1,1,0,2,2,0,0,0,0,0,1.3019999999999998,unknown
2,2,0,1,1,0,0,0,0,0,3.917,unknown
3,1,0,1,2,0,0,0,0,0,4.848,unknown
3,2,0,0,3,0,0,0,0,0,22.153000000000002,unknown
4,3,0,2,2,0,0,0,0,0,7.257000000000001,unknown
2,2,0,0,3,0,0,0,0,0,0.0,unknown
4,3,0,2,2,0,0,0,0,0,2.097,unknown
2,2,0,0,2,0,0,0,0,0,1.4680000000000002,unknown
4,2,0,4,1,0,0,0,0,0,10.184,unknown
0,1,0,2,1,0,0,0,0,0,13.988,unknown
2,1,0,2,1,0,0,0,0,0,5.818,unknown
2,1,0,2,2,0,0,0,0,0,14.25,unknown
2,2,0,1,3,0,0,0,0,0,16.562,unknown
3,3,0,1,1,0,0,0,0,0,16.358,unknown
1,1,0,0,2,0,0,0,0,0,16.683,unknown
4,2,0,2,2,0,0,0,0,0,46.041000000000004,unknown
2,2,0,0,1,0,0,0,0,0,0.0,unknown
4,1,0,4,4,0,0,0,0,0,11.762,unknown
0,4,0,2,1,0,0,0,0,0,5.075,unknown
4,2,0,2,1,0,0,0,0,0,3.8080000000000003,unknown
2,1,0,0,1,0,0,0,0,0,11.747,unknown
4,1,0,2,1,0,0,0,0,0,17.278,unknown
2,1,0,3,1,0,0,0,0,0,16.434,unknown
1,1,0,1,1,0,0,0,0,0,6.941,unknown
3,1,0,0,2,0,0,0,0,0,13.05,unknown
4,2,0,0,1,0,0,0,0,0,8.835,unknown
4,1,0,1,1,0,0,0,0,0,10.686,unknown
3,1,0,4,1,0,0,0,0,0,19.491,unknown
0,1,0,2,2,0,0,0,0,0,12.302,unknown
4,2,0,0,2,0,0,0,0,0,9.951,unknown
4,2,0,2,1,0,0,0,0,0,5.114,unknown
2,1,0,3,1,0,0,0,0,0,13.368,unknown
1,1,0,2,1,0,0,0,0,0,6.153,unknown
2,1,0,0,3,0,0,0,0,0,29.721,unknown
4,3,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,0,2,0,0,0,0,0,9.345,unknown
4,2,0,2,1,0,0,0,0,0,6.789,unknown
2,1,0,4,1,0,0,0,0,0,52.361999999999995,unknown
0,1,0,1,1,0,0,0,0,0,4.473,unknown
3,1,0,1,1,0,0,0,0,0,14.270999999999999,unknown
3,2,0,1,2,0,0,0,0,0,0.0,unknown
3,2,0,1,1,0,0,0,0,0,8.042,unknown
3,1,0,1,1,0,0,0,0,0,27.343000000000004,unknown
3,1,0,4,1,0,0,0,0,0,10.959000000000001,unknown
0,1,0,1,1,0,0,0,0,0,4.007,unknown
3,1,0,1,2,0,0,0,0,0,5.871,unknown
