hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,ball_type
4,2,0,2,2,0,0,0,0,0,6.902,unknown
2,2,0,1,1,0,0,0,0,0,14.815,unknown
3,1,0,2,1,0,0,0,0,0,5.29,unknown
2,1,0,0,2,0,0,0,0,0,15.11,unknown
4,2,0,2,2,0,0,0,0,0,19.035999999999998,unknown
2,2,0,1,1,0,0,0,0,0,11.152999999999999,unknown
3,1,0,4,1,0,0,0,0,0,5.9479999999999995,unknown
0,1,0,2,2,0,0,0,0,0,21.555,unknown
2,2,0,1,2,0,0,0,0,0,6.952999999999999,unknown
3,2,0,2,1,0,0,0,0,0,7.91,unknown
2,1,0,0,1,0,0,0,0,0,49.083,unknown
4,1,0,1,1,0,0,0,0,0,7.61,unknown
3,1,0,4,1,0,0,0,0,0,4.59,unknown
0,1,0,2,1,0,0,0,0,0,10.265,unknown
2,1,0,0,1,0,0,0,0,0,23.427,unknown
4,1,0,1,2,0,0,0,0,0,17.51,unknown
3,1,0,1,2,0,0,0,0,0,0.0,unknown
3,2,0,1,1,0,0,0,0,0,3.844,unknown
3,1,0,2,1,0,0,0,0,0,15.059000000000001,unknown
2,1,0,1,1,0,0,0,0,0,15.355,unknown
3,2,0,1,1,0,0,0,0,0,13.72,unknown
3,1,0,1,2,0,0,0,0,0,0.0,unknown
3,2,0,1,3,0,0,0,0,0,2.296,unknown
3,3,0,2,2,0,0,0,0,0,17.583,unknown
2,2,0,1,1,0,0,0,0,0,5.127999999999999,unknown
2,1,0,1,2,0,0,0,0,0,15.11,unknown
3,2,0,1,2,0,0,0,0,0,17.651,unknown
3,2,0,0,1,0,0,0,0,0,0.0,unknown
4,1,0,0,2,0,0,0,0,0,4.809,unknown
4,2,0,1,2,0,0,0,0,0,2.282,unknown
3,2,0,1,1,0,0,0,0,0,15.36,unknown
3,1,0,0,1,0,0,0,0,0,3.884,unknown
4,1,0,0,1,0,0,0,0,0,7.709,unknown
4,1,0,1,2,0,0,0,0,0,15.68,unknown
3,2,0,1,2,0,0,0,0,0,3.202,unknown
3,2,0,2,2,0,0,0,0,0,0.213,unknown
2,2,0,1,1,0,0,0,0,0,11.539000000000001,unknown
3,1,0,1,1,0,0,0,0,0,2.467,unknown
3,1,0,1,1,0,0,0,0,0,13.94,unknown
3,1,0,4,1,0,0,0,0,0,9.305,unknown
0,1,0,2,2,0,0,0,0,0,3.4410000000000003,unknown
2,2,0,0,1,0,0,0,0,0,3.878,unknown
4,1,0,1,1,0,0,0,0,0,6.726,unknown
3,1,0,1,2,0,0,0,0,0,16.547,unknown
3,2,0,1,1,0,0,0,0,0,21.956999999999997,unknown
3,1,0,0,1,0,0,0,0,0,4.476,unknown
4,1,0,2,1,0,0,0,0,0,6.848,unknown
2,1,0,2,2,0,0,0,0,0,14.254000000000001,unknown
2,2,0,2,2,0,0,0,0,0,2.7680000000000002,unknown
2,2,0,1,2,0,0,0,0,0,8.624,unknown
2,2,0,2,2,0,0,0,0,0,25.995,unknown
2,2,0,1,2,0,0,0,0,0,16.895,unknown
3,2,0,1,1,0,0,0,0,0,1.671,unknown
3,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,1,0,0,0,0,0,11.954,unknown
3,1,0,1,1,0,0,0,0,0,4.641,unknown
3,1,0,0,1,0,0,0,0,0,2.865,unknown
4,1,0,0,2,0,0,0,0,0,1.8030000000000002,unknown
4,2,0,2,2,0,0,0,0,0,2.04,unknown
2,2,0,1,2,0,0,0,0,0,3.273,unknown
3,2,0,2,1,0,0,0,0,0,3.467,unknown
2,1,0,0,2,0,0,0,0,0,10.298,unknown
4,2,0,2,2,0,0,0,0,0,13.164000000000001,unknown
2,2,0,3,1,0,0,0,0,0,3.34,unknown
1,1,0,2,1,0,0,0,0,0,17.512999999999998,unknown
2,1,0,1,1,0,0,0,0,0,17.624000000000002,unknown
3,1,0,3,1,0,0,0,0,0,13.640999999999998,unknown
1,1,0,1,2,0,0,0,0,0,17.298,unknown
3,2,0,1,2,0,0,0,0,0,8.029,unknown
3,2,0,1,2,0,0,0,0,0,6.51,unknown
3,2,0,1,2,0,0,0,0,0,2.148,unknown
3,2,0,1,1,0,0,0,0,0,28.823,unknown
3,1,0,0,1,0,0,0,0,0,1.541,unknown
4,1,0,0,1,0,0,0,0,0,3.045,unknown
4,2,0,0,2,0,0,0,0,0,5.109,unknown
4,2,0,2,1,0,0,0,0,0,12.777999999999999,unknown
2,1,0,3,1,0,0,0,0,0,4.146,unknown
1,1,0,2,1,0,0,0,0,0,0.564,unknown
2,1,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,2,2,0,0,0,0,0,2.072,unknown
2,2,0,0,1,0,0,0,0,0,7.497000000000001,unknown
4,1,0,0,1,0,0,0,0,0,13.433,unknown
4,1,0,2,1,0,0,0,0,0,16.073,unknown
2,1,0,1,2,0,0,0,0,0,18.480999999999998,unknown
3,2,0,1,1,0,0,0,0,0,9.249,unknown
3,1,0,3,1,0,0,0,0,0,42.00899999999999,unknown
1,1,0,1,1,0,0,0,0,0,2.285,unknown
3,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,2,0,0,0,0,0,4.724,unknown
3,2,0,1,2,0,0,0,0,0,4.966,unknown
3,2,0,1,2,0,0,0,0,0,22.753,unknown
4,2,0,0,2,0,0,0,0,0,6.072,unknown
4,2,0,0,2,0,0,0,0,0,4.556,unknown
4,2,0,1,2,0,0,0,0,0,2.969,unknown
3,2,0,1,1,0,0,0,0,0,7.779,unknown
3,1,0,1,2,0,0,0,0,0,2.03,unknown
3,2,0,2,2,0,0,0,0,0,0.609,unknown
2,1,0,0,2,0,0,0,0,0,0.0,unknown
4,2,0,2,2,0,0,0,0,0,2.305,unknown
2,2,0,0,1,0,0,0,0,0,1.26,unknown
4,1,0,0,2,0,0,0,0,0,8.738,unknown
4,2,0,2,1,0,0,0,0,0,15.193,unknown
2,1,0,1,1,0,0,0,0,0,23.46,unknown
3,1,0,1,1,0,0,0,0,0,1.9509999999999998,unknown
3,1,0,2,2,0,0,0,0,0,0.0,unknown
2,2,0,0,2,0,0,0,0,0,9.671,unknown
4,2,0,2,2,0,0,0,0,0,7.641,unknown
2,2,0,1,1,0,0,0,0,0,28.064,unknown
3,1,0,2,2,0,0,0,0,0,5.492999999999999,unknown
2,2,0,0,1,0,0,0,0,0,0.0,unknown
4,1,0,2,1,0,0,0,0,0,7.332000000000001,unknown
2,1,0,0,2,0,0,0,0,0,9.823,unknown
4,3,0,2,2,0,0,0,0,0,4.879,unknown
2,2,0,1,1,0,0,0,0,0,16.829,unknown
3,1,0,2,2,0,0,0,0,0,17.166,unknown
2,2,0,3,1,0,0,0,0,0,6.941,unknown
1,1,0,1,2,0,0,0,0,0,17.657,unknown
3,2,0,2,2,0,0,0,0,0,9.149,unknown
2,2,0,1,2,0,0,0,0,0,24.543000000000003,unknown
3,2,0,2,1,0,0,0,0,0,11.505999999999998,unknown
2,1,0,1,1,0,0,0,0,0,19.921,unknown
3,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,2,0,0,0,0,0,10.384,unknown
3,2,0,1,2,0,0,0,0,0,7.029,unknown
3,2,0,0,3,0,0,0,0,0,11.700999999999999,unknown
4,3,0,2,2,0,0,0,0,0,16.436,unknown
2,2,0,0,1,0,0,0,0,0,27.896,unknown
4,1,0,2,2,0,0,0,0,0,0.0,unknown
2,2,0,1,1,0,0,0,0,0,4.5889999999999995,unknown
3,1,0,2,2,0,0,0,0,0,9.738,unknown
3,1,0,1,2,0,0,0,0,0,25.430999999999997,unknown
3,2,0,1,1,0,0,0,0,0,10.319,unknown
3,1,0,4,1,0,0,0,0,0,5.752000000000001,unknown
0,1,0,1,1,0,0,0,0,0,12.809000000000001,unknown
3,1,0,3,1,0,0,0,0,0,5.473,unknown
1,1,0,2,2,0,0,0,0,0,2.475,unknown
2,2,0,2,1,0,0,0,0,0,20.441,unknown
2,1,0,0,3,0,0,0,0,0,12.255,unknown
4,3,0,2,2,0,0,0,0,0,11.732999999999999,unknown
3,2,0,0,2,0,0,0,0,0,14.263,unknown
4,2,0,0,2,0,0,0,0,0,8.24,unknown
4,2,0,0,1,0,0,0,0,0,0.0,unknown
4,1,0,2,1,0,0,0,0,0,6.8260000000000005,unknown
2,1,0,0,1,0,0,0,0,0,7.016,unknown
4,1,0,1,2,0,0,0,0,0,2.779,unknown
3,2,0,0,3,0,0,0,0,0,6.995,unknown
4,3,0,1,1,0,0,0,0,0,3.03,unknown
4,2,0,2,2,0,0,0,0,0,14.015999999999998,unknown
2,2,0,1,2,0,0,0,0,0,14.806,unknown
3,2,0,1,2,0,0,0,0,0,12.214,unknown
3,2,0,1,1,0,0,0,0,0,17.664,unknown
3,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,1,0,0,0,0,0,3.4560000000000004,unknown
3,1,0,1,1,0,0,0,0,0,1.3019999999999998,unknown
3,1,0,1,2,0,0,0,0,0,9.162,unknown
3,2,0,1,2,0,0,0,0,0,13.463,unknown
3,3,0,0,2,0,0,0,0,0,28.346,unknown
4,2,0,0,2,0,0,0,0,0,13.815999999999999,unknown
4,2,0,2,2,0,0,0,0,0,4.433,unknown
2,2,0,0,1,0,0,0,0,0,12.757,unknown
4,1,0,2,1,0,0,0,0,0,0.0,unknown
2,1,0,1,1,0,0,0,0,0,3.787,unknown
3,1,0,0,3,0,0,0,0,0,8.152999999999999,unknown
4,3,0,2,2,0,0,0,0,0,10.4,unknown
2,2,0,0,3,0,0,0,0,0,7.4510000000000005,unknown
2,2,0,1,2,0,0,0,0,0,2.452,unknown
3,2,0,2,1,0,0,0,0,0,2.318,unknown
2,1,0,0,2,0,0,0,0,0,1.944,unknown
4,2,0,2,2,0,0,0,0,0,4.7589999999999995,unknown
2,2,0,0,2,0,0,0,0,0,15.964,unknown
4,2,0,2,1,0,0,0,0,0,0.0,unknown
2,1,0,0,1,0,0,0,0,0,10.013,unknown
4,1,0,2,1,0,0,0,0,0,2.835,unknown
2,1,0,1,1,0,0,0,0,0,7.031000000000001,unknown
3,1,0,1,1,0,0,0,0,0,22.103,unknown
2,2,0,1,1,0,0,0,0,0,7.59,unknown
3,1,0,0,2,0,0,0,0,0,8.961,unknown
4,2,0,1,1,0,0,0,0,0,11.125,unknown
3,1,0,4,1,0,0,0,0,0,10.031,unknown
0,1,0,0,3,0,0,0,0,0,10.9,unknown
4,3,0,2,1,0,0,0,0,0,0.0,unknown
2,1,0,2,1,0,0,0,0,0,15.329,unknown
2,1,0,1,2,0,0,0,0,0,16.11,unknown
3,2,0,2,1,0,0,0,0,0,41.235,unknown
2,1,0,1,1,0,0,0,0,0,9.116,unknown
3,1,0,2,1,0,0,0,0,0,8.58,unknown
2,1,0,0,2,0,0,0,0,0,12.001,unknown
4,2,0,2,2,0,0,0,0,0,22.122,unknown
4,2,0,0,2,0,0,0,0,0,10.193,unknown
4,2,0,1,1,0,0,0,0,0,1.2109999999999999,unknown
3,1,0,0,1,0,0,0,0,0,1.2429999999999999,unknown
4,1,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,2,0,0,0,0,0,8.216000000000001,unknown
3,2,0,1,2,0,0,0,0,0,8.232999999999999,unknown
3,2,0,1,2,0,0,0,0,0,14.485,unknown
3,2,0,1,2,0,0,0,0,0,6.08,unknown
3,2,0,0,3,0,0,0,0,0,9.168,unknown
4,3,0,2,1,0,0,0,0,0,33.899,unknown
2,1,0,4,1,0,0,0,0,0,9.052,unknown
2,2,0,0,2,0,0,0,0,0,27.592,unknown
4,2,0,0,2,0,0,0,0,0,15.215,unknown
4,2,0,0,2,0,0,0,0,0,7.675,unknown
4,2,0,2,2,0,0,0,0,0,4.681,unknown
2,2,0,0,2,0,0,0,0,0,16.477,unknown
4,2,0,1,2,0,0,0,0,0,10.442,unknown
3,2,0,1,1,0,0,0,0,0,0.0,unknown
3,1,0,1,2,0,0,0,0,0,3.225,unknown
3,2,0,4,1,0,0,0,0,0,18.614,unknown
0,1,0,2,1,0,0,0,0,0,6.077999999999999,unknown
2,1,0,4,1,0,0,0,0,0,4.238,unknown
0,1,0,4,1,0,0,0,0,0,15.537,unknown
4,1,0,2,2,0,0,0,0,0,1.854,unknown
2,2,0,1,1,0,0,0,0,0,1.3219999999999998,unknown
