hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity_new,type
3,2,2,2,5,1,3,2,2,2,16.87658538,long
2,5,1,2,3,1,3,3,3,3,38.58542034,long
2,3,1,3,2,2,3,2,2,4,55.25347996,cut
3,2,2,3,2,2,2,2,2,3,20.46374221,netplay
3,2,2,2,3,1,3,2,3,2,29.65719791,lob
2,3,1,2,3,1,3,3,3,3,35.06100123,long
2,3,1,3,2,2,3,2,2,4,60.01556709,smash
3,2,2,2,2,2,2,2,2,3,19.72491974,netplay
2,2,2,2,1,2,2,2,2,2,15.35909956,netplay
2,1,2,3,1,2,3,1,3,2,5.995750265,netplay
3,1,2,3,3,1,3,1,3,1,13.62447522,lob
3,3,1,2,2,2,3,2,2,3,82.44998113,smash
2,2,2,3,1,2,2,3,2,3,18.10293019,netplay
3,1,2,2,3,1,2,1,2,3,20.78386848,lob
2,3,1,3,3,1,2,2,2,4,33.52943574,long
3,3,1,2,2,2,2,3,2,3,37.87885361,cut
2,2,2,2,1,2,2,2,2,2,21.18510782,netplay
3,2,2,3,3,1,2,2,3,3,15.98866601,long
3,3,1,3,2,2,3,2,3,4,40.73530017,smash
3,2,2,2,3,1,2,2,2,3,21.86008384,lob
2,3,1,3,2,1,2,2,2,3,43.87642201,drive
3,2,2,2,3,1,3,2,2,3,13.42938861,long
2,3,1,2,2,2,2,2,2,4,38.17599084,cut
2,2,2,3,3,1,3,2,3,3,27.78105058,lob
3,3,1,2,2,2,3,2,3,3,81.70610598,drive
2,2,2,2,1,2,3,2,3,3,27.77381861,netplay
3,2,2,3,3,1,2,2,3,3,13.9558797,long
3,3,1,2,2,2,3,4,2,5,36.76018027,cut
2,2,2,2,1,2,3,2,3,3,15.70359366,netplay
2,1,2,3,3,1,3,2,2,1,11.23540038,lob
3,3,1,3,2,2,2,2,2,3,78.50283369,smash
3,2,2,2,1,2,2,2,3,3,18.96732205,netplay
2,1,2,2,3,1,3,1,3,2,24.79904208,lob
2,3,1,3,3,1,2,2,2,4,14.08114373,drive
3,3,1,2,2,2,2,4,2,3,41.95159941,netplay
2,2,2,3,2,1,2,2,2,2,21.09097279,netplay
3,2,1,3,2,2,3,2,2,3,41.23297177,netplay
3,2,2,2,2,1,3,2,3,2,67.63267522,netplay
