hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,velocity_new,type
3,2,2,2,5,1,16.8765854,long
2,5,1,2,3,1,38.5854203,long
2,3,1,3,2,2,55.25348,cut
3,2,2,3,2,2,20.4637422,netplay
3,2,2,2,3,1,29.6571979,lob
2,3,1,2,3,1,35.0610012,long
2,3,1,3,2,2,60.0155671,smash
3,2,2,2,2,2,19.7249197,netplay
2,2,2,2,1,2,15.3590996,netplay
2,1,2,3,1,2,5.99575027,netplay
3,1,2,3,3,1,13.6244752,lob
3,3,1,2,2,2,82.4499811,smash
2,2,2,3,1,2,18.1029302,netplay
3,1,2,2,3,1,20.7838685,lob
2,3,1,3,3,1,33.5294357,long
3,3,1,2,2,2,37.8788536,cut
2,2,2,2,1,2,21.1851078,netplay
2,1,2,3,4,0,19.003725,lob
3,2,2,3,3,1,15.988666,long
3,3,1,3,2,2,40.7353002,smash
3,2,2,2,3,1,21.8600838,lob
2,3,1,3,2,1,43.876422,drive
3,2,1,3,5,0,36.8525543,cut
3,2,2,2,3,1,13.4293886,long
2,3,1,2,2,2,38.1759908,cut
2,2,2,3,3,1,27.7810506,lob
3,3,1,2,2,2,81.706106,drive
2,2,2,2,1,2,27.7738186,netplay
2,1,2,1,5,0,22.7872002,lob
3,2,2,3,3,1,13.9558797,long
3,3,1,2,2,2,36.7601803,cut
2,2,2,2,1,2,15.7035937,netplay
2,1,2,3,3,1,11.2354004,lob
3,3,1,3,2,2,78.5028337,smash
3,2,2,2,1,2,18.9673221,netplay
2,1,2,2,3,1,24.7990421,lob
2,3,1,3,3,1,14.0811437,drive
3,3,1,2,2,2,41.9515994,netplay
2,2,2,3,2,1,21.0909728,netplay
3,2,1,3,2,2,41.2329718,netplay
3,2,2,2,2,1,67.6326752,netplay
2,2,1,3,1,2,19.9098025,netplay
3,1,2,3,1,1,12.5266769,netplay
3,1,1,2,3,1,17.6032159,lob
2,3,1,3,2,2,59.3499975,cut
3,2,2,2,1,1,17.3036045,netplay
2,1,1,2,4,2,23.8319506,lob
