hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,type
3,2,2,2,4,1,2,2,3,2,14.514,long
3,4,1,3,2,2,3,3,3,4,37.612,cut
2,2,2,2,4,1,3,2,3,2,28.311,lob
3,4,1,3,4,1,3,3,3,3,41.164,long
2,4,1,2,4,1,3,4,3,2,41.783,long
3,4,1,2,1,2,3,3,3,3,32.437,cut
3,1,2,3,3,1,2,2,3,3,22.405,lob
2,3,1,3,4,1,2,2,2,3,40.403,long
2,4,1,2,1,2,3,4,2,2,30.758,cut
3,1,2,2,4,2,3,3,3,2,25.938,lob
3,2,2,3,3,1,3,3,3,2,43.374,lob
2,3,1,2,1,2,3,3,3,2,23.401,cut
3,1,2,3,4,1,3,2,3,2,25.457,lob
2,4,1,3,3,1,3,3,3,2,37.763,long
2,3,1,2,2,2,3,3,2,3,63.98,cut
3,2,2,2,1,2,2,3,2,3,20.054,netplay
3,1,2,2,1,2,2,3,3,2,11.077,netplay
3,1,2,3,3,2,2,2,3,2,19.28,lob
2,3,2,2,4,1,2,2,2,3,52.843,long
3,4,1,3,1,2,2,3,2,2,25.005,cut
2,1,2,2,4,1,2,3,2,2,13.489,lob
2,3,1,2,1,2,2,3,2,2,23.606,cut
3,1,2,2,3,1,2,2,2,2,20.346,lob
3,3,1,2,2,2,3,3,3,3,33.251,cut
3,2,2,3,3,1,2,2,3,2,31.015,lob
2,3,1,2,4,1,2,2,2,3,33.473,long
2,1,2,3,1,2,2,3,2,2,13.627,netplay
2,1,2,3,1,2,3,2,2,2,14.637,netplay
3,4,1,2,3,1,2,4,2,2,48.157,long
3,3,1,2,2,2,3,3,3,3,44.874,smash
3,2,2,3,1,2,2,3,3,3,21.415,netplay
2,1,2,3,4,1,2,2,2,2,26.032,lob
2,4,1,2,3,1,3,4,2,2,28.973,long
3,3,1,1,5,2,3,3,3,3,35.647,long
2,4,1,2,4,1,3,3,2,3,31.84,long
3,4,1,3,1,2,2,4,2,2,28.01,cut
2,1,2,2,1,2,2,4,2,2,4.937,netplay
3,1,2,3,4,1,2,2,2,2,17.186,lob
2,4,1,2,4,1,2,2,2,2,33.831,long
2,1,2,5,4,2,2,3,2,2,16.93,lob
2,3,1,2,5,2,2,3,2,2,26.502,long
3,2,2,3,4,1,3,2,2,2,14.183,long
2,4,1,4,2,2,2,3,2,3,38.559,cut
