set,rally,frame_num,time,hit_area,hit_x,hit_y,landing_area,landing_x,landing_y,lose_reason,getpoint_player,type,hitting
1,1,5,00:00:00.16682405605293887,B2,390,756,D2,399.0,741.0,,,,B
1,1,17,00:00:00.5672017905799922,D2,399,741,D2,393.0,753.0,,,,A
1,1,27,00:00:00.90084990268587,D2,393,753,D2,396.0,723.0,,,,B
1,1,43,00:00:01.4346868820552745,D2,396,723,D2,396.0,726.0,,,,A
1,1,57,00:00:01.9017942390035032,D2,396,726,D2,399.0,744.0,,,,B
1,1,72,00:00:02.40226640716232,D2,399,744,D2,399.0,741.0,,,,A
1,1,83,00:00:02.7692793304787857,D2,399,741,D2,399.0,738.0,,,,B
1,1,96,00:00:03.2030218762164266,D2,399,738,D2,405.0,753.0,,,,A
1,1,108,00:00:03.60339961074348,D2,405,753,D2,393.0,726.0,,,,B
1,1,122,00:00:04.070506967691709,D2,393,726,D2,399.0,747.0,,,,A
1,1,159,00:00:05.305004982483457,D2,399,747,D2,405.0,750.0,出界,A,,B
1,2,181,00:00:06.0390308291163874,D2,405,750,D2,405.0,750.0,,,,A
1,2,192,00:00:06.406043752432853,D2,405,750,D2,405.0,750.0,,,,B
1,2,212,00:00:07.0733399766446095,D2,405,750,D2,405.0,750.0,,,,A
1,2,223,00:00:07.440352899961074,D2,405,750,A2,249.0,669.0,,,,B
1,2,254,00:00:08.474662047489295,A2,249,669,A2,174.0,786.0,,,,A
1,2,264,00:00:08.808310159595173,A2,174,786,D2,405.0,750.0,,,,B
1,2,307,00:00:10.242997041650447,D2,405,750,D2,405.0,750.0,,,,A
1,2,317,00:00:10.576645153756326,D2,405,750,D2,402.0,750.0,,,,B
1,2,329,00:00:10.977022888283377,D2,402,750,D2,402.0,738.0,,,,A
1,2,347,00:00:11.577589490073958,D2,402,738,D2,396.0,741.0,,,,B
1,2,361,00:00:12.044696847022188,D2,396,741,D2,393.0,759.0,,,,A
1,2,373,00:00:12.44507458154924,D2,393,759,D2,393.0,759.0,,,,B
1,2,392,00:00:13.079005994550409,D2,393,759,A2,291.0,693.0,出界,A,,A
1,3,403,00:00:13.446018917866873,A2,291,693,D2,399.0,738.0,,,,A
1,3,415,00:00:13.846396652393928,D2,399,738,A2,291.0,693.0,,,,B
1,3,435,00:00:14.513692876605683,A2,291,693,A2,285.0,801.0,,,,A
1,3,454,00:00:15.147624289606851,A2,285,801,D2,399.0,747.0,,,,B
1,3,467,00:00:15.581366835344491,D2,399,747,D2,393.0,717.0,,,,A
1,3,477,00:00:15.91501494745037,D2,393,717,D2,393.0,714.0,,,,B
1,3,487,00:00:16.248663059556247,D2,393,714,D2,396.0,762.0,,,,A
1,3,498,00:00:16.615675982872713,D2,396,762,D2,399.0,759.0,,,,B
1,3,508,00:00:16.94932409497859,D2,399,759,D2,399.0,747.0,,,,A
1,3,518,00:00:17.28297220708447,D2,399,747,D2,396.0,756.0,,,,B
1,3,529,00:00:17.649985130400935,D2,396,756,D2,399.0,759.0,,,,A
1,3,555,00:00:18.517470221876216,D2,399,759,D2,399.0,738.0,,,,B
1,3,569,00:00:18.984577578824446,D2,399,738,A2,300.0,798.0,,,,A
1,3,581,00:00:19.3849553133515,A2,300,798,D2,405.0,756.0,,,,B
1,3,591,00:00:19.718603425457374,D2,405,756,D2,399.0,753.0,出界,B,,A
1,4,640,00:00:21.353479174776176,D2,399,753,D2,396.0,732.0,,,,B
1,4,666,00:00:22.22096426625146,D2,396,732,D2,396.0,732.0,,,,A
1,4,679,00:00:22.6547068119891,D2,396,732,D2,402.0,750.0,,,,B
1,4,691,00:00:23.055084546516156,D2,402,750,D2,396.0,756.0,,,,A
1,4,713,00:00:23.789110393149087,D2,396,756,D2,399.0,741.0,,,,B
1,4,728,00:00:24.289582561307903,D2,399,741,D2,399.0,750.0,出界,A,,A
1,5,788,00:00:26.291471233943167,D2,399,750,D2,408.0,741.0,,,,A
1,5,821,00:00:27.392510003892568,D2,408,741,D2,399.0,750.0,,,,B
1,5,848,00:00:28.293359906578438,D2,399,750,D2,399.0,750.0,,,,A
1,5,869,00:00:28.994020942000777,D2,399,750,D2,402.0,744.0,,,,B
1,5,880,00:00:29.361033865317243,D2,402,744,D2,399.0,756.0,,,,A
1,5,891,00:00:29.72804678863371,D2,399,756,D2,393.0,735.0,,,,B
1,5,901,00:00:30.06169490073959,D2,393,735,D2,393.0,741.0,,,,A
1,5,914,00:00:30.49543744647723,D2,393,741,D2,393.0,711.0,,,,B
1,5,930,00:00:31.029274425846634,D2,393,711,D2,393.0,711.0,,,,A
1,5,940,00:00:31.362922537952514,D2,393,711,D2,399.0,714.0,,,,B
1,5,961,00:00:32.063583573374856,D2,399,714,D2,393.0,714.0,,,,A
