rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height
1,1,00:05:59.800,8996,B,1,發長球,,,B2,167,283,2,,,0,0,,B4,315,886,1
1,2,00:06:02.000,9051,A,,切球,,,B4,315,886,1,,,0,0,,A2,380,231,2
1,3,00:06:02.900,9072,B,,挑球,,1,A2,380,231,2,,,0,0,,B4,352,891,1
1,4,00:06:04.100,9103,A,,長球,,,B4,352,891,1,,,0,0,,A4,324,11,1
1,5,00:06:05.200,9131,B,,長球,1,,A4,324,11,1,,,0,0,,B4,359,904,1
1,6,00:06:06.300,9158,A,,切球,,,B4,359,904,1,,,0,0,,B1,116,391,2
1,7,00:06:07.200,9181,B,,挑球,,,B1,116,391,2,,,0,0,,A3,82,869,1
1,8,00:06:08.300,9207,A,,長球,,1,A3,82,869,1,,,0,0,,A4,285,29,1
1,9,00:06:09.400,9235,B,,切球,1,,A4,285,29,1,,,0,0,,B1,322,566,2
1,10,00:06:10.300,9257,A,,挑球,,,B1,322,566,2,,,0,0,,B4,63,19,2
1,11,00:06:11.500,9287,B,,未擊球,,,B4,63,19,2,落地,對方失誤,1,0,A,,,,
2,1,00:06:26.200,9654,A,1,發長球,,,B2,261,647,2,,,1,0,,A4,306,32,1
2,2,00:06:28.300,9708,B,,切球,1,,A4,306,32,1,,,1,0,,B2,357,674,2
2,3,00:06:29.000,9724,A,,挑球,,,B2,357,674,2,,,1,0,,A3,362,168,1
2,4,00:06:29.600,9739,B,,切球,1,,A3,362,168,1,,,1,0,,B1,365,532,2
2,5,00:06:30.400,9761,A,,挑球,,,B1,365,532,2,,,1,0,,A4,363,37,1
2,6,00:06:31.400,9786,B,,長球,1,,A4,363,37,1,,,1,0,,A3,70,868,1
2,7,00:06:32.600,9814,A,,切球,1,,A3,70,868,1,,,1,0,,B2,76,246,2
2,8,00:06:33.100,9827,B,,擋小球,,,B2,76,246,2,,,1,0,,B1,331,541,2
2,9,00:06:34.100,9852,A,,放小球,,,B1,331,541,2,,,1,0,,B1,131,414,2
2,10,00:06:35.200,9881,B,,挑球,,,B1,131,414,2,,,1,0,,A3,90,862,2
2,11,00:06:36.400,9910,A,,長球,,1,A3,90,862,2,,,1,0,,B4,92,40,1
2,12,00:06:37.200,9931,B,,切球,,,B4,92,40,1,,,1,0,,A1,78,526,2
2,13,00:06:38.200,9956,A,,挑球,,1,A1,78,526,2,,,1,0,,B4,96,28,1
2,14,00:06:40.100,10003,B,,長球,,,B4,96,28,1,,,1,0,,A3,85,828,1
2,15,00:06:41.000,10024,A,,切球,1,,A3,85,828,1,,,1,0,,B1,88,369,2
2,16,00:06:42.000,10049,B,,挑球,,,B1,88,369,2,,,1,0,,B3,322,871,1
2,17,00:06:43.400,10084,A,,切球,,,B3,322,871,1,,,1,0,,B2,69,276,2
2,18,00:06:44.400,10109,B,,挑球,,,B2,69,276,2,,,1,0,,A3,78,879,1
2,19,00:06:45.400,10135,A,,長球,1,,A3,78,879,1,,,1,0,,B4,64,33,1
2,20,00:06:46.700,10167,B,,切球,,,B4,64,33,1,,,1,0,,A1,85,537,2
2,21,00:06:47.600,10191,A,,放小球,,1,A1,85,537,2,,,1,0,,A1,317,409,2
2,22,00:06:48.600,10215,B,,放小球,,1,A1,317,409,2,,,1,0,,A1,335,463,2
2,23,00:06:48.800,10220,B,,掛網球,,,A1,335,463,2,未回擊成功,對方失誤,2,0,A,,,,
3,1,00:07:05.600,10640,A,1,發長球,,,B2,283,678,2,,,2,0,,B4,170,23,1
3,2,00:07:07.800,10696,B,,長球,,,B4,170,23,1,,,2,0,,B3,342,848,1
3,3,00:07:08.700,10717,A,,殺球,,,B3,342,848,1,,,2,0,,B2,80,201,2
3,4,00:07:09.500,10737,B,,擋小球,,,B2,80,201,2,,,2,0,,A1,89,534,2
3,5,00:07:10.300,10757,A,,挑球,,1,A1,89,534,2,,,2,0,,A4,340,37,1
