hit_direct,hit_distance,hit_height,landing_direct,landing_distance,landing_height,x_direct,x_distance,y_direct,y_distance,velocity,ball_type
3,2,2,1,4,1,0,0,0,0,14.514000000000001,long
3,4,1,2,2,2,0,0,0,0,37.611999999999995,cut
2,2,2,1,4,1,0,0,0,0,28.311,lob
3,4,1,2,4,1,0,0,0,0,41.163999999999994,long
2,4,1,1,4,1,0,0,0,0,41.783,long
3,4,1,1,1,2,0,0,0,0,32.437,cut
3,1,2,2,3,1,0,0,0,0,22.405,lob
2,3,1,2,4,1,0,0,0,0,40.403,long
2,4,1,1,1,2,0,0,0,0,30.758000000000003,cut
3,1,2,1,4,2,0,0,0,0,25.938000000000002,lob
3,2,2,2,4,1,0,0,0,0,0.0,long
2,4,1,1,2,2,0,0,0,0,15.100999999999999,cut
3,2,2,2,3,1,0,0,0,0,47.316,lob
2,3,1,1,1,2,0,0,0,0,43.373999999999995,cut
3,1,2,2,4,1,0,0,0,0,23.401,lob
2,4,1,2,3,1,0,0,0,0,25.456999999999997,long
2,3,1,1,2,2,0,0,0,0,37.763000000000005,cut
3,2,2,1,1,2,0,0,0,0,63.98,netplay
3,1,2,1,1,2,0,0,0,0,20.054000000000002,netplay
3,1,2,2,3,2,0,0,0,0,11.077,lob
2,3,2,1,4,1,0,0,0,0,19.28,long
3,4,1,2,1,2,0,0,0,0,52.843,cut
2,1,2,1,4,1,0,0,0,0,25.005,lob
3,4,1,2,3,1,0,0,0,0,13.489,long
2,3,1,1,1,2,0,0,0,0,45.718999999999994,cut
3,1,2,1,3,1,0,0,0,0,23.605999999999998,lob
3,3,1,1,2,2,0,0,0,0,20.346,cut
3,2,2,2,3,1,0,0,0,0,33.251,lob
2,3,1,1,4,1,0,0,0,0,31.015,long
3,4,1,2,1,2,0,0,0,0,33.473,cut
2,1,2,2,1,2,0,0,0,0,28.825,netplay
2,1,2,2,1,2,0,0,0,0,13.627,netplay
3,2,2,1,4,1,0,0,0,0,14.637,long
3,4,1,1,3,1,0,0,0,0,0.0,long
3,3,1,1,2,2,0,0,0,0,15.538,smash
3,2,2,2,1,2,0,0,0,0,48.157,netplay
2,1,2,2,4,1,0,0,0,0,44.873999999999995,lob
2,4,1,1,3,1,0,0,0,0,21.415,long
3,3,1,0,5,2,0,0,0,0,26.031999999999996,long
3,2,2,2,4,1,0,0,0,0,28.973000000000003,long
2,4,1,1,4,1,0,0,0,0,35.647,long
3,4,1,2,1,2,0,0,0,0,0.0,cut
2,1,2,1,1,2,0,0,0,0,15.048,netplay
3,1,2,2,4,1,0,0,0,0,31.84,lob
2,4,1,1,4,1,0,0,0,0,28.01,long
3,4,1,2,1,2,0,0,0,0,4.937,cut
2,1,2,4,4,2,0,0,0,0,17.186,lob
3,2,2,1,4,1,0,0,0,0,33.830999999999996,long
3,4,1,1,3,2,0,0,0,0,27.144000000000002,smash
3,3,2,2,3,1,0,0,0,0,16.93,lob
2,3,1,1,5,2,0,0,0,0,0.0,long
3,2,2,2,4,1,0,0,0,0,14.68,long
2,4,1,3,2,2,0,0,0,0,48.161,cut
3,2,2,1,4,1,0,0,0,0,38.251,long
