velocity,x_left_direct,x_left_distance,x_right_direct,x_right_distance,y_left_direct,y_left_distance,y_right_direct,y_right_distance,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,type
14.514,2,2,2,2,3,2,3,2,0,-1,16,23,8,31,8,46,8,62,23,15,39,15,39,7,23,62,16,86,8,109,31,62,31,86,23,117,23,39,long
37.612,3,3,3,3,3,4,3,3,17,58,23,75,45,74,60,56,70,29,15,88,32,97,52,82,50,144,52,179,47,222,30,140,26,170,18,207,39,119,cut
28.311,3,2,3,2,3,2,3,2,76,7,60,23,60,23,76,39,84,47,52,23,52,31,76,39,44,55,68,71,76,95,36,55,28,71,4,79,52,39,lob
41.164,3,3,3,3,3,3,3,3,28,27,36,51,52,51,76,35,92,11,20,51,12,51,20,27,52,99,68,139,68,187,28,99,28,139,20,179,36,75,long
41.783,3,4,3,4,3,3,3,2,51,17,41,27,32,18,27,9,31,-2,45,38,54,31,52,23,16,66,11,94,12,120,34,71,39,96,51,119,29,52,long
32.437,3,3,3,3,3,3,3,3,23,-6,23,26,39,34,62,34,69,26,15,26,23,10,31,10,39,82,62,114,69,154,23,82,23,106,8,138,31,58,cut
22.405,2,2,2,2,3,3,3,3,43,-1,51,14,43,22,35,30,20,37,66,14,74,22,82,30,43,53,35,76,28,99,59,53,74,68,82,84,51,37,lob
40.403,2,2,2,2,2,3,2,3,73,1,73,33,65,25,49,17,41,9,81,41,89,57,97,81,73,89,81,129,105,161,57,89,33,121,17,161,65,57,long
30.758,3,3,3,4,2,2,2,2,51,41,37,52,25,48,20,37,19,20,50,63,45,76,46,59,12,92,10,119,11,146,31,97,41,117,52,130,27,75,cut
25.938,3,3,3,3,3,2,3,2,53,-6,53,18,61,26,69,34,69,34,38,18,30,34,6,42,53,65,69,89,77,113,38,65,30,105,30,136,46,49,lob
43.374,3,3,3,3,3,3,3,2,100,-8,100,15,107,23,115,39,131,39,84,15,69,23,45,31,92,54,123,85,139,116,76,54,45,85,22,108,92,39,lob
23.401,3,3,3,3,3,2,3,2,81,26,66,33,63,23,64,7,77,-3,66,50,49,58,47,48,27,59,17,82,13,115,42,69,39,96,43,127,42,46,cut
25.457,3,2,3,2,3,2,3,2,83,-7,75,25,83,25,99,32,115,40,60,25,36,25,12,25,75,64,91,79,91,103,52,64,36,95,20,119,68,48,lob
37.763,3,3,3,4,3,2,3,2,74,20,60,27,51,15,50,1,63,-6,61,40,56,50,44,40,23,56,12,80,13,107,40,61,41,83,64,96,38,42,long
63.98,3,3,3,3,2,2,2,3,25,51,48,59,48,67,32,59,25,35,56,51,56,35,40,3,71,91,48,131,17,155,86,91,110,131,110,179,63,75,cut
20.054,2,3,2,3,2,3,2,3,29,-9,37,15,21,23,13,39,5,55,53,15,69,15,77,23,37,55,29,70,13,94,53,47,61,70,69,94,45,31,netplay
11.077,2,3,2,3,3,2,3,2,110,9,94,33,102,41,118,57,142,73,86,25,78,17,55,9,71,73,94,73,110,97,55,65,31,89,15,113,78,49,netplay
