velocity,x_direct,x_distance,y_direct,y_distance,d12,d23,d34,d45,d26,d67,d78,d215,d159,d910,d1011,d1512,d1213,d1314,type
14.514,2,2,3,2,28.844,11.314,15,16,10.63,16,8,17.464,23,25,24.352,24.352,24,32.016,long
37.612,3,3,3,4,18.028,22.023,23.431,28.792,15.264,19.235,25,46.819,27.313,35.057,43.29,22.847,30.265,37.855,cut
28.311,3,2,3,2,22.627,0,22.627,11.314,8,8,25.298,17.889,17.889,28.844,25.298,22.627,17.889,25.298,lob
41.164,3,3,3,3,25.298,16,28.844,28.844,16,8,25.298,24,28.844,43.081,48,25.298,40,40.792,long
41.783,3,4,3,2,14.142,12.728,10.296,11.705,11.705,11.402,8.246,27.731,19.105,28.443,26.019,19.647,25.495,25.942,long
32.437,3,3,3,3,32,17.889,23,10.63,8,17.889,8,32.985,25.298,39.408,40.608,25.298,24,35.341,cut
22.405,2,2,3,3,17,11.314,11.314,16.553,15,11.314,11.314,23,17.889,24.352,24.042,17.889,21.213,17.889,lob
40.403,2,2,2,3,32,11.314,17.889,11.314,11.314,17.889,25.298,25.298,32.985,40.792,40,32.985,40,43.081,long
30.758,3,4,2,2,17.804,12.649,12.083,17.029,17.029,13.928,17.029,25.08,22.672,27.074,27.019,22.361,22.361,17.029,cut
25.938,3,3,3,2,24,11.314,11.314,0,15,17.889,25.298,31.78,17.464,28.844,25.298,17.889,40.792,31,lob
43.374,3,3,3,2,23,10.63,17.889,16,16,17,25.298,25.298,15,43.841,34.886,21.932,43.841,32.527,lob
23.401,3,3,3,2,16.553,10.44,16.031,16.401,17,18.788,10.198,27.295,19.849,25.08,33.242,23,27.166,31.257,cut
25.457,3,2,3,2,32.985,8,17.464,17.889,15,24,24,24.042,17.464,21.932,24,22.627,34.886,28.844,lob
37.763,3,3,3,2,15.652,15,14.036,14.765,13.038,11.18,15.62,26.627,20.518,26.401,27.019,19.105,22.023,26.42,long
63.98,3,3,2,3,24.352,8,17.889,25,11.314,16,35.777,21.932,17.889,46.141,39.205,28.018,46.648,48,cut
20.054,2,3,2,3,25.298,17.889,17.889,17.889,16,16,11.314,17.889,25.298,17,28.844,17.889,24.352,25.298,netplay
11.077,2,3,3,2,28.844,11.314,22.627,28.844,11.314,11.314,24.352,22.627,25,23,28.844,28.018,33.941,28.844,netplay
19.28,2,2,3,2,13.342,12.207,12.042,10.44,18.028,13.601,11.402,28.443,18.439,21.213,29.547,17.464,26.683,8.062,lob
52.843,2,2,2,3,32.016,16,24.352,25.298,15,21.932,21.932,24.042,23,39.205,32.016,28.018,39.812,31,long
25.005,2,3,2,2,24.042,11.314,24.042,11.314,15,11.314,8,16,17,24.352,24.352,16.553,32.016,24.352,cut
13.489,2,3,2,2,18.974,14.036,18.358,11.662,8.246,8.246,7,33.941,25.495,24.083,33.838,22.561,28.178,31.113,lob
23.606,2,3,2,2,20.591,18.028,27.731,15.811,9.434,13.601,15.811,37.443,22.204,37.947,37.121,19.925,33.136,39.357,cut
20.346,2,2,2,2,16.031,9.434,18.111,18.358,21.587,14.318,12.207,21.19,18.788,15,29.155,18.358,16.763,7.28,lob
33.251,3,3,3,3,24.352,11.314,23,34.886,17.889,24.042,9.899,31,24,43.841,39,28.844,31,34.886,cut
