velocity,x_direct,x_distance,y_direct,y_distance,x12,y12,x23,y23,x34,y34,x45,y45,x26,y26,x67,y67,x78,y78,x215,y215,x159,y159,x910,y910,x1011,y1011,x1512,y1512,x1213,y1213,x1314,y1314,type
14.514,2,2,3,2,16,24,-8,8,0,15,0,16,7,-8,16,0,0,-8,7,16,0,23,-7,24,-8,23,8,23,0,24,-8,31,long
37.612,3,3,3,4,6,17,22,-1,15,-18,10,-27,-8,13,17,9,20,-15,16,44,11,25,2,35,-5,43,-9,21,-4,30,-8,37,cut
28.311,3,2,3,2,-16,16,0,0,16,16,8,8,-8,0,0,8,24,8,-8,16,-8,16,24,16,8,24,-16,16,-8,16,-24,8,lob
41.164,3,3,3,3,8,24,16,0,24,-16,16,-24,-16,0,-8,0,8,-24,0,24,16,24,16,40,0,48,-8,24,0,40,-8,40,long
41.783,3,4,3,2,-10,10,-9,-9,-5,-9,4,-11,4,11,9,-7,-2,-8,-12,25,-13,14,-5,28,1,26,5,19,5,25,12,23,long
32.437,3,3,3,3,0,32,16,8,23,0,7,-8,-8,0,8,-16,8,0,8,32,8,24,23,32,7,40,-8,24,0,24,-15,32,cut
22.405,2,2,3,3,8,15,-8,8,-8,8,-15,7,15,0,8,8,8,8,0,23,-8,16,-8,23,-7,23,8,16,15,15,8,16,lob
40.403,2,2,2,3,0,32,-8,-8,-16,-8,-8,-8,8,8,8,16,8,24,-8,24,8,32,8,40,24,32,-8,32,-24,32,-16,40,long
30.758,3,4,2,2,-14,11,-12,-4,-5,-11,-1,-17,13,11,-5,13,1,-17,-10,23,-15,17,-2,27,1,27,4,22,10,20,11,13,cut
25.938,3,3,3,2,0,24,8,8,8,8,0,0,-15,0,-8,16,-24,8,-7,31,7,16,16,24,8,24,-8,16,-8,40,0,31,lob
43.374,3,3,3,2,0,23,7,8,8,16,16,0,-16,0,-15,8,-24,8,-8,24,0,15,31,31,16,31,-16,15,-31,31,-23,23,lob
23.401,3,3,3,2,-15,7,-3,-10,1,-16,13,-10,0,17,-17,8,-2,-10,-24,13,-15,13,-10,23,-4,33,0,23,-3,27,4,31,cut
25.457,3,2,3,2,-8,32,8,0,16,7,16,8,-15,0,-24,0,-24,0,-7,23,7,16,16,15,0,24,-16,16,-16,31,-16,24,lob
37.763,3,3,3,2,-14,7,-9,-12,-1,-14,13,-7,1,13,-5,10,-12,-10,-22,15,-15,14,-11,24,1,27,2,19,1,22,23,13,long
63.98,3,3,2,3,23,8,0,8,-16,-8,-7,-24,8,-8,0,-16,-16,-32,15,16,8,16,-23,40,-31,24,23,16,24,40,0,48,cut
20.054,2,3,2,3,8,24,-16,8,-8,16,-8,16,16,0,16,0,8,8,8,16,-8,24,-8,15,-16,24,8,16,8,23,8,24,netplay
11.077,2,3,3,2,-16,24,8,8,16,16,24,16,-8,-8,-8,-8,-23,-8,-16,16,-7,24,23,0,16,24,-23,16,-24,24,-16,24,netplay
19.28,2,2,3,2,3,13,-7,10,1,12,-3,10,18,1,11,8,11,3,5,28,-12,14,-3,21,-12,27,7,16,6,26,-8,1,lob
52.843,2,2,2,3,8,31,-16,0,-23,-8,-24,8,15,0,16,15,15,16,7,23,0,23,-31,24,-8,31,16,23,8,39,31,0,long
25.005,2,3,2,2,-7,23,-8,-8,-23,-7,-8,-8,15,0,8,8,-8,0,0,16,-8,15,-8,23,-8,23,7,15,8,31,8,23,cut
13.489,2,3,2,2,6,18,14,-1,-16,9,-10,6,-2,8,8,-2,7,0,24,24,17,19,-24,2,-19,28,5,22,13,25,22,22,lob
23.606,2,3,2,2,18,10,17,-6,12,-25,-9,-13,5,8,13,-4,9,-13,31,21,13,18,12,36,-3,37,-6,19,-3,33,-18,35,cut
20.346,2,2,2,2,1,16,-8,5,-2,18,-9,16,21,-5,6,13,7,10,7,20,-8,17,-9,12,-11,27,9,16,5,16,2,7,lob
33.251,3,3,3,3,8,23,8,8,23,0,31,-16,-16,8,-7,23,7,-7,0,31,0,24,31,31,0,39,-16,24,0,31,-31,16,cut
31.015,2,2,3,2,4,10,-8,5,-7,14,-18,12,17,-5,16,-1,16,7,11,16,-9,10,-15,12,-7,22,14,12,16,15,13,4,lob
33.473,2,2,2,3,16,9,14,-9,4,-23,-6,-16,3,18,-11,-13,-11,-17,30,27,24,27,3,34,-2,37,-5,24,-9,31,-24,25,long
13.627,2,3,2,2,8,23,0,7,7,39,-7,15,7,7,16,16,-16,-8,15,15,8,16,8,30,-39,0,16,16,0,30,23,24,netplay
14.637,3,2,2,2,-5,13,-5,15,5,15,5,19,-4,6,12,3,13,5,-9,33,1,17,11,14,10,28,-6,16,-6,15,-13,12,netplay
