frame,top_right_x,top_right_y,top_left_x,top_left_y,bot_right_x,bot_right_y,bot_left_x,bot_left_y
7499,302,56,263,49,302,56,313,895
7500,299,84,258,104,299,84,312,895
7501,292,145,262,131,292,145,314,865
7502,276,77,260,111,276,77,314,869
7503,257,77,257,125,257,77,314,887
7504,256,42,244,70,256,42,315,887
7505,246,7,246,7,246,7,309,882
7506,235,63,261,84,235,63,314,882
7507,262,77,225,70,262,77,316,916
7508,219,70,258,91,219,70,309,895
7509,255,111,219,91,255,111,314,882
7510,212,63,255,118,212,63,307,899
7511,256,131,205,84,256,131,308,895
7512,205,77,250,35,205,77,306,899
7513,207,35,236,35,207,35,312,895
7514,209,35,229,-21,209,35,305,899
7515,240,56,217,84,240,56,306,874
7516,215,77,219,0,215,77,304,895
7517,210,14,220,14,210,14,306,874
7518,206,-43,197,14,206,-43,306,874
7519,206,14,186,14,206,14,304,878
7520,205,77,183,21,205,77,303,899
7521,181,21,215,14,181,21,303,903
7522,208,28,177,-28,208,28,303,920
7523,213,21,170,-36,213,21,303,924
7524,214,63,171,7,214,63,303,924
7525,212,63,180,7,212,63,302,928
7526,209,63,178,7,209,63,302,924
7527,205,14,174,-43,205,14,299,924
7528,206,7,177,7,206,7,299,932
7529,196,14,177,14,196,14,299,928
7530,194,-7,174,-7,194,-7,304,928
7531,194,-7,174,-7,194,-7,303,924
7532,173,-14,194,-14,173,-14,300,928
7533,191,-14,171,-14,191,-14,299,924
7534,191,-14,181,-14,191,-14,299,924
7535,193,-7,172,-7,193,-7,298,948
7536,202,14,176,-14,202,14,298,944
7537,205,28,174,-7,205,28,305,948
7538,193,-7,172,-7,193,-7,303,948
7539,204,-7,174,-7,204,-7,302,948
7540,205,-50,173,-50,205,-50,302,924
7541,206,-58,174,-58,206,-58,301,928
7542,206,-7,175,-7,206,-7,300,928
7543,198,-14,177,-14,198,-14,300,928
7544,199,-28,178,-28,199,-28,301,928
7545,197,-36,176,-36,197,-36,300,928
7546,199,-28,168,-28,199,-28,300,932
7547,200,-36,170,-36,200,-36,301,972
7548,198,-95,168,-95,198,-95,302,940
7549,200,-43,177,-103,200,-43,302,940
7550,199,-58,180,-58,199,-58,302,940
7551,207,7,180,-21,207,7,301,940
7552,203,-58,184,-58,203,-58,302,940
7553,203,-50,184,-50,203,-50,304,936
7554,204,-58,184,-58,204,-58,298,961
7555,210,-36,196,-80,210,-36,300,956
7556,209,-28,200,-88,209,-28,296,956
7557,201,-50,201,-50,201,-50,298,936
7558,206,-43,206,-43,206,-43,301,965
7559,204,-21,214,-73,204,-21,301,961
7560,205,-36,217,-88,205,-36,302,965
7561,213,-95,202,-95,213,-95,299,969
7562,213,-95,202,-95,213,-95,299,965
7563,213,-95,202,-95,213,-95,300,940
7564,213,-95,202,-95,213,-95,300,940
7565,225,-149,206,-95,225,-149,299,969
7566,223,-80,204,-80,223,-80,300,969
7567,240,-88,209,-73,240,-88,301,965
7568,236,-141,206,-80,236,-141,303,1004
7569,254,-80,211,-65,254,-80,303,1008
7570,262,-43,210,-28,262,-43,305,1016
7571,259,-73,209,-80,259,-73,312,1016
7572,261,-73,215,-95,261,-73,312,984
7573,267,-43,212,-103,267,-43,312,988
7574,262,-58,215,-65,262,-58,315,1019
7575,257,-149,226,-149,257,-149,315,1004
7576,260,-88,234,-95,260,-88,314,1023
7577,253,-141,232,-141,253,-141,314,1023
7578,254,-133,244,-133,254,-133,317,1027
