rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height
1,1,00:51:24.800,77120,B,1,發長球,,,B2,171,230,2,,,0,0,,B4,265,927,1
1,2,00:51:26.800,77170,A,,長球,,,B4,265,927,1,,,0,0,,A4,335,53,1
1,3,00:51:27.800,77195,B,,殺球,1,,A4,335,53,1,,,0,0,,B3,382,757,2
1,4,00:51:28.320,77208,A,,擋小球,,,B3,382,757,2,,,0,0,,A2,337,327,1
1,5,00:51:29.080,77227,B,,撲球,1,,A2,337,327,1,,,0,0,,A3,81,847,2
1,6,00:51:29.720,77243,A,,未擊球,,,A3,81,847,2,落地,撲球得分,0,1,B,,,,
2,1,00:51:44.680,77617,B,1,發長球,,,B2,206,258,2,,,0,1,,A4,73,926,1
2,2,00:51:46.720,77668,A,,切球,1,,A4,73,926,1,,,0,1,,A2,345,310,2
2,3,00:51:47.640,77691,B,,挑球,,1,A2,345,310,2,,,0,1,,B3,276,847,1
2,4,00:51:48.760,77719,A,,殺球,,,B3,276,847,1,,,0,1,,A3,346,153,2
2,5,00:51:49.200,77730,B,,擋小球,,1,A3,346,153,2,,,0,1,,F2,451,679,2
2,6,00:51:50.520,77763,B,,未過網,,,F2,451,679,2,未回擊成功,殺球得分,1,1,A,,,,
3,1,00:52:05.360,78134,A,1,發長球,,,B2,222,688,2,,,1,1,,B2,222,688,1
3,2,00:52:07.520,78188,B,,切球,1,,A4,257,33,1,,,1,1,,A1,88,602,2
3,3,00:52:08.320,78208,A,,挑球,,1,A1,88,602,2,,,1,1,,D4,31,40,2
3,4,00:52:09.680,78242,B,,未擊球,,,D4,31,40,2,落地,對方失誤,2,1,A,,,,
4,1,00:52:24.960,78624,A,1,發長球,,,B2,226,693,2,,,2,1,,B4,80,6,1
4,2,00:52:27.160,78679,B,,長球,,,B4,80,6,1,,,2,1,,B3,335,864,1
