unique_id,rally,ball_round,time,frame_num,player,server,type,around_head,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
2018-Indonesia_open-finals-1-1,1,1,00:00:00.300000,10,B,1,發長球,,,A2,225,658,2.0,,,0,1,,A4,344.0,10.0,1.0,2000.0,420,-310,303,795,521.0,-707.0,535.0,-551.0,30.0,20.0,60.0,70.0,24.25,77.0,80.72832526443243,18.5,61.75000000000001,64.46171344294224,0.03025906659352055,1111.1768536106213,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,2,00:00:02.400000,71,A,,長球,,,C3,344,10,1.0,,,0,1,,A3,122.0,870.0,1.0,1000.0,521,-707,535,-551,323.0,-618.0,229.0,1042.0,70.0,70.0,30.0,10.0,75.75,123.24999999999999,144.6672907052593,79.25,162.25,180.570277177613,0.32486189373332175,156.62694531912445,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,1,3,00:00:03.500000,106,B,,切球,,,A2,122,870,1.0,,,0,1,,B2,162.0,237.0,2.0,1000.0,323,-618,229,1042,218.0,-1200.0,218.0,-1200.0,10.0,80.0,50.0,20.0,10.25,77.0,77.67922824024451,38.75,99.5,106.7792699918856,0.05391892061234164,1662.6593156747415,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,4,00:00:04.100000,122,A,,擋小球,,,A2,162,237,2.0,,,0,1,,B2,341.0,612.0,2.0,1000.0,218,-1200,218,-1200,364.0,-310.0,384.0,644.0,80.0,10.0,90.0,50.0,59.49999999999999,97.75,114.43475215160821,59.75,101.25,117.56540732715554,0.2319947467077649,0.0,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,1,5,00:00:05.100000,154,B,,挑球,,,B1,341,612,2.0,,,0,1,,A3,330.0,56.0,1.0,1000.0,364,-310,384,644,456.0,-809.0,457.0,-795.0,10.0,20.0,0.0,70.0,4.75,74.5,74.65127259464504,15.0,21.75,26.420872430712805,0.05632605968821181,954.209620576108,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,6,00:00:06,180,A,,長球,,1.0,C3,330,56,1.0,,,0,1,,A3,197.0,866.0,1.0,1000.0,456,-809,457,-795,345.0,-608.0,324.0,731.0,10.0,20.0,20.0,50.0,52.24999999999999,25.5,58.14045493458062,52.0,58.75,78.45739289576223,0.2680755490528743,14.035668847618199,"[0, 0, 0, 1]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,1,7,00:00:07.100000,213,B,,殺球,,,A2,197,866,1.0,,,0,1,,B2,98.0,213.0,2.0,0.0,345,-608,324,731,247.0,-707.0,249.0,-560.0,40.0,20.0,0.0,10.0,6.5,68.0,68.30995535059293,35.0,10.25,36.47002193583108,0.17714753738056874,1339.164665005764,"[0, 0, 1, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,8,00:00:07.600000,229,A,,擋小球,,,B2,98,213,2.0,,,0,1,,A1,81.0,607.0,2.0,1000.0,247,-707,249,-560,319.0,-336.0,184.0,772.0,0.0,80.0,80.0,40.0,50.0,32.0,59.36328831862332,29.499999999999996,161.0,163.68032868979705,0.20873248429509,147.0136048126159,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,1,9,00:00:08.700000,262,B,,放小球,,1.0,C1,81,607,2.0,,,0,1,,A1,277.0,412.0,2.0,1000.0,319,-336,184,772,447.0,-579.0,367.0,84.0,20.0,50.0,90.0,40.0,28.000000000000004,43.75,51.94287727879541,64.75,279.0,286.4150179372583,0.2528737333136837,1116.1939795573169,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,10,00:00:09.600000,289,A,,放小球,,1.0,A1,277,412,2.0,,,0,1,,B1,324.0,488.0,2.0,1000.0,447,-579,367,84,431.0,-161.0,443.0,-344.0,40.0,80.0,80.0,70.0,41.5,23.0,47.447339229929426,20.5,183.25,184.39309233265763,0.14357818234134476,667.8091044602492,"[0, 0, 0, 1]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,11,00:00:10.300000,310,B,,挑球,,,B1,324,488,2.0,,,0,1,,B3,160.0,58.0,1.0,2000.0,431,-161,443,-344,281.0,-671.0,285.0,-649.0,10.0,30.0,50.0,40.0,49.75,146.75,154.95362209383813,46.25,331.0,334.2155928439007,0.20775962673243328,183.3930205869351,"[0, 0, 0, 1]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,12,00:00:12,359,A,,殺球,,,A3,160,58,1.0,,,0,1,,A2,148.0,722.0,2.0,0.0,281,-671,285,-649,232.0,-748.0,258.0,980.0,30.0,30.0,0.0,70.0,19.25,160.75,161.89850215489952,20.0,169.25,170.4275872621566,0.6646519766012886,22.360679774997898,"[0, 0, 0, 1]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,1,13,00:00:12.400000,372,B,,擋小球,,1.0,A2,148,722,2.0,,,0,1,,B1,113.0,390.0,2.0,1000.0,232,-748,258,980,204.0,-28.0,205.0,28.0,40.0,90.0,0.0,40.0,3.5000000000000004,42.25,42.39472254892111,17.5,34.0,38.23937760999779,0.01625,1728.1955907824786,"[0, 1, 0, 0]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,1,14,00:00:13.400000,403,A,,挑球,,,A1,113,390,2.0,,,0,1,,A3,67.0,870.0,1.0,1000.0,204,-28,205,28,246.0,-579.0,188.0,844.0,70.0,50.0,60.0,90.0,0.75,171.25,171.25164232789126,1.0,185.25,185.25269903566857,0.35650429520554167,56.00892785976178,"[0, 0, 1, 0]","[0, 1, 0, 0]"
2018-Indonesia_open-finals-1-1,1,15,00:00:14.600000,438,B,,長球,,1.0,C2,67,870,1.0,,,0,1,,B4,105.0,36.0,1.0,1000.0,246,-579,188,844,201.0,-713.0,201.0,-713.0,0.0,70.0,80.0,20.0,7.5,23.25,24.429746212353496,0.5,14.499999999999998,14.508618128546907,0.03858837260108283,1424.1815193296113,"[0, 1, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,16,00:00:15.800000,475,A,,切球,,,B3,105,36,1.0,,,0,1,,A2,76.0,641.0,2.0,1000.0,201,-713,201,-713,216.0,-672.0,186.0,786.0,60.0,20.0,70.0,10.0,89.0,40.5,97.78164449425056,44.25,185.25,190.4616103050691,0.262142375437471,0.0,"[0, 0, 0, 1]","[0, 0, 1, 0]"
2018-Indonesia_open-finals-1-1,1,17,00:00:16.600000,498,B,,擋小球,,1.0,C2,76,641,2.0,,,0,1,,A1,373.0,375.0,2.0,1000.0,216,-672,186,786,557.0,-551.0,378.0,28.0,10.0,20.0,90.0,50.0,30.25,123.0,126.66515898225525,57.25,91.25,107.72244427230567,0.15428589983821883,1458.3086093142288,"[0, 0, 1, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,1,18,00:00:17.700000,530,A,,挑球,,1.0,C1,373,375,2.0,,,0,1,,B4,342.0,929.0,,2000.0,557,-551,378,28,337.0,-180.0,415.0,1151.0,80.0,40.0,70.0,50.0,55.50000000000001,26.5,61.50203248673982,10.75,171.25,171.58707701922077,0.08342098057443342,606.0379526069304,"[0, 0, 0, 1]","[1, 0, 0, 0]"
2018-Indonesia_open-finals-1-1,1,19,00:00:19.200000,577,B,,未擊球,,,B3,342,929,,落地,對手誤判,1,1,A,,,,,3000.0,337,-180,415,1151,335.0,-657.0,335.0,-657.0,60.0,40.0,20.0,80.0,1.0,54.0,54.0092584655631,4.5,4.5,6.363961030678928,0.019921847303902316,1333.2835407369282,"[1, 0, 0, 0]","[0, 0, 0, 1]"
2018-Indonesia_open-finals-1-1,2,1,00:00:22.400000,672,A,1,發長球,,,A2,183,266,2.0,,,2,2,,B4,283.0,923.0,1.0,2000.0,335,-657,335,-657,333.0,-396.0,397.0,1169.0,30.0,90.0,30.0,90.0,34.25,134.75,139.03461799134774,34.25,134.75,139.03461799134774,0.18537949065513032,0.0,"[0, 0, 0, 1]","[1, 0, 0, 0]"
2018-Indonesia_open-finals-1-1,2,2,00:00:24.500000,736,B,,切球,,,A3,283,923,1.0,,,2,2,,B2,113.0,306.0,2.0,1000.0,333,-396,397,1169,198.0,-118.0,198.0,-118.0,60.0,10.0,50.0,40.0,18.5,24.75,30.900040453047954,33.75,36.5,49.71229727139956,0.08050853991968802,1566.3080795296946,"[1, 0, 0, 0]","[0, 0, 0, 1]"
