unique_id,rally,ball_round,time,frame_num,player,server,type,around_head,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height
2018-Indonesia_open-finals-1-2,1,1,00:06:33.800000,11814,A,1,發小球,,1.0,A2,197,655,2.0,,,1,0,,A1,263.0,335.0,2.0
2018-Indonesia_open-finals-1-2,1,2,00:06:34.500000,11836,B,,挑球,,1.0,A1,263,335,2.0,,,1,0,,A4,157.0,903.0,1.0
2018-Indonesia_open-finals-1-2,1,3,00:06:35.700000,11870,A,,切球,,,A3,157,903,1.0,,,1,0,,B2,49.0,280.0,2.0
2018-Indonesia_open-finals-1-2,1,4,00:06:36.300000,11888,B,,擋小球,,,B2,49,280,2.0,,,1,0,,A1,56.0,588.0,2.0
2018-Indonesia_open-finals-1-2,1,5,00:06:37.400000,11921,A,,放小球,,1.0,C1,56,588,2.0,,,1,0,,B1,81.0,409.0,2.0
2018-Indonesia_open-finals-1-2,1,6,00:06:38.300000,11948,B,,挑球,,,B1,81,409,2.0,,,1,0,,B4,284.0,911.0,1.0
2018-Indonesia_open-finals-1-2,1,7,00:06:39.900000,11997,A,,切球,,,A3,284,911,1.0,,,1,0,,B2,201.0,242.0,2.0
2018-Indonesia_open-finals-1-2,1,8,00:06:40.600000,12019,B,,擋小球,,1.0,A2,201,242,2.0,,,1,0,,A1,183.0,553.0,2.0
2018-Indonesia_open-finals-1-2,1,9,00:06:41.500000,12045,A,,放小球,,1.0,A1,183,553,2.0,,,1,0,,A1,328.0,405.0,2.0
2018-Indonesia_open-finals-1-2,1,10,00:06:42.300000,12069,B,,挑球,,1.0,C1,328,405,2.0,,,1,0,,A3,116.0,876.0,1.0
2018-Indonesia_open-finals-1-2,1,11,00:06:43.500000,12104,A,,長球,,1.0,A3,116,876,1.0,,,1,0,,D4,31.0,43.0,2.0
2018-Indonesia_open-finals-1-2,1,12,00:06:44.700000,12141,B,,切球,,,D3,31,43,2.0,,,1,0,,A1,150.0,559.0,1.0
2018-Indonesia_open-finals-1-2,1,13,00:06:45.600000,12167,A,,撲球,,,A1,150,559,1.0,,,1,0,,B3,185.0,147.0,
2018-Indonesia_open-finals-1-2,1,14,00:06:45.900000,12177,B,,未擊球,,,A2,185,147,,落地,對手失誤,2,0,A,,,,
2018-Indonesia_open-finals-1-2,2,1,00:06:48.900000,12267,A,1,發小球,,1.0,A2,199,660,2.0,,,5,0,,A2,241.0,326.0,2.0
2018-Indonesia_open-finals-1-2,2,2,00:06:49.500000,12286,B,,擋小球,,1.0,A1,241,326,2.0,,,5,0,,A1,113.0,537.0,2.0
2018-Indonesia_open-finals-1-2,2,3,00:06:50.500000,12314,A,,挑球,,1.0,A1,113,537,2.0,,,5,0,,B4,106.0,52.0,1.0
2018-Indonesia_open-finals-1-2,2,4,00:06:51.300000,12340,B,,殺球,,,B3,106,52,1.0,,,5,0,,A2,140.0,709.0,2.0
2018-Indonesia_open-finals-1-2,2,5,00:06:51.800000,12355,A,,擋小球,,1.0,A2,140,709,2.0,,,5,0,,B2,118.0,294.0,2.0
2018-Indonesia_open-finals-1-2,2,6,00:06:52.500000,12375,B,,挑球,,,A2,118,294,2.0,,,5,0,,B3,218.0,852.0,1.0
2018-Indonesia_open-finals-1-2,2,7,00:06:54,12420,A,,殺球,,,A2,218,852,1.0,,,5,0,,B3,191.0,187.0,2.0
2018-Indonesia_open-finals-1-2,2,8,00:06:54.500000,12435,B,,擋小球,,,A2,191,187,2.0,,,5,0,,A1,174.0,511.0,1.0
2018-Indonesia_open-finals-1-2,2,9,00:06:55.200000,12457,A,,撲球,,,A1,174,511,1.0,,,5,0,,A3,227.0,172.0,2.0
2018-Indonesia_open-finals-1-2,2,10,00:06:55.600000,12469,B,,防守回挑,,1.0,A2,227,172,2.0,,,5,0,,B2,343.0,669.0,1.0
2018-Indonesia_open-finals-1-2,2,11,00:06:56.500000,12495,A,,切球,,,B2,343,669,1.0,,,5,0,,B2,41.0,285.0,
2018-Indonesia_open-finals-1-2,2,12,00:06:57.400000,12522,B,,未擊球,,,B2,41,285,,落地,搶主動,6,0,A,,,,
2018-Indonesia_open-finals-1-2,3,1,00:07:00.200000,12607,A,1,發小球,,1.0,A2,220,660,2.0,,,6,0,,B1,78.0,369.0,2.0
2018-Indonesia_open-finals-1-2,3,2,00:07:01,12631,B,,放小球,,,B1,78,369,2.0,,,6,0,,A1,95.0,525.0,2.0
2018-Indonesia_open-finals-1-2,3,3,00:07:01.800000,12653,A,,挑球,,1.0,C1,95,525,2.0,,,6,0,,A4,341.0,44.0,1.0
2018-Indonesia_open-finals-1-2,3,4,00:07:03.100000,12692,B,,切球,1.0,,C3,341,44,1.0,,,6,0,,B2,350.0,721.0,2.0
2018-Indonesia_open-finals-1-2,3,5,00:07:03.600000,12709,A,,擋小球,,,B2,350,721,2.0,,,6,0,,B1,127.0,368.0,2.0
2018-Indonesia_open-finals-1-2,3,6,00:07:04.700000,12741,B,,挑球,,,A1,127,368,2.0,,,6,0,,A3,122.0,866.0,1.0
2018-Indonesia_open-finals-1-2,3,7,00:07:06,12780,A,,長球,,,A2,122,866,1.0,,,6,0,,B3,111.0,63.0,1.0
2018-Indonesia_open-finals-1-2,3,8,00:07:06.800000,12805,B,,切球,,,A3,111,63,1.0,,,6,0,,A1,104.0,530.0,2.0
2018-Indonesia_open-finals-1-2,3,9,00:07:07.700000,12832,A,,擋小球,,1.0,C1,104,530,2.0,,,6,0,,A1,304.0,416.0,2.0
2018-Indonesia_open-finals-1-2,3,10,00:07:08.500000,12856,B,,挑球,,1.0,A1,304,416,2.0,,,6,0,,A3,141.0,868.0,1.0
2018-Indonesia_open-finals-1-2,3,11,00:07:09.800000,12895,A,,殺球,,,A2,141,868,1.0,,,6,0,,B3,83.0,187.0,2.0
2018-Indonesia_open-finals-1-2,3,12,00:07:10.400000,12912,B,,擋小球,,,B2,83,187,2.0,,,6,0,,A1,120.0,525.0,2.0
2018-Indonesia_open-finals-1-2,3,13,00:07:11.300000,12939,A,,挑球,,1.0,A1,120,525,2.0,,,6,0,,A5,345.0,-36.0,
2018-Indonesia_open-finals-1-2,3,14,00:07:13,12991,B,,未擊球,,,C4,345,-36,,出界,對手失誤,6,1,B,,,,
2018-Indonesia_open-finals-1-2,4,1,00:07:16.200000,13086,B,1,發長球,,,A2,185,266,2.0,,,6,2,,B4,362.0,911.0,1.0
2018-Indonesia_open-finals-1-2,4,2,00:07:18.200000,13147,A,,切球,,,B3,362,911,1.0,,,6,2,,A2,249.0,275.0,2.0
2018-Indonesia_open-finals-1-2,4,3,00:07:18.900000,13168,B,,挑球,,1.0,A2,249,275,2.0,,,6,2,,A2,165.0,684.0,1.0
2018-Indonesia_open-finals-1-2,4,4,00:07:19.500000,13186,A,,切球,,1.0,A2,165,684,1.0,,,6,2,,B1,174.0,361.0,2.0
2018-Indonesia_open-finals-1-2,4,5,00:07:20.300000,13208,B,,擋小球,,,A1,174,361,2.0,,,6,2,,A1,177.0,504.0,2.0
2018-Indonesia_open-finals-1-2,4,6,00:07:21.100000,13234,A,,放小球,,1.0,A1,177,504,2.0,,,6,2,,A1,264.0,434.0,1.0
2018-Indonesia_open-finals-1-2,4,7,00:07:21.800000,13255,B,,撲球,,1.0,A1,264,434,1.0,,,6,2,,B2,251.0,684.0,2.0
2018-Indonesia_open-finals-1-2,4,8,00:07:22.100000,13264,A,,擋小球,,,A2,251,684,2.0,,,6,2,,E2,447.0,311.0,
2018-Indonesia_open-finals-1-2,4,9,00:07:23.300000,13300,B,,未擊球,,,E1,447,311,,出界,預測對手球路,6,3,B,,,,
2018-Indonesia_open-finals-1-2,5,1,00:07:24.600000,13338,A,1,發小球,,,A2,191,664,2.0,,,7,3,,A2,243.0,317.0,2.0
