index,box_x,box_y,box_w,box_h,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14
0,,,,,,,,,,,,,,,,,,,,,,,,,726.0,339.0,,,,,734.0,339.0
1,,,,,,,,,,,,,,,,,,,,,,,,,727.0,340.0,,,,,735.0,340.0
2,713.0,245.0,44.0,127.0,727.0,260.0,735.0,268.0,720.0,268.0,713.0,276.0,713.0,276.0,742.0,268.0,749.0,276.0,742.0,276.0,727.0,300.0,727.0,324.0,727.0,340.0,735.0,300.0,735.0,324.0,735.0,340.0
3,713.0,245.0,44.0,128.0,727.0,261.0,727.0,269.0,720.0,269.0,713.0,277.0,713.0,277.0,742.0,269.0,749.0,277.0,742.0,277.0,727.0,301.0,727.0,325.0,727.0,341.0,735.0,301.0,735.0,325.0,735.0,341.0
4,713.0,245.0,44.0,129.0,727.0,260.0,727.0,267.0,727.0,267.0,727.0,282.0,727.0,275.0,735.0,267.0,749.0,275.0,742.0,275.0,727.0,298.0,727.0,320.0,727.0,336.0,735.0,298.0,735.0,320.0,735.0,343.0
5,713.0,245.0,44.0,129.0,727.0,260.0,727.0,267.0,727.0,267.0,727.0,282.0,735.0,275.0,735.0,267.0,749.0,275.0,735.0,267.0,727.0,298.0,727.0,320.0,727.0,336.0,735.0,298.0,735.0,320.0,735.0,336.0
6,713.0,246.0,45.0,128.0,728.0,262.0,728.0,270.0,720.0,270.0,720.0,278.0,728.0,278.0,743.0,270.0,750.0,278.0,735.0,270.0,728.0,294.0,728.0,318.0,728.0,342.0,735.0,302.0,728.0,318.0,735.0,342.0
7,713.0,246.0,45.0,128.0,728.0,262.0,728.0,270.0,720.0,270.0,720.0,278.0,728.0,278.0,743.0,270.0,750.0,278.0,735.0,270.0,728.0,302.0,728.0,318.0,728.0,342.0,735.0,302.0,728.0,318.0,735.0,342.0
8,713.0,245.0,44.0,129.0,727.0,260.0,727.0,267.0,720.0,267.0,720.0,275.0,727.0,275.0,742.0,267.0,749.0,275.0,742.0,275.0,727.0,298.0,727.0,320.0,727.0,336.0,735.0,298.0,735.0,320.0,735.0,336.0
9,712.0,246.0,44.0,128.0,734.0,262.0,734.0,270.0,719.0,270.0,719.0,278.0,726.0,278.0,741.0,270.0,748.0,278.0,741.0,270.0,726.0,302.0,726.0,318.0,726.0,342.0,734.0,302.0,734.0,318.0,734.0,342.0
10,711.0,247.0,44.0,128.0,733.0,255.0,733.0,271.0,725.0,271.0,718.0,279.0,718.0,279.0,740.0,271.0,747.0,279.0,740.0,279.0,725.0,295.0,725.0,319.0,725.0,343.0,733.0,303.0,733.0,319.0,733.0,343.0
11,709.0,248.0,46.0,127.0,732.0,255.0,732.0,271.0,724.0,271.0,716.0,279.0,716.0,279.0,739.0,271.0,747.0,279.0,747.0,279.0,724.0,295.0,724.0,319.0,724.0,343.0,739.0,295.0,732.0,319.0,732.0,335.0
12,709.0,248.0,46.0,127.0,732.0,263.0,732.0,271.0,724.0,271.0,716.0,279.0,716.0,279.0,739.0,271.0,747.0,287.0,739.0,279.0,724.0,303.0,724.0,319.0,724.0,343.0,739.0,303.0,732.0,319.0,732.0,343.0
13,709.0,248.0,46.0,127.0,732.0,263.0,732.0,271.0,724.0,271.0,716.0,279.0,709.0,279.0,739.0,271.0,747.0,287.0,739.0,279.0,724.0,303.0,724.0,319.0,724.0,343.0,739.0,303.0,732.0,319.0,732.0,343.0
14,710.0,249.0,45.0,126.0,732.0,256.0,732.0,272.0,725.0,272.0,717.0,280.0,710.0,288.0,740.0,272.0,740.0,288.0,732.0,288.0,725.0,296.0,717.0,319.0,725.0,343.0,732.0,296.0,717.0,319.0,732.0,343.0
15,709.0,249.0,46.0,125.0,732.0,256.0,732.0,272.0,724.0,272.0,716.0,280.0,716.0,280.0,739.0,272.0,747.0,288.0,732.0,288.0,724.0,295.0,716.0,319.0,724.0,334.0,732.0,295.0,724.0,319.0,724.0,342.0
16,709.0,248.0,46.0,125.0,732.0,255.0,732.0,271.0,724.0,271.0,716.0,279.0,716.0,279.0,739.0,271.0,747.0,279.0,739.0,279.0,724.0,294.0,724.0,310.0,724.0,333.0,732.0,294.0,732.0,318.0,732.0,333.0
17,715.0,256.0,33.0,123.0,728.0,294.0,728.0,302.0,728.0,302.0,721.0,309.0,728.0,309.0,728.0,302.0,721.0,309.0,721.0,309.0,728.0,317.0,728.0,325.0,728.0,340.0,728.0,317.0,728.0,332.0,728.0,340.0
18,,,,,,,,,,,,,,,,,,,,,,,,,724.5,337.5,,,,,724.5,337.5
19,,,,,,,,,,,,,,,,,,,,,,,,,721.0,335.0,,,,,721.0,335.0
20,721.0,234.0,29.0,141.0,721.0,249.0,728.0,234.0,721.0,257.0,735.0,288.0,742.0,288.0,721.0,257.0,728.0,288.0,721.0,304.0,721.0,304.0,742.0,296.0,721.0,335.0,721.0,304.0,742.0,296.0,721.0,335.0
21,721.0,231.0,29.0,144.0,728.0,247.0,721.0,247.0,721.0,255.0,721.0,263.0,728.0,263.0,721.0,247.0,728.0,263.0,728.0,263.0,721.0,271.0,721.0,303.0,721.0,255.0,721.0,279.0,721.0,303.0,721.0,303.0
22,721.0,239.0,31.0,128.0,736.0,255.0,728.0,239.0,744.0,247.0,744.0,255.0,744.0,279.0,736.0,239.0,728.0,263.0,744.0,271.0,728.0,303.0,744.0,295.0,744.0,303.0,744.0,287.0,744.0,295.0,744.0,303.0
23,,,,,,,,,,,,,,,,,,,,,,,,,741.5,308.0,,,,,741.5,308.0
24,,,,,,,,,,,,,,,,,,,,,,,,,739.0,313.0,,,,,739.0,313.0
25,,,,,,,,,,,,,,,,,,,,,,,,,736.5,318.0,,,,,736.5,318.0
26,,,,,,,,,,,,,,,,,,,,,,,,,734.0,323.0,,,,,734.0,323.0
27,721.0,237.0,34.0,126.0,734.0,244.0,734.0,252.0,734.0,252.0,734.0,268.0,734.0,260.0,741.0,252.0,741.0,268.0,734.0,252.0,734.0,284.0,727.0,307.0,734.0,323.0,734.0,284.0,734.0,300.0,734.0,323.0
28,,,,,,,,,,,,,,,,,,,,,,,,,733.75,316.5,,,,,733.75,316.5
29,,,,,,,,,,,,,,,,,,,,,,,,,733.5,310.0,,,,,733.5,310.0
30,,,,,,,,,,,,,,,,,,,,,,,,,733.25,303.5,,,,,733.25,303.5
31,,,,,,,,,,,,,,,,,,,,,,,,,733.0,297.0,,,,,733.0,297.0
32,733.0,227.0,28.0,117.0,740.0,242.0,740.0,227.0,747.0,250.0,747.0,266.0,747.0,266.0,733.0,266.0,747.0,258.0,747.0,266.0,733.0,266.0,733.0,266.0,733.0,297.0,747.0,266.0,733.0,266.0,733.0,297.0
33,734.0,217.0,28.0,139.0,741.0,240.0,741.0,247.0,734.0,240.0,734.0,255.0,741.0,263.0,748.0,247.0,748.0,263.0,741.0,263.0,734.0,263.0,734.0,263.0,734.0,294.0,741.0,263.0,748.0,271.0,734.0,286.0
34,735.0,225.0,29.0,124.0,742.0,240.0,742.0,248.0,735.0,248.0,742.0,263.0,749.0,263.0,735.0,240.0,742.0,256.0,742.0,263.0,735.0,271.0,735.0,263.0,735.0,294.0,742.0,271.0,735.0,263.0,735.0,294.0
35,735.0,225.0,29.0,124.0,742.0,240.0,742.0,248.0,735.0,248.0,735.0,263.0,742.0,263.0,735.0,240.0,742.0,256.0,742.0,263.0,735.0,271.0,735.0,263.0,735.0,294.0,735.0,271.0,735.0,263.0,735.0,294.0
36,737.0,230.0,30.0,112.0,752.0,230.0,737.0,238.0,737.0,254.0,744.0,262.0,737.0,230.0,737.0,254.0,752.0,270.0,737.0,230.0,737.0,278.0,737.0,270.0,737.0,302.0,737.0,278.0,737.0,294.0,737.0,302.0
37,737.0,229.0,30.0,113.0,752.0,229.0,737.0,236.0,737.0,251.0,744.0,259.0,737.0,229.0,737.0,244.0,744.0,259.0,737.0,229.0,737.0,266.0,737.0,259.0,737.0,296.0,752.0,274.0,737.0,259.0,737.0,296.0
38,738.0,239.0,30.0,98.0,738.0,246.0,745.0,239.0,738.0,254.0,738.0,254.0,753.0,254.0,738.0,254.0,745.0,261.0,753.0,254.0,738.0,284.0,738.0,291.0,738.0,291.0,738.0,284.0,738.0,291.0,738.0,291.0
39,,,,,,,,,,,,,,,,,,,,,,,,,740.8333333333334,291.0,,,,,740.8333333333334,291.0
40,,,,,,,,,,,,,,,,,,,,,,,,,743.6666666666666,291.0,,,,,743.6666666666666,291.0
41,,,,,,,,,,,,,,,,,,,,,,,,,746.5,291.0,,,,,746.5,291.0
42,,,,,,,,,,,,,,,,,,,,,,,,,749.3333333333334,291.0,,,,,749.3333333333334,291.0
43,,,,,,,,,,,,,,,,,,,,,,,,,752.1666666666666,291.0,,,,,752.1666666666666,291.0
44,,,,,,,,,,,,,,,,,,,,,,,,,755.0,291.0,,,,,755.0,291.0
45,,,,,,,,,,,,,,,,,,,,,,,,,757.8333333333334,291.0,,,,,757.8333333333334,291.0
46,,,,,,,,,,,,,,,,,,,,,,,,,760.6666666666666,291.0,,,,,760.6666666666666,291.0
47,,,,,,,,,,,,,,,,,,,,,,,,,763.5,291.0,,,,,763.5,291.0
48,,,,,,,,,,,,,,,,,,,,,,,,,766.3333333333334,291.0,,,,,766.3333333333334,291.0
49,,,,,,,,,,,,,,,,,,,,,,,,,769.1666666666666,291.0,,,,,769.1666666666666,291.0
50,,,,,,,,,,,,,,,,,,,,,,,,,772.0,291.0,,,,,772.0,291.0
51,,,,,,,,,,,,,,,,,,,,,,,,,774.8333333333334,291.0,,,,,774.8333333333334,291.0
52,,,,,,,,,,,,,,,,,,,,,,,,,777.6666666666666,291.0,,,,,777.6666666666666,291.0
53,,,,,,,,,,,,,,,,,,,,,,,,,780.5,291.0,,,,,780.5,291.0
54,,,,,,,,,,,,,,,,,,,,,,,,,783.3333333333334,291.0,,,,,783.3333333333334,291.0
55,,,,,,,,,,,,,,,,,,,,,,,,,786.1666666666666,291.0,,,,,786.1666666666666,291.0
56,,,,,,,,,,,,,,,,,,,,,,,,,789.0,291.0,,,,,789.0,291.0
57,766.0,208.0,31.0,121.0,766.0,208.0,773.0,208.0,766.0,208.0,766.0,215.0,766.0,223.0,766.0,208.0,766.0,253.0,773.0,230.0,773.0,291.0,789.0,268.0,789.0,291.0,789.0,268.0,789.0,268.0,789.0,291.0
58,,,,,,,,,,,,,,,,,,,,,,,,,788.6428571428571,291.64285714285717,,,,,789.7142857142857,292.7857142857143
59,,,,,,,,,,,,,,,,,,,,,,,,,788.2857142857143,292.2857142857143,,,,,790.4285714285714,294.57142857142856
60,,,,,,,,,,,,,,,,,,,,,,,,,787.9285714285714,292.92857142857144,,,,,791.1428571428571,296.35714285714283
