rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
1,1.0,00:05:44.080,8602,A,1.0,發長球,,,B2,245,662,2.0,,,0,0,,B4,69.0,12.0,1.0,2280.0,193,91,308,899,97,-196,141,-141,10.0,90.0,40.0,20.0,10.25,5.25,11.516292806281019,49.0,33.0,59.07622195096772,0.026776161419273036,816.142757120346,1,4
1,2.0,00:05:46.360,8659,B,,長球,,,B4,69,12,1.0,,,0,0,,A4,88.0,914.0,1.0,1280.0,97,-196,141,-141,234,70,112,1031,0.0,60.0,40.0,30.0,70.0,28.999999999999996,75.76938695805846,73.5,5.75,73.72457188753286,0.11534968409831918,70.43436661176133,4,1
1,3.0,00:05:47.640,8691,A,,長球,1.0,,A4,88,914,1.0,,,0,0,,A4,266.0,30.0,1.0,1280.0,234,70,112,1031,377,-80,435,-118,20.0,90.0,90.0,30.0,23.0,5.25,23.59157688667716,64.75,25.75,69.68231482951754,0.07267159400289742,968.7130638119835,1,4
1,4.0,00:05:48.920,8723,B,,長球,1.0,,A4,266,30,1.0,,,0,0,,B4,340.0,895.0,1.0,1200.0,377,-80,435,-118,326,49,371,1134,70.0,90.0,90.0,40.0,53.24999999999999,112.25,124.24019075967325,40.25,83.5,92.69472746602149,0.1936909729456635,69.33974329343886,4,1
1,5.0,00:05:50.120,8753,A,,切球,,,B4,340,895,1.0,,,0,0,,B1,93.0,345.0,2.0,1040.0,326,49,371,1134,164,369,274,216,50.0,80.0,70.0,80.0,21.25,12.0,24.40414923737355,60.75,23.0,64.95815961062937,0.07257413611183527,1085.9327787667153,1,2
1,6.0,00:05:51.160,8779,B,,挑球,,,B1,93,345,2.0,,,0,0,,A4,116.0,905.0,1.0,1240.0,164,369,274,216,241,97,128,1042,20.0,40.0,80.0,40.0,60.5,93.99999999999999,111.78662710718127,49.5,99.0,110.68536488623958,0.19486521768258377,188.43831882077487,2,1
1,7.0,00:05:52.400,8810,A,,長球,1.0,,A4,116,905,1.0,,,0,0,,A4,316.0,37.0,1.0,1040.0,241,97,128,1042,406,-7,472,-180,0.0,70.0,50.0,20.0,40.0,20.75,45.06176317012019,73.75,24.5,77.71301371070356,0.12241987175291436,951.732105164053,1,4
1,8.0,00:05:53.440,8836,B,,切球,1.0,,A4,316,37,1.0,,,0,0,,B1,351.0,582.0,2.0,960.0,406,-7,472,-180,401,14,423,944,20.0,70.0,70.0,50.0,52.0,10.75,53.09955272881307,68.25,28.749999999999996,74.05825409770338,0.12407115330681075,185.16209115258988,4,1
1,9.0,00:05:54.400,8860,A,,挑球,,,B1,351,582,2.0,,,0,0,,B3,91.0,63.0,1.0,1000.0,401,14,423,944,198,-50,199,-65,50.0,30.0,20.0,80.0,71.25,29.249999999999996,77.02028953464145,46.99999999999999,2.0,47.042533945356304,0.14110370492491348,930.2601786597124,1,4
1,10.0,00:05:55.400,8885,B,,殺球,,,B3,91,63,1.0,,,0,0,,B3,333.0,773.0,2.0,720.0,198,-50,199,-65,116,-103,235,952,20.0,90.0,10.0,40.0,30.5,69.75,76.12694989292557,32.75,73.5,80.46621962040966,0.022563721213554988,15.033296378372908,4,1
1,11.0,00:05:56.120,8903,A,,未擊球,,,B3,333,773,,落地,對方未擊球,0,1,B,,,,,13160.0,116,-103,235,952,320,229,330,229,50.0,80.0,80.0,60.0,36.25,56.99999999999999,67.55044411401009,8.0,51.5,52.11765535785354,0.014713570207671363,1061.6901619587516,1,2
2,1.0,00:06:09.280,9232,B,1.0,發長球,,,B2,190,254,2.0,,,0,1,,A4,179.0,923.0,1.0,2080.0,320,229,330,229,261,125,203,1158,40.0,90.0,10.0,50.0,36.5,27.750000000000004,45.85098145078249,7.249999999999999,53.75,54.23674953387233,0.07115410602863145,10.0,2,2
2,2.0,00:06:11.360,9284,A,,殺球,,,A4,179,923,1.0,,,0,1,,B2,86.0,216.0,2.0,520.0,261,125,203,1158,174,118,301,14,90.0,50.0,0.0,40.0,0.25,13.75,13.752272539475065,32.5,56.49999999999999,65.18051856191389,0.10170912200296961,1034.626985922946,2,3
2,3.0,00:06:11.880,9297,B,,擋小球,,,B2,86,216,2.0,,,0,1,,B1,305.0,598.0,2.0,1000.0,174,118,301,14,260,70,333,932,30.0,80.0,30.0,80.0,63.24999999999999,33.0,71.34116974090065,10.75,7.000000000000001,12.8281916106675,0.07541796750433684,164.14932226482082,3,1
2,4.0,00:06:12.880,9322,A,,挑球,,,B1,305,598,2.0,,,0,1,,A3,340.0,72.0,2.0,1080.0,260,70,333,932,427,-14,344,42,50.0,90.0,20.0,60.0,26.25,5.25,26.76985244636212,23.0,21.0,31.144823004794873,0.06200980607438404,865.0855449029305,1,3
2,5.0,00:06:13.960,9349,B,,過渡切球,,1.0,A3,340,72,2.0,,,0,1,,B1,336.0,495.0,2.0,720.0,427,-14,344,42,365,49,425,848,60.0,10.0,80.0,80.0,63.5,92.75,112.40468184199446,23.0,42.0,47.885279575251516,0.2001554571608029,100.12492197250393,3,1
2,6.0,00:06:14.680,9367,A,,放小球,,,B1,336,495,2.0,,,0,1,,B1,105.0,363.0,2.0,880.0,365,49,425,848,173,357,252,210,0.0,50.0,60.0,10.0,40.0,28.749999999999996,49.26015123809508,83.5,55.25,100.12398563780809,0.1357813324722286,801.2496489858826,1,2
2,7.0,00:06:15.560,9389,B,,挑球,,,B1,105,363,2.0,,,0,1,,A4,74.0,905.0,1.0,1320.0,173,357,252,210,205,164,91,1069,70.0,30.0,10.0,70.0,13.25,101.75,102.60908829143742,17.25,50.74999999999999,53.60153915700555,0.13406904755567237,166.88319268278636,2,1
