rally,ball_round,time,frame_num,player,server,type,aroundhead,backhand,hit_area,hit_x,hit_y,hit_height,lose_reason,win_reason,roundscore_A,roundscore_B,getpoint_player,landing_area,landing_x,landing_y,landing_height,flying_time,now_right_x,now_right_y,now_left_x,now_left_y,next_right_x,next_right_y,next_left_x,next_left_y,right_delta_x,right_delta_y,left_delta_x,left_delta_y,right_x_speed,right_y_speed,right_speed,left_x_speed,left_y_speed,left_speed,avg_ball_speed,left_right_distance,hitting_area_number,landing_area_number
20.0,12.0,01:02:23.880,93597.0,B,,未過網,,,D2,21.0,196.0,2.0,出界,對方失誤,12,8,A,,,,,,75,145,209,1035,,,,,80.0,30.0,70.0,90.0,56.99999999999999,1.7500000000000002,57.02685770757495,49.25,22.75,54.25057603380816,0.012980729055567679,900.0311105734067,1,
21.0,1.0,01:02:39.880,93997.0,A,1.0,發小球,,,B2,158.0,255.0,2.0,,,12,8,,B1,264.0,588.0,2.0,,,,,,303,138,406,944,30.0,0.0,60.0,50.0,29.249999999999996,27.5,40.14738472179726,48.5,18.75,51.99819708412976,,812.5546135491447,,1
21.0,2.0,01:02:40.680,94017.0,B,,挑球,,1.0,B1,264.0,588.0,2.0,,,12,8,,B3,57.0,54.0,2.0,1080.0,303,138,406,944,168,49,243,131,10.0,80.0,30.0,60.0,5.25,23.0,23.59157688667716,11.749999999999998,51.0,52.33605353864581,0.09780101769664772,111.12605455067681,1,2
21.0,3.0,01:02:41.760,94044.0,A,,平球,,,B3,57.0,54.0,2.0,,,12,8,,A2,81.0,745.0,2.0,520.0,168,49,243,131,186,28,212,1019,90.0,40.0,10.0,0.0,0.25,21.5,21.50145343924452,15.25,0.0,15.25,0.09523708262352626,991.3410109543537,2,1
21.0,4.0,01:02:42.280,94057.0,B,,挑球,,1.0,A2,81.0,745.0,2.0,,,12,8,,B4,90.0,45.0,1.0,1040.0,186,28,212,1019,189,-43,196,-73,70.0,50.0,90.0,50.0,41.75,71.25,82.58102082197821,59.75,238.75,246.11303297468828,0.03197006519248373,30.805843601498726,1,4
21.0,5.0,01:02:43.320,94083.0,A,,殺球,,,B4,90.0,45.0,1.0,,,12,8,,B3,358.0,761.0,2.0,600.0,189,-43,196,-73,185,-58,273,1019,80.0,90.0,80.0,20.0,2.0,42.25,42.29731078922158,17.0,20.5,26.63174797117155,0.5261186733815377,1080.5891911360209,4,1
21.0,6.0,01:02:43.920,94098.0,B,,擋小球,,,B3,358.0,761.0,2.0,,,12,8,,A1,342.0,465.0,2.0,640.0,185,-58,273,1019,356,242,435,882,60.0,0.0,60.0,20.0,23.499999999999996,40.0,46.39234850705448,66.0,177.0,188.904737897174,,644.8573485663321,1,1
21.0,7.0,01:02:44.560,94114.0,B,,掛網球,,,A1,342.0,465.0,2.0,未回擊成功,殺球得分,13,8,A,,,,,,356,242,435,882,,,,,90.0,20.0,80.0,90.0,34.75,43.0,55.28618724419327,9.5,227.25,227.44848317805946,,40.8166632639171,1,
22.0,1.0,01:03:17.440,94936.0,A,1.0,發小球,,,B2,168.0,248.0,2.0,,,13,8,,A2,93.0,610.0,2.0,,,,,,,,,,20.0,10.0,20.0,50.0,52.0,39.75,65.45275013320678,54.5,13.75,56.20776191950717,,965.6251860841245,,
22.0,2.0,01:03:18.320,94958.0,B,,挑球,,1.0,A2,93.0,610.0,2.0,,,13,8,,A4,271.0,41.0,1.0,,,,,,291,28,270,63,40.0,40.0,70.0,30.0,16.0,26.5,30.955613384328213,49.25,64.25,80.95446250825213,,65.0,,3
