frame,top_right_x,top_right_y,top_left_x,top_left_y,bot_right_x,bot_right_y,bot_left_x,bot_left_y
79308,429,-95,447,-118,429,-95,292,980
79309,428,-50,442,-43,428,-50,300,980
79310,428,-43,436,-88,428,-43,292,944
79311,423,-73,436,-88,423,-73,288,940
79312,419,-73,438,-110,419,-73,286,952
79313,431,-103,442,-73,431,-103,286,944
79314,415,-58,441,-88,415,-58,285,976
79315,418,-65,438,-110,418,-65,285,980
79316,424,-126,414,-126,424,-126,284,980
79317,430,-149,421,-149,430,-149,284,996
79318,430,-149,421,-149,430,-149,276,972
79319,430,-149,421,-149,430,-149,279,965
79320,430,-149,421,-149,430,-149,278,936
79321,430,-149,421,-149,430,-149,276,948
79322,430,-149,421,-149,430,-149,274,952
79323,430,-149,421,-149,430,-149,270,920
79324,430,-149,421,-149,430,-149,264,948
79325,385,-118,426,-118,385,-118,261,944
79326,396,-196,438,-196,396,-196,263,969
79327,385,-164,428,-164,385,-164,263,996
79328,384,-73,428,-133,384,-73,268,1004
79329,382,-28,415,-88,382,-28,269,965
79330,386,7,429,-50,386,7,278,996
79331,385,-7,427,-65,385,-7,290,1012
79332,379,63,423,-50,379,63,404,980
79333,389,0,410,0,389,0,288,980
79334,380,70,400,70,380,70,289,988
79335,368,42,407,42,368,42,298,1004
79336,359,-28,418,28,359,-28,298,988
79337,341,35,417,56,341,35,298,1016
79338,340,7,418,7,340,7,306,1035
79339,326,28,405,28,326,28,316,969
79340,319,84,408,56,319,84,318,1023
79341,314,84,392,84,314,84,318,1023
79342,313,91,389,145,313,91,319,1023
79343,307,77,392,125,307,77,322,1039
79344,321,84,409,158,321,84,318,1035
79345,319,235,395,242,319,235,314,1050
79346,318,91,384,145,318,91,324,1054
79347,331,158,395,118,331,158,320,1016
79348,345,151,390,184,345,151,322,984
79349,349,151,390,131,349,151,319,972
79350,360,131,386,91,360,131,318,969
79351,375,104,385,104,375,104,319,988
79352,395,125,391,84,395,125,320,984
79353,402,191,386,84,402,191,320,1016
79354,416,158,379,104,416,158,314,988
79355,432,184,385,131,432,184,325,1008
79356,438,223,385,131,438,223,321,1054
79357,416,118,370,63,416,118,330,1008
79358,436,223,399,125,436,223,342,988
79359,434,279,403,191,434,279,358,940
79360,421,242,408,145,421,242,379,928
79361,427,285,417,197,427,285,389,972
79362,423,178,423,178,423,178,399,961
79363,413,191,414,138,413,191,413,948
79364,399,164,399,164,399,164,397,940
79365,396,223,406,223,396,223,379,936
79366,388,203,418,178,388,203,387,916
79367,382,164,413,171,382,164,396,903
79368,356,203,395,151,356,203,398,928
79369,367,91,409,35,367,91,402,924
79370,358,111,406,164,358,111,404,924
79371,359,56,388,111,359,56,406,916
79372,365,138,393,138,365,138,405,912
79373,360,125,387,178,360,125,402,912
79374,369,63,386,118,369,63,405,924
79375,361,145,385,184,361,145,397,895
79376,351,145,380,145,351,145,382,907
79377,363,118,383,267,363,118,377,887
79378,338,151,375,203,338,151,365,869
79379,348,118,385,235,348,118,360,865
79380,345,158,402,210,345,158,354,882
79381,327,197,380,184,327,197,357,899
79382,315,184,385,131,315,184,343,907
79383,293,254,389,229,293,254,345,891
79384,273,242,347,191,273,242,349,907
79385,274,235,343,131,274,235,353,932
79386,257,184,316,84,257,184,339,920
79387,267,191,326,203,267,191,334,903
79388,251,184,334,184,251,184,341,899
79389,231,304,327,235,231,304,325,874
79390,210,267,324,131,210,267,324,869
79391,192,340,293,387,192,340,321,882
79392,201,334,301,216,201,334,302,912
79393,174,328,277,229,174,328,295,887
79394,178,322,267,242,178,322,285,912
79395,180,392,272,297,180,392,280,940
79396,177,352,257,285,177,352,277,948
79397,179,398,258,340,179,398,284,961
79398,176,357,240,291,176,357,281,980
79399,181,381,242,297,181,381,275,992
79400,177,438,241,322,177,438,278,992
79401,178,375,247,340,178,375,287,1004
79402,172,363,252,369,172,363,283,1008
79403,185,427,247,387,185,427,281,1008
79404,186,438,258,404,186,438,289,980
79405,182,369,245,369,182,369,288,1004
79406,190,352,246,438,190,352,288,1004
79407,196,363,250,410,196,363,273,980
79408,206,304,258,392,206,304,280,1000
79409,226,346,254,432,226,346,285,1069
79410,213,273,241,322,213,273,239,1057
79411,226,334,263,334,226,334,224,1076
79412,227,310,253,260,227,310,279,1046
79413,225,310,261,260,225,310,209,1094
79414,220,297,256,197,220,297,263,1039
79415,230,340,245,145,230,340,244,1065
79416,229,334,256,235,229,334,216,1019
79417,232,285,260,242,232,285,202,1039
79418,234,273,251,229,234,273,196,1083
79419,235,267,252,216,235,267,170,1039
79420,239,203,257,203,239,203,148,1080
79421,240,191,260,242,240,191,123,1102
79422,232,184,270,184,232,184,195,1189
79423,242,151,279,151,242,151,85,1102
79424,231,158,280,158,231,158,75,1091
79425,232,104,299,104,232,104,65,1112
79426,223,84,302,35,223,84,60,1151
79427,217,56,307,56,217,56,57,1112
79428,214,77,312,77,214,77,45,1155
79429,214,84,323,84,214,84,57,1182
79430,214,118,321,118,214,118,51,1162
79431,227,178,340,178,227,178,53,1176
79432,228,197,327,197,228,197,57,1213
79433,216,151,312,151,216,151,54,1196
79434,232,171,309,118,232,171,54,1182
